SURVEY:   LSST
SNID:     1263268
IAUC:     NULL
SNTYPE:   110
RA:       180.672966  # deg
DEC:      -9.218066  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0428 +- 0.0021  # MW E(B-V) 
PEAKMJD:  60398.887     # estimate for LC fit codes
MJD_TRIGGER:       60363.246  
MJD_DETECT_FIRST:  60356.262  
MJD_DETECT_LAST:   60498.020  

REDSHIFT_HELIO:   1.544303 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.547367 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7942688038  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5443  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          180.672913    # deg 
HOSTGAL_DEC:         -9.218204    # deg 
HOSTGAL_SNSEP:       0.259       # arcsec 
HOSTGAL_DDLR:        1.661       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.996 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.542
HOSTGAL_SQRADIUS:     8.684   # Ixx + Iyy
HOSTGAL_MAG:     26.51  26.27  26.02  25.34  24.86  24.15 # ugrizY
HOSTGAL_MAGERR:   0.59   0.09   0.07   0.06   0.07   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8268    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.54430  
SIM_REDSHIFT_CMB:    1.54737  
SIM_REDSHIFT_HOST:   1.52281  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7942688038 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.199 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.996 -9.000 
SIM_DLMU:            45.2697   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0189   # mag 
SIM_RA:              180.672974     # deg  
SIM_DEC:             -9.218066      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0451   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60398.887    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.3165e-07 
SIM_SALT2x1:         0.3721 
SIM_SALT2c:          -0.0056 
SIM_SALT2mB:         25.8351 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -309.96  # days 
SIM_TRESTMAX:        107.09  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.62  32.42  29.31  26.77  25.80  25.33  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59610.2577 i WFD -1.7643e-02  1.173e-02    0  1.000 45.320  2.04 2.178e+04  99.0000 
OBS: 59611.3755 z WFD -6.7822e-03  1.789e-02    0  1.000 45.020  1.41 3.645e+04  99.0000 
OBS: 59621.1899 Y WFD -1.1186e-01  6.374e-02    0  1.000 43.260  1.78 2.034e+04  99.0000 
OBS: 59645.1300 u WFD  1.3594e-02  3.524e-02    0  1.000 41.030  2.61 9.803e+02  99.0000 
OBS: 59653.1506 Y WFD -3.2699e-02  6.233e-02    0  1.000 43.310  1.76 2.107e+04  99.0000 
OBS: 59660.1574 Y WFD -2.4503e-02  3.272e-02    0  1.000 44.940  1.99 4.389e+04  99.0000 
OBS: 59681.0891 z WFD  4.8032e-03  1.628e-02    0  1.000 45.020  1.33 3.517e+04  99.0000 
OBS: 59688.2086 z WFD -2.9601e-02  3.299e-02    0  1.000 44.700  2.08 3.394e+04  99.0000 
OBS: 59714.0238 Y WFD  5.6921e-03  5.141e-02    0  1.000 44.340  2.00 3.948e+04  99.0000 
OBS: 59729.9566 z WFD -2.0270e-03  4.282e-02    0  1.000 43.510  1.90 1.612e+04  99.0000 
OBS: 59771.0208 z WFD  4.0004e-02  5.055e-02    0  1.000 43.490  1.81 1.961e+04  99.0000 
OBS: 59779.9689 z WFD  1.0263e-02  5.057e-02    0  1.000 43.490  2.26 1.571e+04  99.0000 
OBS: 59789.9651 z WFD  5.9695e-02  8.729e-02    0  1.000 43.490  2.85 2.150e+04  99.0000 
OBS: 59927.3375 Y WFD  4.2954e-02  9.375e-02    0  1.000 43.260  2.38 2.238e+04  99.0000 
OBS: 59937.3528 z WFD -4.6473e-02  3.606e-02    0  1.000 44.700  1.97 3.917e+04  99.0000 
OBS: 59941.3483 z WFD  2.4172e-02  2.796e-02    0  1.000 44.250  1.70 2.326e+04  99.0000 
OBS: 59945.3272 i WFD -1.2330e-02  2.064e-02    0  1.000 43.810  1.74 1.118e+04  99.0000 
OBS: 59950.3156 Y WFD  6.5989e-03  8.802e-02    0  1.000 42.540  1.70 1.515e+04  99.0000 
OBS: 59953.3133 Y WFD  7.9651e-02  7.383e-02    0  1.000 42.560  1.39 1.583e+04  99.0000 
OBS: 59954.3590 Y WFD  2.9963e-03  5.996e-02    0  1.000 44.090  1.99 3.676e+04  99.0000 
OBS: 59962.2575 g WFD -6.4001e-03  5.163e-03    0  1.000 44.750  1.53 7.561e+03  99.0000 
OBS: 59965.3147 r WFD -1.7317e-03  6.464e-03    0  1.000 45.600  1.94 1.633e+04  99.0000 
OBS: 59966.2581 i WFD  3.5846e-02  2.260e-02    0  1.000 44.560  2.69 1.581e+04  99.0000 
OBS: 59968.2681 u WFD  8.2863e-03  2.934e-02    0  1.000 41.200  2.41 1.034e+03  99.0000 
OBS: 59976.2101 Y WFD  1.5957e-01  1.021e-01    0  1.000 42.500  1.96 1.469e+04  99.0000 
OBS: 59976.2817 r WFD  1.7861e-03  7.776e-03    0  1.000 44.840  1.66 1.140e+04  99.0000 
OBS: 59979.2397 Y WFD -7.4709e-03  5.131e-02    0  1.000 43.300  1.38 2.191e+04  99.0000 
OBS: 59980.2048 Y WFD  7.9563e-02  6.776e-02    0  1.000 43.280  1.60 2.450e+04  99.0000 
OBS: 59982.2069 z WFD -3.6018e-02  4.819e-02    0  1.000 44.260  1.75 3.929e+04  99.0000 
OBS: 59987.1978 i WFD  1.4283e-02  2.216e-02    0  1.000 44.590  1.70 2.521e+04  99.0000 
OBS: 59990.2528 r WFD -8.1900e-04  9.985e-03    0  1.000 44.860  2.02 1.226e+04  99.0000 
OBS: 59994.2102 r WFD -1.3483e-02  1.019e-02    0  1.000 44.830  2.15 1.143e+04  99.0000 
OBS: 59995.1727 r WFD -4.0659e-03  8.114e-03    0  1.000 44.800  1.62 1.175e+04  99.0000 
OBS: 59997.1669 u WFD -2.4262e-02  2.969e-02    0  1.000 41.050  2.24 9.803e+02  99.0000 
OBS: 59999.1670 u WFD  5.3869e-02  2.234e-02    0  1.000 41.170  1.79 1.031e+03  99.0000 
OBS: 60002.1710 r WFD  2.2654e-03  6.050e-03    0  1.000 45.570  1.77 1.630e+04  99.0000 
OBS: 60014.3275 z WFD -3.3322e-02  4.525e-02    0  1.000 44.250  2.01 3.183e+04  99.0000 
