SURVEY:   LSST
SNID:     1263526
IAUC:     NULL
SNTYPE:   10
RA:       328.508686  # deg
DEC:      -38.441425  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0209 +- 0.0010  # MW E(B-V) 
PEAKMJD:  60420.246     # estimate for LC fit codes
MJD_TRIGGER:       60420.395  
MJD_DETECT_FIRST:  60416.395  
MJD_DETECT_LAST:   60656.047  

REDSHIFT_HELIO:   0.438103 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.436942 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9562872014  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.4381  +- 0.0100 
HOSTGAL_SPECZ:       0.4381  +- 0.0000 
HOSTGAL_RA:          328.510138    # deg 
HOSTGAL_DEC:         -38.441632    # deg 
HOSTGAL_SNSEP:       2.004       # arcsec 
HOSTGAL_DDLR:        3.159       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.983 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.057
HOSTGAL_SQRADIUS:     21.167   # Ixx + Iyy
HOSTGAL_MAG:     23.42  22.82  21.82  21.34  21.08  20.91 # ugrizY
HOSTGAL_MAGERR:   0.04   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8526    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.43810  
SIM_REDSHIFT_CMB:    0.43694  
SIM_REDSHIFT_HOST:   0.45816  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9562872014 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.388 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.983 -9.000 
SIM_DLMU:            41.9134   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0128   # mag 
SIM_RA:              328.508698     # deg  
SIM_DEC:             -38.441425      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0200   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60420.246    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.1838e-05 
SIM_SALT2x1:         0.6844 
SIM_SALT2c:          -0.0534 
SIM_SALT2mB:         22.2870 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.4866  # spectro-search efficiency 
SIM_TRESTMIN:        -464.20  # days 
SIM_TRESTMAX:        164.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.45  22.90  22.07  22.25  22.27  22.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.2170 g WFD -9.6724e-03  8.121e-03    0  1.000 44.730  2.62 6.818e+03  99.0000 
OBS: 59767.2167 Y WFD -3.5944e-02  9.843e-02    0  1.000 42.550  2.20 1.322e+04  99.0000 
OBS: 59769.2874 z WFD -9.7592e-03  1.976e-02    0  1.000 44.270  1.46 1.949e+04  99.0000 
OBS: 59770.2689 Y WFD -4.9845e-02  4.983e-02    0  1.000 43.350  1.63 1.887e+04  99.0000 
OBS: 59772.4272 Y WFD  7.8749e-02  7.954e-02    0  1.000 43.300  2.13 2.201e+04  99.0000 
OBS: 59773.2964 Y WFD -5.7852e-02  4.348e-02    0  1.000 44.110  1.55 3.486e+04  99.0000 
OBS: 59777.3539 Y WFD -7.5667e-02  5.064e-02    0  1.000 44.960  2.92 4.715e+04  99.0000 
OBS: 59784.3937 r WFD -7.2028e-03  9.215e-03    0  1.000 44.810  1.92 1.137e+04  99.0000 
OBS: 59791.1079 u WFD -4.1026e-02  3.026e-02    0  1.000 41.030  2.30 9.550e+02  99.0000 
OBS: 59793.1329 r WFD  3.4973e-03  8.233e-03    0  1.000 45.570  2.49 1.577e+04  99.0000 
OBS: 59793.2689 i WFD  1.1878e-03  1.211e-02    0  1.000 45.350  2.34 2.015e+04  99.0000 
OBS: 59801.2043 z WFD  7.3843e-03  2.980e-02    0  1.000 45.050  1.89 4.657e+04  99.0000 
OBS: 59805.1403 Y WFD  4.5707e-02  4.803e-02    0  1.000 43.340  1.30 2.259e+04  99.0000 
OBS: 59807.0678 g WFD -1.1248e-02  8.027e-03    0  1.000 43.980  1.77 5.000e+03  99.0000 
OBS: 59808.0805 g WFD -5.5833e-03  5.254e-03    0  1.000 44.740  1.66 7.027e+03  99.0000 
OBS: 59808.3704 i WFD -1.5453e-02  2.809e-02    0  1.000 43.810  1.79 1.480e+04  99.0000 
OBS: 59809.1980 r WFD -5.3337e-03  5.491e-03    0  1.000 45.650  1.48 1.904e+04  99.0000 
OBS: 59813.1727 i WFD  4.5831e-03  8.732e-03    0  1.000 45.350  1.69 2.012e+04  99.0000 
OBS: 59821.2118 r WFD -2.1876e-03  7.545e-03    0  1.000 44.850  1.72 1.078e+04  99.0000 
OBS: 59824.2313 i WFD -8.1959e-03  9.118e-03    0  1.000 45.340  1.72 2.045e+04  99.0000 
OBS: 59825.0232 z WFD -3.7557e-02  2.975e-02    0  1.000 44.240  1.96 2.126e+04  99.0000 
OBS: 59826.0272 z WFD -1.5588e-02  3.712e-02    0  1.000 44.250  2.40 2.187e+04  99.0000 
OBS: 59835.0127 r WFD  1.5187e-03  7.131e-03    0  1.000 44.810  1.53 1.104e+04  99.0000 
OBS: 59839.9995 Y WFD  3.0047e-02  7.122e-02    0  1.000 42.530  1.53 1.350e+04  99.0000 
OBS: 59843.0178 i WFD -9.3279e-03  1.141e-02    0  1.000 44.580  1.50 1.457e+04  99.0000 
OBS: 59851.1250 u WFD  1.3556e-03  2.322e-02    0  1.000 41.330  2.15 1.034e+03  99.0000 
OBS: 59852.9846 Y WFD  1.0567e-01  1.354e-01    0  1.000 42.580  1.79 2.297e+04  99.0000 
OBS: 59860.0609 Y WFD  1.0686e-02  5.084e-02    0  1.000 43.800  1.71 2.777e+04  99.0000 
OBS: 59863.1208 z WFD  3.3125e-03  2.559e-02    0  1.000 44.270  1.41 2.614e+04  99.0000 
OBS: 59864.1432 i WFD  3.4203e-02  3.020e-02    0  1.000 43.880  1.73 1.755e+04  99.0000 
OBS: 59869.1119 r WFD -9.5594e-03  7.613e-03    0  1.000 44.840  1.71 1.084e+04  99.0000 
OBS: 59905.0813 u WFD -8.6773e-03  3.617e-02    0  1.000 41.020  2.68 9.708e+02  99.0000 
OBS: 59919.0503 z WFD -9.5114e-02  4.076e-02    0  1.000 44.240  2.06 2.772e+04  99.0000 
OBS: 60042.4086 z WFD  2.5469e-02  3.737e-02    0  1.000 44.240  1.86 2.815e+04  99.0000 
OBS: 60045.4194 z WFD  7.4058e-02  6.674e-02    0  1.000 43.500  1.81 2.613e+04  99.0000 
OBS: 60052.3933 i WFD -2.6225e-02  1.462e-02    0  1.000 44.560  1.72 1.599e+04  99.0000 
OBS: 60055.3956 g WFD -2.4671e-03  5.106e-03    0  1.000 44.780  1.56 7.539e+03  99.0000 
