SURVEY:   LSST
SNID:     1263538
IAUC:     NULL
SNTYPE:   110
RA:       237.469641  # deg
DEC:      1.865069  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1076 +- 0.0054  # MW E(B-V) 
PEAKMJD:  59771.773     # estimate for LC fit codes
MJD_TRIGGER:       59767.977  
MJD_DETECT_FIRST:  59766.980  
MJD_DETECT_LAST:   60101.152  

REDSHIFT_HELIO:   1.339216 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.340207 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10566975057  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3392  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          237.469514    # deg 
HOSTGAL_DEC:         1.864891    # deg 
HOSTGAL_SNSEP:       0.363       # arcsec 
HOSTGAL_DDLR:        2.261       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.318 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     1.064
HOSTGAL_SQRADIUS:     6.344   # Ixx + Iyy
HOSTGAL_MAG:     27.66  27.63  27.20  26.68  26.12  25.44 # ugrizY
HOSTGAL_MAGERR:   2.84   0.29   0.15   0.12   0.16   0.28 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8538    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.33922  
SIM_REDSHIFT_CMB:    1.34020  
SIM_REDSHIFT_HOST:   1.30027  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10566975057 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.448 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.318 -9.000 
SIM_DLMU:            44.8859   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0392   # mag 
SIM_RA:              237.469635     # deg  
SIM_DEC:             1.865069      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1038   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59771.773    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.9384e-06 
SIM_SALT2x1:         0.9058 
SIM_SALT2c:          -0.1541 
SIM_SALT2mB:         24.9164 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -49.78  # days 
SIM_TRESTMAX:        334.83  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.05  28.40  26.17  24.89  24.39  24.09  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 85 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59655.3321 Y WFD  4.6797e-02  4.037e-02    0  1.000 45.050  2.45 4.868e+04  99.0000 
OBS: 59656.3996 z WFD -5.4918e-02  8.858e-02    0  1.000 43.520  2.86 2.235e+04  99.0000 
OBS: 59672.4104 z WFD  9.3610e-03  4.801e-02    0  1.000 44.240  2.11 3.188e+04  99.0000 
OBS: 59680.2248 i WFD  1.5261e-02  1.756e-02    0  1.000 44.570  1.86 1.792e+04  99.0000 
OBS: 59689.3605 z WFD -6.7585e-03  3.948e-02    0  1.000 44.250  1.73 3.226e+04  99.0000 
OBS: 59711.1339 Y WFD -1.2169e-01  7.421e-02    0  1.000 43.280  2.03 2.115e+04  99.0000 
OBS: 59721.1810 i WFD -3.3970e-02  1.663e-02    0  1.000 44.580  1.94 1.642e+04  99.0000 
OBS: 59766.9814 Y WFD  2.2885e+01  8.768e-02 4096  1.000 43.260  2.46 2.023e+04  24.0969 
OBS: 59767.9756 Y WFD  2.3080e+01  7.847e-02 6144  1.000 43.270  2.12 2.120e+04  24.0923 
OBS: 59772.0456 Y WFD  2.3022e+01  3.386e-02 4096  1.000 45.070  1.89 5.385e+04  24.0941 
OBS: 59774.0336 z WFD  1.6916e+01  3.796e-02 4096  1.000 45.010  2.31 4.676e+04  24.4326 
OBS: 59775.0504 z WFD  1.6505e+01  3.400e-02 4096  1.000 45.000  2.33 4.114e+04  24.4524 
OBS: 59780.1188 r WFD  2.0358e+00  8.539e-03 4096  1.000 45.230  2.13 1.396e+04  26.7365 
OBS: 59788.0517 r WFD  1.4415e+00  1.132e-02 4096  1.000 44.820  2.42 1.117e+04  27.1064 
OBS: 59790.0998 g WFD  6.8887e-02  8.148e-03 4096  1.000 44.720  2.50 7.102e+03  30.7053 
OBS: 59790.9987 u WFD -2.6995e-02  2.316e-02    0  1.000 41.290  2.03 1.053e+03  32.7112 
OBS: 59980.3863 Y WFD  3.8245e-01  1.446e-01    0  1.000 42.540  1.64 2.580e+04  28.1499 
OBS: 59992.3688 g WFD -9.7068e-03  1.110e-02    0  1.000 44.030  2.39 5.360e+03  99.0000 
OBS: 59992.3820 z WFD  2.8931e-01  4.423e-02 4096  1.000 43.480  2.04 1.508e+04  28.8971 
OBS: 59997.3499 u WFD -1.7665e-02  2.019e-02    0  1.000 42.270  2.68 1.714e+03  37.4305 
OBS: 59997.3851 z WFD  2.8888e-01  4.147e-02    0  1.000 43.480  1.94 1.487e+04  28.9433 
OBS: 60001.3830 r WFD  3.4759e-03  1.012e-02    0  1.000 44.820  2.12 1.141e+04  99.0000 
OBS: 60003.3247 i WFD  9.7019e-02  1.986e-02 4096  1.000 44.550  2.34 1.581e+04  30.0445 
OBS: 60004.3336 r WFD -1.0364e-02  9.941e-03    0  1.000 44.790  2.02 1.144e+04  99.0000 
OBS: 60006.3737 g WFD  2.3787e-03  7.098e-03    0  1.000 44.790  2.32 7.112e+03  99.0000 
OBS: 60008.3080 Y WFD  6.8431e-01  1.065e-01    0  1.000 43.270  2.86 2.135e+04  28.3650 
OBS: 60008.3940 z WFD  2.3985e-01  4.233e-02 4096  1.000 43.510  2.05 1.477e+04  29.0443 
OBS: 60009.3086 Y WFD  4.4049e-01  4.956e-02 4096  1.000 44.470  2.23 3.848e+04  28.3727 
OBS: 60011.3218 Y WFD  5.1602e-01  1.015e-01    0  1.000 43.290  2.53 2.343e+04  28.3881 
OBS: 60052.2134 i WFD  5.5604e-02  1.152e-02    0  1.000 44.560  1.41 1.537e+04  30.5135 
OBS: 60055.2844 g WFD -5.2742e-04  4.433e-03    0  1.000 44.800  1.48 7.027e+03  99.0000 
OBS: 60060.2681 r WFD -8.9300e-04  7.619e-03    0  1.000 44.820  1.64 1.110e+04  99.0000 
OBS: 60063.2617 r WFD  1.0473e-02  8.459e-03    0  1.000 44.820  1.81 1.117e+04  99.0000 
OBS: 60065.1749 z WFD  1.3207e-01  2.312e-02    0  1.000 44.990  1.86 3.474e+04  29.5534 
OBS: 60072.2177 z WFD  1.2487e-01  2.828e-02 4096  1.000 45.010  1.60 5.032e+04  29.6152 
OBS: 60077.1202 g WFD  2.1974e-04  6.847e-03    0  1.000 44.710  2.09 7.074e+03  99.0000 
OBS: 60080.1365 u WFD -3.2657e-02  2.170e-02    0  1.000 41.160  1.75 1.015e+03  38.2182 
OBS: 60091.1058 r WFD  7.1120e-03  1.228e-02    0  1.000 44.820  2.12 1.384e+04  99.0000 
OBS: 60100.2504 Y WFD  1.2874e-01  1.054e-01    0  1.000 43.280  2.12 2.876e+04  29.0568 
OBS: 60101.1529 z WFD  1.1068e-01  2.848e-02 4096  1.000 44.260  1.40 2.903e+04  29.8661 
OBS: 60103.2223 i WFD  5.5534e-02  2.349e-02    0  1.000 44.590  2.07 2.194e+04  30.9848 
OBS: 60123.0332 z WFD  1.0977e-01  3.500e-02    0  1.000 44.260  1.97 2.535e+04  30.0529 
OBS: 60127.0500 Y WFD  1.5890e-01  7.387e-02    0  1.000 43.720  1.95 3.287e+04  29.2536 
OBS: 60129.1355 Y WFD  1.2610e-01  8.591e-02    0  1.000 42.540  1.54 1.633e+04  29.2689 
OBS: 60133.9711 z WFD -1.0946e-03  4.529e-02    0  1.000 43.470  2.04 1.530e+04  30.1454 
OBS: 60138.0557 i WFD  2.5513e-02  1.848e-02    0  1.000 44.570  2.37 1.480e+04  31.2973 
OBS: 60138.9722 z WFD  9.9169e-02  4.150e-02    0  1.000 43.480  1.95 1.481e+04  30.1875 
OBS: 60140.0675 u WFD -3.0700e-02  2.066e-02    0  1.000 41.220  1.75 1.021e+03  38.7597 
OBS: 60154.0791 z WFD  5.1040e-02  3.968e-02    0  1.000 44.250  1.79 3.134e+04  30.3139 
OBS: 60160.0632 i WFD  1.1891e-02  3.115e-02    0  1.000 44.590  2.60 2.317e+04  31.4913 
OBS: 60162.0743 r WFD  1.7824e-03  1.147e-02    0  1.000 44.790  2.32 1.149e+04  99.0000 
OBS: 60164.0679 r WFD  4.7034e-03  9.900e-03    0  1.000 44.790  2.00 1.151e+04  99.0000 
OBS: 60184.0058 Y WFD  5.5059e-02  7.595e-02    0  1.000 43.270  2.03 2.145e+04  29.6647 
OBS: 60350.3794 z WFD  1.1158e-01  4.571e-02    0  1.000 43.480  1.95 1.631e+04  31.8755 
OBS: 60353.3818 z WFD  7.2721e-02  3.957e-02    0  1.000 44.240  2.10 2.640e+04  31.8985 
OBS: 60355.3851 Y WFD  1.1443e-01  4.957e-02    0  1.000 44.050  1.87 3.117e+04  30.8458 
OBS: 60367.3649 Y WFD  2.1426e-02  1.171e-01    0  1.000 42.540  2.18 1.572e+04  30.9254 
OBS: 60375.4057 z WFD  4.2513e-02  7.338e-02    0  1.000 43.520  2.01 2.635e+04  32.0664 
OBS: 60381.3059 u WFD  9.5586e-03  2.737e-02    0  1.000 41.750  2.89 1.334e+03  99.0000 
