SURVEY:   LSST
SNID:     1263804
IAUC:     NULL
SNTYPE:   110
RA:       115.567553  # deg
DEC:      -42.571345  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.7987 +- 0.0399  # MW E(B-V) 
PEAKMJD:  59814.562     # estimate for LC fit codes
MJD_TRIGGER:       59862.383  
MJD_DETECT_FIRST:  59861.316  
MJD_DETECT_LAST:   60027.004  

REDSHIFT_HELIO:   1.072371 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.073722 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6063401571  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0724  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          115.567350    # deg 
HOSTGAL_DEC:         -42.570853    # deg 
HOSTGAL_SNSEP:       0.936       # arcsec 
HOSTGAL_DDLR:        2.534       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.624 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.280
HOSTGAL_SQRADIUS:     10.317   # Ixx + Iyy
HOSTGAL_MAG:     27.53  27.01  26.07  25.60  25.02  24.72 # ugrizY
HOSTGAL_MAGERR:   0.05   0.01   0.01   0.02   0.03   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8804    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.07237  
SIM_REDSHIFT_CMB:    1.07373  
SIM_REDSHIFT_HOST:   1.05649  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6063401571 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.510 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.624 -9.000 
SIM_DLMU:            44.2899   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0155   # mag 
SIM_RA:              115.567551     # deg  
SIM_DEC:             -42.571346      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.8109   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59814.562    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.8436e-06 
SIM_SALT2x1:         -0.3372 
SIM_SALT2c:          -0.0004 
SIM_SALT2mB:         24.9708 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -111.52  # days 
SIM_TRESTMAX:        413.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   38.98  32.10  28.08  26.36  25.50  25.36  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2953 u WFD -2.0908e-02  1.515e-02    0  1.000 42.000  1.95 1.379e+03  99.0000 
OBS: 59589.0648 Y WFD  6.2782e-02  9.146e-02    0  1.000 42.490  1.80 1.420e+04  99.0000 
OBS: 59589.3127 i WFD -3.2276e-05  1.371e-02    0  1.000 44.570  1.83 1.422e+04  99.0000 
OBS: 59590.3304 i WFD  2.6121e-02  1.783e-02    0  1.000 43.820  1.63 1.041e+04  99.0000 
OBS: 59594.2908 Y WFD  7.3847e-02  5.437e-02    0  1.000 43.730  1.94 2.455e+04  99.0000 
OBS: 59600.1703 z WFD  3.7374e-02  1.939e-02    0  1.000 45.750  2.01 5.429e+04  99.0000 
OBS: 59601.2144 i WFD  3.8824e-02  1.977e-02    0  1.000 44.630  1.86 2.132e+04  99.0000 
OBS: 59614.0358 z WFD  3.8174e-02  4.334e-02    0  1.000 43.500  2.01 1.528e+04  99.0000 
OBS: 59620.0325 Y WFD  4.8322e-02  7.412e-02    0  1.000 42.560  1.55 1.426e+04  99.0000 
OBS: 59637.0172 Y WFD -2.0222e-02  9.004e-02    0  1.000 42.580  1.91 1.432e+04  99.0000 
OBS: 59654.0034 Y WFD  4.6073e-02  9.312e-02    0  1.000 42.600  1.90 1.516e+04  99.0000 
OBS: 59669.9810 z WFD  5.9652e-02  6.943e-02    0  1.000 43.540  1.97 2.591e+04  99.0000 
OBS: 59675.9819 Y WFD  6.1213e-02  1.218e-01    0  1.000 42.600  2.46 1.531e+04  99.0000 
OBS: 59680.9777 Y WFD -8.6862e-02  6.266e-02    0  1.000 42.610  1.21 1.617e+04  99.0000 
OBS: 59685.0493 Y WFD -2.4878e-02  6.103e-02    0  1.000 42.560  1.22 1.491e+04  99.0000 
OBS: 59686.0520 Y WFD  8.9764e-02  6.977e-02    0  1.000 42.560  1.39 1.496e+04  99.0000 
OBS: 59687.0735 z WFD -2.0348e-02  3.284e-02    0  1.000 44.260  1.75 2.678e+04  99.0000 
OBS: 59709.9618 Y WFD -1.0971e-02  8.739e-02    0  1.000 42.580  1.72 1.543e+04  99.0000 
OBS: 59713.0225 Y WFD  6.6440e-02  8.230e-02    0  1.000 43.280  2.24 2.126e+04  99.0000 
OBS: 59851.3703 u WFD -8.5893e-03  2.092e-02    0  1.000 41.880  2.41 1.379e+03  99.0000 
OBS: 59853.3535 g WFD  2.0210e-02  7.242e-03    0  1.000 44.720  2.38 6.631e+03  31.4799 
OBS: 59861.3145 Y WFD  1.6933e+00  8.742e-02 4096  1.000 42.520  1.59 1.580e+04  27.0050 
OBS: 59862.3845 z WFD  8.2350e-01  5.620e-02 6144  1.000 43.530  1.66 2.466e+04  27.8363 
OBS: 59871.3497 g WFD  1.5140e-02  7.408e-03    0  1.000 44.140  1.50 6.309e+03  31.5421 
OBS: 59874.2831 u WFD  3.1188e-02  2.817e-02    0  1.000 41.020  2.15 9.424e+02  99.0000 
OBS: 59875.2921 r WFD  3.8626e-02  1.037e-02    0  1.000 44.780  2.21 1.081e+04  31.8637 
OBS: 59878.2711 g WFD  3.2168e-02  5.108e-03 4096  1.000 44.680  1.66 6.464e+03  31.1578 
OBS: 59884.3130 r WFD  4.5833e-03  4.451e-03    0  1.000 45.580  1.45 1.477e+04  99.0000 
OBS: 59895.3556 z WFD  3.0506e-01  3.881e-02 4096  1.000 43.530  1.56 1.812e+04  28.7405 
OBS: 59898.2351 i WFD  1.2723e-01  1.903e-02 4096  1.000 44.570  2.00 1.807e+04  29.8222 
OBS: 59898.3563 z WFD  3.8540e-01  4.181e-02 4096  1.000 43.530  1.65 1.846e+04  28.7639 
OBS: 59901.2212 r WFD  8.0857e-03  1.216e-02    0  1.000 44.780  2.62 1.069e+04  32.6427 
OBS: 59904.2163 u WFD  2.9184e-02  3.291e-02    0  1.000 41.070  2.63 9.424e+02  99.0000 
OBS: 59906.2470 r WFD  1.9751e-02  8.734e-03    0  1.000 44.820  2.01 1.038e+04  31.5668 
OBS: 59907.1911 r WFD  9.9124e-03  9.585e-03    0  1.000 44.760  2.01 1.078e+04  31.5931 
OBS: 59908.2783 i WFD  1.0519e-01  1.185e-02 4096  1.000 44.580  1.63 1.393e+04  30.0588 
