SURVEY:   LSST
SNID:     1263813
IAUC:     NULL
SNTYPE:   110
RA:       160.530043  # deg
DEC:      -39.597108  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0683 +- 0.0034  # MW E(B-V) 
PEAKMJD:  59639.504     # estimate for LC fit codes
MJD_TRIGGER:       59615.383  
MJD_DETECT_FIRST:  59607.340  
MJD_DETECT_LAST:   59913.312  

REDSHIFT_HELIO:   1.220116 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.222407 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9628355766  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2201  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          160.530104    # deg 
HOSTGAL_DEC:         -39.597268    # deg 
HOSTGAL_SNSEP:       0.301       # arcsec 
HOSTGAL_DDLR:        1.746       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.057 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.792
HOSTGAL_SQRADIUS:     32.914   # Ixx + Iyy
HOSTGAL_MAG:     28.50  27.44  25.91  24.81  23.92  23.33 # ugrizY
HOSTGAL_MAGERR:   1.34   0.30   0.07   0.04   0.03   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8813    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.22012  
SIM_REDSHIFT_CMB:    1.22241  
SIM_REDSHIFT_HOST:   1.22759  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9628355766 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.424 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.057 -9.000 
SIM_DLMU:            44.6375   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0553   # mag 
SIM_RA:              160.530045     # deg  
SIM_DEC:             -39.597107      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0666   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59639.504    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0053e-06 
SIM_SALT2x1:         -2.1775 
SIM_SALT2c:          0.0167 
SIM_SALT2mB:         25.6292 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -23.96  # days 
SIM_TRESTMAX:        465.65  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.89  32.63  28.03  26.01  25.23  25.04  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59586.2427 u WFD  2.3356e-02  3.836e-02    0  1.000 41.110  3.17 9.455e+02  99.0000 
OBS: 59588.1846 Y WFD  1.2325e-02  6.943e-02    0  1.000 43.250  1.98 1.974e+04  99.0000 
OBS: 59589.1907 Y WFD  4.9643e-02  9.912e-02    0  1.000 42.510  2.00 1.411e+04  99.0000 
OBS: 59589.2812 i WFD  1.3639e-02  1.218e-02    0  1.000 44.590  1.67 1.411e+04  99.0000 
OBS: 59594.1715 Y WFD  5.9468e-02  6.535e-02    0  1.000 43.260  1.75 2.121e+04  99.0000 
OBS: 59602.3517 i WFD  3.7510e-03  2.604e-02    0  1.000 44.630  2.30 2.271e+04  99.0000 
OBS: 59607.3384 g WFD  2.6188e-02  5.799e-03 4096  1.000 44.850  2.02 7.052e+03  31.3244 
OBS: 59608.3766 z WFD  8.1538e-02  5.626e-02    0  1.000 43.520  2.33 1.743e+04  31.2222 
OBS: 59615.3831 z WFD  1.3945e+00  4.494e-02 6144  1.000 44.260  2.38 2.694e+04  27.1626 
OBS: 59628.3245 z WFD  7.0515e+00  2.234e-02 4096  1.000 45.030  1.49 4.345e+04  25.3735 
OBS: 59652.0773 Y WFD  7.3496e+00  1.063e-01 4096  1.000 42.580  2.32 1.390e+04  25.3641 
OBS: 59654.0264 Y WFD  6.8080e+00  1.195e-01 4096  1.000 42.540  2.21 1.582e+04  25.4563 
OBS: 59656.0370 z WFD  4.6709e+00  3.118e-02 4096  1.000 45.020  1.88 4.765e+04  25.8275 
OBS: 59678.9837 Y WFD  1.5356e+00  7.202e-02 4096  1.000 42.560  1.51 1.422e+04  27.1104 
OBS: 59682.0189 Y WFD  1.2808e+00  5.701e-02 4096  1.000 42.580  1.23 1.407e+04  27.2632 
OBS: 59683.0464 Y WFD  1.2740e+00  5.317e-02 4096  1.000 42.600  1.13 1.455e+04  27.3104 
OBS: 59684.1106 Y WFD  1.1285e+00  6.104e-02 4096  1.000 42.610  1.21 1.574e+04  27.3596 
OBS: 59686.1791 Y WFD  1.0562e+00  6.951e-02 4096  1.000 43.320  1.72 2.426e+04  27.4446 
OBS: 59687.0899 z WFD  5.5245e-01  2.301e-02 4096  1.000 44.730  1.50 3.374e+04  28.1046 
OBS: 59696.9725 z WFD  5.3735e-01  6.137e-02 4096  1.000 43.500  3.06 1.421e+04  28.3659 
OBS: 59710.1380 i WFD  8.8942e-02  2.512e-02    0  1.000 44.590  2.12 2.291e+04  30.2070 
OBS: 59713.1211 Y WFD  4.3637e-01  1.078e-01    0  1.000 42.560  2.02 1.591e+04  28.3428 
OBS: 59718.1341 i WFD  1.0016e-01  2.574e-02    0  1.000 44.590  2.12 2.348e+04  30.2245 
OBS: 59769.0047 z WFD  1.9290e-01  4.340e-02 4096  1.000 43.480  1.71 1.765e+04  29.2306 
OBS: 59771.0054 z WFD  1.6421e-01  4.975e-02    0  1.000 43.480  1.83 1.891e+04  29.2492 
OBS: 59777.9673 z WFD  1.4393e-01  5.028e-02    0  1.000 44.240  2.70 2.609e+04  29.3137 
OBS: 59905.3390 u WFD  3.6536e-02  3.633e-02    0  1.000 41.180  2.70 1.123e+03  99.0000 
OBS: 59913.3122 r WFD  5.0681e-02  7.323e-03 4096  1.000 45.240  1.87 1.378e+04  30.9450 
OBS: 59916.3419 z WFD  8.2362e-02  3.044e-02    0  1.000 43.490  1.45 1.474e+04  30.5443 
OBS: 59918.3269 Y WFD  1.4376e-01  6.752e-02    0  1.000 42.550  1.49 1.339e+04  29.9346 
OBS: 59924.3513 Y WFD  2.0262e-01  5.456e-02    0  1.000 43.340  1.32 2.527e+04  29.9796 
OBS: 59928.3010 i WFD -2.2704e-02  1.839e-02    0  1.000 44.610  1.85 1.958e+04  32.7457 
OBS: 59929.2683 r WFD  4.8839e-02  1.385e-02    0  1.000 44.850  1.99 1.710e+04  31.1013 
OBS: 59929.3474 Y WFD  9.8723e-02  6.559e-02    0  1.000 42.580  1.38 1.443e+04  30.0169 
OBS: 59932.3005 g WFD  8.7245e-04  4.809e-03    0  1.000 44.830  1.59 7.295e+03  99.0000 
OBS: 59934.2648 g WFD  1.4057e-03  3.507e-03    0  1.000 45.490  1.64 9.471e+03  99.0000 
