SURVEY:   LSST
SNID:     1263881
IAUC:     NULL
SNTYPE:   110
RA:       257.712226  # deg
DEC:      -21.515392  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.4589 +- 0.0229  # MW E(B-V) 
PEAKMJD:  59577.598     # estimate for LC fit codes
MJD_TRIGGER:       59679.219  
MJD_DETECT_FIRST:  59676.297  
MJD_DETECT_LAST:   59850.035  

REDSHIFT_HELIO:   0.369532 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.369614 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9625148622  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.3695  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          257.714597    # deg 
HOSTGAL_DEC:         -21.513660    # deg 
HOSTGAL_SNSEP:       4.546       # arcsec 
HOSTGAL_DDLR:        2.914       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.318 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.761
HOSTGAL_SQRADIUS:     84.547   # Ixx + Iyy
HOSTGAL_MAG:     24.54  23.04  21.47  20.78  20.33  19.98 # ugrizY
HOSTGAL_MAGERR:   0.02   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8881    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.36953  
SIM_REDSHIFT_CMB:    0.36961  
SIM_REDSHIFT_HOST:   0.37361  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9625148622 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.338 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.318 -9.000 
SIM_DLMU:            41.4824   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              257.712219     # deg  
SIM_DEC:             -21.515392      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.4614   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59577.598    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.0239e-05 
SIM_SALT2x1:         -2.4365 
SIM_SALT2c:          -0.0287 
SIM_SALT2mB:         22.3695 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0833  # spectro-search efficiency 
SIM_TRESTMIN:        72.06  # days 
SIM_TRESTMAX:        702.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.82  24.45  23.40  23.13  23.06  23.27  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 57 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59676.2958 i WFD  3.0208e+00  9.558e-03 4096  1.000 45.340  1.74 2.117e+04  26.2994 
OBS: 59679.2170 z WFD  2.8197e+00  4.060e-02 6144  1.000 44.220  2.57 2.172e+04  26.3782 
OBS: 59694.3729 g WFD  1.3037e-01  4.487e-03 4096  1.000 45.660  1.83 1.270e+04  29.8029 
OBS: 59705.4226 z WFD  1.6330e+00  4.300e-02 4096  1.000 44.240  1.98 3.042e+04  26.9411 
OBS: 59752.0963 i WFD  8.8409e-01  2.152e-02 4096  1.000 44.580  2.77 1.488e+04  27.6468 
OBS: 59775.2330 z WFD  4.9776e-01  6.831e-02 4096  1.000 43.490  2.15 2.231e+04  28.2852 
OBS: 59801.1326 z WFD  3.1910e-01  4.212e-02 4096  1.000 44.270  1.67 3.632e+04  28.7301 
OBS: 59809.9761 Y WFD  2.3475e-01  3.722e-02 4096  1.000 44.110  1.39 3.327e+04  29.0627 
OBS: 59819.0310 u WFD  7.5261e-02  2.133e-02    0  1.000 41.320  1.86 1.088e+03  30.3972 
OBS: 59845.0449 r WFD  1.9612e-01  1.917e-02 4096  1.000 44.050  2.42 9.316e+03  29.3638 
OBS: 59846.0297 i WFD  2.6350e-01  2.805e-02 4096  1.000 43.820  2.24 1.192e+04  28.8998 
OBS: 59850.0344 i WFD  2.7268e-01  2.417e-02 4096  1.000 44.550  2.59 1.739e+04  28.9461 
OBS: 59993.3846 z WFD -2.2874e-02  4.607e-02    0  1.000 43.500  2.04 1.600e+04  31.5251 
OBS: 60025.4019 z WFD  1.6020e-02  2.215e-02    0  1.000 43.520  1.13 1.414e+04  31.9518 
OBS: 60027.3037 u WFD -1.2798e-02  1.825e-02    0  1.000 41.290  1.54 1.094e+03  33.2978 
OBS: 60031.2999 r WFD  3.2025e-02  6.288e-03    0  1.000 44.830  1.28 1.185e+04  31.4313 
OBS: 60036.2933 i WFD  4.9188e-02  1.412e-02    0  1.000 44.610  1.40 1.987e+04  30.8487 
OBS: 60038.2774 Y WFD -9.6024e-02  7.657e-02    0  1.000 43.300  2.17 2.080e+04  31.9331 
OBS: 60039.2298 Y WFD -1.1283e-01  1.787e-01    0  1.000 42.500  3.05 1.653e+04  31.9445 
OBS: 60052.2462 i WFD  4.6144e-02  1.083e-02    0  1.000 44.580  1.36 1.525e+04  31.0023 
OBS: 60055.2946 g WFD  1.4197e-03  4.009e-03    0  1.000 44.870  1.35 7.431e+03  35.0540 
OBS: 60063.2593 r WFD  1.9983e-02  6.496e-03    0  1.000 45.610  1.87 1.719e+04  31.7598 
OBS: 60077.2454 r WFD  1.4806e-02  9.923e-03    0  1.000 44.890  1.96 1.291e+04  31.9015 
OBS: 60080.1565 u WFD -1.9413e-03  1.761e-02    0  1.000 41.980  2.06 1.489e+03  34.0064 
OBS: 60094.1729 i WFD  8.8163e-03  1.051e-02    0  1.000 45.380  1.47 2.861e+04  31.4040 
OBS: 60122.0439 z WFD  5.1646e-02  2.979e-02    0  1.000 44.250  1.92 2.194e+04  33.2238 
OBS: 60123.0608 z WFD -3.1878e-02  1.969e-02    0  1.000 45.010  1.72 3.259e+04  33.2371 
OBS: 60129.1438 Y WFD  4.6578e-02  3.293e-02    0  1.000 44.980  1.68 5.428e+04  33.0156 
OBS: 60144.0755 r WFD  5.3770e-03  8.387e-03    0  1.000 45.620  2.63 1.592e+04  32.5638 
OBS: 60144.9578 z WFD  4.9516e-02  4.343e-02    0  1.000 44.260  1.66 3.733e+04  33.5235 
OBS: 60146.0956 g WFD  1.2843e-03  5.738e-03    0  1.000 44.880  1.94 7.469e+03  36.2659 
OBS: 60160.1466 i WFD  4.6962e-02  3.052e-02    0  1.000 43.860  1.76 1.712e+04  32.0332 
OBS: 60161.0997 r WFD  4.4402e-02  2.417e-02    0  1.000 44.160  2.33 1.350e+04  32.7289 
OBS: 60185.0821 z WFD -1.8595e-02  2.983e-02    0  1.000 45.010  2.02 4.204e+04  34.0475 
OBS: 60356.3856 Y WFD -6.2070e-02  7.082e-02    0  1.000 43.290  1.85 2.235e+04  35.7172 
OBS: 60363.3893 Y WFD -3.8450e-02  1.046e-01    0  1.000 42.560  2.05 1.521e+04  35.8004 
