SURVEY:   LSST
SNID:     1264009
IAUC:     NULL
SNTYPE:   110
RA:       89.448412  # deg
DEC:      -23.196423  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0273 +- 0.0014  # MW E(B-V) 
PEAKMJD:  60615.438     # estimate for LC fit codes
MJD_TRIGGER:       60587.277  
MJD_DETECT_FIRST:  60586.289  
MJD_DETECT_LAST:   60666.098  

REDSHIFT_HELIO:   0.746424 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.746919 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6813816898  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7464  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          89.448485    # deg 
HOSTGAL_DEC:         -23.196523    # deg 
HOSTGAL_SNSEP:       0.209       # arcsec 
HOSTGAL_DDLR:        0.708       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.240 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.372
HOSTGAL_SQRADIUS:     12.117   # Ixx + Iyy
HOSTGAL_MAG:     21.60  21.68  21.70  21.37  21.25  21.24 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           9009    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.74642  
SIM_REDSHIFT_CMB:    0.74692  
SIM_REDSHIFT_HOST:   0.78546  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6813816898 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     1.366 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.240 -9.000 
SIM_DLMU:            43.3189   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0051   # mag 
SIM_RA:              89.448410     # deg  
SIM_DEC:             -23.196423      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0282   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60615.438    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.6865e-06 
SIM_SALT2x1:         1.0457 
SIM_SALT2c:          0.0485 
SIM_SALT2mB:         23.9579 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0308  # spectro-search efficiency 
SIM_TRESTMIN:        -591.11  # days 
SIM_TRESTMAX:        29.01  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.91  26.12  24.23  23.49  23.62  23.56  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.1079 u WFD  2.1852e-02  2.197e-02    0  1.000 41.250  1.98 9.866e+02  99.0000 
OBS: 59588.0772 Y WFD  7.4867e-02  1.044e-01    0  1.000 42.570  2.46 1.277e+04  99.0000 
OBS: 59592.0746 z WFD -3.9366e-02  2.415e-02    0  1.000 44.270  1.47 2.366e+04  99.0000 
OBS: 59597.0458 Y WFD -4.4060e-02  5.220e-02    0  1.000 44.090  2.04 3.122e+04  99.0000 
OBS: 59603.1344 g WFD  8.2445e-03  9.857e-03    0  1.000 44.080  2.62 4.547e+03  99.0000 
OBS: 59607.0483 Y WFD -9.1481e-02  6.658e-02    0  1.000 43.340  2.26 1.802e+04  99.0000 
OBS: 59623.0401 z WFD  3.3321e-03  2.978e-02    0  1.000 44.280  1.73 2.502e+04  99.0000 
OBS: 59643.0176 z WFD -1.4282e-02  2.383e-02    0  1.000 44.260  1.76 1.932e+04  99.0000 
OBS: 59650.0211 Y WFD  6.1040e-02  1.021e-01    0  1.000 42.590  2.35 1.331e+04  99.0000 
OBS: 59655.0251 Y WFD  1.1381e-02  8.586e-02    0  1.000 42.580  1.82 1.433e+04  99.0000 
OBS: 59657.0621 z WFD  3.5331e-02  3.526e-02    0  1.000 44.260  1.89 2.662e+04  99.0000 
OBS: 59667.9939 z WFD  1.9611e-02  6.128e-02    0  1.000 43.500  3.07 1.414e+04  99.0000 
OBS: 59681.9818 Y WFD -5.3400e-02  8.079e-02    0  1.000 42.560  1.64 1.469e+04  99.0000 
OBS: 59684.9935 Y WFD -2.5884e-03  6.997e-02    0  1.000 42.540  1.37 1.495e+04  99.0000 
OBS: 59692.9742 Y WFD  1.4632e-01  1.271e-01    0  1.000 42.540  2.54 1.464e+04  99.0000 
OBS: 59701.9665 z WFD -7.5230e-02  4.853e-02    0  1.000 43.480  1.96 1.722e+04  99.0000 
OBS: 59827.3617 g WFD  1.2201e-03  6.061e-03    0  1.000 44.730  1.95 6.837e+03  99.0000 
OBS: 59835.3604 Y WFD  6.2931e-02  5.595e-02    0  1.000 43.310  1.62 2.054e+04  99.0000 
OBS: 59840.3650 r WFD -9.7861e-03  9.825e-03    0  1.000 44.880  1.64 1.513e+04  99.0000 
OBS: 59850.2943 g WFD -7.1868e-03  8.422e-03    0  1.000 44.720  2.80 6.555e+03  99.0000 
OBS: 59851.3304 u WFD  1.0804e-02  1.977e-02    0  1.000 41.280  1.77 1.021e+03  99.0000 
OBS: 59857.2729 i WFD -7.2599e-03  1.965e-02    0  1.000 44.570  1.82 2.050e+04  99.0000 
OBS: 59859.2619 Y WFD  2.9615e-01  1.042e-01    0  1.000 42.500  1.97 1.492e+04  99.0000 
OBS: 59859.3095 i WFD -2.0568e-02  2.090e-02    0  1.000 44.610  1.79 2.300e+04  99.0000 
OBS: 59860.2691 Y WFD  2.6797e-01  1.005e-01    0  1.000 42.520  1.89 1.527e+04  99.0000 
OBS: 59861.2475 Y WFD -9.5345e-02  9.430e-02    0  1.000 42.500  1.65 1.612e+04  99.0000 
OBS: 59866.2819 i WFD -2.0647e-02  2.463e-02    0  1.000 44.610  1.93 2.514e+04  99.0000 
OBS: 59869.3229 r WFD  3.1366e-03  6.864e-03    0  1.000 45.660  1.57 2.265e+04  99.0000 
OBS: 59874.2543 u WFD  4.0980e-02  2.078e-02    0  1.000 41.870  2.41 1.357e+03  99.0000 
OBS: 59877.2199 r WFD  9.0014e-04  1.050e-02    0  1.000 44.780  2.24 1.080e+04  99.0000 
OBS: 59896.2399 i WFD  2.1887e-02  1.776e-02    0  1.000 45.380  2.26 3.146e+04  99.0000 
OBS: 59897.1971 r WFD -2.3645e-02  1.356e-02    0  1.000 44.870  2.01 1.688e+04  99.0000 
OBS: 59900.1683 i WFD -1.3085e-02  2.091e-02    0  1.000 44.550  2.58 1.510e+04  99.0000 
OBS: 59902.2306 r WFD -4.9159e-03  7.754e-03    0  1.000 45.590  2.57 1.465e+04  99.0000 
OBS: 59904.1660 u WFD  2.3261e-02  3.008e-02    0  1.000 41.080  2.41 9.487e+02  99.0000 
OBS: 59912.1125 z WFD -2.2426e-04  3.404e-02    0  1.000 44.220  2.18 2.148e+04  99.0000 
OBS: 59915.1273 z WFD  2.0123e-02  2.505e-02    0  1.000 44.240  1.57 2.235e+04  99.0000 
