SURVEY:   LSST
SNID:     1264183
IAUC:     NULL
SNTYPE:   110
RA:       313.090468  # deg
DEC:      0.364263  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0991 +- 0.0050  # MW E(B-V) 
PEAKMJD:  60197.828     # estimate for LC fit codes
MJD_TRIGGER:       60166.109  
MJD_DETECT_FIRST:  60165.109  
MJD_DETECT_LAST:   60429.387  

REDSHIFT_HELIO:   1.448685 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.446225 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6130206124  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4487  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          313.090404    # deg 
HOSTGAL_DEC:         0.364111    # deg 
HOSTGAL_SNSEP:       0.290       # arcsec 
HOSTGAL_DDLR:        3.092       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.159 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.478
HOSTGAL_SQRADIUS:     8.228   # Ixx + Iyy
HOSTGAL_MAG:     26.68  26.42  26.08  25.26  24.71  24.03 # ugrizY
HOSTGAL_MAGERR:   1.32   0.10   0.06   0.05   0.06   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           9183    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.44868  
SIM_REDSHIFT_CMB:    1.44622  
SIM_REDSHIFT_HOST:   1.48080  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6130206124 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.390 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.159 -9.000 
SIM_DLMU:            45.0934   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0033   # mag 
SIM_RA:              313.090454     # deg  
SIM_DEC:             0.364263      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0966   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60197.828    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0262e-06 
SIM_SALT2x1:         1.3131 
SIM_SALT2c:          0.0201 
SIM_SALT2mB:         25.6070 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -194.38  # days 
SIM_TRESTMAX:        163.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.89  31.75  28.71  26.46  25.49  24.93  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59722.3243 z WFD -1.0933e-03  2.638e-02    0  1.000 45.000  2.34 3.180e+04  99.0000 
OBS: 59728.3250 u WFD  3.2439e-02  1.622e-02    0  1.000 41.940  1.88 1.448e+03  99.0000 
OBS: 59729.3538 i WFD -2.1586e-02  1.427e-02    0  1.000 44.570  1.81 1.497e+04  99.0000 
OBS: 59769.1879 z WFD -4.4774e-02  2.779e-02    0  1.000 44.240  1.70 2.290e+04  99.0000 
OBS: 59772.1892 Y WFD  2.1265e-01  7.243e-02    0  1.000 43.740  2.25 2.845e+04  99.0000 
OBS: 59777.2343 Y WFD  5.7430e-02  6.111e-02    0  1.000 44.500  2.87 3.790e+04  99.0000 
OBS: 59789.1226 r WFD -2.0191e-02  1.042e-02    0  1.000 44.790  2.07 1.171e+04  99.0000 
OBS: 59790.2248 g WFD -2.1220e-04  8.168e-03    0  1.000 44.800  2.66 7.204e+03  99.0000 
OBS: 59797.1024 z WFD -1.4132e-02  3.961e-02    0  1.000 44.230  2.42 2.272e+04  99.0000 
OBS: 59799.0990 Y WFD  2.2682e-02  9.985e-02    0  1.000 42.520  1.90 1.510e+04  99.0000 
OBS: 59804.1776 z WFD -9.7260e-03  3.452e-02    0  1.000 45.010  1.71 5.748e+04  99.0000 
OBS: 59806.0979 i WFD  2.2645e-02  2.547e-02    0  1.000 44.600  1.86 2.672e+04  99.0000 
OBS: 59807.1387 i WFD -2.4488e-02  1.576e-02    0  1.000 44.610  1.44 2.156e+04  99.0000 
OBS: 59808.1498 r WFD -5.2887e-03  6.544e-03    0  1.000 45.610  1.54 2.102e+04  99.0000 
OBS: 59810.0807 r WFD -8.1280e-03  6.278e-03    0  1.000 45.550  1.80 1.633e+04  99.0000 
OBS: 59818.0616 u WFD  1.0149e-02  2.919e-02    0  1.000 41.120  2.29 1.006e+03  99.0000 
OBS: 59836.0197 r WFD  6.9180e-03  8.453e-03    0  1.000 44.810  1.77 1.131e+04  99.0000 
OBS: 59836.9952 Y WFD  6.4468e-02  7.223e-02    0  1.000 42.510  1.48 1.390e+04  99.0000 
OBS: 59838.9858 z WFD  5.8007e-02  4.341e-02    0  1.000 44.230  1.88 3.205e+04  99.0000 
OBS: 59839.0112 i WFD  3.1715e-02  2.181e-02    0  1.000 43.810  1.88 1.094e+04  99.0000 
OBS: 59840.9881 Y WFD  2.5044e-02  5.450e-02    0  1.000 44.020  1.87 3.334e+04  99.0000 
OBS: 59843.9884 z WFD  2.6120e-03  3.532e-02    0  1.000 44.240  1.75 2.827e+04  99.0000 
OBS: 59849.9898 z WFD  1.5897e-02  4.176e-02    0  1.000 44.250  2.02 2.923e+04  99.0000 
OBS: 59859.0289 Y WFD  4.5780e-02  5.988e-02    0  1.000 43.310  1.54 2.313e+04  99.0000 
OBS: 59869.0797 r WFD -2.0529e-02  1.052e-02    0  1.000 44.790  2.13 1.148e+04  99.0000 
OBS: 59877.0409 u WFD -3.0513e-02  2.264e-02    0  1.000 41.160  1.82 1.018e+03  99.0000 
OBS: 60046.4189 Y WFD -5.1857e-02  9.502e-02    0  1.000 43.280  1.71 3.215e+04  99.0000 
OBS: 60051.4085 r WFD  3.5328e-03  1.113e-02    0  1.000 44.040  1.46 8.886e+03  99.0000 
OBS: 60051.4170 z WFD  1.4152e-02  3.533e-02    0  1.000 43.490  1.41 1.759e+04  99.0000 
OBS: 60055.4005 g WFD -1.8361e-03  7.503e-03    0  1.000 44.000  1.57 5.366e+03  99.0000 
OBS: 60056.3967 i WFD  3.2725e-02  2.227e-02    0  1.000 43.800  1.80 1.156e+04  99.0000 
OBS: 60057.3970 g WFD  1.0076e-02  1.101e-02    0  1.000 43.990  2.26 5.420e+03  99.0000 
OBS: 60059.4154 z WFD  3.7741e-03  5.157e-02    0  1.000 43.490  2.35 1.541e+04  99.0000 
OBS: 60061.4161 Y WFD -5.4308e-02  8.951e-02    0  1.000 42.530  1.84 1.411e+04  99.0000 
OBS: 60062.3799 r WFD  4.1747e-03  9.984e-03    0  1.000 45.540  2.74 1.690e+04  99.0000 
OBS: 60062.4155 z WFD  6.7655e-02  5.503e-02    0  1.000 43.480  2.54 1.507e+04  99.0000 
OBS: 60064.3833 i WFD  2.2667e-03  1.226e-02    0  1.000 45.320  2.07 2.243e+04  99.0000 
