SURVEY:   LSST
SNID:     1264325
IAUC:     NULL
SNTYPE:   110
RA:       359.732773  # deg
DEC:      -11.044721  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0282 +- 0.0014  # MW E(B-V) 
PEAKMJD:  60340.461     # estimate for LC fit codes
MJD_TRIGGER:       60457.406  
MJD_DETECT_FIRST:  60446.430  
MJD_DETECT_LAST:   60658.090  

REDSHIFT_HELIO:   0.786903 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.784854 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10440896538  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7869  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          359.732778    # deg 
HOSTGAL_DEC:         -11.044726    # deg 
HOSTGAL_SNSEP:       0.014       # arcsec 
HOSTGAL_DDLR:        0.100       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.094 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.645
HOSTGAL_SQRADIUS:     12.522   # Ixx + Iyy
HOSTGAL_MAG:     25.50  25.29  24.65  24.00  23.04  22.64 # ugrizY
HOSTGAL_MAGERR:   0.22   0.04   0.02   0.02   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           9325    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.78690  
SIM_REDSHIFT_CMB:    0.78485  
SIM_REDSHIFT_HOST:   0.74093  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10440896538 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.430 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.094 -9.000 
SIM_DLMU:            43.4540   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0243   # mag 
SIM_RA:              359.732788     # deg  
SIM_DEC:             -11.044721      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0290   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60340.461    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.8306e-06 
SIM_SALT2x1:         0.1027 
SIM_SALT2c:          -0.1142 
SIM_SALT2mB:         23.7207 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0738  # spectro-search efficiency 
SIM_TRESTMIN:        -324.41  # days 
SIM_TRESTMAX:        177.96  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.24  25.29  23.78  23.18  23.44  23.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59761.4415 z WFD  7.8737e-02  5.662e-02    0  1.000 43.520  2.38 1.717e+04  99.0000 
OBS: 59769.4407 Y WFD  4.6479e-02  5.593e-02    0  1.000 43.340  1.46 2.342e+04  99.0000 
OBS: 59771.3421 z WFD  2.7446e-03  2.577e-02    0  1.000 44.260  1.61 2.284e+04  99.0000 
OBS: 59772.2725 Y WFD -1.2061e-01  1.394e-01    0  1.000 42.520  2.60 1.541e+04  99.0000 
OBS: 59773.4337 Y WFD  3.2534e-02  5.387e-02    0  1.000 43.330  1.52 2.147e+04  99.0000 
OBS: 59783.3188 r WFD  5.7849e-03  1.276e-02    0  1.000 44.840  2.74 1.134e+04  99.0000 
OBS: 59788.4111 i WFD  1.1193e-02  1.896e-02    0  1.000 44.580  2.44 1.489e+04  99.0000 
OBS: 59790.3282 g WFD -1.1459e-02  7.414e-03    0  1.000 44.830  2.49 7.182e+03  99.0000 
OBS: 59796.4012 r WFD -1.7361e-02  1.894e-02    0  1.000 44.070  2.85 7.959e+03  99.0000 
OBS: 59800.2026 Y WFD -1.5620e-02  6.808e-02    0  1.000 43.280  1.87 2.106e+04  99.0000 
OBS: 59808.3141 i WFD -6.2774e-03  7.951e-03    0  1.000 46.370  1.51 5.246e+04  99.0000 
OBS: 59814.1730 r WFD -4.2054e-03  8.236e-03    0  1.000 44.820  1.68 1.172e+04  99.0000 
OBS: 59817.2245 r WFD  4.2885e-03  6.578e-03    0  1.000 44.850  1.42 1.138e+04  99.0000 
OBS: 59818.1680 u WFD  1.2292e-02  2.511e-02    0  1.000 41.150  2.00 1.018e+03  99.0000 
OBS: 59819.2263 u WFD  3.8216e-02  2.212e-02    0  1.000 42.010  2.70 1.467e+03  99.0000 
OBS: 59824.1313 i WFD  4.3981e-02  1.643e-02    0  1.000 44.560  1.89 1.635e+04  99.0000 
OBS: 59825.1215 z WFD -6.3408e-02  3.987e-02    0  1.000 44.220  2.49 2.202e+04  99.0000 
OBS: 59835.1424 Y WFD  5.0767e-02  4.275e-02    0  1.000 44.070  1.57 3.261e+04  99.0000 
OBS: 59837.1062 r WFD  1.5140e-02  7.988e-03    0  1.000 44.800  1.58 1.186e+04  99.0000 
OBS: 59839.1311 g WFD -7.4593e-03  5.453e-03    0  1.000 44.820  1.72 7.577e+03  99.0000 
OBS: 59855.0527 z WFD  5.2963e-02  2.798e-02    0  1.000 44.230  1.74 2.232e+04  99.0000 
OBS: 59856.0599 Y WFD -7.7767e-03  6.742e-02    0  1.000 43.270  1.92 2.013e+04  99.0000 
OBS: 59856.1348 i WFD -7.0673e-03  1.539e-02    0  1.000 44.610  1.59 1.906e+04  99.0000 
OBS: 59863.1837 z WFD -1.0645e-02  3.541e-02    0  1.000 44.280  1.52 3.386e+04  99.0000 
OBS: 59871.0121 Y WFD  1.0008e-01  5.373e-02    0  1.000 43.270  1.57 1.962e+04  99.0000 
OBS: 59871.9968 Y WFD -1.4721e-01  1.027e-01    0  1.000 42.530  1.52 1.959e+04  99.0000 
OBS: 59875.0868 u WFD  1.1150e-02  1.927e-02    0  1.000 41.310  1.71 1.059e+03  99.0000 
OBS: 59880.0537 r WFD -5.2238e-03  5.816e-03    0  1.000 44.850  1.26 1.134e+04  99.0000 
OBS: 59883.0146 Y WFD -6.8005e-02  5.702e-02    0  1.000 42.550  1.23 1.369e+04  99.0000 
OBS: 59895.1733 i WFD  6.9289e-02  4.233e-02    0  1.000 43.830  2.43 1.673e+04  99.0000 
OBS: 59905.1388 u WFD -1.1475e-02  4.075e-02    0  1.000 41.020  3.01 9.740e+02  99.0000 
OBS: 59922.0792 z WFD -2.9249e-02  1.726e-02    0  1.000 45.450  1.57 4.693e+04  99.0000 
OBS: 59926.0441 z WFD -3.1389e-02  3.289e-02    0  1.000 43.500  1.57 1.484e+04  99.0000 
OBS: 59926.0790 r WFD -1.2439e-05  7.961e-03    0  1.000 44.800  1.52 1.229e+04  99.0000 
OBS: 59931.0733 g WFD  4.3247e-03  4.634e-03    0  1.000 45.210  1.66 9.553e+03  99.0000 
OBS: 59932.0745 g WFD -1.2496e-02  8.502e-03    0  1.000 44.000  1.74 5.487e+03  99.0000 
OBS: 59944.0337 Y WFD  3.4232e-01  2.042e-01    0  1.000 42.540  1.99 3.003e+04  99.0000 
