SURVEY:   LSST
SNID:     1265236
IAUC:     NULL
SNTYPE:   110
RA:       17.194975  # deg
DEC:      -7.784347  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0482 +- 0.0024  # MW E(B-V) 
PEAKMJD:  60069.770     # estimate for LC fit codes
MJD_TRIGGER:       60101.430  
MJD_DETECT_FIRST:  60100.434  
MJD_DETECT_LAST:   60158.297  

REDSHIFT_HELIO:   1.429059 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.426539 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           10236    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.50963  
SIM_REDSHIFT_CMB:    1.50704  
SIM_REDSHIFT_HOST:   1.42906  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6129823074 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     1.007 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.261 -9.000 
SIM_DLMU:            45.2038   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0516   # mag 
SIM_RA:              17.194975     # deg  
SIM_DEC:             -7.784347      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0458   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60069.770    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.6710e-07 
SIM_SALT2x1:         -0.4257 
SIM_SALT2c:          0.1137 
SIM_SALT2mB:         26.2509 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -114.66  # days 
SIM_TRESTMAX:        239.85  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   39.32  34.31  30.96  27.79  26.46  25.84  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.3025 Y WFD -2.0957e-02  7.007e-02    0  1.000 43.710  2.50 2.410e+04  99.0000 
OBS: 59782.3772 i WFD  1.1890e-02  2.278e-02    0  1.000 44.590  2.78 1.585e+04  99.0000 
OBS: 59783.4024 r WFD -1.2516e-02  1.013e-02    0  1.000 44.850  2.09 1.190e+04  99.0000 
OBS: 59784.3181 r WFD  6.4217e-03  1.284e-02    0  1.000 44.810  2.64 1.152e+04  99.0000 
OBS: 59785.4339 z WFD  3.2203e-02  5.109e-02    0  1.000 43.510  2.44 1.497e+04  99.0000 
OBS: 59787.4164 i WFD -1.5842e-02  3.121e-02    0  1.000 43.830  2.89 1.037e+04  99.0000 
OBS: 59788.3629 i WFD  2.7348e-02  2.282e-02    0  1.000 44.580  2.97 1.472e+04  99.0000 
OBS: 59788.4334 z WFD  1.2754e-02  4.488e-02    0  1.000 43.510  2.11 1.521e+04  99.0000 
OBS: 59790.3872 g WFD  9.6595e-03  7.441e-03    0  1.000 44.830  2.49 7.207e+03  99.0000 
OBS: 59790.4342 z WFD  4.2223e-02  4.732e-02    0  1.000 44.270  2.33 2.925e+04  99.0000 
OBS: 59793.4305 z WFD -6.6080e-03  4.844e-02    0  1.000 43.510  2.31 1.500e+04  99.0000 
OBS: 59800.4315 Y WFD -1.3635e-02  8.911e-02    0  1.000 43.320  1.89 2.831e+04  99.0000 
OBS: 59812.2388 g WFD  5.4998e-03  8.201e-03    0  1.000 44.760  2.58 7.188e+03  99.0000 
OBS: 59818.3314 u WFD  1.3296e-02  1.853e-02    0  1.000 41.320  1.66 1.059e+03  99.0000 
OBS: 59819.2050 u WFD -9.5758e-03  4.273e-02    0  1.000 41.000  3.16 9.550e+02  99.0000 
OBS: 59823.4028 z WFD  1.7101e-03  3.196e-02    0  1.000 44.230  2.09 2.123e+04  99.0000 
OBS: 59824.1902 i WFD -1.2600e-02  1.713e-02    0  1.000 44.560  2.05 1.572e+04  99.0000 
OBS: 59826.4087 Y WFD -1.3539e-01  1.257e-01    0  1.000 42.500  2.34 1.516e+04  99.0000 
OBS: 59831.1854 Y WFD -1.8633e-02  3.804e-02    0  1.000 44.490  1.56 4.301e+04  99.0000 
OBS: 59832.1649 Y WFD  4.0563e-02  1.337e-01    0  1.000 42.530  1.87 2.073e+04  99.0000 
OBS: 59842.1559 r WFD -1.1400e-02  9.860e-03    0  1.000 44.790  1.98 1.158e+04  99.0000 
OBS: 59849.1505 r WFD  9.8258e-04  1.184e-02    0  1.000 44.830  2.46 1.161e+04  99.0000 
OBS: 59864.0593 Y WFD  1.8777e-01  1.127e-01    0  1.000 42.500  1.95 1.630e+04  99.0000 
OBS: 59864.2705 z WFD  3.7014e-02  3.465e-02    0  1.000 44.710  1.86 4.023e+04  99.0000 
OBS: 59869.1961 r WFD -3.9059e-04  6.952e-03    0  1.000 44.850  1.50 1.139e+04  99.0000 
OBS: 59873.0713 i WFD  1.4165e-02  1.389e-02    0  1.000 44.560  1.67 1.564e+04  99.0000 
OBS: 59875.1157 u WFD  1.2025e-02  1.558e-02    0  1.000 41.980  1.85 1.467e+03  99.0000 
OBS: 59876.1081 u WFD -8.7336e-03  1.661e-02    0  1.000 42.040  2.05 1.493e+03  99.0000 
OBS: 59880.0818 r WFD -9.1011e-03  6.182e-03    0  1.000 44.840  1.32 1.140e+04  99.0000 
