SURVEY:   LSST
SNID:     1265383
IAUC:     NULL
SNTYPE:   110
RA:       15.929726  # deg
DEC:      -18.156300  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0151 +- 0.0008  # MW E(B-V) 
PEAKMJD:  60682.281     # estimate for LC fit codes
MJD_TRIGGER:       60671.090  
MJD_DETECT_FIRST:  60659.039  
MJD_DETECT_LAST:   60673.043  

REDSHIFT_HELIO:   0.687764 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.686110 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7813361511  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6878  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          15.929759    # deg 
HOSTGAL_DEC:         -18.156267    # deg 
HOSTGAL_SNSEP:       0.076       # arcsec 
HOSTGAL_DDLR:        0.177       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.296 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.345
HOSTGAL_SQRADIUS:     13.666   # Ixx + Iyy
HOSTGAL_MAG:     23.10  22.94  22.34  21.55  21.33  21.13 # ugrizY
HOSTGAL_MAGERR:   0.03   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           10383    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.68776  
SIM_REDSHIFT_CMB:    0.68611  
SIM_REDSHIFT_HOST:   0.69432  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7813361511 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     1.305 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.296 -9.000 
SIM_DLMU:            43.0958   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0265   # mag 
SIM_RA:              15.929726     # deg  
SIM_DEC:             -18.156300      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0153   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60682.281    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.0723e-06 
SIM_SALT2x1:         -1.7287 
SIM_SALT2c:          -0.0956 
SIM_SALT2mB:         23.6766 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0548  # spectro-search efficiency 
SIM_TRESTMIN:        -533.76  # days 
SIM_TRESTMAX:        -5.47  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.41  25.18  23.56  23.28  23.47  23.41  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59782.3073 Y WFD -3.5222e-02  6.489e-02    0  1.000 43.740  2.47 2.322e+04  99.0000 
OBS: 59782.3708 i WFD -5.7232e-04  2.104e-02    0  1.000 44.590  2.70 1.507e+04  99.0000 
OBS: 59783.2859 r WFD -1.6940e-02  1.427e-02    0  1.000 44.780  2.93 1.122e+04  99.0000 
OBS: 59784.4108 r WFD -1.1296e-03  9.732e-03    0  1.000 44.110  1.57 7.703e+03  99.0000 
OBS: 59785.4394 z WFD -1.4691e-01  4.767e-02    0  1.000 44.280  2.62 2.645e+04  99.0000 
OBS: 59788.3686 i WFD -1.2838e-02  1.913e-02    0  1.000 44.590  2.61 1.417e+04  99.0000 
OBS: 59788.4384 z WFD -6.4659e-02  5.129e-02    0  1.000 43.520  1.99 1.860e+04  99.0000 
OBS: 59790.3462 g WFD -2.6094e-05  7.516e-03    0  1.000 44.830  2.65 6.840e+03  99.0000 
OBS: 59797.3947 g WFD  4.6896e-04  4.483e-03    0  1.000 45.600  2.25 9.765e+03  99.0000 
OBS: 59798.2831 z WFD -7.1561e-02  3.000e-02    0  1.000 44.250  2.08 2.039e+04  99.0000 
OBS: 59803.2095 Y WFD  9.9859e-02  1.093e-01    0  1.000 42.510  1.68 1.852e+04  99.0000 
OBS: 59808.2683 Y WFD -8.1928e-03  3.756e-02    0  1.000 43.770  1.36 2.509e+04  99.0000 
OBS: 59808.3930 i WFD  1.9502e-02  1.262e-02    0  1.000 45.390  1.50 3.399e+04  99.0000 
OBS: 59808.4232 z WFD  1.8168e-02  2.606e-02    0  1.000 44.260  1.40 2.656e+04  99.0000 
OBS: 59818.2675 u WFD -1.4196e-02  1.557e-02    0  1.000 41.970  1.88 1.429e+03  99.0000 
OBS: 59819.1924 u WFD -1.8706e-03  3.076e-02    0  1.000 41.100  2.43 9.803e+02  99.0000 
OBS: 59823.2199 g WFD  7.4656e-03  7.182e-03    0  1.000 44.810  2.45 6.941e+03  99.0000 
OBS: 59824.1867 i WFD -7.7181e-03  1.505e-02    0  1.000 44.570  1.88 1.520e+04  99.0000 
OBS: 59825.1757 z WFD -3.6236e-02  3.076e-02    0  1.000 44.230  2.03 2.103e+04  99.0000 
OBS: 59826.1696 z WFD -1.9156e-02  3.276e-02    0  1.000 44.230  2.10 2.166e+04  99.0000 
OBS: 59836.1937 Y WFD -7.4772e-02  4.046e-02    0  1.000 43.770  1.43 2.571e+04  99.0000 
OBS: 59844.1957 r WFD  4.2057e-03  6.321e-03    0  1.000 44.850  1.41 1.101e+04  99.0000 
OBS: 59849.1713 r WFD -9.8575e-03  1.116e-02    0  1.000 44.840  2.47 1.100e+04  99.0000 
OBS: 59851.1725 u WFD  9.4100e-03  3.166e-02    0  1.000 41.230  2.74 1.009e+03  99.0000 
OBS: 59854.1351 Y WFD  2.1103e-02  7.656e-02    0  1.000 42.550  1.72 1.315e+04  99.0000 
OBS: 59856.0719 Y WFD  2.5613e-04  1.006e-01    0  1.000 42.510  1.98 1.447e+04  99.0000 
OBS: 59856.1421 i WFD  8.6767e-03  1.533e-02    0  1.000 44.610  1.65 1.830e+04  99.0000 
OBS: 59863.2767 z WFD  3.3933e-02  2.729e-02    0  1.000 45.030  1.52 5.207e+04  99.0000 
OBS: 59868.2234 r WFD -1.4818e-02  9.667e-03    0  1.000 44.900  1.71 1.454e+04  99.0000 
OBS: 59876.0125 z WFD  4.7989e-02  5.226e-02    0  1.000 43.460  2.31 1.545e+04  99.0000 
OBS: 59877.0760 u WFD -3.2466e-03  1.577e-02    0  1.000 41.340  1.43 1.066e+03  99.0000 
OBS: 59880.0652 r WFD  1.1326e-03  5.697e-03    0  1.000 44.830  1.25 1.099e+04  99.0000 
OBS: 59885.0264 Y WFD  6.3781e-02  6.987e-02    0  1.000 42.550  1.48 1.395e+04  99.0000 
OBS: 59895.2181 i WFD -6.0769e-05  3.052e-02    0  1.000 44.590  2.52 2.342e+04  99.0000 
OBS: 59904.0251 z WFD  9.0708e-04  2.094e-02    0  1.000 45.020  1.59 3.783e+04  99.0000 
OBS: 59910.0862 g WFD  7.8823e-03  4.843e-03    0  1.000 44.850  1.69 7.039e+03  99.0000 
OBS: 59923.1073 i WFD -6.0526e-03  1.362e-02    0  1.000 45.380  1.56 3.496e+04  99.0000 
