SURVEY:   LSST
SNID:     1265929
IAUC:     NULL
SNTYPE:   110
RA:       165.631380  # deg
DEC:      -39.604781  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1251 +- 0.0063  # MW E(B-V) 
PEAKMJD:  59991.910     # estimate for LC fit codes
MJD_TRIGGER:       59972.148  
MJD_DETECT_FIRST:  59956.223  
MJD_DETECT_LAST:   60131.969  

REDSHIFT_HELIO:   1.378864 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.381335 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           10929    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.35351  
SIM_REDSHIFT_CMB:    1.35596  
SIM_REDSHIFT_HOST:   1.37886  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10563657024 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.430 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.231 -9.000 
SIM_DLMU:            44.9160   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0454   # mag 
SIM_RA:              165.631378     # deg  
SIM_DEC:             -39.604782      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1267   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59991.910    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.4237e-06 
SIM_SALT2x1:         0.5156 
SIM_SALT2c:          -0.0733 
SIM_SALT2mB:         25.2515 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -170.24  # days 
SIM_TRESTMAX:        289.50  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.04  30.01  27.36  25.70  25.00  24.55  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59591.2564 Y WFD  1.5274e-02  6.532e-02    0  1.000 42.570  1.51 1.302e+04  99.0000 
OBS: 59594.2091 Y WFD  1.4176e-01  8.098e-02    0  1.000 42.540  1.63 1.454e+04  99.0000 
OBS: 59597.2120 Y WFD  6.7874e-02  1.337e-01    0  1.000 42.560  2.55 1.563e+04  99.0000 
OBS: 59602.3374 i WFD -4.0844e-02  1.711e-02    0  1.000 45.400  2.15 3.246e+04  99.0000 
OBS: 59607.2513 g WFD -3.0528e-03  6.142e-03    0  1.000 44.820  2.24 6.552e+03  99.0000 
OBS: 59608.3773 z WFD -3.5302e-02  3.978e-02    0  1.000 44.270  2.28 2.512e+04  99.0000 
OBS: 59615.3824 z WFD  6.0079e-02  5.791e-02    0  1.000 43.510  2.31 1.793e+04  99.0000 
OBS: 59628.3245 z WFD -1.6709e-02  3.058e-02    0  1.000 44.280  1.45 3.065e+04  99.0000 
OBS: 59652.0553 Y WFD -1.2991e-03  1.352e-01    0  1.000 42.530  2.75 1.426e+04  99.0000 
OBS: 59653.0552 Y WFD -5.3779e-02  1.155e-01    0  1.000 42.540  2.31 1.464e+04  99.0000 
OBS: 59656.0474 z WFD -2.3745e-02  4.362e-02    0  1.000 44.270  1.81 3.471e+04  99.0000 
OBS: 59682.0187 Y WFD  6.2633e-02  4.160e-02    0  1.000 43.330  1.25 2.017e+04  99.0000 
OBS: 59683.0552 Y WFD  5.4072e-03  3.869e-02    0  1.000 43.340  1.15 2.057e+04  99.0000 
OBS: 59684.1093 Y WFD  1.1488e-02  6.094e-02    0  1.000 42.610  1.20 1.585e+04  99.0000 
OBS: 59686.1802 Y WFD -5.1855e-02  4.835e-02    0  1.000 44.070  1.69 3.427e+04  99.0000 
OBS: 59687.0978 z WFD  3.6472e-03  2.883e-02    0  1.000 44.290  1.49 2.838e+04  99.0000 
OBS: 59695.9744 z WFD  2.0467e-02  2.740e-02    0  1.000 44.260  1.86 2.102e+04  99.0000 
OBS: 59709.0383 i WFD  2.0107e-02  1.453e-02    0  1.000 44.620  1.61 1.794e+04  99.0000 
OBS: 59710.0931 i WFD -5.4380e-03  1.492e-02    0  1.000 45.370  1.92 3.081e+04  99.0000 
OBS: 59713.0870 Y WFD  6.2088e-02  7.322e-02    0  1.000 42.580  1.45 1.533e+04  99.0000 
OBS: 59718.1345 i WFD  2.7324e-03  2.487e-02    0  1.000 44.590  2.08 2.312e+04  99.0000 
OBS: 59728.9689 z WFD  3.0090e-02  2.922e-02    0  1.000 43.510  1.58 1.322e+04  99.0000 
OBS: 59769.0136 z WFD  8.6146e-02  4.782e-02    0  1.000 43.480  1.87 1.779e+04  99.0000 
OBS: 59770.9959 z WFD -8.6838e-03  3.307e-02    0  1.000 44.250  1.79 2.612e+04  99.0000 
OBS: 59777.9639 z WFD -4.4573e-02  3.866e-02    0  1.000 44.250  2.30 2.376e+04  99.0000 
OBS: 59905.3497 z WFD  3.1631e-03  5.433e-02    0  1.000 43.490  2.20 1.734e+04  99.0000 
OBS: 59916.3144 i WFD  1.1995e-02  1.016e-02    0  1.000 45.310  1.71 2.230e+04  99.0000 
OBS: 59918.3273 Y WFD  2.5624e-02  7.063e-02    0  1.000 42.530  1.52 1.347e+04  99.0000 
OBS: 59924.3545 Y WFD -7.7790e-04  6.966e-02    0  1.000 43.350  1.35 3.185e+04  99.0000 
