SURVEY:   LSST
SNID:     1266401
IAUC:     NULL
SNTYPE:   110
RA:       52.600946  # deg
DEC:      0.279596  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0955 +- 0.0048  # MW E(B-V) 
PEAKMJD:  60553.906     # estimate for LC fit codes
MJD_TRIGGER:       60531.430  
MJD_DETECT_FIRST:  60528.434  
MJD_DETECT_LAST:   60653.047  

REDSHIFT_HELIO:   1.505104 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.503790 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8757835050  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5051  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          52.600695    # deg 
HOSTGAL_DEC:         0.279825    # deg 
HOSTGAL_SNSEP:       0.541       # arcsec 
HOSTGAL_DDLR:        3.276       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.149 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.385
HOSTGAL_SQRADIUS:     7.828   # Ixx + Iyy
HOSTGAL_MAG:     25.64  25.41  25.28  25.20  24.91  24.72 # ugrizY
HOSTGAL_MAGERR:   0.27   0.03   0.03   0.05   0.06   0.12 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           11401    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.50510  
SIM_REDSHIFT_CMB:    1.50379  
SIM_REDSHIFT_HOST:   1.46422  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8757835050 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.227 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.149 -9.000 
SIM_DLMU:            45.1970   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0021   # mag 
SIM_RA:              52.600945     # deg  
SIM_DEC:             0.279596      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1062   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60553.906    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.0087e-07 
SIM_SALT2x1:         -2.0151 
SIM_SALT2c:          -0.0301 
SIM_SALT2mB:         26.0209 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -292.58  # days 
SIM_TRESTMAX:        46.41  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.88  32.91  30.73  27.13  25.98  25.53  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 142 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59821.3409 r WFD  1.3215e-02  1.323e-02    0  1.000 44.810  2.72 1.152e+04  99.0000 
OBS: 59821.4089 z WFD  1.4394e-02  4.016e-02    0  1.000 43.490  1.95 1.446e+04  99.0000 
OBS: 59822.3656 i WFD -4.4617e-03  1.360e-02    0  1.000 45.320  2.40 2.147e+04  99.0000 
OBS: 59824.3261 i WFD  1.3895e-02  1.418e-02    0  1.000 44.570  1.73 1.556e+04  99.0000 
OBS: 59825.4152 Y WFD  9.1029e-02  1.034e-01    0  1.000 43.320  2.38 2.609e+04  99.0000 
OBS: 59827.3194 z WFD -3.4043e-02  3.350e-02    0  1.000 43.480  1.58 1.475e+04  99.0000 
OBS: 59832.3691 Y WFD  4.6443e-02  4.384e-02    0  1.000 44.070  1.66 3.163e+04  99.0000 
OBS: 59840.2905 r WFD -9.1849e-03  1.029e-02    0  1.000 44.840  1.71 1.465e+04  99.0000 
OBS: 59840.3978 z WFD -4.4349e-02  3.388e-02    0  1.000 44.260  1.72 2.810e+04  99.0000 
OBS: 59841.3938 z WFD  2.6113e-03  3.864e-02    0  1.000 43.500  1.81 1.513e+04  99.0000 
OBS: 59842.3927 z WFD  3.7127e-02  4.157e-02    0  1.000 43.500  1.96 1.503e+04  99.0000 
OBS: 59844.3650 r WFD -2.5874e-03  8.340e-03    0  1.000 44.820  1.78 1.120e+04  99.0000 
OBS: 59845.3740 r WFD -1.2262e-02  7.970e-03    0  1.000 44.820  1.69 1.127e+04  99.0000 
OBS: 59845.3935 z WFD  2.7303e-02  3.072e-02    0  1.000 44.250  1.67 2.600e+04  99.0000 
OBS: 59850.3882 z WFD  3.0562e-02  5.408e-02    0  1.000 43.490  2.41 1.575e+04  99.0000 
OBS: 59851.2417 u WFD -2.1390e-02  1.932e-02    0  1.000 42.240  2.56 1.670e+03  99.0000 
OBS: 59853.3867 z WFD -2.6378e-02  3.667e-02    0  1.000 43.490  1.59 1.619e+04  99.0000 
OBS: 59854.3872 z WFD -1.2068e-01  4.445e-02    0  1.000 43.490  1.83 1.705e+04  99.0000 
OBS: 59857.2371 Y WFD  1.8144e-02  4.565e-02    0  1.000 43.720  1.63 2.430e+04  99.0000 
OBS: 59858.2481 z WFD -7.7384e-02  3.361e-02    0  1.000 44.250  2.00 2.376e+04  99.0000 
OBS: 59859.2795 Y WFD  3.7650e-02  9.432e-02    0  1.000 42.560  1.95 1.442e+04  99.0000 
OBS: 59860.2437 Y WFD  1.0226e-01  6.589e-02    0  1.000 43.300  1.72 2.258e+04  99.0000 
OBS: 59861.2100 Y WFD  5.3239e-02  1.135e-01    0  1.000 42.530  1.81 1.819e+04  99.0000 
OBS: 59867.3298 i WFD  8.6774e-03  1.886e-02    0  1.000 45.050  1.82 3.062e+04  99.0000 
OBS: 59868.2181 r WFD  2.0240e-03  1.570e-02    0  1.000 44.100  1.68 1.151e+04  99.0000 
OBS: 59871.3214 g WFD -1.8432e-03  6.721e-03    0  1.000 44.060  1.37 5.822e+03  99.0000 
OBS: 59873.2465 g WFD -7.1161e-03  4.811e-03    0  1.000 44.800  1.58 7.144e+03  99.0000 
OBS: 59878.1959 i WFD  1.7330e-02  1.109e-02    0  1.000 44.570  1.38 1.526e+04  99.0000 
OBS: 59879.1614 g WFD  1.3850e-03  4.921e-03    0  1.000 44.750  1.53 7.207e+03  99.0000 
OBS: 59883.1770 i WFD -5.7758e-03  1.121e-02    0  1.000 44.570  1.34 1.588e+04  99.0000 
OBS: 59901.1657 r WFD -2.1205e-03  7.299e-03    0  1.000 45.580  2.20 1.597e+04  99.0000 
OBS: 59904.0990 u WFD  2.5843e-03  3.537e-02    0  1.000 41.100  2.75 9.961e+02  99.0000 
OBS: 59905.1441 u WFD -2.2437e-02  3.034e-02    0  1.000 41.170  2.50 1.002e+03  99.0000 
OBS: 59917.0571 z WFD -4.0313e-02  2.427e-02    0  1.000 45.440  1.89 5.433e+04  99.0000 
OBS: 59921.1993 z WFD -7.3238e-02  4.488e-02    0  1.000 44.700  1.91 5.028e+04  99.0000 
OBS: 59922.1136 z WFD  5.6098e-02  3.101e-02    0  1.000 44.270  1.31 3.409e+04  99.0000 
OBS: 59927.1969 r WFD  1.6869e-02  1.403e-02    0  1.000 44.840  1.98 1.724e+04  99.0000 
