SURVEY:   LSST
SNID:     1267115
IAUC:     NULL
SNTYPE:   110
RA:       51.090595  # deg
DEC:      -31.599557  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0098 +- 0.0005  # MW E(B-V) 
PEAKMJD:  59605.898     # estimate for LC fit codes
MJD_TRIGGER:       59821.332  
MJD_DETECT_FIRST:  59820.363  
MJD_DETECT_LAST:   59926.156  

REDSHIFT_HELIO:   1.577824 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.576811 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5943922100  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5778  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          51.090901    # deg 
HOSTGAL_DEC:         -31.599444    # deg 
HOSTGAL_SNSEP:       0.494       # arcsec 
HOSTGAL_DDLR:        2.067       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.516 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.544
HOSTGAL_SQRADIUS:     11.385   # Ixx + Iyy
HOSTGAL_MAG:     26.37  26.23  25.99  25.17  24.50  24.01 # ugrizY
HOSTGAL_MAGERR:   0.36   0.12   0.08   0.06   0.06   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           12115    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.57782  
SIM_REDSHIFT_CMB:    1.57682  
SIM_REDSHIFT_HOST:   1.64240  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5943922100 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.115 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.516 -9.000 
SIM_DLMU:            45.3237   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0293   # mag 
SIM_RA:              51.090595     # deg  
SIM_DEC:             -31.599558      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0097   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59605.898    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.5380e-07 
SIM_SALT2x1:         -1.8926 
SIM_SALT2c:          -0.1345 
SIM_SALT2mB:         25.8066 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        83.19  # days 
SIM_TRESTMAX:        414.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.33  31.40  29.87  26.49  25.51  25.25  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59820.2583 u WFD -2.6549e-03  2.631e-02    0  1.000 41.030  2.02 9.455e+02  99.0000 
OBS: 59820.3647 i WFD  1.5604e-01  1.761e-02 4096  1.000 43.840  1.75 9.752e+03  29.4875 
OBS: 59821.3326 r WFD  1.1979e-01  1.016e-02 6144  1.000 44.830  2.38 1.029e+04  29.8521 
OBS: 59823.2973 g WFD -5.0017e-03  6.811e-03    0  1.000 44.780  2.44 6.429e+03  99.0000 
OBS: 59824.2458 i WFD  1.4607e-01  1.565e-02 4096  1.000 44.550  1.89 1.544e+04  29.5230 
OBS: 59825.3387 g WFD  4.5183e-03  6.725e-03    0  1.000 44.810  2.51 6.344e+03  99.0000 
OBS: 59827.2883 z WFD  8.6008e-02  1.118e-02 4096  1.000 45.880  1.64 4.323e+04  30.2530 
OBS: 59835.2564 Y WFD  1.1453e-01  3.921e-02    0  1.000 44.050  1.49 3.095e+04  29.8974 
OBS: 59836.2340 Y WFD  9.7196e-02  3.617e-02    0  1.000 44.490  1.72 3.708e+04  29.9054 
OBS: 59836.3589 z WFD  7.2376e-02  1.985e-02    0  1.000 45.040  1.66 3.500e+04  30.3353 
OBS: 59840.2238 g WFD -4.9398e-03  5.430e-03    0  1.000 44.720  1.84 6.432e+03  99.0000 
OBS: 59840.2834 r WFD  1.0684e-01  4.908e-03 4096  1.000 45.850  1.58 1.917e+04  30.0242 
OBS: 59843.2073 i WFD  1.3656e-01  1.495e-02 4096  1.000 44.550  1.85 1.507e+04  29.6948 
OBS: 59844.2743 r WFD  1.0355e-01  6.718e-03 4096  1.000 44.840  1.59 1.028e+04  30.0602 
OBS: 59849.2122 r WFD  6.4198e-02  1.124e-02 4096  1.000 44.810  2.51 1.061e+04  30.1045 
OBS: 59851.2131 u WFD -5.1749e-03  1.717e-02    0  1.000 42.340  2.51 1.660e+03  99.0000 
OBS: 59856.2128 i WFD  1.5249e-01  1.676e-02 4096  1.000 44.600  1.88 1.740e+04  29.8112 
OBS: 59857.2603 i WFD  8.8382e-02  1.446e-02 4096  1.000 44.620  1.54 1.866e+04  29.8206 
OBS: 59859.1731 Y WFD  1.6026e-01  8.282e-02    0  1.000 42.540  1.64 1.478e+04  30.0932 
OBS: 59861.1494 Y WFD  1.5464e-01  8.569e-02    0  1.000 43.280  1.99 2.492e+04  30.1092 
OBS: 59862.1473 z WFD  2.2147e-02  3.842e-02    0  1.000 44.260  1.52 3.607e+04  30.5662 
OBS: 59866.2464 i WFD  1.2737e-01  1.172e-02 4096  1.000 45.820  1.80 3.908e+04  29.9003 
OBS: 59867.2106 r WFD  7.6325e-02  1.193e-02    0  1.000 44.910  1.64 1.889e+04  30.2646 
OBS: 59868.1401 r WFD  8.2771e-02  7.325e-03 4096  1.000 44.780  1.56 1.081e+04  30.2728 
OBS: 59877.1437 r WFD  7.2280e-02  6.762e-03 4096  1.000 44.820  1.53 1.056e+04  30.3520 
OBS: 59887.1814 i WFD  8.4357e-02  1.079e-02 4096  1.000 45.400  1.39 3.166e+04  30.0840 
OBS: 59904.0718 u WFD -2.1872e-02  2.798e-02    0  1.000 41.150  2.36 9.613e+02  99.0000 
OBS: 59908.0277 z WFD  1.4822e-02  4.824e-02    0  1.000 44.240  2.67 2.531e+04  30.9665 
OBS: 59909.0311 z WFD  5.0386e-02  3.058e-02    0  1.000 44.250  1.79 2.415e+04  30.9751 
OBS: 59914.0400 Y WFD  5.6010e-03  5.856e-02    0  1.000 43.300  1.78 1.939e+04  30.5321 
OBS: 59914.2122 r WFD  5.4280e-02  9.052e-03 4096  1.000 44.890  1.67 1.382e+04  30.6729 
OBS: 59915.0507 z WFD  6.4284e-02  2.749e-02    0  1.000 44.260  1.76 2.229e+04  31.0266 
OBS: 59923.1444 i WFD  7.4191e-02  2.688e-02    0  1.000 43.890  1.50 1.818e+04  30.3933 
OBS: 59926.1571 r WFD  5.7160e-02  8.001e-03 4096  1.000 44.910  1.33 1.562e+04  30.7746 
OBS: 59932.1189 g WFD  2.1654e-03  3.232e-03    0  1.000 44.840  1.24 6.344e+03  99.0000 
OBS: 59946.1991 i WFD  7.6224e-02  2.886e-02    0  1.000 44.590  2.22 2.514e+04  30.5876 
