SURVEY:   LSST
SNID:     1268193
IAUC:     NULL
SNTYPE:   110
RA:       111.637356  # deg
DEC:      -30.199137  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1944 +- 0.0097  # MW E(B-V) 
PEAKMJD:  60598.047     # estimate for LC fit codes
MJD_TRIGGER:       60585.332  
MJD_DETECT_FIRST:  60582.367  
MJD_DETECT_LAST:   60674.168  

REDSHIFT_HELIO:   0.583261 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.584310 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6063050775  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5833  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          111.636971    # deg 
HOSTGAL_DEC:         -30.199058    # deg 
HOSTGAL_SNSEP:       0.594       # arcsec 
HOSTGAL_DDLR:        0.837       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.748 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     1.006
HOSTGAL_SQRADIUS:     48.339   # Ixx + Iyy
HOSTGAL_MAG:     25.14  24.37  23.26  22.57  22.24  22.00 # ugrizY
HOSTGAL_MAGERR:   0.09   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           13193    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.58326  
SIM_REDSHIFT_CMB:    0.58431  
SIM_REDSHIFT_HOST:   0.59775  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6063050775 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.147 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.748 -9.000 
SIM_DLMU:            42.6678   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0376   # mag 
SIM_RA:              111.637352     # deg  
SIM_DEC:             -30.199137      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2014   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60598.047    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.7603e-06 
SIM_SALT2x1:         -0.4182 
SIM_SALT2c:          -0.0266 
SIM_SALT2mB:         23.2787 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0455  # spectro-search efficiency 
SIM_TRESTMIN:        -641.53  # days 
SIM_TRESTMAX:        48.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.63  25.10  23.54  23.35  23.29  23.35  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 156 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.3409 u WFD  2.0827e-03  3.141e-02    0  1.000 41.190  2.58 1.025e+03  99.0000 
OBS: 59583.2919 u WFD -1.0286e-02  2.091e-02    0  1.000 41.260  1.89 9.930e+02  99.0000 
OBS: 59583.3534 z WFD -1.0805e-02  3.077e-02    0  1.000 44.670  2.23 2.872e+04  99.0000 
OBS: 59584.3578 z WFD  2.2653e-02  5.278e-02    0  1.000 43.480  2.08 1.765e+04  99.0000 
OBS: 59585.3664 z WFD -1.5005e-01  7.294e-02    0  1.000 43.490  1.76 2.910e+04  99.0000 
OBS: 59589.0679 Y WFD -7.9678e-03  8.376e-02    0  1.000 42.510  1.70 1.403e+04  99.0000 
OBS: 59594.0799 Y WFD  9.3635e-03  5.067e-02    0  1.000 43.750  1.76 2.568e+04  99.0000 
OBS: 59600.0480 z WFD -5.9417e-03  2.951e-02    0  1.000 44.240  1.90 2.176e+04  99.0000 
OBS: 59601.2961 i WFD  1.5021e-02  1.295e-02    0  1.000 45.960  2.02 4.379e+04  99.0000 
OBS: 59602.0478 Y WFD  1.1841e-02  9.697e-02    0  1.000 42.550  2.09 1.371e+04  99.0000 
OBS: 59625.0220 Y WFD -1.6625e-01  1.094e-01    0  1.000 42.590  1.68 1.995e+04  99.0000 
OBS: 59634.1000 r WFD  1.7639e-02  6.829e-03    0  1.000 44.840  1.65 1.008e+04  99.0000 
OBS: 59636.0218 z WFD -1.9721e-02  2.443e-02    0  1.000 44.700  1.96 2.668e+04  99.0000 
OBS: 59655.0530 Y WFD  5.1620e-02  8.026e-02    0  1.000 42.600  1.71 1.452e+04  99.0000 
OBS: 59682.0880 Y WFD  5.7240e-02  4.862e-02    0  1.000 43.280  1.34 2.099e+04  99.0000 
OBS: 59684.0929 Y WFD  6.2361e-02  8.421e-02    0  1.000 42.500  1.51 1.573e+04  99.0000 
OBS: 59691.9810 z WFD  4.7876e-02  3.587e-02    0  1.000 43.500  1.89 1.345e+04  99.0000 
OBS: 59693.9731 Y WFD  6.3512e-02  9.017e-02    0  1.000 42.570  2.02 1.343e+04  99.0000 
OBS: 59701.9701 z WFD -9.7328e-02  3.739e-02    0  1.000 43.500  1.87 1.417e+04  99.0000 
OBS: 59702.9688 z WFD -1.3426e-03  3.061e-02    0  1.000 43.500  1.51 1.436e+04  99.0000 
OBS: 59712.9948 Y WFD -5.8618e-02  7.340e-02    0  1.000 43.280  1.95 2.178e+04  99.0000 
OBS: 59850.3595 g WFD -8.4245e-04  8.810e-03    0  1.000 44.740  2.89 6.767e+03  99.0000 
OBS: 59851.3403 u WFD  1.4702e-02  2.734e-02    0  1.000 41.110  2.18 9.803e+02  99.0000 
OBS: 59859.3605 i WFD -1.8415e-02  2.228e-02    0  1.000 43.850  1.49 1.463e+04  99.0000 
OBS: 59860.3122 Y WFD -1.6620e-01  9.332e-02    0  1.000 42.520  1.74 1.541e+04  99.0000 
OBS: 59861.3118 Y WFD -3.8828e-02  8.309e-02    0  1.000 42.520  1.52 1.571e+04  99.0000 
OBS: 59871.3461 g WFD -2.6576e-04  5.339e-03    0  1.000 44.900  1.55 8.861e+03  99.0000 
OBS: 59874.2881 u WFD -1.0269e-02  1.839e-02    0  1.000 41.860  2.09 1.372e+03  99.0000 
OBS: 59874.3717 z WFD  1.3813e-02  4.050e-02    0  1.000 43.530  1.73 1.705e+04  99.0000 
OBS: 59876.3746 z WFD  8.4918e-02  5.517e-02    0  1.000 43.540  1.69 2.400e+04  99.0000 
OBS: 59879.3631 z WFD -2.9225e-02  3.243e-02    0  1.000 43.520  1.63 1.436e+04  99.0000 
OBS: 59884.3344 r WFD  6.5648e-03  7.176e-03    0  1.000 44.080  1.20 7.229e+03  99.0000 
OBS: 59887.3415 r WFD -1.6121e-02  9.759e-03    0  1.000 44.100  1.66 7.238e+03  99.0000 
OBS: 59895.3314 i WFD  4.7860e-02  2.065e-02    0  1.000 44.640  1.78 2.350e+04  99.0000 
OBS: 59899.2150 i WFD  4.0855e-02  2.220e-02    0  1.000 44.550  2.72 1.521e+04  99.0000 
OBS: 59901.2554 r WFD  1.0280e-02  1.238e-02    0  1.000 44.810  2.83 1.036e+04  99.0000 
OBS: 59905.1902 u WFD  1.9506e-02  3.103e-02    0  1.000 41.010  2.37 9.329e+02  99.0000 
