SURVEY:   LSST
SNID:     1269475
IAUC:     NULL
SNTYPE:   110
RA:       119.626031  # deg
DEC:      -60.984545  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1784 +- 0.0089  # MW E(B-V) 
PEAKMJD:  59783.426     # estimate for LC fit codes
MJD_TRIGGER:       59853.371  
MJD_DETECT_FIRST:  59842.375  
MJD_DETECT_LAST:   60262.250  

REDSHIFT_HELIO:   0.587038 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.587872 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           14475    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.59675  
SIM_REDSHIFT_CMB:    0.59758  
SIM_REDSHIFT_HOST:   0.58704  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7875533174 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.580 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.356 -9.000 
SIM_DLMU:            42.7272   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0085   # mag 
SIM_RA:              119.626030     # deg  
SIM_DEC:             -60.984547      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1701   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59783.426    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.0474e-05 
SIM_SALT2x1:         1.0728 
SIM_SALT2c:          -0.0411 
SIM_SALT2mB:         23.0847 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0859  # spectro-search efficiency 
SIM_TRESTMIN:        -125.93  # days 
SIM_TRESTMAX:        557.22  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   27.63  24.73  23.26  23.12  23.08  23.12  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 137 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.3467 z WFD  6.3902e-02  5.709e-02    0  1.000 43.480  2.72 1.460e+04  99.0000 
OBS: 59584.1680 u WFD -8.6399e-03  3.243e-02    0  1.000 41.130  2.73 9.455e+02  99.0000 
OBS: 59590.1569 Y WFD  5.8217e-03  7.305e-02    0  1.000 42.550  1.61 1.340e+04  99.0000 
OBS: 59592.3566 z WFD -4.0321e-03  3.032e-02    0  1.000 44.230  1.84 2.287e+04  99.0000 
OBS: 59595.2988 Y WFD -4.8107e-02  9.041e-02    0  1.000 42.560  1.84 1.465e+04  99.0000 
OBS: 59596.0725 Y WFD  8.6804e-03  8.752e-02    0  1.000 42.520  1.62 1.552e+04  99.0000 
OBS: 59601.2787 i WFD  3.2294e-02  1.784e-02    0  1.000 45.350  2.20 3.158e+04  99.0000 
OBS: 59606.0322 Y WFD  2.6585e-01  1.925e-01    0  1.000 42.530  2.58 2.164e+04  99.0000 
OBS: 59609.0369 z WFD  5.4269e-02  3.826e-02    0  1.000 44.240  2.03 2.641e+04  99.0000 
OBS: 59631.1308 r WFD  2.0259e-02  1.785e-02    0  1.000 44.170  1.60 1.465e+04  99.0000 
OBS: 59640.0214 z WFD -6.8132e-02  3.941e-02    0  1.000 43.490  1.95 1.419e+04  99.0000 
OBS: 59650.1598 r WFD  8.1761e-03  1.804e-02    0  1.000 44.860  2.74 1.633e+04  99.0000 
OBS: 59655.0571 Y WFD  1.3405e-01  9.897e-02    0  1.000 42.560  2.00 1.475e+04  99.0000 
OBS: 59656.0776 z WFD -9.4380e-02  3.980e-02    0  1.000 44.260  2.06 2.757e+04  99.0000 
OBS: 59659.1331 i WFD  2.9710e-02  1.862e-02    0  1.000 45.360  2.14 3.420e+04  99.0000 
OBS: 59669.9934 z WFD -6.2700e-03  3.308e-02    0  1.000 44.250  2.32 2.016e+04  99.0000 
OBS: 59675.9837 Y WFD -2.4863e-01  1.273e-01    0  1.000 42.580  2.62 1.475e+04  99.0000 
OBS: 59681.9728 Y WFD -1.3825e-01  1.284e-01    0  1.000 42.580  1.74 2.240e+04  99.0000 
OBS: 59683.9741 Y WFD  6.7575e-02  8.615e-02    0  1.000 42.570  1.39 1.865e+04  99.0000 
OBS: 59686.0248 Y WFD -1.3559e-02  7.832e-02    0  1.000 42.560  1.53 1.526e+04  99.0000 
OBS: 59687.0611 z WFD -5.4477e-02  3.461e-02    0  1.000 44.250  1.78 2.749e+04  99.0000 
OBS: 59694.9642 Y WFD  1.2477e-01  1.230e-01    0  1.000 42.570  1.72 2.151e+04  99.0000 
OBS: 59709.9563 Y WFD -8.8996e-02  1.365e-01    0  1.000 42.570  1.85 2.220e+04  99.0000 
OBS: 59713.9789 Y WFD  1.6080e-01  1.293e-01    0  1.000 42.540  2.49 1.519e+04  99.0000 
OBS: 59842.3754 r WFD  3.0619e+00  1.154e-02 4096  1.000 44.770  2.24 1.174e+04  26.2887 
OBS: 59853.3724 g WFD  2.4738e-01  9.358e-03 6144  1.000 43.960  2.14 4.731e+03  29.0248 
OBS: 59857.3449 r WFD  2.2911e+00  8.876e-03 4096  1.000 44.760  1.83 1.095e+04  26.6013 
OBS: 59861.3171 Y WFD  9.7208e+00  9.277e-02 4096  1.000 42.500  1.64 1.595e+04  25.0382 
OBS: 59864.3697 z WFD  8.4702e+00  2.616e-02 4096  1.000 45.010  1.87 3.980e+04  25.1822 
