SURVEY:   LSST
SNID:     1269719
IAUC:     NULL
SNTYPE:   110
RA:       288.734598  # deg
DEC:      -56.244385  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0499 +- 0.0025  # MW E(B-V) 
PEAKMJD:  60212.250     # estimate for LC fit codes
MJD_TRIGGER:       60222.047  
MJD_DETECT_FIRST:  60196.055  
MJD_DETECT_LAST:   60534.023  

REDSHIFT_HELIO:   1.138395 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.137916 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8815287189  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1384  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          288.734572    # deg 
HOSTGAL_DEC:         -56.244416    # deg 
HOSTGAL_SNSEP:       0.069       # arcsec 
HOSTGAL_DDLR:        0.709       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.552 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.248
HOSTGAL_SQRADIUS:     9.775   # Ixx + Iyy
HOSTGAL_MAG:     24.48  24.64  24.39  24.08  23.48  23.31 # ugrizY
HOSTGAL_MAGERR:   0.12   0.02   0.02   0.02   0.02   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           14719    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.13840  
SIM_REDSHIFT_CMB:    1.13792  
SIM_REDSHIFT_HOST:   1.18897  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8815287189 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.241 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.552 -9.000 
SIM_DLMU:            44.4478   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0044   # mag 
SIM_RA:              288.734589     # deg  
SIM_DEC:             -56.244385      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0495   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60212.250    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.9238e-06 
SIM_SALT2x1:         -0.1535 
SIM_SALT2c:          -0.0580 
SIM_SALT2mB:         24.9246 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -241.32  # days 
SIM_TRESTMAX:        186.08  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.48  29.02  26.08  24.94  24.24  24.33  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59696.3337 i WFD  2.2613e-03  1.390e-02    0  1.000 44.580  1.82 1.463e+04  99.0000 
OBS: 59696.4207 z WFD  9.5657e-03  3.312e-02    0  1.000 44.710  2.12 3.374e+04  99.0000 
OBS: 59699.2976 i WFD -1.0455e-02  1.449e-02    0  1.000 44.570  1.83 1.503e+04  99.0000 
OBS: 59700.2694 u WFD -3.8475e-02  2.020e-02    0  1.000 41.150  1.65 9.930e+02  99.0000 
OBS: 59700.4239 z WFD  4.8568e-02  3.251e-02    0  1.000 44.270  1.49 3.142e+04  99.0000 
OBS: 59702.4240 z WFD -2.8386e-02  3.972e-02    0  1.000 44.270  1.83 3.126e+04  99.0000 
OBS: 59704.4188 z WFD  3.2867e-03  3.257e-02    0  1.000 43.500  1.62 1.425e+04  99.0000 
OBS: 59712.2162 Y WFD  7.6792e-02  7.754e-02    0  1.000 43.710  2.62 2.545e+04  99.0000 
OBS: 59713.2201 Y WFD -3.3513e-02  7.531e-02    0  1.000 43.270  1.98 2.181e+04  99.0000 
OBS: 59716.3760 Y WFD  1.6064e-02  5.137e-02    0  1.000 44.530  2.25 4.178e+04  99.0000 
OBS: 59748.1368 i WFD -4.0047e-02  4.346e-02    0  1.000 43.850  2.21 1.924e+04  99.0000 
OBS: 59750.1156 r WFD  8.8419e-03  8.791e-03    0  1.000 44.790  1.82 1.123e+04  99.0000 
OBS: 59770.1263 z WFD -1.0704e-02  2.721e-02    0  1.000 44.260  1.56 2.488e+04  99.0000 
OBS: 59771.1422 z WFD -1.3882e-02  3.687e-02    0  1.000 44.270  1.87 2.840e+04  99.0000 
OBS: 59776.0242 i WFD  2.8352e-02  3.447e-02    0  1.000 44.570  2.74 2.388e+04  99.0000 
OBS: 59783.1664 r WFD -8.4744e-03  8.732e-03    0  1.000 45.590  2.79 1.520e+04  99.0000 
OBS: 59786.1108 g WFD  1.8408e-02  8.542e-03    0  1.000 44.810  2.99 6.764e+03  99.0000 
OBS: 59797.9847 Y WFD -4.5543e-02  5.082e-02    0  1.000 44.030  1.98 2.963e+04  99.0000 
OBS: 59798.9715 Y WFD  4.3692e-03  6.671e-02    0  1.000 44.020  1.88 4.059e+04  99.0000 
OBS: 59801.1591 z WFD  5.6977e-02  4.546e-02    0  1.000 44.280  1.93 3.424e+04  99.0000 
OBS: 59802.1738 Y WFD  5.3006e-02  9.908e-02    0  1.000 42.570  1.73 1.723e+04  99.0000 
OBS: 59804.0716 z WFD  5.9448e-03  2.698e-02    0  1.000 44.280  1.32 2.970e+04  99.0000 
OBS: 59805.0877 i WFD -2.8478e-02  3.427e-02    0  1.000 43.880  1.84 1.873e+04  99.0000 
OBS: 59806.1616 i WFD -9.2720e-03  2.071e-02    0  1.000 44.620  1.82 2.262e+04  99.0000 
OBS: 59807.0552 g WFD -3.8014e-03  5.159e-03    0  1.000 44.810  1.83 6.676e+03  99.0000 
OBS: 59821.9830 z WFD  2.2752e-02  3.848e-02    0  1.000 43.490  1.85 1.460e+04  99.0000 
OBS: 59824.9965 z WFD  3.1096e-02  2.248e-02    0  1.000 44.250  1.55 2.051e+04  99.0000 
OBS: 59830.0927 Y WFD  4.7201e-02  8.399e-02    0  1.000 43.320  2.29 2.202e+04  99.0000 
OBS: 59837.0206 r WFD -2.8516e-03  6.011e-03    0  1.000 44.830  1.36 1.066e+04  99.0000 
OBS: 59850.0549 i WFD -1.7961e-02  1.777e-02    0  1.000 44.570  2.29 1.473e+04  99.0000 
OBS: 59853.1082 r WFD  9.2220e-03  8.588e-03    0  1.000 45.560  2.30 1.764e+04  99.0000 
OBS: 59871.0578 r WFD  4.0292e-03  8.913e-03    0  1.000 44.790  1.81 1.145e+04  99.0000 
OBS: 59876.0453 u WFD  5.1851e-03  2.988e-02    0  1.000 41.040  2.27 9.645e+02  99.0000 
OBS: 59878.0397 u WFD -1.5491e-02  2.932e-02    0  1.000 41.040  2.22 9.677e+02  99.0000 
OBS: 59878.0628 g WFD  1.3397e-02  9.187e-03    0  1.000 43.940  1.95 5.006e+03  99.0000 
OBS: 59883.0359 i WFD  8.0010e-03  1.336e-02    0  1.000 44.560  1.39 1.808e+04  99.0000 
OBS: 60012.3856 z WFD  1.3235e-02  4.463e-02    0  1.000 44.240  2.26 2.766e+04  99.0000 
