SURVEY:   LSST
SNID:     1269773
IAUC:     NULL
SNTYPE:   110
RA:       119.837545  # deg
DEC:      -39.804928  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.7447 +- 0.0372  # MW E(B-V) 
PEAKMJD:  59813.633     # estimate for LC fit codes
MJD_TRIGGER:       59862.367  
MJD_DETECT_FIRST:  59861.324  
MJD_DETECT_LAST:   60079.965  

REDSHIFT_HELIO:   0.682671 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.683889 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9750533285  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6827  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          119.837526    # deg 
HOSTGAL_DEC:         -39.804944    # deg 
HOSTGAL_SNSEP:       0.039       # arcsec 
HOSTGAL_DDLR:        0.111       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.535 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.521
HOSTGAL_SQRADIUS:     15.525   # Ixx + Iyy
HOSTGAL_MAG:     27.46  26.41  24.92  23.91  23.36  23.00 # ugrizY
HOSTGAL_MAGERR:   0.07   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           14773    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.68267  
SIM_REDSHIFT_CMB:    0.68389  
SIM_REDSHIFT_HOST:   0.67970  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9750533285 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.874 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.535 -9.000 
SIM_DLMU:            43.0835   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0302   # mag 
SIM_RA:              119.837547     # deg  
SIM_DEC:             -39.804928      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.6797   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59813.633    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.6273e-06 
SIM_SALT2x1:         0.1557 
SIM_SALT2c:          0.0887 
SIM_SALT2mB:         23.9717 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -136.89  # days 
SIM_TRESTMAX:        511.40  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   33.05  28.29  25.67  24.83  24.59  24.29  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 148 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2870 u WFD  2.8989e-03  1.445e-02    0  1.000 42.070  1.93 1.417e+03  99.0000 
OBS: 59589.1583 Y WFD -1.1502e-01  7.525e-02    0  1.000 42.570  1.76 1.286e+04  99.0000 
OBS: 59589.3136 i WFD  1.7410e-02  1.337e-02    0  1.000 44.580  1.81 1.415e+04  99.0000 
OBS: 59594.2272 Y WFD  4.6478e-02  5.215e-02    0  1.000 43.760  1.72 2.730e+04  99.0000 
OBS: 59598.3216 z WFD -2.1517e-02  8.255e-02    0  1.000 43.500  2.78 2.104e+04  99.0000 
OBS: 59600.1742 z WFD -1.7255e-02  2.358e-02    0  1.000 45.000  2.00 3.326e+04  99.0000 
OBS: 59602.0379 Y WFD  1.8674e-02  1.338e-01    0  1.000 42.500  2.19 1.724e+04  99.0000 
OBS: 59602.3489 i WFD  5.3224e-03  4.385e-02    0  1.000 43.830  2.72 1.548e+04  99.0000 
OBS: 59614.0367 z WFD -1.2871e-02  4.548e-02    0  1.000 43.490  2.08 1.535e+04  99.0000 
OBS: 59620.0330 Y WFD  1.5698e-02  7.529e-02    0  1.000 42.560  1.57 1.430e+04  99.0000 
OBS: 59631.0336 Y WFD -1.6982e-01  6.750e-02    0  1.000 42.570  1.58 1.285e+04  99.0000 
OBS: 59650.0570 r WFD -1.1667e-02  1.736e-02    0  1.000 44.930  2.53 1.815e+04  99.0000 
OBS: 59653.0666 Y WFD  3.7787e-02  9.604e-02    0  1.000 42.600  2.16 1.375e+04  99.0000 
OBS: 59654.0052 Y WFD  5.3067e-02  8.846e-02    0  1.000 42.600  1.85 1.479e+04  99.0000 
OBS: 59656.0118 z WFD -6.6847e-04  3.354e-02    0  1.000 44.290  1.80 2.733e+04  99.0000 
OBS: 59660.0318 g WFD -2.3869e-03  7.461e-03    0  1.000 44.070  2.03 4.402e+03  99.0000 
OBS: 59683.0180 Y WFD  4.6724e-02  3.726e-02    0  1.000 43.350  1.17 1.965e+04  99.0000 
OBS: 59686.1138 Y WFD  4.1608e-02  9.236e-02    0  1.000 42.520  1.64 1.618e+04  99.0000 
OBS: 59687.0578 z WFD  2.0815e-02  3.043e-02    0  1.000 44.270  1.69 2.593e+04  99.0000 
OBS: 59718.0229 i WFD -4.4247e-03  2.324e-02    0  1.000 44.550  2.35 1.843e+04  99.0000 
OBS: 59851.3672 u WFD -1.3802e-03  2.915e-02    0  1.000 41.100  2.31 9.771e+02  33.7855 
OBS: 59861.3234 Y WFD  6.9587e+00  4.942e-02 4096  1.000 43.710  1.55 2.740e+04  25.3970 
OBS: 59862.3684 z WFD  3.5604e+00  2.611e-02 6144  1.000 44.710  1.63 3.459e+04  26.1308 
OBS: 59873.2970 r WFD  2.8103e-01  7.855e-03 4096  1.000 44.770  1.63 1.100e+04  28.8570 
OBS: 59874.3179 u WFD -8.1149e-04  2.908e-02    0  1.000 41.080  2.33 9.487e+02  32.1606 
OBS: 59875.3666 z WFD  2.3111e+00  2.587e-02 4096  1.000 44.260  1.50 2.460e+04  26.5857 
OBS: 59884.2897 r WFD  2.3279e-01  5.458e-03 4096  1.000 45.540  1.65 1.534e+04  29.0808 
OBS: 59898.3348 r WFD  1.8629e-01  1.806e-02 4096  1.000 44.150  1.87 1.245e+04  29.3027 
OBS: 59898.3577 z WFD  1.5175e+00  4.483e-02 4096  1.000 43.540  1.65 1.997e+04  27.0316 
OBS: 59904.2168 u WFD  5.8475e-02  3.547e-02    0  1.000 40.980  2.69 9.139e+02  99.0000 
OBS: 59905.2152 u WFD -1.7341e-02  2.796e-02    0  1.000 41.010  2.15 9.265e+02  99.0000 
OBS: 59906.2466 r WFD  1.6929e-01  9.055e-03 4096  1.000 44.810  2.05 1.046e+04  29.4127 
OBS: 59908.2770 i WFD  6.3868e-01  1.202e-02 4096  1.000 44.580  1.64 1.404e+04  27.9917 
OBS: 59917.2137 z WFD  1.1930e+00  2.488e-02 4096  1.000 44.250  1.51 2.329e+04  27.3005 
OBS: 59918.1946 Y WFD  2.0748e+00  5.636e-02 4096  1.000 43.290  1.62 2.031e+04  26.7263 
OBS: 59924.1901 Y WFD  1.9079e+00  8.120e-02 4096  1.000 42.560  1.66 1.458e+04  26.8293 
