SURVEY:   LSST
SNID:     1269867
IAUC:     NULL
SNTYPE:   110
RA:       153.494866  # deg
DEC:      -47.385410  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1459 +- 0.0073  # MW E(B-V) 
PEAKMJD:  59741.891     # estimate for LC fit codes
MJD_TRIGGER:       59712.051  
MJD_DETECT_FIRST:  59708.996  
MJD_DETECT_LAST:   59768.977  

REDSHIFT_HELIO:   1.566578 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.568922 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7816530983  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5666  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          153.495002    # deg 
HOSTGAL_DEC:         -47.385389    # deg 
HOSTGAL_SNSEP:       0.196       # arcsec 
HOSTGAL_DDLR:        0.996       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.489 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.644
HOSTGAL_SQRADIUS:     8.534   # Ixx + Iyy
HOSTGAL_MAG:     28.08  27.42  26.49  25.45  24.69  23.98 # ugrizY
HOSTGAL_MAGERR:   1.32   0.40   0.08   0.06   0.05   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           14867    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.56658  
SIM_REDSHIFT_CMB:    1.56891  
SIM_REDSHIFT_HOST:   1.58605  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7816530983 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.949 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.489 -9.000 
SIM_DLMU:            45.3074   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0050   # mag 
SIM_RA:              153.494873     # deg  
SIM_DEC:             -47.385410      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1501   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59741.891    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.6893e-07 
SIM_SALT2x1:         1.0304 
SIM_SALT2c:          0.1449 
SIM_SALT2mB:         26.2473 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -62.55  # days 
SIM_TRESTMAX:        362.92  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   40.27  35.13  31.22  28.10  26.79  26.02  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.3549 z WFD  5.7297e-03  3.498e-02    0  1.000 44.280  1.85 2.748e+04  99.0000 
OBS: 59582.3644 z WFD -1.3153e-01  1.015e-01    0  1.000 43.540  2.97 2.513e+04  99.0000 
OBS: 59589.1625 Y WFD  7.1273e-02  7.940e-02    0  1.000 43.240  2.20 2.013e+04  99.0000 
OBS: 59590.2830 i WFD -1.4720e-03  8.024e-03    0  1.000 45.340  1.55 1.997e+04  99.0000 
OBS: 59594.1513 Y WFD  4.7193e-02  9.520e-02    0  1.000 42.520  1.83 1.495e+04  99.0000 
OBS: 59599.3669 z WFD  6.3398e-02  4.860e-02    0  1.000 43.520  1.78 1.971e+04  99.0000 
OBS: 59601.2964 i WFD  1.5451e-02  2.105e-02    0  1.000 44.630  1.81 2.333e+04  99.0000 
OBS: 59607.3098 g WFD  3.9461e-03  6.904e-03    0  1.000 44.820  2.42 6.818e+03  99.0000 
OBS: 59615.2228 r WFD  1.0474e-02  1.044e-02    0  1.000 44.820  2.47 1.010e+04  99.0000 
OBS: 59628.3406 z WFD -1.4555e-02  2.754e-02    0  1.000 44.690  1.57 3.720e+04  99.0000 
OBS: 59631.3510 i WFD  7.8852e-03  2.423e-02    0  1.000 44.580  1.92 2.418e+04  99.0000 
OBS: 59634.0259 Y WFD  2.0043e-01  1.066e-01    0  1.000 42.490  2.07 1.440e+04  99.0000 
OBS: 59643.1753 r WFD -1.1689e-02  1.156e-02    0  1.000 44.840  2.74 1.027e+04  99.0000 
OBS: 59654.1028 Y WFD -3.0182e-02  7.773e-02    0  1.000 43.330  2.32 2.030e+04  99.0000 
OBS: 59656.0292 z WFD  1.9035e-02  3.481e-02    0  1.000 45.020  2.18 4.588e+04  99.0000 
OBS: 59678.9905 Y WFD  9.5137e-03  6.723e-02    0  1.000 42.570  1.52 1.331e+04  99.0000 
OBS: 59684.1047 Y WFD -7.0909e-02  6.264e-02    0  1.000 42.580  1.26 1.510e+04  99.0000 
OBS: 59686.1302 Y WFD -1.2976e-01  7.689e-02    0  1.000 42.580  1.47 1.588e+04  99.0000 
OBS: 59687.0865 z WFD  1.8173e-02  2.916e-02    0  1.000 44.270  1.54 2.727e+04  99.0000 
OBS: 59708.9968 i WFD  1.6667e-01  1.701e-02 4096  1.000 44.600  1.90 1.747e+04  29.4228 
OBS: 59712.0520 Y WFD  1.7900e+00  8.541e-02 6144  1.000 42.580  1.81 1.433e+04  26.9639 
OBS: 59713.0851 Y WFD  1.7757e+00  6.823e-02 4096  1.000 43.300  1.85 2.173e+04  26.8578 
OBS: 59768.9761 z WFD  6.8604e-01  4.594e-02 4096  1.000 43.480  1.88 1.700e+04  27.8792 
OBS: 59902.3225 r WFD -1.6280e-04  1.182e-02    0  1.000 45.230  2.86 1.441e+04  99.0000 
OBS: 59905.3103 u WFD  9.6140e-04  3.697e-02    0  1.000 41.000  2.77 9.424e+02  99.0000 
OBS: 59913.2997 r WFD -1.2184e-03  8.254e-03    0  1.000 44.800  1.77 1.094e+04  99.0000 
OBS: 59918.3445 z WFD  6.7822e-04  2.278e-02    0  1.000 44.260  1.44 2.258e+04  31.3337 
OBS: 59929.2576 r WFD -9.2251e-03  8.158e-03    0  1.000 45.600  1.88 2.127e+04  99.0000 
OBS: 59931.3314 g WFD -9.5209e-03  7.991e-03    0  1.000 44.140  1.67 6.113e+03  38.9071 
OBS: 59932.2447 g WFD  1.3636e-03  4.203e-03    0  1.000 44.730  1.40 6.603e+03  38.9156 
OBS: 59935.2294 i WFD  7.1994e-03  1.204e-02    0  1.000 44.550  1.46 1.537e+04  34.5044 
OBS: 59948.2564 z WFD  1.1090e-02  2.884e-02    0  1.000 44.260  1.75 2.351e+04  31.6135 
OBS: 59950.2374 Y WFD  8.5723e-02  4.784e-02    0  1.000 44.070  1.93 2.969e+04  30.0940 
OBS: 59952.2052 Y WFD -4.5500e-02  6.054e-02    0  1.000 43.300  1.65 2.162e+04  30.1104 
OBS: 59954.3172 i WFD  9.4713e-03  2.308e-02    0  1.000 44.630  1.89 2.450e+04  34.6814 
OBS: 59965.1867 r WFD  1.9140e-02  1.005e-02    0  1.000 44.810  2.26 1.053e+04  99.0000 
OBS: 59968.1434 u WFD -9.7087e-03  2.117e-02    0  1.000 41.830  2.40 1.338e+03  99.0000 
