SURVEY:   LSST
SNID:     1270249
IAUC:     NULL
SNTYPE:   110
RA:       351.801124  # deg
DEC:      -6.635537  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0297 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59587.988     # estimate for LC fit codes
MJD_TRIGGER:       59771.387  
MJD_DETECT_FIRST:  59770.328  
MJD_DETECT_LAST:   59880.137  

REDSHIFT_HELIO:   1.376356 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.373517 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10442740126  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3764  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          351.801150    # deg 
HOSTGAL_DEC:         -6.635405    # deg 
HOSTGAL_SNSEP:       0.241       # arcsec 
HOSTGAL_DDLR:        2.662       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.296 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.164
HOSTGAL_SQRADIUS:     7.605   # Ixx + Iyy
HOSTGAL_MAG:     27.33  27.04  26.50  25.26  24.58  23.92 # ugrizY
HOSTGAL_MAGERR:  26.62   0.27   0.18   0.06   0.06   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           15249    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.37636  
SIM_REDSHIFT_CMB:    1.37351  
SIM_REDSHIFT_HOST:   1.44264  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10442740126 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.734 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.296 -9.000 
SIM_DLMU:            44.9554   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0175   # mag 
SIM_RA:              351.801117     # deg  
SIM_DEC:             -6.635538      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0291   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59587.988    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.1573e-06 
SIM_SALT2x1:         -0.5437 
SIM_SALT2c:          -0.0613 
SIM_SALT2mB:         25.4764 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        76.73  # days 
SIM_TRESTMAX:        454.20  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.09  30.43  27.78  25.82  25.13  24.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 128 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3278 Y WFD  4.4623e-01  5.241e-02 4096  1.000 43.310  1.66 1.878e+04  28.6085 
OBS: 59771.3866 z WFD  1.4522e-01  1.733e-02 6144  1.000 45.010  1.68 2.937e+04  29.5879 
OBS: 59772.3537 Y WFD  3.1579e-01  6.170e-02 4096  1.000 43.330  1.83 2.043e+04  28.6245 
OBS: 59783.3289 r WFD  1.0050e-01  1.214e-02 4096  1.000 44.850  2.57 1.160e+04  29.9828 
OBS: 59784.3461 r WFD  1.0798e-01  1.023e-02 4096  1.000 44.840  2.18 1.142e+04  29.9930 
OBS: 59784.4348 z WFD  1.1859e-01  4.729e-02    0  1.000 44.240  2.11 3.140e+04  29.7134 
OBS: 59788.4125 i WFD  5.5440e-03  2.099e-02    0  1.000 44.570  2.58 1.545e+04  31.9913 
OBS: 59789.4316 z WFD  1.5625e-01  5.573e-02    0  1.000 43.490  2.45 1.597e+04  29.7612 
OBS: 59790.3057 g WFD -2.9326e-03  8.089e-03    0  1.000 44.840  2.67 7.374e+03  99.0000 
OBS: 59800.2068 Y WFD  2.3448e-01  9.375e-02    0  1.000 42.540  1.87 1.467e+04  28.8430 
OBS: 59808.3185 i WFD  2.2907e-02  1.361e-02    0  1.000 45.370  1.63 3.311e+04  32.1869 
OBS: 59818.1494 u WFD -4.0775e-02  1.737e-02    0  1.000 41.880  1.91 1.445e+03  99.0000 
OBS: 59822.1791 i WFD -8.1467e-03  1.655e-02    0  1.000 44.570  2.05 1.533e+04  32.3213 
OBS: 59823.1585 g WFD  7.2733e-03  9.411e-03    0  1.000 44.790  2.88 7.596e+03  99.0000 
OBS: 59825.1451 z WFD  5.0615e-02  3.232e-02    0  1.000 44.240  2.14 2.116e+04  30.0971 
OBS: 59827.1142 z WFD  7.7872e-02  3.519e-02    0  1.000 44.240  2.11 2.336e+04  30.1154 
OBS: 59835.1484 Y WFD  2.1660e-01  3.567e-02 4096  1.000 44.320  1.50 3.586e+04  29.1136 
OBS: 59837.1081 r WFD  5.7738e-02  5.433e-03 4096  1.000 45.580  1.55 1.687e+04  30.5063 
OBS: 59842.1240 r WFD  5.1309e-02  8.542e-03 4096  1.000 44.830  1.75 1.177e+04  30.5540 
OBS: 59853.1701 r WFD  6.4913e-02  1.051e-02    0  1.000 44.850  2.19 1.179e+04  30.6583 
OBS: 59856.0537 Y WFD  3.1639e-02  9.494e-02    0  1.000 42.530  1.94 1.419e+04  29.2735 
OBS: 59857.0289 z WFD  1.1139e-01  3.778e-02    0  1.000 44.240  1.96 2.700e+04  30.3897 
OBS: 59863.1807 z WFD  6.6307e-02  3.855e-02    0  1.000 44.270  1.68 3.305e+04  30.4454 
OBS: 59865.9980 Y WFD  1.1420e-01  1.123e-01    0  1.000 42.500  2.00 1.584e+04  29.3491 
OBS: 59870.0918 i WFD  5.5778e-02  1.250e-02    0  1.000 44.580  1.61 1.488e+04  32.7744 
OBS: 59871.0007 Y WFD  9.4453e-02  6.884e-02    0  1.000 43.280  1.79 2.225e+04  29.3870 
OBS: 59871.9955 Y WFD -8.2126e-03  1.053e-01    0  1.000 42.550  1.46 2.129e+04  29.3946 
OBS: 59875.0843 u WFD -1.1827e-02  1.392e-02    0  1.000 42.070  1.74 1.515e+03  99.0000 
OBS: 59880.1364 r WFD  4.2176e-02  6.500e-03 4096  1.000 44.830  1.36 1.153e+04  30.9093 
OBS: 59883.1787 i WFD  2.3191e-02  1.814e-02    0  1.000 43.800  1.45 1.168e+04  32.8953 
OBS: 59897.0191 z WFD  4.2546e-02  4.506e-02    0  1.000 43.510  2.12 1.520e+04  30.7474 
OBS: 59908.0841 u WFD  4.9005e-02  4.155e-02    0  1.000 41.100  3.18 1.012e+03  99.0000 
OBS: 59926.0459 z WFD  3.0189e-02  3.611e-02    0  1.000 43.490  1.64 1.546e+04  31.0011 
OBS: 59931.0651 g WFD  7.0977e-03  9.143e-03    0  1.000 43.980  1.76 5.727e+03  99.0000 
OBS: 59937.0347 z WFD  6.2610e-02  7.425e-02    0  1.000 43.490  2.00 2.606e+04  31.0959 
OBS: 60083.4112 r WFD -1.5786e-02  1.689e-02    0  1.000 44.060  2.04 9.825e+03  32.6695 
OBS: 60085.4261 z WFD -2.0491e-02  2.799e-02    0  1.000 44.690  1.60 3.709e+04  32.3215 
