SURVEY:   LSST
SNID:     1271120
IAUC:     NULL
SNTYPE:   110
RA:       203.850061  # deg
DEC:      -5.141999  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0248 +- 0.0012  # MW E(B-V) 
PEAKMJD:  59581.039     # estimate for LC fit codes
MJD_TRIGGER:       59640.391  
MJD_DETECT_FIRST:  59621.250  
MJD_DETECT_LAST:   59770.082  

REDSHIFT_HELIO:   1.291038 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.293334 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8880245030  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2910  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          203.850039    # deg 
HOSTGAL_DEC:         -5.142002    # deg 
HOSTGAL_SNSEP:       0.033       # arcsec 
HOSTGAL_DDLR:        0.358       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.772 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.898
HOSTGAL_SQRADIUS:     4.948   # Ixx + Iyy
HOSTGAL_MAG:     25.96  25.90  25.72  25.12  24.70  24.00 # ugrizY
HOSTGAL_MAGERR:   0.37   0.09   0.07   0.05   0.07   0.08 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           16120    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.29104  
SIM_REDSHIFT_CMB:    1.29333  
SIM_REDSHIFT_HOST:   1.32280  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8880245030 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.034 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.772 -9.000 
SIM_DLMU:            44.7891   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0612   # mag 
SIM_RA:              203.850067     # deg  
SIM_DEC:             -5.141999      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0237   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59581.039    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3208e-06 
SIM_SALT2x1:         0.9686 
SIM_SALT2c:          0.0143 
SIM_SALT2mB:         25.3329 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        17.53  # days 
SIM_TRESTMAX:        406.36  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.07  30.35  27.38  25.70  24.95  24.63  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59621.2511 Y WFD  3.8233e+00  7.635e-02 4096  1.000 43.250  2.14 2.008e+04  26.0407 
OBS: 59640.3902 z WFD  1.2847e+00  4.377e-02 6144  1.000 43.490  2.08 1.477e+04  27.3129 
OBS: 59652.2323 Y WFD  1.3026e+00  6.123e-02 4096  1.000 43.300  1.84 1.961e+04  27.3023 
OBS: 59653.1816 Y WFD  1.2366e+00  8.017e-02 4096  1.000 43.270  2.13 2.158e+04  27.3315 
OBS: 59655.2937 Y WFD  1.0700e+00  9.191e-02 4096  1.000 43.310  2.24 2.441e+04  27.3951 
OBS: 59660.2440 Y WFD  1.0057e+00  6.955e-02 4096  1.000 43.330  1.92 2.195e+04  27.5210 
OBS: 59681.1482 z WFD  5.5297e-01  2.335e-02 4096  1.000 44.250  1.38 2.392e+04  28.1755 
OBS: 59688.1296 z WFD  4.5612e-01  4.533e-02 4096  1.000 44.270  2.05 3.184e+04  28.2637 
OBS: 59694.1087 g WFD  1.0145e-02  6.408e-03    0  1.000 44.810  2.01 7.548e+03  99.0000 
OBS: 59699.2209 i WFD  1.5821e-01  1.694e-02 4096  1.000 44.570  2.10 1.531e+04  29.5953 
OBS: 59709.1244 i WFD  1.2165e-01  1.297e-02 4096  1.000 45.370  1.87 2.751e+04  29.7035 
OBS: 59716.0973 Y WFD  5.8574e-01  5.291e-02 4096  1.000 44.510  2.24 4.243e+04  28.0783 
OBS: 59717.2317 z WFD  3.8897e-01  4.539e-02 4096  1.000 44.230  2.12 2.972e+04  28.5446 
OBS: 59718.1943 i WFD  1.4344e-01  2.747e-02 4096  1.000 44.600  2.20 2.437e+04  29.8018 
OBS: 59729.9610 z WFD  3.6616e-01  5.077e-02    0  1.000 43.470  2.18 1.605e+04  28.6659 
OBS: 59770.0826 z WFD  2.0121e-01  5.485e-02 4096  1.000 43.480  1.71 2.231e+04  29.0418 
OBS: 59771.0776 z WFD  2.5534e-01  4.487e-02    0  1.000 44.240  2.07 3.036e+04  29.0510 
OBS: 59789.9768 z WFD  1.3828e-01  5.753e-02    0  1.000 43.490  2.72 1.485e+04  29.2246 
OBS: 59956.3574 z WFD  2.8169e-03  4.170e-02    0  1.000 44.250  1.96 3.008e+04  30.6667 
OBS: 59964.3276 u WFD -1.1142e-02  3.281e-02    0  1.000 41.150  2.52 1.056e+03  99.0000 
OBS: 59966.3424 i WFD  2.4085e-02  1.592e-02    0  1.000 44.570  1.90 1.591e+04  32.2240 
OBS: 59968.3339 u WFD -1.3483e-02  2.479e-02    0  1.000 41.920  2.75 1.486e+03  99.0000 
OBS: 59972.3162 r WFD  3.2092e-03  6.720e-03    0  1.000 45.560  1.85 1.716e+04  99.0000 
OBS: 59973.2995 g WFD -3.9713e-04  5.769e-03    0  1.000 44.770  1.70 7.744e+03  99.0000 
OBS: 59976.3493 r WFD  3.6026e-02  1.313e-02    0  1.000 44.100  1.93 8.377e+03  99.0000 
OBS: 59978.2966 Y WFD  5.7748e-02  3.972e-02    0  1.000 43.730  1.38 2.521e+04  30.0511 
OBS: 59978.3389 i WFD  9.3951e-03  1.233e-02    0  1.000 44.600  1.32 1.822e+04  32.3307 
OBS: 59979.2912 Y WFD  1.4555e-01  5.033e-02    0  1.000 43.280  1.34 2.173e+04  30.0582 
OBS: 59980.2730 Y WFD  1.6294e-01  6.377e-02    0  1.000 43.260  1.57 2.307e+04  30.0652 
OBS: 59993.2560 r WFD  3.4907e-03  8.904e-03    0  1.000 44.810  1.79 1.178e+04  99.0000 
OBS: 59994.2942 r WFD -2.3494e-03  7.828e-03    0  1.000 44.840  1.65 1.155e+04  99.0000 
OBS: 60001.3718 r WFD -2.5074e-02  1.272e-02    0  1.000 44.100  1.93 8.114e+03  99.0000 
OBS: 60002.2634 r WFD  1.1727e-02  9.481e-03    0  1.000 44.820  1.97 1.150e+04  99.0000 
OBS: 60003.3518 i WFD  2.0817e-02  1.539e-02    0  1.000 44.580  1.98 1.489e+04  32.5509 
OBS: 60006.2032 z WFD  3.4734e-02  3.878e-02    0  1.000 44.230  2.17 2.480e+04  31.0723 
OBS: 60008.2375 Y WFD  1.6364e-01  1.292e-01    0  1.000 42.560  2.55 1.510e+04  30.2644 
