SURVEY:   LSST
SNID:     1271476
IAUC:     NULL
SNTYPE:   110
RA:       118.827653  # deg
DEC:      -58.261791  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.2440 +- 0.0122  # MW E(B-V) 
PEAKMJD:  60327.543     # estimate for LC fit codes
MJD_TRIGGER:       60301.250  
MJD_DETECT_FIRST:  60300.176  
MJD_DETECT_LAST:   60658.273  

REDSHIFT_HELIO:   0.634917 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.635814 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           16476    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.62345  
SIM_REDSHIFT_CMB:    0.62435  
SIM_REDSHIFT_HOST:   0.63492  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8938252667 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.346 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.755 -9.000 
SIM_DLMU:            42.8427   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0094   # mag 
SIM_RA:              118.827652     # deg  
SIM_DEC:             -58.261791      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.2449   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60327.543    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.6105e-06 
SIM_SALT2x1:         0.8919 
SIM_SALT2c:          0.0254 
SIM_SALT2mB:         23.4315 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0200  # spectro-search efficiency 
SIM_TRESTMIN:        -459.02  # days 
SIM_TRESTMAX:        212.89  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.24  25.75  23.88  23.60  23.48  23.42  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59582.3499 z WFD -5.4016e-02  5.950e-02    0  1.000 43.480  2.79 1.483e+04  99.0000 
OBS: 59584.1675 u WFD  2.9360e-02  3.204e-02    0  1.000 41.120  2.69 9.392e+02  99.0000 
OBS: 59589.1357 Y WFD  4.0016e-02  7.635e-02    0  1.000 42.550  1.66 1.359e+04  99.0000 
OBS: 59590.1574 Y WFD -9.8301e-02  7.081e-02    0  1.000 42.550  1.58 1.324e+04  99.0000 
OBS: 59592.3561 z WFD -2.3839e-02  2.997e-02    0  1.000 44.230  1.84 2.261e+04  99.0000 
OBS: 59595.2992 Y WFD  2.4153e-02  8.951e-02    0  1.000 42.560  1.83 1.458e+04  99.0000 
OBS: 59596.0721 Y WFD -7.6493e-02  8.514e-02    0  1.000 42.540  1.60 1.557e+04  99.0000 
OBS: 59601.2746 i WFD  4.0351e-02  1.823e-02    0  1.000 45.350  2.25 3.155e+04  99.0000 
OBS: 59606.0367 Y WFD  6.4666e-02  1.390e-01    0  1.000 42.520  2.42 1.650e+04  99.0000 
OBS: 59609.0369 z WFD -2.4346e-02  3.665e-02    0  1.000 44.240  2.00 2.567e+04  99.0000 
OBS: 59631.1312 r WFD  6.4246e-03  1.746e-02    0  1.000 44.170  1.58 1.451e+04  99.0000 
OBS: 59640.0216 z WFD -1.5648e-02  2.744e-02    0  1.000 44.240  1.93 1.992e+04  99.0000 
OBS: 59659.1327 i WFD  3.4464e-02  2.622e-02    0  1.000 44.600  2.13 2.403e+04  99.0000 
OBS: 59669.9938 z WFD  4.1828e-03  3.206e-02    0  1.000 44.250  2.28 1.988e+04  99.0000 
OBS: 59675.9834 Y WFD -8.4891e-02  8.971e-02    0  1.000 43.330  2.60 2.091e+04  99.0000 
OBS: 59680.9767 Y WFD  1.1711e-01  6.932e-02    0  1.000 42.590  1.22 1.741e+04  99.0000 
OBS: 59683.9736 Y WFD -1.5779e-02  8.562e-02    0  1.000 42.590  1.37 1.915e+04  99.0000 
OBS: 59686.0216 Y WFD  8.2803e-02  7.477e-02    0  1.000 42.560  1.48 1.506e+04  99.0000 
OBS: 59687.0606 z WFD -1.8118e-02  3.439e-02    0  1.000 44.250  1.79 2.716e+04  99.0000 
OBS: 59694.9638 Y WFD  1.0679e-02  1.249e-01    0  1.000 42.570  1.69 2.223e+04  99.0000 
OBS: 59709.9568 Y WFD  1.4404e-01  1.289e-01    0  1.000 42.570  1.83 2.120e+04  99.0000 
OBS: 59725.9617 z WFD  4.0203e-02  4.080e-02    0  1.000 44.240  2.42 2.362e+04  99.0000 
OBS: 59842.3754 r WFD -2.1898e-02  1.136e-02    0  1.000 44.770  2.21 1.173e+04  99.0000 
OBS: 59853.3729 g WFD  3.3113e-03  9.223e-03    0  1.000 43.960  2.11 4.731e+03  99.0000 
OBS: 59857.3449 r WFD  5.1638e-03  6.190e-03    0  1.000 45.520  1.82 1.549e+04  99.0000 
OBS: 59861.3185 Y WFD  8.9446e-02  5.201e-02    0  1.000 43.700  1.61 2.752e+04  99.0000 
OBS: 59864.3708 z WFD  3.5040e-02  3.677e-02    0  1.000 44.260  1.81 2.899e+04  99.0000 
OBS: 59868.3458 r WFD -4.1225e-03  1.288e-02    0  1.000 44.850  1.77 1.788e+04  99.0000 
OBS: 59874.3228 u WFD -1.6643e-02  2.038e-02    0  1.000 41.840  2.31 1.350e+03  99.0000 
