SURVEY:   LSST
SNID:     1272152
IAUC:     NULL
SNTYPE:   110
RA:       54.117283  # deg
DEC:      -14.903500  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0700 +- 0.0035  # MW E(B-V) 
PEAKMJD:  59614.180     # estimate for LC fit codes
MJD_TRIGGER:       59591.102  
MJD_DETECT_FIRST:  59590.035  
MJD_DETECT_LAST:   59984.047  

REDSHIFT_HELIO:   1.063392 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.062485 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           17152    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.08367  
SIM_REDSHIFT_CMB:    1.08275  
SIM_REDSHIFT_HOST:   1.06339  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8877800280 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.008 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.500 -9.000 
SIM_DLMU:            44.3147   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0708   # mag 
SIM_RA:              54.117283     # deg  
SIM_DEC:             -14.903500      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0686   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59614.180    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         2.2909e-06 
SIM_SALT2x1:         0.1235 
SIM_SALT2c:          -0.0637 
SIM_SALT2mB:         24.7350 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -14.93  # days 
SIM_TRESTMAX:        502.67  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.14  28.46  25.65  24.56  24.05  24.13  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0829 u WFD -3.1210e-04  2.782e-02    0  1.000 41.300  2.56 1.012e+03  33.2827 
OBS: 59590.0366 Y WFD  6.5362e+00  8.950e-02 4096  1.000 42.620  1.36 2.073e+04  25.4625 
OBS: 59591.1028 z WFD  8.3380e+00  3.033e-02 6144  1.000 44.270  1.72 2.537e+04  25.2049 
OBS: 59594.0433 Y WFD  1.0122e+01  8.413e-02 4096  1.000 42.610  1.64 1.600e+04  24.9943 
OBS: 59617.0417 Y WFD  2.1970e+01  1.113e-01 4096  1.000 42.570  2.50 1.339e+04  24.1488 
OBS: 59641.0188 z WFD  9.5039e+00  5.770e-02 4096  1.000 43.490  2.63 1.539e+04  25.0541 
OBS: 59797.4250 Y WFD  8.0017e-01  9.721e-02 4096  1.000 42.570  2.22 1.317e+04  27.7537 
OBS: 59819.2997 u WFD  2.6526e-02  3.148e-02    0  1.000 41.090  2.48 9.740e+02  39.0761 
OBS: 59820.3733 i WFD  1.3421e-01  1.313e-02 4096  1.000 44.580  1.77 1.421e+04  29.6024 
OBS: 59821.3043 r WFD  7.4454e-02  1.137e-02 4096  1.000 44.790  2.41 1.096e+04  30.7482 
OBS: 59822.3218 i WFD  1.2807e-01  1.330e-02 4096  1.000 45.320  2.42 2.082e+04  29.6235 
OBS: 59825.3669 g WFD  1.9308e-03  6.686e-03    0  1.000 44.830  2.42 6.663e+03  31.8462 
OBS: 59835.2917 Y WFD  5.9787e-01  4.003e-02 4096  1.000 44.070  1.49 3.218e+04  28.0893 
OBS: 59836.3178 z WFD  4.4879e-01  1.963e-02 4096  1.000 45.470  1.76 4.850e+04  28.4773 
OBS: 59840.2666 r WFD  4.7991e-02  8.680e-03    0  1.000 44.830  1.66 1.261e+04  30.9544 
OBS: 59843.2296 i WFD  1.3189e-01  1.478e-02 4096  1.000 44.560  1.80 1.544e+04  29.8468 
OBS: 59844.2288 r WFD  4.1897e-02  9.407e-03    0  1.000 44.780  1.96 1.106e+04  30.9971 
OBS: 59851.2364 u WFD -5.1545e-03  1.941e-02    0  1.000 41.920  2.31 1.385e+03  39.4222 
OBS: 59856.2076 i WFD  1.2960e-01  1.903e-02    0  1.000 44.580  1.99 1.832e+04  29.9835 
OBS: 59860.2085 Y WFD  4.7600e-01  8.086e-02 4096  1.000 42.560  1.53 1.575e+04  28.3069 
OBS: 59861.1811 Y WFD  4.1133e-01  7.294e-02 4096  1.000 43.730  2.07 3.086e+04  28.3153 
OBS: 59866.2330 i WFD  5.7368e-02  1.635e-02 4096  1.000 45.390  1.80 3.669e+04  30.0881 
OBS: 59868.1707 r WFD  2.3854e-02  7.070e-03    0  1.000 44.790  1.49 1.103e+04  31.2518 
OBS: 59873.2009 g WFD  1.2897e-02  4.026e-03    0  1.000 44.810  1.41 6.761e+03  32.3582 
OBS: 59874.1686 u WFD  5.0402e-03  1.591e-02    0  1.000 41.960  1.90 1.433e+03  39.6647 
OBS: 59895.2593 i WFD  5.8045e-02  2.300e-02    0  1.000 44.630  1.84 2.508e+04  30.3860 
OBS: 59901.1704 r WFD  1.9986e-02  9.380e-03    0  1.000 44.840  2.14 1.067e+04  31.5946 
OBS: 59904.0931 u WFD -3.0059e-03  2.945e-02    0  1.000 41.170  2.45 9.930e+02  99.0000 
OBS: 59909.0373 z WFD  2.2061e-01  4.092e-02 4096  1.000 43.470  1.86 1.516e+04  29.0862 
OBS: 59911.0345 z WFD  2.3000e-01  3.202e-02 4096  1.000 44.230  1.93 2.303e+04  29.1027 
OBS: 59912.0380 z WFD  2.6203e-01  4.062e-02    0  1.000 44.230  2.40 2.349e+04  29.1109 
OBS: 59916.0352 z WFD  1.7244e-01  3.563e-02 4096  1.000 44.250  1.65 3.053e+04  29.1438 
OBS: 59918.0608 Y WFD  5.6655e-01  7.762e-02    0  1.000 42.560  1.43 1.618e+04  28.8016 
OBS: 59920.0620 Y WFD  3.7597e-01  9.296e-02    0  1.000 42.590  1.65 1.727e+04  28.8185 
OBS: 59928.1539 g WFD  8.5930e-03  7.782e-03    0  1.000 44.810  2.78 6.628e+03  32.9219 
OBS: 59930.0539 Y WFD  2.4898e-01  7.182e-02    0  1.000 42.570  1.67 1.294e+04  28.9023 
OBS: 59941.0494 Y WFD  3.4313e-01  7.307e-02    0  1.000 42.590  1.71 1.309e+04  28.9940 
OBS: 59943.0534 Y WFD  1.9681e-01  7.541e-02    0  1.000 42.590  1.75 1.321e+04  29.0107 
OBS: 59944.0725 i WFD  2.9317e-02  1.558e-02    0  1.000 44.630  1.53 2.043e+04  30.8726 
OBS: 59949.1129 z WFD  1.5982e-01  4.016e-02 4096  1.000 44.280  2.01 2.904e+04  29.4134 
OBS: 59953.1216 i WFD -2.1788e-02  3.430e-02    0  1.000 43.880  1.93 1.787e+04  30.9611 
OBS: 59957.1665 r WFD  2.9023e-02  1.845e-02    0  1.000 44.080  1.86 1.199e+04  32.1570 
