SURVEY:   LSST
SNID:     1272781
IAUC:     NULL
SNTYPE:   110
RA:       353.902289  # deg
DEC:      -38.318594  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0142 +- 0.0007  # MW E(B-V) 
PEAKMJD:  60496.164     # estimate for LC fit codes
MJD_TRIGGER:       60483.301  
MJD_DETECT_FIRST:  60467.395  
MJD_DETECT_LAST:   60599.133  

REDSHIFT_HELIO:   1.401279 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.399208 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5941476208  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4013  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          353.902279    # deg 
HOSTGAL_DEC:         -38.318634    # deg 
HOSTGAL_SNSEP:       0.074       # arcsec 
HOSTGAL_DDLR:        0.243       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.243 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.682
HOSTGAL_SQRADIUS:     11.548   # Ixx + Iyy
HOSTGAL_MAG:     25.28  25.35  25.25  25.00  24.57  24.08 # ugrizY
HOSTGAL_MAGERR:   0.23   0.04   0.04   0.04   0.05   0.07 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           17781    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.40128  
SIM_REDSHIFT_CMB:    1.39921  
SIM_REDSHIFT_HOST:   1.35522  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5941476208 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.015 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.243 -9.000 
SIM_DLMU:            45.0044   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.2449   # mag 
SIM_RA:              353.902283     # deg  
SIM_DEC:             -38.318596      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0140   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60496.164    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.6988e-07 
SIM_SALT2x1:         -0.5696 
SIM_SALT2c:          0.1132 
SIM_SALT2mB:         26.0700 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -309.61  # days 
SIM_TRESTMAX:        72.48  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   38.51  32.98  29.58  26.90  25.82  25.01  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.3392 g WFD  9.6752e-03  5.158e-03    0  1.000 44.870  1.60 8.067e+03  99.0000 
OBS: 59758.4381 z WFD  1.0104e-02  4.467e-02    0  1.000 43.520  2.19 1.472e+04  99.0000 
OBS: 59760.4417 z WFD  2.2631e-02  2.995e-02    0  1.000 44.280  1.80 2.418e+04  99.0000 
OBS: 59770.3544 Y WFD -1.2026e-01  5.783e-02    0  1.000 42.590  1.41 1.257e+04  99.0000 
OBS: 59771.2557 z WFD  1.2488e-02  2.711e-02    0  1.000 45.000  2.20 3.477e+04  99.0000 
OBS: 59772.4280 Y WFD  5.4624e-02  4.027e-02    0  1.000 44.330  1.86 3.295e+04  99.0000 
OBS: 59773.2229 Y WFD  1.0241e-01  9.022e-02    0  1.000 42.520  1.52 1.705e+04  99.0000 
OBS: 59774.4303 z WFD  3.3299e-02  3.951e-02    0  1.000 44.280  1.72 3.339e+04  99.0000 
OBS: 59781.4089 r WFD -1.8983e-03  1.480e-02    0  1.000 44.120  1.99 9.329e+03  99.0000 
OBS: 59781.4402 Y WFD -1.7727e-01  7.293e-02    0  1.000 43.340  1.79 2.491e+04  99.0000 
OBS: 59782.4386 Y WFD -1.2308e-01  1.044e-01    0  1.000 42.590  1.96 1.632e+04  99.0000 
OBS: 59793.2293 i WFD -2.3362e-02  1.948e-02    0  1.000 44.580  2.59 1.441e+04  99.0000 
OBS: 59796.2560 r WFD  3.6265e-03  1.092e-02    0  1.000 44.840  2.52 1.055e+04  99.0000 
OBS: 59801.2111 z WFD  1.1734e-01  4.419e-02    0  1.000 44.270  2.24 2.841e+04  99.0000 
OBS: 59803.1551 Y WFD  2.1476e-01  1.001e-01    0  1.000 43.290  2.05 2.853e+04  99.0000 
OBS: 59806.3749 z WFD  7.1388e-02  3.555e-02    0  1.000 44.270  1.84 2.782e+04  99.0000 
OBS: 59809.2475 r WFD -1.4444e-02  8.509e-03    0  1.000 44.920  1.37 1.628e+04  99.0000 
OBS: 59812.1441 g WFD -1.5771e-03  7.374e-03    0  1.000 44.770  2.45 6.868e+03  99.0000 
OBS: 59818.1981 u WFD  1.9600e-02  1.685e-02    0  1.000 41.390  1.60 1.066e+03  99.0000 
OBS: 59819.1334 u WFD  2.5164e-05  2.407e-02    0  1.000 41.200  2.02 1.012e+03  99.0000 
OBS: 59820.1353 i WFD -2.7348e-04  1.155e-02    0  1.000 44.570  1.47 1.491e+04  99.0000 
OBS: 59824.0885 i WFD  1.7436e-02  1.672e-02    0  1.000 44.560  1.95 1.612e+04  99.0000 
OBS: 59830.1738 Y WFD -5.5902e-02  5.334e-02    0  1.000 43.360  1.46 2.276e+04  99.0000 
OBS: 59837.2268 r WFD  1.6676e-02  1.078e-02    0  1.000 44.940  1.39 2.070e+04  99.0000 
OBS: 59837.2916 i WFD -5.7461e-03  1.145e-02    0  1.000 45.360  1.58 2.847e+04  99.0000 
OBS: 59844.0721 r WFD  8.0213e-03  8.577e-03    0  1.000 44.820  1.88 1.090e+04  99.0000 
OBS: 59851.1496 u WFD  6.4612e-03  1.684e-02    0  1.000 42.070  2.22 1.436e+03  99.0000 
OBS: 59853.0612 r WFD  1.3194e-02  8.765e-03    0  1.000 44.840  1.85 1.153e+04  99.0000 
OBS: 59857.9976 z WFD  4.7279e-02  3.811e-02    0  1.000 44.250  1.62 3.326e+04  99.0000 
OBS: 59860.0154 Y WFD  1.4049e-03  5.153e-02    0  1.000 44.070  1.68 3.674e+04  99.0000 
OBS: 59864.1638 i WFD -9.7292e-03  2.872e-02    0  1.000 43.890  1.62 1.799e+04  99.0000 
OBS: 59872.1395 i WFD -4.3391e-03  1.012e-02    0  1.000 44.590  1.40 1.397e+04  99.0000 
OBS: 59901.1233 r WFD -8.8008e-03  9.916e-03    0  1.000 44.820  2.19 1.082e+04  99.0000 
OBS: 59905.0926 u WFD -1.6281e-02  2.263e-02    0  1.000 41.270  2.02 1.015e+03  99.0000 
OBS: 59908.0877 u WFD -6.0878e-04  3.523e-02    0  1.000 41.220  3.05 9.993e+02  99.0000 
OBS: 59919.0455 z WFD  4.4973e-02  3.117e-02    0  1.000 44.270  1.72 2.610e+04  99.0000 
OBS: 59923.0850 i WFD -1.0029e-02  2.962e-02    0  1.000 43.860  1.71 1.710e+04  99.0000 
OBS: 59928.0963 g WFD  1.3972e-02  6.967e-03    0  1.000 44.710  2.14 7.030e+03  99.0000 
OBS: 59934.0746 u WFD  2.1242e-02  1.910e-02    0  1.000 41.180  1.55 1.028e+03  99.0000 
OBS: 60068.4135 Y WFD  4.4225e-02  1.442e-01    0  1.000 42.510  2.78 1.476e+04  99.0000 
OBS: 60071.4259 Y WFD  2.1569e-01  1.130e-01    0  1.000 42.550  1.84 1.814e+04  99.0000 
OBS: 60082.4183 r WFD  6.0397e-03  1.163e-02    0  1.000 44.070  1.76 7.912e+03  99.0000 
OBS: 60085.3890 r WFD  4.2807e-03  9.969e-03    0  1.000 44.800  2.07 1.130e+04  99.0000 
OBS: 60095.3610 i WFD -2.7071e-03  1.120e-02    0  1.000 45.750  2.39 2.637e+04  99.0000 
OBS: 60113.2875 u WFD  2.5714e-02  2.191e-02    0  1.000 41.070  1.70 9.708e+02  99.0000 
OBS: 60118.3195 u WFD -8.6020e-02  3.865e-02    0  1.000 41.130  3.18 9.677e+02  99.0000 
OBS: 60121.3503 i WFD  1.2111e-02  1.218e-02    0  1.000 44.580  1.64 1.423e+04  99.0000 
OBS: 60125.3136 z WFD  7.3568e-04  2.881e-02    0  1.000 44.260  1.83 2.246e+04  99.0000 
OBS: 60126.3185 z WFD  2.9174e-02  2.689e-02    0  1.000 44.270  1.61 2.405e+04  99.0000 
OBS: 60128.2608 Y WFD -2.1130e-02  4.504e-02    0  1.000 44.480  1.92 4.099e+04  99.0000 
