SURVEY:   LSST
SNID:     1273135
IAUC:     NULL
SNTYPE:   110
RA:       24.287289  # deg
DEC:      0.381132  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0250 +- 0.0013  # MW E(B-V) 
PEAKMJD:  59805.004     # estimate for LC fit codes
MJD_TRIGGER:       59788.414  
MJD_DETECT_FIRST:  59785.426  
MJD_DETECT_LAST:   60128.406  

REDSHIFT_HELIO:   1.149053 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.146933 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5940277106  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1491  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          24.287320    # deg 
HOSTGAL_DEC:         0.381107    # deg 
HOSTGAL_SNSEP:       0.064       # arcsec 
HOSTGAL_DDLR:        0.524       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.354 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.300
HOSTGAL_SQRADIUS:     8.360   # Ixx + Iyy
HOSTGAL_MAG:     24.72  24.64  24.00  23.28  22.47  22.13 # ugrizY
HOSTGAL_MAGERR:   0.11   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18135    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.14905  
SIM_REDSHIFT_CMB:    1.14693  
SIM_REDSHIFT_HOST:   1.17483  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5940277106 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.019 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.354 -9.000 
SIM_DLMU:            44.4706   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0142   # mag 
SIM_RA:              24.287289     # deg  
SIM_DEC:             0.381132      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0225   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59805.004    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.5520e-06 
SIM_SALT2x1:         -0.5514 
SIM_SALT2c:          -0.0081 
SIM_SALT2mB:         25.1578 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.12  # days 
SIM_TRESTMAX:        397.35  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.43  29.89  26.57  25.24  24.44  24.49  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 140 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59785.4276 z WFD  8.2926e+00  5.130e-02 4096  1.000 43.490  2.51 1.434e+04  25.2136 
OBS: 59788.4148 i WFD  5.3346e+00  2.726e-02 6144  1.000 43.820  2.41 1.075e+04  25.6749 
OBS: 59788.4262 z WFD  1.0916e+01  4.345e-02 4096  1.000 43.490  2.13 1.431e+04  24.9100 
OBS: 59789.3795 r WFD  2.2247e+00  8.699e-03 4096  1.000 45.590  2.54 1.662e+04  26.6281 
OBS: 59790.3831 g WFD  6.2001e-01  8.797e-03 4096  1.000 44.810  2.75 7.570e+03  28.0079 
OBS: 59793.4071 i WFD  7.3602e+00  1.554e-02 4096  1.000 44.570  1.94 1.517e+04  25.3275 
OBS: 59799.3546 z WFD  1.6513e+01  3.194e-02 4096  1.000 44.240  2.20 2.030e+04  24.4554 
OBS: 59810.4266 Y WFD  1.5041e+01  7.559e-02 4096  1.000 43.300  1.60 2.782e+04  24.5586 
OBS: 59811.2985 i WFD  6.4181e+00  1.055e-02 4096  1.000 45.330  1.72 2.341e+04  25.4850 
OBS: 59812.2461 r WFD  1.5419e+00  1.949e-02 4096  1.000 44.010  2.63 8.393e+03  27.0428 
OBS: 59812.2648 g WFD  4.3165e-03  1.166e-02    0  1.000 43.980  2.49 5.164e+03  31.9799 
OBS: 59812.2749 r WFD  1.5270e+00  1.457e-02 4096  1.000 44.050  2.06 8.307e+03  27.0455 
OBS: 59812.2911 g WFD  1.6903e-02  1.078e-02    0  1.000 44.020  2.38 5.180e+03  32.0293 
OBS: 59817.4181 z WFD  1.2722e+01  2.890e-02 4096  1.000 44.240  1.68 2.406e+04  24.7399 
OBS: 59818.3296 u WFD -2.1879e-02  2.055e-02    0  1.000 41.240  1.73 1.047e+03  99.0000 
OBS: 59819.2416 u WFD  9.6527e-02  3.228e-02    0  1.000 41.040  2.42 9.771e+02  99.0000 
OBS: 59819.4155 z WFD  1.1821e+01  3.956e-02 4096  1.000 44.240  1.92 2.884e+04  24.8234 
OBS: 59821.4224 z WFD  1.0946e+01  8.877e-02 4096  1.000 43.490  2.12 2.939e+04  24.9174 
OBS: 59831.2155 Y WFD  7.7281e+00  4.022e-02 4096  1.000 44.480  1.68 4.182e+04  25.2845 
OBS: 59841.1780 g WFD  1.1083e-01  7.854e-03 4096  1.000 44.730  2.38 7.257e+03  29.7840 
OBS: 59844.1853 r WFD  4.1280e-01  8.513e-03 4096  1.000 44.790  1.69 1.171e+04  28.4646 
OBS: 59846.1818 i WFD  8.7288e-01  2.270e-02 4096  1.000 44.560  2.72 1.570e+04  27.6308 
OBS: 59856.1836 i WFD  5.1742e-01  1.278e-02 4096  1.000 45.340  1.86 2.651e+04  28.2009 
OBS: 59869.2245 r WFD  1.6076e-01  1.044e-02 4096  1.000 44.840  2.04 1.246e+04  29.5740 
OBS: 59871.1023 r WFD  1.1712e-01  6.022e-03 4096  1.000 45.560  1.68 1.693e+04  29.8005 
OBS: 59875.1089 u WFD -3.7555e-02  2.335e-02    0  1.000 41.170  1.86 1.037e+03  99.0000 
OBS: 59876.0933 u WFD -4.9100e-02  3.765e-02    0  1.000 41.110  2.90 1.015e+03  99.0000 
OBS: 59879.1517 g WFD  3.4232e-01  4.787e-03 4096  1.000 44.820  1.52 7.520e+03  28.6607 
OBS: 59883.1263 i WFD  3.8470e-01  1.056e-02 4096  1.000 44.580  1.28 1.580e+04  28.5454 
OBS: 59884.0761 Y WFD  1.1490e+00  6.649e-02 4096  1.000 42.530  1.39 1.387e+04  27.3138 
OBS: 59885.0530 Y WFD  1.0867e+00  7.914e-02 4096  1.000 42.520  1.57 1.448e+04  27.3266 
OBS: 59885.0813 z WFD  8.2200e-01  2.517e-02 4096  1.000 44.250  1.58 2.252e+04  27.7197 
OBS: 59886.1123 z WFD  7.9480e-01  2.552e-02 4096  1.000 44.250  1.49 2.421e+04  27.7287 
OBS: 59896.0280 Y WFD  1.1690e+00  7.235e-02 4096  1.000 43.270  2.09 1.985e+04  27.4551 
OBS: 59897.0092 z WFD  5.9463e-01  1.194e-01 4096  1.000 43.490  2.80 2.993e+04  27.8257 
OBS: 59898.0247 Y WFD  1.1004e+00  9.471e-02 4096  1.000 42.510  1.89 1.427e+04  27.4814 
