SURVEY:   LSST
SNID:     1273360
IAUC:     NULL
SNTYPE:   110
RA:       150.622426  # deg
DEC:      -50.366878  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.4982 +- 0.0249  # MW E(B-V) 
PEAKMJD:  60588.359     # estimate for LC fit codes
MJD_TRIGGER:       60661.332  
MJD_DETECT_FIRST:  60628.305  
MJD_DETECT_LAST:   60661.332  

REDSHIFT_HELIO:   1.501430 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.503584 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6129821178  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5014  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          150.622444    # deg 
HOSTGAL_DEC:         -50.366864    # deg 
HOSTGAL_SNSEP:       0.039       # arcsec 
HOSTGAL_DDLR:        0.394       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.692 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.163
HOSTGAL_SQRADIUS:     6.066   # Ixx + Iyy
HOSTGAL_MAG:     26.31  25.96  25.69  25.58  25.42  25.06 # ugrizY
HOSTGAL_MAGERR:   0.06   0.02   0.02   0.03   0.05   0.09 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18360    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.50143  
SIM_REDSHIFT_CMB:    1.50359  
SIM_REDSHIFT_HOST:   1.43248  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6129821178 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.175 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.692 -9.000 
SIM_DLMU:            45.1936   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0024   # mag 
SIM_RA:              150.622421     # deg  
SIM_DEC:             -50.366879      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.4726   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60588.359    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.8646e-07 
SIM_SALT2x1:         -1.4758 
SIM_SALT2c:          0.0027 
SIM_SALT2mB:         26.0435 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -402.57  # days 
SIM_TRESTMAX:        33.89  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   39.14  34.27  31.32  27.90  26.59  26.00  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59581.3549 z WFD -6.4920e-03  3.476e-02    0  1.000 44.270  1.87 2.677e+04  99.0000 
OBS: 59582.3611 z WFD  2.3249e-02  8.363e-02    0  1.000 43.520  3.08 1.960e+04  99.0000 
OBS: 59589.1636 Y WFD -2.0654e-02  1.038e-01    0  1.000 42.510  2.12 1.395e+04  99.0000 
OBS: 59590.3308 i WFD -8.6991e-03  1.114e-02    0  1.000 44.580  1.54 1.386e+04  99.0000 
OBS: 59594.1653 Y WFD -4.6679e-02  7.796e-02    0  1.000 42.540  1.56 1.463e+04  99.0000 
OBS: 59597.2160 Y WFD  1.0309e-01  1.350e-01    0  1.000 42.580  2.73 1.501e+04  99.0000 
OBS: 59599.3673 z WFD -1.2097e-02  4.979e-02    0  1.000 43.520  1.81 1.985e+04  99.0000 
OBS: 59607.3287 g WFD -3.6671e-03  4.288e-03    0  1.000 45.570  2.08 9.828e+03  99.0000 
OBS: 59628.3695 z WFD  4.1927e-03  5.532e-02    0  1.000 43.480  1.73 2.224e+04  99.0000 
OBS: 59631.3519 i WFD -5.7815e-02  2.460e-02    0  1.000 44.580  1.96 2.405e+04  99.0000 
OBS: 59634.0252 Y WFD  1.9139e-02  7.435e-02    0  1.000 43.250  2.05 2.041e+04  99.0000 
OBS: 59654.0603 Y WFD  7.8831e-02  7.566e-02    0  1.000 43.310  2.17 2.074e+04  99.0000 
OBS: 59678.9914 Y WFD  1.3948e-02  6.715e-02    0  1.000 42.570  1.52 1.329e+04  99.0000 
OBS: 59683.0298 Y WFD -6.5696e-03  5.388e-02    0  1.000 42.580  1.16 1.410e+04  99.0000 
OBS: 59685.1179 Y WFD  9.1533e-02  6.553e-02    0  1.000 42.580  1.26 1.579e+04  99.0000 
OBS: 59686.1456 Y WFD -7.1035e-02  5.791e-02    0  1.000 43.310  1.52 2.266e+04  99.0000 
OBS: 59687.0833 z WFD  2.2651e-02  2.075e-02    0  1.000 45.030  1.57 3.832e+04  99.0000 
OBS: 59708.9964 i WFD  1.4909e-03  1.712e-02    0  1.000 44.600  1.92 1.740e+04  99.0000 
OBS: 59712.0516 Y WFD -1.8786e-01  8.741e-02    0  1.000 42.560  1.83 1.424e+04  99.0000 
OBS: 59713.0749 Y WFD  5.4175e-03  7.563e-02    0  1.000 42.560  1.50 1.503e+04  99.0000 
OBS: 59718.1037 i WFD -3.1754e-02  2.130e-02    0  1.000 45.030  2.15 2.873e+04  99.0000 
OBS: 59768.9765 z WFD -2.2816e-02  4.692e-02    0  1.000 43.480  1.91 1.709e+04  99.0000 
OBS: 59876.3656 z WFD -5.1314e-02  5.377e-02    0  1.000 43.480  2.21 1.692e+04  99.0000 
OBS: 59887.3498 r WFD -1.1319e-02  1.455e-02    0  1.000 44.030  2.07 8.114e+03  99.0000 
OBS: 59902.3304 r WFD  1.0328e-04  1.173e-02    0  1.000 45.240  2.88 1.433e+04  99.0000 
OBS: 59905.3081 u WFD  2.9080e-02  3.402e-02    0  1.000 41.080  2.69 9.613e+02  99.0000 
OBS: 59911.3545 z WFD  4.1379e-03  5.468e-02    0  1.000 43.530  1.79 2.225e+04  99.0000 
OBS: 59913.3066 r WFD  5.2906e-03  8.193e-03    0  1.000 44.800  1.78 1.080e+04  99.0000 
OBS: 59916.3564 z WFD  3.4948e-03  5.387e-02    0  1.000 43.530  1.42 2.763e+04  99.0000 
OBS: 59918.3449 z WFD -5.7561e-03  2.422e-02    0  1.000 44.260  1.44 2.400e+04  99.0000 
OBS: 59926.3544 z WFD  9.4749e-03  4.678e-02    0  1.000 43.530  1.48 2.302e+04  99.0000 
OBS: 59929.2782 r WFD -1.9201e-03  7.508e-03    0  1.000 45.610  1.79 2.075e+04  99.0000 
OBS: 59931.3328 g WFD  7.9179e-03  8.014e-03    0  1.000 44.140  1.68 6.094e+03  99.0000 
OBS: 59935.2204 i WFD  1.5262e-03  8.744e-03    0  1.000 45.300  1.50 2.168e+04  99.0000 
OBS: 59935.3557 z WFD -1.1382e-02  3.330e-02    0  1.000 43.520  1.19 2.020e+04  99.0000 
OBS: 59950.2307 Y WFD -1.1386e-02  2.877e-02    0  1.000 45.170  1.93 4.918e+04  99.0000 
OBS: 59951.2852 z WFD -3.9160e-03  3.268e-02    0  1.000 44.270  1.80 2.614e+04  99.0000 
