SURVEY:   LSST
SNID:     1273378
IAUC:     NULL
SNTYPE:   10
RA:       324.960268  # deg
DEC:      -60.062174  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0325 +- 0.0016  # MW E(B-V) 
PEAKMJD:  60111.887     # estimate for LC fit codes
MJD_TRIGGER:       60111.230  
MJD_DETECT_FIRST:  60102.246  
MJD_DETECT_LAST:   60588.078  

REDSHIFT_HELIO:   0.216335 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.215812 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8000040288  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.2163  +- 0.0100 
HOSTGAL_SPECZ:       0.2163  +- 0.0000 
HOSTGAL_RA:          324.960258    # deg 
HOSTGAL_DEC:         -60.062181    # deg 
HOSTGAL_SNSEP:       0.020       # arcsec 
HOSTGAL_DDLR:        0.027       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.948 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.708
HOSTGAL_SQRADIUS:     57.960   # Ixx + Iyy
HOSTGAL_MAG:     21.95  20.97  20.07  19.65  19.37  19.12 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18378    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.21633  
SIM_REDSHIFT_CMB:    0.21581  
SIM_REDSHIFT_HOST:   0.22581  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8000040288 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.155 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.948 -9.000 
SIM_DLMU:            40.1423   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0018   # mag 
SIM_RA:              324.960266     # deg  
SIM_DEC:             -60.062176      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0301   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60111.887    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         8.4949e-05 
SIM_SALT2x1:         0.1423 
SIM_SALT2c:          0.0177 
SIM_SALT2mB:         20.8121 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9800  # spectro-search efficiency 
SIM_TRESTMIN:        -317.04  # days 
SIM_TRESTMAX:        429.45  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.61  21.05  20.90  20.94  21.43  21.57  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 94 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59726.4239 z WFD -1.5334e-03  3.590e-02    0  1.000 43.500  1.81 1.405e+04  99.0000 
OBS: 59749.2716 z WFD -1.0654e-02  1.765e-02    0  1.000 45.750  2.02 4.919e+04  99.0000 
OBS: 59754.1943 i WFD -3.4770e-04  1.601e-02    0  1.000 44.540  1.90 1.556e+04  99.0000 
OBS: 59767.1843 Y WFD -4.0516e-02  8.574e-02    0  1.000 43.260  2.46 1.980e+04  99.0000 
OBS: 59773.2261 Y WFD  4.7435e-02  6.393e-02    0  1.000 43.320  1.56 2.460e+04  99.0000 
OBS: 59775.3294 z WFD -3.6403e-02  6.176e-02    0  1.000 44.270  2.66 3.344e+04  99.0000 
OBS: 59778.4376 Y WFD  6.2640e-02  1.804e-01    0  1.000 42.520  3.09 1.678e+04  99.0000 
OBS: 59798.3837 g WFD -4.0739e-03  7.658e-03    0  1.000 44.690  2.44 6.653e+03  99.0000 
OBS: 59802.2151 Y WFD  9.5451e-02  9.272e-02    0  1.000 42.590  1.58 1.798e+04  99.0000 
OBS: 59804.1199 z WFD -1.8842e-02  2.587e-02    0  1.000 45.020  1.58 4.705e+04  99.0000 
OBS: 59806.2677 i WFD -7.2154e-04  2.868e-02    0  1.000 43.860  1.64 1.726e+04  99.0000 
OBS: 59809.1616 r WFD -1.0471e-02  6.036e-03    0  1.000 44.810  1.35 1.059e+04  99.0000 
OBS: 59812.0726 g WFD -1.1688e-03  3.869e-03    0  1.000 45.490  1.84 9.313e+03  99.0000 
OBS: 59819.0930 u WFD  1.5779e-02  2.123e-02    0  1.000 41.200  1.81 9.961e+02  99.0000 
OBS: 59821.0735 r WFD  2.9323e-03  8.582e-03    0  1.000 44.810  1.89 1.075e+04  99.0000 
OBS: 59824.0238 i WFD -1.2062e-02  1.792e-02    0  1.000 44.560  2.14 1.575e+04  99.0000 
OBS: 59830.0680 Y WFD -2.7105e-02  7.007e-02    0  1.000 44.060  2.16 3.850e+04  99.0000 
OBS: 59831.0114 Y WFD -4.1149e-02  4.589e-02    0  1.000 44.290  1.72 3.913e+04  99.0000 
OBS: 59853.0842 r WFD  8.3052e-03  6.881e-03    0  1.000 45.580  2.04 1.623e+04  99.0000 
OBS: 59858.0262 z WFD  5.8249e-03  2.659e-02    0  1.000 44.260  1.42 2.672e+04  99.0000 
OBS: 59872.1190 i WFD  6.5822e-03  1.170e-02    0  1.000 44.560  1.47 1.497e+04  99.0000 
OBS: 59874.1051 u WFD -5.6700e-03  1.751e-02    0  1.000 41.250  1.52 1.025e+03  99.0000 
OBS: 59883.0415 i WFD -1.1355e-02  1.047e-02    0  1.000 44.580  1.25 1.605e+04  99.0000 
OBS: 60041.4096 z WFD  2.1609e-03  6.402e-02    0  1.000 43.490  2.16 2.081e+04  99.0000 
OBS: 60052.3975 i WFD  1.8905e-02  1.390e-02    0  1.000 44.560  1.69 1.547e+04  99.0000 
OBS: 60057.3662 g WFD -4.3079e-04  5.831e-03    0  1.000 44.690  1.85 6.682e+03  99.0000 
OBS: 60059.3678 i WFD -1.9013e-02  1.647e-02    0  1.000 44.550  1.98 1.550e+04  99.0000 
OBS: 60061.3680 i WFD  2.3292e-02  1.740e-02    0  1.000 44.560  2.12 1.544e+04  99.0000 
OBS: 60063.3869 r WFD -6.1912e-03  8.657e-03    0  1.000 45.230  2.26 1.335e+04  99.0000 
OBS: 60065.3769 r WFD -1.4163e-02  9.301e-03    0  1.000 44.780  1.97 1.088e+04  99.0000 
OBS: 60068.3642 Y WFD -1.4077e-01  6.725e-02    0  1.000 43.290  1.84 2.134e+04  99.0000 
OBS: 60069.3582 z WFD  4.2644e-03  2.851e-02    0  1.000 45.000  1.97 4.082e+04  99.0000 
OBS: 60071.3320 Y WFD -2.1622e-02  4.315e-02    0  1.000 44.270  1.71 3.634e+04  99.0000 
OBS: 60078.3273 r WFD  2.3189e-03  8.143e-03    0  1.000 44.810  1.55 1.244e+04  99.0000 
OBS: 60080.4042 u WFD -2.3387e-02  1.727e-02    0  1.000 41.250  1.49 1.031e+03  99.0000 
OBS: 60102.2468 Y WFD  1.7639e+02  9.879e-02 4096  1.000 42.520  1.70 1.655e+04  21.8833 
OBS: 60111.2303 r WFD  4.3450e+02  1.156e-02 6144  1.000 44.780  1.88 1.098e+04  20.9050 
OBS: 60113.3010 u WFD  7.9711e+01  2.522e-02 4096  1.000 41.210  1.67 9.930e+02  22.7463 
OBS: 60118.2111 u WFD  4.8582e+01  3.128e-02 4096  1.000 41.020  2.15 9.392e+02  23.2831 
OBS: 60120.2110 g WFD  2.6553e+02  9.680e-03 4096  1.000 44.720  2.55 6.584e+03  21.4396 
OBS: 60121.2226 i WFD  3.5063e+02  1.786e-02 4096  1.000 44.560  2.03 1.512e+04  21.1378 
OBS: 60122.2223 r WFD  3.5088e+02  1.173e-02 4096  1.000 44.830  1.76 1.347e+04  21.1371 
OBS: 60123.2170 i WFD  3.1506e+02  1.998e-02 4096  1.000 44.580  1.90 1.895e+04  21.2540 
OBS: 60126.1990 z WFD  1.5664e+02  3.909e-02 4096  1.000 44.250  1.98 2.762e+04  22.0127 
OBS: 60128.2215 Y WFD  1.2496e+02  1.005e-01 4096  1.000 42.550  1.69 1.746e+04  22.2566 
OBS: 60129.2561 Y WFD  1.2458e+02  1.154e-01 4096  1.000 42.570  2.00 1.729e+04  22.2609 
OBS: 60130.2251 z WFD  1.3850e+02  1.814e-02 4096  1.000 46.520  2.18 9.470e+04  22.1462 
OBS: 60138.2039 i WFD  2.0829e+02  2.205e-02 4096  1.000 44.560  2.70 1.486e+04  21.7035 
OBS: 60145.1413 u WFD  3.9131e+00  2.840e-02 4096  1.000 41.030  2.16 9.455e+02  26.0176 
OBS: 60148.1432 r WFD  1.0142e+02  1.037e-02 4096  1.000 44.770  2.01 1.106e+04  22.4846 
OBS: 60158.2244 Y WFD  9.0952e+01  1.006e-01 4096  1.000 42.590  1.76 1.745e+04  22.6023 
OBS: 60161.2870 i WFD  8.9770e+01  3.013e-02 4096  1.000 44.610  2.52 2.338e+04  22.6173 
OBS: 60163.1046 g WFD  1.8127e+01  7.947e-03 4096  1.000 44.700  2.52 6.619e+03  24.3537 
OBS: 60164.1077 r WFD  5.4950e+01  1.169e-02 4096  1.000 44.780  2.38 1.103e+04  23.1505 
OBS: 60183.0495 Y WFD  3.8010e+01  5.904e-02 4096  1.000 44.040  2.32 2.961e+04  23.5517 
