SURVEY:   LSST
SNID:     1273763
IAUC:     NULL
SNTYPE:   110
RA:       161.047483  # deg
DEC:      2.284806  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0356 +- 0.0018  # MW E(B-V) 
PEAKMJD:  60453.750     # estimate for LC fit codes
MJD_TRIGGER:       60428.113  
MJD_DETECT_FIRST:  60426.133  
MJD_DETECT_LAST:   60658.336  

REDSHIFT_HELIO:   1.107467 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.110018 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10442335814  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1075  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          161.047345    # deg 
HOSTGAL_DEC:         2.284657    # deg 
HOSTGAL_SNSEP:       0.327       # arcsec 
HOSTGAL_DDLR:        1.955       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.000 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.380
HOSTGAL_SQRADIUS:     9.931   # Ixx + Iyy
HOSTGAL_MAG:     24.68  24.84  24.75  24.44  24.15  23.58 # ugrizY
HOSTGAL_MAGERR:   0.08   0.03   0.02   0.03   0.04   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18763    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.10747  
SIM_REDSHIFT_CMB:    1.11002  
SIM_REDSHIFT_HOST:   1.08620  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10442335814 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.647 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.000 -9.000 
SIM_DLMU:            44.3780   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0119   # mag 
SIM_RA:              161.047485     # deg  
SIM_DEC:             2.284806      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0381   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60453.750    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.5132e-06 
SIM_SALT2x1:         -1.7590 
SIM_SALT2c:          -0.0239 
SIM_SALT2mB:         25.1853 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -364.73  # days 
SIM_TRESTMAX:        98.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.41  30.79  26.60  25.25  24.52  24.58  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 61 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59685.0896 Y WFD  3.2583e-02  4.429e-02    0  1.000 43.760  1.25 3.190e+04  99.0000 
OBS: 59697.9661 z WFD  2.2853e-02  6.096e-02    0  1.000 43.500  2.33 1.854e+04  99.0000 
OBS: 59713.0209 Y WFD  1.1790e-01  7.113e-02    0  1.000 43.310  1.84 2.299e+04  99.0000 
OBS: 59718.0668 i WFD  6.6934e-03  2.054e-02    0  1.000 45.030  2.10 2.836e+04  99.0000 
OBS: 59920.3506 Y WFD -2.7602e-02  7.393e-02    0  1.000 43.730  1.85 3.500e+04  99.0000 
OBS: 59921.3538 z WFD  1.1862e-01  7.438e-02    0  1.000 43.510  1.97 2.700e+04  99.0000 
OBS: 59932.3458 z WFD -1.1898e-02  2.506e-02    0  1.000 44.250  1.46 2.426e+04  99.0000 
OBS: 59933.3473 z WFD -2.8479e-02  2.669e-02    0  1.000 44.250  1.39 2.715e+04  99.0000 
OBS: 59934.3188 g WFD -4.0308e-04  5.089e-03    0  1.000 44.770  1.52 7.640e+03  99.0000 
OBS: 59934.3465 z WFD -5.3316e-02  2.585e-02    0  1.000 44.250  1.46 2.503e+04  99.0000 
OBS: 59935.3209 i WFD  1.7066e-02  1.369e-02    0  1.000 44.560  1.62 1.589e+04  99.0000 
OBS: 59937.3144 r WFD -2.9725e-03  8.179e-03    0  1.000 45.560  2.28 1.695e+04  99.0000 
OBS: 59942.2997 r WFD -1.6771e-03  5.686e-03    0  1.000 45.560  1.60 1.679e+04  99.0000 
OBS: 59944.2841 i WFD  2.7321e-02  1.598e-02    0  1.000 44.560  1.91 1.574e+04  99.0000 
OBS: 59953.2659 Y WFD -3.6025e-02  6.015e-02    0  1.000 43.740  1.68 3.165e+04  99.0000 
OBS: 59966.2343 i WFD -2.7660e-03  2.359e-02    0  1.000 44.560  2.83 1.568e+04  99.0000 
OBS: 59967.3742 z WFD -1.0330e-02  4.774e-02    0  1.000 43.500  1.63 2.075e+04  99.0000 
OBS: 59968.3124 u WFD -2.7990e-03  3.623e-02    0  1.000 41.160  2.94 1.009e+03  99.0000 
OBS: 59972.2214 r WFD  1.4761e-02  1.087e-02    0  1.000 44.800  2.19 1.165e+04  99.0000 
OBS: 59973.2403 g WFD  7.5243e-03  4.788e-03    0  1.000 44.810  1.53 7.409e+03  99.0000 
OBS: 59979.1874 Y WFD  5.6279e-02  5.998e-02    0  1.000 43.280  1.41 2.461e+04  99.0000 
OBS: 59980.2023 Y WFD -1.5542e-02  9.579e-02    0  1.000 42.550  1.48 1.912e+04  99.0000 
OBS: 59987.2032 i WFD  1.8204e-02  1.729e-02    0  1.000 44.600  1.61 2.096e+04  99.0000 
OBS: 59994.1441 r WFD -5.0120e-03  9.352e-03    0  1.000 45.550  2.60 1.684e+04  99.0000 
OBS: 59995.1365 r WFD  3.2517e-03  8.285e-03    0  1.000 44.780  1.60 1.193e+04  99.0000 
OBS: 59997.1419 u WFD  1.8762e-02  1.786e-02    0  1.000 41.870  1.95 1.442e+03  99.0000 
OBS: 60005.1435 z WFD -1.7699e-02  2.644e-02    0  1.000 44.250  1.55 2.412e+04  99.0000 
OBS: 60013.1058 z WFD  5.9454e-02  4.306e-02    0  1.000 44.260  1.85 3.321e+04  99.0000 
OBS: 60087.0734 g WFD  2.0380e-03  7.433e-03    0  1.000 44.730  2.14 7.640e+03  99.0000 
OBS: 60100.0260 Y WFD  2.1514e-01  1.093e-01    0  1.000 42.520  2.03 1.547e+04  99.0000 
OBS: 60102.9564 Y WFD -8.4147e-02  8.066e-02    0  1.000 42.560  1.58 1.522e+04  99.0000 
OBS: 60132.9565 z WFD -4.7987e-02  5.932e-02    0  1.000 43.480  1.66 2.486e+04  99.0000 
OBS: 60319.3694 z WFD -1.4749e-02  5.862e-02    0  1.000 43.520  1.47 2.878e+04  99.0000 
OBS: 60320.3600 z WFD  6.4575e-02  3.110e-02    0  1.000 43.500  1.38 1.597e+04  99.0000 
OBS: 60322.3584 z WFD -9.5414e-03  2.445e-02    0  1.000 44.250  1.51 2.289e+04  99.0000 
OBS: 60324.2933 r WFD  1.9902e-03  9.981e-03    0  1.000 44.820  2.07 1.152e+04  99.0000 
OBS: 60332.2153 Y WFD -6.5762e-02  5.703e-02    0  1.000 44.030  2.13 3.091e+04  99.0000 
