SURVEY:   LSST
SNID:     1273800
IAUC:     NULL
SNTYPE:   110
RA:       309.592150  # deg
DEC:      -5.216076  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0493 +- 0.0025  # MW E(B-V) 
PEAKMJD:  59696.465     # estimate for LC fit codes
MJD_TRIGGER:       59722.324  
MJD_DETECT_FIRST:  59715.348  
MJD_DETECT_LAST:   60168.086  

REDSHIFT_HELIO:   0.741034 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.739394 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10438532673  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7410  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          309.592138    # deg 
HOSTGAL_DEC:         -5.216087    # deg 
HOSTGAL_SNSEP:       0.026       # arcsec 
HOSTGAL_DDLR:        0.165       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.698 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.433
HOSTGAL_SQRADIUS:     12.245   # Ixx + Iyy
HOSTGAL_MAG:     28.15  26.69  25.32  24.25  23.88  23.64 # ugrizY
HOSTGAL_MAGERR:   2.82   0.14   0.04   0.02   0.03   0.05 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18800    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.74103  
SIM_REDSHIFT_CMB:    0.73940  
SIM_REDSHIFT_HOST:   0.72827  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10438532673 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.195 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.698 -9.000 
SIM_DLMU:            43.2946   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0268   # mag 
SIM_RA:              309.592163     # deg  
SIM_DEC:             -5.216076      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0463   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59696.465    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         4.5591e-06 
SIM_SALT2x1:         -0.1525 
SIM_SALT2c:          0.0119 
SIM_SALT2mB:         23.9878 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0268  # spectro-search efficiency 
SIM_TRESTMIN:        10.84  # days 
SIM_TRESTMAX:        534.99  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.81  26.14  24.23  23.53  23.70  23.63  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 114 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59715.3466 Y WFD  2.5276e+01  7.091e-02 4096  1.000 43.750  2.36 2.678e+04  23.9924 
OBS: 59722.3247 z WFD  1.6509e+01  2.413e-02 6144  1.000 45.010  2.23 3.076e+04  24.4538 
OBS: 59752.2299 i WFD  3.0655e+00  1.800e-02 4096  1.000 44.570  2.24 1.525e+04  26.2876 
OBS: 59767.1443 Y WFD  7.0132e+00  1.207e-01 4096  1.000 42.490  2.35 1.435e+04  25.3801 
OBS: 59772.1951 Y WFD  6.2635e+00  1.254e-01 4096  1.000 42.560  2.29 1.632e+04  25.4911 
OBS: 59777.2495 Y WFD  5.7509e+00  6.005e-02 4096  1.000 44.330  2.71 3.372e+04  25.5868 
OBS: 59789.1307 r WFD  6.2146e-01  1.064e-02 4096  1.000 44.810  2.17 1.161e+04  27.9976 
OBS: 59790.2282 g WFD  1.0541e-01  7.583e-03 4096  1.000 44.840  2.47 7.472e+03  29.8566 
OBS: 59804.1889 z WFD  2.0111e+00  3.182e-02 4096  1.000 45.020  1.66 5.508e+04  26.7330 
OBS: 59806.1165 i WFD  1.5952e+00  1.687e-02 4096  1.000 45.380  1.82 3.709e+04  27.0006 
OBS: 59807.1143 r WFD  4.9011e-01  1.429e-02 4096  1.000 44.130  1.43 1.265e+04  28.2538 
OBS: 59808.1420 r WFD  4.9926e-01  8.214e-03 4096  1.000 44.870  1.55 1.326e+04  28.2683 
OBS: 59811.0823 r WFD  4.6324e-01  1.025e-02 4096  1.000 44.820  2.15 1.139e+04  28.3096 
OBS: 59818.0633 u WFD  1.7391e-02  1.747e-02    0  1.000 41.970  2.06 1.464e+03  99.0000 
OBS: 59820.0459 i WFD  1.4062e+00  1.071e-02 4096  1.000 45.320  1.88 2.158e+04  27.1397 
OBS: 59836.0222 r WFD  3.5008e-01  7.463e-03 4096  1.000 44.820  1.59 1.121e+04  28.6547 
OBS: 59838.9857 z WFD  1.4075e+00  3.432e-02 4096  1.000 44.250  1.78 2.726e+04  27.1639 
OBS: 59839.0121 i WFD  1.1834e+00  2.015e-02 4096  1.000 43.820  1.79 1.070e+04  27.3281 
OBS: 59840.9913 Y WFD  2.2866e+00  4.857e-02 4096  1.000 43.740  1.70 2.525e+04  26.6202 
OBS: 59841.0242 g WFD  6.7311e-02  5.245e-03 4096  1.000 44.800  1.73 7.112e+03  30.5660 
OBS: 59843.9938 z WFD  1.2961e+00  2.300e-02 4096  1.000 44.250  1.52 2.139e+04  27.2248 
OBS: 59859.0155 Y WFD  1.7612e+00  2.810e-02 4096  1.000 44.850  1.50 4.602e+04  26.8878 
OBS: 59869.0809 r WFD  2.4164e-01  1.041e-02 4096  1.000 44.810  2.09 1.179e+04  29.0972 
OBS: 59877.0445 u WFD  2.0398e-02  1.590e-02    0  1.000 41.960  1.83 1.486e+03  99.0000 
OBS: 60046.4109 Y WFD  2.8948e-01  8.759e-02    0  1.000 42.540  1.62 1.582e+04  29.0366 
OBS: 60051.4054 r WFD  3.8824e-02  1.031e-02    0  1.000 44.070  1.38 8.949e+03  31.2994 
OBS: 60051.4129 z WFD  1.6016e-01  2.010e-02 4096  1.000 44.250  1.30 2.186e+04  29.4771 
OBS: 60055.3868 g WFD  2.8901e-03  5.493e-03    0  1.000 44.770  1.62 7.738e+03  33.1875 
OBS: 60058.3968 r WFD  3.1332e-02  1.355e-02    0  1.000 44.060  1.88 8.551e+03  31.3781 
OBS: 60060.3779 r WFD  2.8607e-02  9.812e-03    0  1.000 44.820  1.92 1.221e+04  31.4003 
OBS: 60062.3839 r WFD  2.4301e-02  9.990e-03    0  1.000 45.270  2.46 1.469e+04  31.4228 
OBS: 60064.3764 i WFD  1.6254e-01  9.534e-03 4096  1.000 45.760  2.00 2.708e+04  29.4608 
OBS: 60065.4176 Y WFD  1.3049e-01  7.200e-02    0  1.000 43.330  2.25 1.939e+04  29.2079 
OBS: 60066.3883 i WFD  1.5936e-01  8.219e-03 4096  1.000 45.770  1.76 2.677e+04  29.4789 
OBS: 60067.4223 z WFD  1.6791e-01  3.450e-02    0  1.000 43.510  1.57 1.571e+04  29.6291 
OBS: 60072.3336 z WFD  1.3184e-01  3.385e-02 4096  1.000 44.250  1.67 2.866e+04  29.6751 
