SURVEY:   LSST
SNID:     1273859
IAUC:     NULL
SNTYPE:   110
RA:       358.530946  # deg
DEC:      -15.108481  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0317 +- 0.0016  # MW E(B-V) 
PEAKMJD:  59685.293     # estimate for LC fit codes
MJD_TRIGGER:       59768.441  
MJD_DETECT_FIRST:  59761.441  
MJD_DETECT_LAST:   59885.012  

REDSHIFT_HELIO:   1.346456 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.343824 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8816528841  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3465  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          358.530920    # deg 
HOSTGAL_DEC:         -15.108512    # deg 
HOSTGAL_SNSEP:       0.067       # arcsec 
HOSTGAL_DDLR:        0.351       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.688 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.604
HOSTGAL_SQRADIUS:     9.630   # Ixx + Iyy
HOSTGAL_MAG:     25.81  26.02  25.80  25.61  25.24  24.83 # ugrizY
HOSTGAL_MAGERR:   0.24   0.07   0.06   0.08   0.09   0.12 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           18859    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.34646  
SIM_REDSHIFT_CMB:    1.34382  
SIM_REDSHIFT_HOST:   1.31941  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8816528841 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.429 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.688 -9.000 
SIM_DLMU:            44.8965   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0016   # mag 
SIM_RA:              358.530945     # deg  
SIM_DEC:             -15.108480      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0356   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59685.293    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.3335e-06 
SIM_SALT2x1:         0.9444 
SIM_SALT2c:          -0.0248 
SIM_SALT2mB:         25.3225 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        32.45  # days 
SIM_TRESTMAX:        415.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   35.44  30.16  27.39  25.69  24.93  24.49  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59761.4401 z WFD  8.2961e-01  5.284e-02 4096  1.000 43.520  2.37 1.609e+04  27.8289 
OBS: 59768.4416 z WFD  5.8232e-01  7.484e-02 6144  1.000 43.520  3.10 1.742e+04  27.9388 
OBS: 59770.3196 Y WFD  1.0327e+00  7.449e-02 4096  1.000 42.570  1.66 1.350e+04  27.5256 
OBS: 59772.2693 Y WFD  9.6461e-01  1.269e-01 4096  1.000 42.540  2.41 1.542e+04  27.5498 
OBS: 59773.4293 Y WFD  1.0212e+00  5.313e-02 4096  1.000 43.330  1.52 2.117e+04  27.5598 
OBS: 59783.3193 r WFD  2.1977e-01  1.248e-02 4096  1.000 44.840  2.70 1.125e+04  29.1388 
OBS: 59790.3316 g WFD -4.9301e-03  5.202e-03    0  1.000 45.620  2.57 1.011e+04  34.5106 
OBS: 59796.2011 z WFD  4.8128e-01  4.392e-02 4096  1.000 44.230  2.88 2.117e+04  28.3885 
OBS: 59796.3868 r WFD -4.0474e-03  8.093e-03    0  1.000 45.590  2.50 1.572e+04  99.0000 
OBS: 59799.1995 z WFD  4.0384e-01  3.252e-02 4096  1.000 44.240  1.93 2.360e+04  28.4185 
OBS: 59808.2728 Y WFD  6.8483e-01  5.815e-02 4096  1.000 42.600  1.31 1.373e+04  27.8692 
OBS: 59808.2849 i WFD  1.3372e-01  1.166e-02 4096  1.000 45.390  1.48 3.184e+04  29.7068 
OBS: 59808.4203 z WFD  3.9603e-01  4.308e-02 4096  1.000 43.490  1.58 1.914e+04  28.5105 
OBS: 59810.2069 g WFD -1.4947e-03  8.577e-03    0  1.000 44.090  2.03 5.155e+03  99.0000 
OBS: 59810.2808 i WFD  1.0546e-01  1.322e-02 4096  1.000 44.610  1.61 1.617e+04  29.7282 
OBS: 59811.1810 i WFD  9.2853e-02  1.516e-02 4096  1.000 44.570  1.88 1.531e+04  29.7378 
OBS: 59817.1935 r WFD  3.6243e-03  4.731e-03    0  1.000 45.590  1.43 1.607e+04  99.0000 
OBS: 59818.1676 u WFD -2.7426e-02  1.170e-02    0  1.000 42.710  1.93 2.068e+03  38.8506 
OBS: 59823.1325 g WFD  9.8740e-03  9.110e-03    0  1.000 44.750  2.81 7.264e+03  99.0000 
OBS: 59824.1260 i WFD  1.2539e-01  1.669e-02 4096  1.000 44.560  1.94 1.618e+04  29.8752 
OBS: 59825.1213 z WFD  2.7355e-01  3.692e-02 4096  1.000 44.230  2.36 2.172e+04  28.6756 
OBS: 59827.1093 z WFD  3.6904e-01  3.428e-02 4096  1.000 44.230  2.05 2.321e+04  28.6951 
OBS: 59835.1492 Y WFD  5.8192e-01  4.021e-02 4096  1.000 44.080  1.55 3.136e+04  28.0834 
OBS: 59837.1226 r WFD  6.1893e-03  6.296e-03    0  1.000 45.600  1.64 1.882e+04  99.0000 
OBS: 59856.0296 Y WFD  5.4181e-01  7.682e-02 4096  1.000 43.250  2.11 2.049e+04  28.2484 
OBS: 59856.1329 i WFD  6.2986e-02  1.644e-02    0  1.000 44.620  1.71 1.911e+04  30.2084 
OBS: 59862.0795 z WFD  2.8492e-01  4.056e-02 4096  1.000 44.280  1.50 3.930e+04  29.0339 
OBS: 59863.1892 z WFD  2.6308e-01  3.605e-02 4096  1.000 44.280  1.61 3.254e+04  29.0445 
OBS: 59869.0101 Y WFD  4.7820e-01  5.466e-02 4096  1.000 43.280  1.62 1.952e+04  28.3503 
OBS: 59872.0067 Y WFD  4.1203e-01  7.506e-02 4096  1.000 42.530  1.56 1.395e+04  28.3738 
OBS: 59875.0531 u WFD  1.1844e-02  1.621e-02    0  1.000 41.340  1.47 1.066e+03  39.4396 
OBS: 59878.0134 z WFD  1.8130e-01  3.099e-02 4096  1.000 43.490  1.52 1.431e+04  29.1855 
OBS: 59880.0796 r WFD -5.1637e-03  3.866e-03    0  1.000 45.610  1.22 1.568e+04  99.0000 
OBS: 59885.0110 Y WFD  4.0617e-01  7.165e-02 4096  1.000 42.580  1.45 1.501e+04  28.4753 
OBS: 59906.1184 u WFD  2.0733e-02  3.062e-02    0  1.000 41.190  2.50 1.031e+03  39.7494 
OBS: 59922.1002 z WFD  1.5407e-01  3.022e-02    0  1.000 44.240  1.50 2.823e+04  29.5961 
