SURVEY:   LSST
SNID:     1274153
IAUC:     NULL
SNTYPE:   110
RA:       195.177269  # deg
DEC:      -46.536964  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0896 +- 0.0045  # MW E(B-V) 
PEAKMJD:  59779.125     # estimate for LC fit codes
MJD_TRIGGER:       59770.102  
MJD_DETECT_FIRST:  59768.973  
MJD_DETECT_LAST:   60012.316  

REDSHIFT_HELIO:   1.148773 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.150617 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10502800279  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1488  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          195.176703    # deg 
HOSTGAL_DEC:         -46.536454    # deg 
HOSTGAL_SNSEP:       1.191       # arcsec 
HOSTGAL_DDLR:        1.743       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.556 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.708
HOSTGAL_SQRADIUS:     27.809   # Ixx + Iyy
HOSTGAL_MAG:     26.15  26.01  25.23  24.48  23.65  23.25 # ugrizY
HOSTGAL_MAGERR:   0.23   0.07   0.03   0.02   0.02   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           19153    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.14877  
SIM_REDSHIFT_CMB:    1.15061  
SIM_REDSHIFT_HOST:   1.13312  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10502800279 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.515 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.556 -9.000 
SIM_DLMU:            44.4752   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0090   # mag 
SIM_RA:              195.177261     # deg  
SIM_DEC:             -46.536964      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0925   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59779.125    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.2259e-06 
SIM_SALT2x1:         0.5236 
SIM_SALT2c:          0.1216 
SIM_SALT2mB:         25.4139 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -73.97  # days 
SIM_TRESTMAX:        416.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   38.02  31.28  27.52  25.88  24.89  24.82  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.1905 Y WFD  9.2105e-03  6.508e-02    0  1.000 43.260  1.85 1.998e+04  99.0000 
OBS: 59623.3849 z WFD -3.8857e-02  2.720e-02    0  1.000 44.270  1.50 2.612e+04  99.0000 
OBS: 59624.3867 z WFD  2.4687e-03  3.862e-02    0  1.000 43.510  1.74 1.587e+04  99.0000 
OBS: 59626.3362 z WFD -3.8993e-03  2.962e-02    0  1.000 44.280  1.64 2.625e+04  99.0000 
OBS: 59652.1053 Y WFD -4.9257e-02  8.593e-02    0  1.000 43.240  2.30 2.084e+04  99.0000 
OBS: 59654.1145 Y WFD  7.6350e-02  9.679e-02    0  1.000 43.280  2.57 2.179e+04  99.0000 
OBS: 59658.3677 z WFD -6.3111e-02  5.949e-02    0  1.000 44.270  2.62 3.270e+04  99.0000 
OBS: 59660.3348 Y WFD -5.5380e-02  7.289e-02    0  1.000 43.310  2.08 2.085e+04  99.0000 
OBS: 59662.3789 i WFD  1.4769e-02  4.046e-02    0  1.000 43.820  2.70 1.426e+04  99.0000 
OBS: 59675.0761 r WFD -8.3079e-03  1.203e-02    0  1.000 44.800  2.56 1.102e+04  99.0000 
OBS: 59683.0378 Y WFD  8.0492e-04  7.104e-02    0  1.000 42.520  1.33 1.535e+04  99.0000 
OBS: 59685.1656 Y WFD  9.8672e-02  6.382e-02    0  1.000 42.610  1.17 1.703e+04  99.0000 
OBS: 59686.2702 Y WFD -6.2613e-02  5.307e-02    0  1.000 43.750  1.48 3.199e+04  99.0000 
OBS: 59688.3226 z WFD  8.8368e-02  8.201e-02    0  1.000 43.490  2.59 2.223e+04  99.0000 
OBS: 59690.2045 i WFD  9.9155e-03  1.198e-02    0  1.000 45.610  1.74 3.407e+04  99.0000 
OBS: 59691.0993 g WFD  5.0975e-03  7.275e-03    0  1.000 44.060  1.82 4.743e+03  99.0000 
OBS: 59709.0073 i WFD -1.6324e-02  1.979e-02    0  1.000 44.600  2.15 1.796e+04  99.0000 
OBS: 59717.2489 z WFD  8.3502e-02  6.587e-02    0  1.000 43.480  2.21 2.074e+04  99.0000 
OBS: 59728.9580 z WFD -2.3552e-02  4.251e-02    0  1.000 43.500  1.95 1.545e+04  99.0000 
OBS: 59768.9746 z WFD  1.0172e+01  2.764e-02 4096  1.000 44.280  1.58 2.539e+04  24.9829 
OBS: 59770.1015 z WFD  1.0356e+01  5.397e-02 6144  1.000 43.490  1.84 2.058e+04  24.9552 
OBS: 59797.0026 z WFD  7.3456e+00  3.510e-02 4096  1.000 44.990  2.92 3.358e+04  25.3211 
OBS: 59800.0168 Y WFD  7.6452e+00  8.360e-02 4096  1.000 43.260  2.18 2.178e+04  25.2811 
OBS: 59808.0075 g WFD  2.1895e-02  8.188e-03    0  1.000 43.940  1.75 4.971e+03  31.5723 
OBS: 59928.3526 Y WFD  5.2362e-01  9.122e-02    0  1.000 43.730  2.00 3.994e+04  28.1536 
OBS: 59935.3514 z WFD  3.1265e-01  3.429e-02 4096  1.000 44.250  1.38 3.513e+04  28.7464 
OBS: 59941.3105 i WFD  6.9284e-02  1.694e-02    0  1.000 44.550  1.99 1.587e+04  30.2427 
OBS: 59946.3231 i WFD  7.0374e-02  1.658e-02 4096  1.000 44.560  2.00 1.559e+04  30.2984 
OBS: 59952.3525 Y WFD  3.8925e-01  4.465e-02 4096  1.000 44.090  1.39 3.919e+04  28.3537 
OBS: 59956.3350 i WFD  5.4961e-02  2.269e-02    0  1.000 44.620  1.99 2.267e+04  30.4091 
OBS: 59957.3642 Y WFD  4.2446e-01  8.019e-02 4096  1.000 42.590  1.50 1.638e+04  28.3953 
OBS: 59958.3556 Y WFD  4.4291e-01  7.112e-02 4096  1.000 42.580  1.57 1.376e+04  28.4036 
OBS: 59964.2762 u WFD -1.2779e-02  2.138e-02    0  1.000 41.850  2.38 1.388e+03  99.0000 
OBS: 59968.2558 u WFD  8.1446e-02  3.278e-02    0  1.000 41.010  2.47 9.455e+02  99.0000 
OBS: 59982.3666 z WFD  2.3430e-01  2.540e-02 4096  1.000 44.270  1.37 2.670e+04  29.1608 
OBS: 59983.3435 z WFD  1.5780e-01  3.622e-02 4096  1.000 44.270  2.02 2.582e+04  29.1693 
