SURVEY:   LSST
SNID:     1274173
IAUC:     NULL
SNTYPE:   110
RA:       199.776172  # deg
DEC:      -23.166872  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1146 +- 0.0057  # MW E(B-V) 
PEAKMJD:  60022.371     # estimate for LC fit codes
MJD_TRIGGER:       60009.156  
MJD_DETECT_FIRST:  60000.203  
MJD_DETECT_LAST:   60485.055  

REDSHIFT_HELIO:   0.613374 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.615013 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8000633765  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.6134  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          199.776064    # deg 
HOSTGAL_DEC:         -23.166147    # deg 
HOSTGAL_SNSEP:       1.314       # arcsec 
HOSTGAL_DDLR:        0.856       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     11.505 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.081
HOSTGAL_SQRADIUS:     26.170   # Ixx + Iyy
HOSTGAL_MAG:     21.76  21.22  20.21  19.36  19.02  18.75 # ugrizY
HOSTGAL_MAGERR:   0.01   0.01   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           19173    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.61337  
SIM_REDSHIFT_CMB:    0.61501  
SIM_REDSHIFT_HOST:   0.64553  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8000633765 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.351 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                11.505 -9.000 
SIM_DLMU:            42.8020   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0077   # mag 
SIM_RA:              199.776169     # deg  
SIM_DEC:             -23.166872      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1128   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60022.371    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         6.3337e-06 
SIM_SALT2x1:         -0.9375 
SIM_SALT2c:          0.0202 
SIM_SALT2mB:         23.6309 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0255  # spectro-search efficiency 
SIM_TRESTMIN:        -249.25  # days 
SIM_TRESTMAX:        399.16  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.48  25.55  23.75  23.54  23.46  23.51  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59620.2314 Y WFD -7.3808e-03  8.742e-02    0  1.000 42.530  1.84 1.378e+04  99.0000 
OBS: 59621.2144 Y WFD -3.5224e-02  8.189e-02    0  1.000 42.510  1.62 1.439e+04  99.0000 
OBS: 59629.2715 z WFD  5.8912e-02  2.905e-02    0  1.000 44.280  1.31 3.223e+04  99.0000 
OBS: 59645.1689 u WFD  5.2412e-02  3.805e-02    0  1.000 41.090  2.95 9.898e+02  99.0000 
OBS: 59645.3988 z WFD -8.9576e-02  4.339e-02    0  1.000 44.250  2.61 2.350e+04  99.0000 
OBS: 59653.1766 Y WFD  5.6917e-02  9.831e-02    0  1.000 42.560  2.05 1.430e+04  99.0000 
OBS: 59654.1422 Y WFD  9.7645e-02  1.417e-01    0  1.000 42.520  2.58 1.578e+04  99.0000 
OBS: 59655.1625 Y WFD  1.3489e-02  7.483e-02    0  1.000 43.310  1.86 2.393e+04  99.0000 
OBS: 59662.3283 i WFD  1.7340e-03  1.844e-02    0  1.000 45.350  2.61 2.751e+04  99.0000 
OBS: 59679.0611 z WFD  4.4234e-03  2.709e-02    0  1.000 44.230  1.67 2.252e+04  99.0000 
OBS: 59682.0517 Y WFD -7.1165e-02  8.380e-02    0  1.000 42.500  1.52 1.555e+04  99.0000 
OBS: 59688.1061 z WFD  2.3785e-02  2.556e-02    0  1.000 45.470  2.03 5.476e+04  99.0000 
OBS: 59692.1841 g WFD  3.1870e-03  6.711e-03    0  1.000 44.960  1.75 1.043e+04  99.0000 
OBS: 59710.0209 i WFD  9.4056e-03  1.442e-02    0  1.000 45.370  1.78 3.212e+04  99.0000 
OBS: 59710.9876 Y WFD  3.4986e-04  8.079e-02    0  1.000 43.730  2.61 2.711e+04  99.0000 
OBS: 59716.0776 Y WFD -1.0085e-01  6.702e-02    0  1.000 44.070  2.28 3.521e+04  99.0000 
OBS: 59717.1552 z WFD -3.6844e-03  4.277e-02    0  1.000 44.280  2.31 2.691e+04  99.0000 
OBS: 59718.2185 i WFD  8.0329e-03  4.752e-02    0  1.000 43.850  2.64 1.761e+04  99.0000 
OBS: 59770.0497 z WFD -1.1149e-02  2.534e-02    0  1.000 44.700  1.53 3.544e+04  99.0000 
OBS: 59786.9641 z WFD  6.9425e-02  7.166e-02    0  1.000 43.520  2.89 1.790e+04  99.0000 
OBS: 59802.0035 Y WFD  1.0660e-01  7.518e-02    0  1.000 43.270  1.92 2.245e+04  99.0000 
OBS: 59807.0016 g WFD  9.8359e-03  1.465e-02    0  1.000 43.980  2.72 5.939e+03  99.0000 
OBS: 59809.9942 r WFD  1.5408e-02  1.464e-02    0  1.000 44.030  1.79 9.443e+03  99.0000 
OBS: 59946.3616 Y WFD -2.2271e-01  1.535e-01    0  1.000 42.570  2.09 2.209e+04  99.0000 
OBS: 59950.3388 Y WFD -8.0481e-02  4.059e-02    0  1.000 44.490  1.90 3.768e+04  99.0000 
OBS: 59951.3213 z WFD  1.9568e-02  3.625e-02    0  1.000 44.250  1.80 2.847e+04  99.0000 
OBS: 59962.3367 g WFD  5.7279e-03  4.239e-03    0  1.000 45.610  1.79 1.172e+04  99.0000 
OBS: 59964.2902 u WFD  2.1251e-02  2.319e-02    0  1.000 41.840  2.49 1.426e+03  99.0000 
OBS: 59965.3239 r WFD  2.1055e-03  9.847e-03    0  1.000 44.840  2.07 1.158e+04  99.0000 
OBS: 59972.3314 r WFD  1.3034e-02  7.919e-03    0  1.000 44.850  1.70 1.144e+04  99.0000 
OBS: 59978.2401 Y WFD  3.3703e-02  7.840e-02    0  1.000 42.520  1.49 1.512e+04  99.0000 
OBS: 59979.2724 Y WFD -8.3418e-02  6.162e-02    0  1.000 42.560  1.24 1.482e+04  99.0000 
OBS: 59980.2382 Y WFD -1.3853e-01  8.027e-02    0  1.000 42.520  1.44 1.602e+04  99.0000 
OBS: 59984.3883 z WFD  6.3304e-02  5.142e-02    0  1.000 43.540  1.46 2.589e+04  99.0000 
OBS: 59991.2775 r WFD  5.1893e-03  8.021e-03    0  1.000 44.840  1.72 1.135e+04  99.0000 
OBS: 59994.2232 r WFD -6.4638e-03  9.778e-03    0  1.000 44.810  2.04 1.135e+04  99.0000 
OBS: 59997.2005 u WFD -1.0912e-02  1.985e-02    0  1.000 41.840  2.17 1.401e+03  99.0000 
