SURVEY:   LSST
SNID:     1274732
IAUC:     NULL
SNTYPE:   110
RA:       272.833600  # deg
DEC:      -39.101876  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0940 +- 0.0047  # MW E(B-V) 
PEAKMJD:  59598.895     # estimate for LC fit codes
MJD_TRIGGER:       59684.293  
MJD_DETECT_FIRST:  59682.273  
MJD_DETECT_LAST:   59845.070  

REDSHIFT_HELIO:   1.495366 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.494992 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           19732    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.51923  
SIM_REDSHIFT_CMB:    1.51886  
SIM_REDSHIFT_HOST:   1.49537  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10382835987 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.094 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.244 -9.000 
SIM_DLMU:            45.2229   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0480   # mag 
SIM_RA:              272.833588     # deg  
SIM_DEC:             -39.101875      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0946   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59598.895    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         7.6607e-07 
SIM_SALT2x1:         -1.9221 
SIM_SALT2c:          -0.0654 
SIM_SALT2mB:         25.9243 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        33.10  # days 
SIM_TRESTMAX:        396.26  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.12  32.42  30.40  26.93  25.85  25.47  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 91 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59682.2734 Y WFD  2.9869e-01  4.638e-02 4096  1.000 43.290  1.36 1.991e+04  28.5442 
OBS: 59684.2935 Y WFD  3.1151e-01  3.557e-02 6144  1.000 44.070  1.45 2.938e+04  28.5640 
OBS: 59697.4250 z WFD  4.1040e-01  5.410e-02 4096  1.000 44.270  2.89 2.696e+04  28.5910 
OBS: 59698.2063 i WFD -1.5207e-02  2.108e-02    0  1.000 44.550  2.49 1.578e+04  99.0000 
OBS: 59700.2457 u WFD  3.5440e-03  1.825e-02    0  1.000 41.250  1.57 1.034e+03  99.0000 
OBS: 59722.4248 z WFD  1.2083e-01  4.092e-02    0  1.000 44.240  2.36 2.429e+04  29.3969 
OBS: 59729.1175 i WFD  9.1964e-02  1.492e-02 4096  1.000 44.550  1.75 1.588e+04  30.0401 
OBS: 59748.1604 i WFD  1.0722e-01  1.925e-02    0  1.000 44.640  1.56 2.499e+04  30.2287 
OBS: 59749.3614 z WFD  1.0751e-01  4.919e-02    0  1.000 43.480  2.00 1.711e+04  29.6643 
OBS: 59770.1541 z WFD  1.2978e-01  2.556e-02    0  1.000 44.280  1.44 2.579e+04  29.8668 
OBS: 59775.2794 z WFD  1.2751e-01  3.970e-02    0  1.000 45.010  2.34 4.830e+04  29.9162 
OBS: 59776.0476 i WFD  7.5668e-02  1.416e-02    0  1.000 46.130  2.32 4.876e+04  30.4998 
OBS: 59778.0937 r WFD  9.5967e-02  8.365e-03 4096  1.000 44.850  1.87 1.099e+04  30.1774 
OBS: 59779.0971 g WFD -3.4613e-03  5.836e-03    0  1.000 44.870  2.03 7.194e+03  99.0000 
OBS: 59790.9691 z WFD  1.0881e-01  3.776e-02    0  1.000 44.250  1.74 3.068e+04  30.0661 
OBS: 59792.9742 z WFD  4.2317e-02  3.513e-02    0  1.000 44.240  2.16 2.278e+04  30.0852 
OBS: 59793.0233 r WFD  6.7038e-02  9.006e-03 4096  1.000 44.840  1.96 1.118e+04  30.3199 
OBS: 59806.0816 r WFD  7.1909e-02  1.216e-02    0  1.000 44.940  1.67 1.944e+04  30.4431 
OBS: 59806.9675 Y WFD  2.1789e-01  1.106e-01    0  1.000 42.600  1.51 2.265e+04  29.9245 
OBS: 59810.9809 Y WFD  1.1647e-01  4.369e-02    0  1.000 43.770  1.70 2.335e+04  29.9573 
OBS: 59820.9813 z WFD  5.7567e-02  2.565e-02    0  1.000 43.520  1.29 1.435e+04  30.3479 
OBS: 59830.1272 Y WFD  1.7692e-01  9.087e-02    0  1.000 43.290  2.28 2.327e+04  30.1125 
OBS: 59840.0538 g WFD  1.1983e-03  5.187e-03    0  1.000 44.830  1.69 7.403e+03  99.0000 
OBS: 59845.0694 r WFD  5.5487e-02  9.866e-03 4096  1.000 44.820  2.02 1.167e+04  30.8035 
OBS: 59859.0588 Y WFD  1.8373e-02  9.576e-02    0  1.000 42.520  1.79 1.537e+04  30.3439 
OBS: 59871.0305 r WFD  4.1994e-02  9.410e-03    0  1.000 44.780  1.72 1.260e+04  31.0376 
OBS: 59998.3921 z WFD -6.6100e-02  4.341e-02    0  1.000 43.500  1.69 1.820e+04  31.8925 
OBS: 60003.3937 z WFD  5.5693e-02  2.531e-02    0  1.000 45.010  1.85 3.894e+04  31.9335 
OBS: 60012.3630 z WFD  1.0379e-03  3.108e-02    0  1.000 45.010  2.30 3.848e+04  32.0068 
