SURVEY:   LSST
SNID:     1274756
IAUC:     NULL
SNTYPE:   110
RA:       57.822023  # deg
DEC:      -25.398005  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0119 +- 0.0006  # MW E(B-V) 
PEAKMJD:  59749.340     # estimate for LC fit codes
MJD_TRIGGER:       59797.426  
MJD_DETECT_FIRST:  59791.367  
MJD_DETECT_LAST:   60021.008  

REDSHIFT_HELIO:   1.281333 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.280611 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10441529680  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2813  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          57.821974    # deg 
HOSTGAL_DEC:         -25.397786    # deg 
HOSTGAL_SNSEP:       0.400       # arcsec 
HOSTGAL_DDLR:        2.618       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.925 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.359
HOSTGAL_SQRADIUS:     8.082   # Ixx + Iyy
HOSTGAL_MAG:     29.77  27.98  27.03  26.01  25.32  24.59 # ugrizY
HOSTGAL_MAGERR:  26.62   0.28   0.22   0.15   0.12   0.13 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           19756    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.28133  
SIM_REDSHIFT_CMB:    1.28060  
SIM_REDSHIFT_HOST:   1.31854  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10441529680 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.563 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.925 -9.000 
SIM_DLMU:            44.7654   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0661   # mag 
SIM_RA:              57.822021     # deg  
SIM_DEC:             -25.398005      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0110   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59749.340    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.5523e-06 
SIM_SALT2x1:         0.7077 
SIM_SALT2c:          -0.0464 
SIM_SALT2mB:         25.1576 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -72.90  # days 
SIM_TRESTMAX:        404.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.81  29.48  26.79  25.30  24.69  24.45  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 151 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0815 u WFD  5.0954e-02  2.690e-02    0  1.000 41.280  2.50 9.835e+02  99.0000 
OBS: 59588.0968 Y WFD  8.5491e-02  8.519e-02    0  1.000 42.590  2.04 1.280e+04  99.0000 
OBS: 59589.2018 i WFD  1.8487e-02  2.466e-02    0  1.000 43.780  2.05 1.103e+04  99.0000 
OBS: 59590.0457 Y WFD  9.8077e-02  6.031e-02    0  1.000 42.600  1.32 1.413e+04  99.0000 
OBS: 59591.1049 z WFD  1.7759e-02  2.670e-02    0  1.000 44.270  1.66 2.316e+04  99.0000 
OBS: 59597.0784 Y WFD -1.5830e-01  1.036e-01    0  1.000 42.600  2.22 1.444e+04  99.0000 
OBS: 59598.1228 z WFD  8.7492e-02  5.088e-02    0  1.000 44.270  2.80 2.617e+04  99.0000 
OBS: 59641.0148 z WFD  8.9129e-02  5.440e-02    0  1.000 43.500  2.46 1.567e+04  99.0000 
OBS: 59645.0065 z WFD  6.2826e-02  5.597e-02    0  1.000 43.510  2.01 1.991e+04  99.0000 
OBS: 59649.0206 Y WFD -5.1015e-02  1.062e-01    0  1.000 42.530  2.17 1.420e+04  99.0000 
OBS: 59650.0097 Y WFD -6.9038e-02  1.033e-01    0  1.000 42.540  2.05 1.474e+04  99.0000 
OBS: 59653.0055 Y WFD  2.0501e-02  1.510e-01    0  1.000 42.540  2.83 1.561e+04  99.0000 
OBS: 59660.9990 z WFD  7.3082e-02  5.255e-02    0  1.000 43.480  2.23 1.639e+04  99.0000 
OBS: 59791.3678 g WFD  1.3347e-01  8.212e-03 4096  1.000 44.730  2.68 6.739e+03  29.6142 
OBS: 59797.4274 Y WFD  3.0714e+00  9.798e-02 6144  1.000 42.570  2.20 1.340e+04  26.3192 
OBS: 59802.4236 Y WFD  2.4253e+00  5.298e-02 4096  1.000 43.350  1.60 2.043e+04  26.5446 
OBS: 59803.3754 Y WFD  2.3040e+00  6.489e-02 4096  1.000 43.320  1.84 2.117e+04  26.5838 
OBS: 59819.2884 u WFD -2.9901e-02  3.704e-02    0  1.000 40.980  2.78 9.234e+02  32.8634 
OBS: 59820.3787 i WFD  2.5048e-01  1.185e-02    0  1.000 44.590  1.65 1.388e+04  28.9958 
OBS: 59821.2816 r WFD  3.6644e-01  1.026e-02 4096  1.000 44.780  2.15 1.099e+04  28.6735 
OBS: 59825.3397 g WFD  4.0738e-01  6.928e-03 4096  1.000 44.820  2.56 6.464e+03  28.4846 
OBS: 59835.2417 Y WFD  1.0757e+00  8.497e-02 4096  1.000 42.520  1.52 1.606e+04  27.4838 
OBS: 59836.3101 z WFD  6.8617e-01  3.275e-02 4096  1.000 44.270  1.86 2.535e+04  27.8568 
OBS: 59839.3347 r WFD  2.4581e-01  1.119e-02 4096  1.000 44.920  1.76 1.665e+04  29.0071 
OBS: 59840.2634 r WFD  2.7352e-01  8.239e-03 4096  1.000 44.840  1.65 1.215e+04  28.8945 
OBS: 59849.2106 r WFD  4.6744e-03  8.289e-03    0  1.000 45.550  2.53 1.534e+04  32.9357 
OBS: 59850.2400 i WFD  2.3646e-01  1.209e-02 4096  1.000 45.330  2.26 2.044e+04  29.0495 
OBS: 59851.2189 u WFD -1.0104e-02  1.687e-02    0  1.000 42.330  2.42 1.676e+03  36.4411 
OBS: 59859.1717 Y WFD  8.6010e-01  9.043e-02 4096  1.000 42.520  1.70 1.528e+04  27.7242 
OBS: 59861.1732 Y WFD  8.7375e-01  8.860e-02 4096  1.000 43.270  2.09 2.430e+04  27.7400 
OBS: 59863.3701 z WFD  5.8677e-01  2.238e-02 4096  1.000 45.040  1.37 4.781e+04  28.0864 
OBS: 59864.2294 z WFD  6.2931e-01  1.870e-02 4096  1.000 45.470  1.62 5.019e+04  28.0947 
OBS: 59866.2027 i WFD  1.9558e-01  1.157e-02 4096  1.000 46.120  1.90 4.821e+04  29.2931 
OBS: 59869.1539 r WFD -3.3157e-03  7.334e-03    0  1.000 44.780  1.54 1.097e+04  99.0000 
OBS: 59875.2039 g WFD  8.4200e-03  6.911e-03    0  1.000 44.800  2.49 6.511e+03  99.0000 
OBS: 59877.1392 r WFD  1.1531e-02  7.529e-03    0  1.000 44.800  1.62 1.090e+04  99.0000 
