SURVEY:   LSST
SNID:     1274952
IAUC:     NULL
SNTYPE:   110
RA:       186.780266  # deg
DEC:      -48.409348  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0942 +- 0.0047  # MW E(B-V) 
PEAKMJD:  59614.441     # estimate for LC fit codes
MJD_TRIGGER:       59607.367  
MJD_DETECT_FIRST:  59607.242  
MJD_DETECT_LAST:   59801.984  

REDSHIFT_HELIO:   1.163467 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.165375 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8815835753  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.1635  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          186.780118    # deg 
HOSTGAL_DEC:         -48.409466    # deg 
HOSTGAL_SNSEP:       0.297       # arcsec 
HOSTGAL_DDLR:        1.966       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.265 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.175
HOSTGAL_SQRADIUS:     8.552   # Ixx + Iyy
HOSTGAL_MAG:     25.56  25.29  24.55  23.85  22.84  22.43 # ugrizY
HOSTGAL_MAGERR:   0.24   0.03   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SALT2.WFIRST-H17  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      10  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           19952    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.16347  
SIM_REDSHIFT_CMB:    1.16537  
SIM_REDSHIFT_HOST:   1.17493  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8815835753 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.433 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.265 -9.000 
SIM_DLMU:            44.5094   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0063   # mag 
SIM_RA:              186.780258     # deg  
SIM_DEC:             -48.409348      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0966   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59614.441    #  true PEAKMJD, days 
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.100 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         1.4122e-06 
SIM_SALT2x1:         -0.3874 
SIM_SALT2c:          0.0199 
SIM_SALT2mB:         25.2602 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -3.33  # days 
SIM_TRESTMAX:        488.06  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   36.35  30.51  27.04  25.55  24.68  24.69  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 122 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59607.2424 g WFD  1.2379e-01  7.260e-03 4096  1.000 44.750  2.47 6.584e+03  29.7412 
OBS: 59607.3659 Y WFD  1.2510e+01  8.180e-02 6144  1.000 42.590  1.93 1.298e+04  24.7587 
OBS: 59610.2196 i WFD  6.4247e+00  1.474e-02 4096  1.000 44.560  1.81 1.528e+04  25.4861 
OBS: 59617.3170 g WFD  4.9380e-02  8.250e-03 4096  1.000 44.800  2.99 6.473e+03  30.7284 
OBS: 59618.1776 Y WFD  1.2882e+01  1.117e-01 4096  1.000 42.490  2.23 1.399e+04  24.7263 
OBS: 59626.3304 z WFD  1.0404e+01  2.173e-02 4096  1.000 45.030  1.68 3.747e+04  24.9582 
OBS: 59645.1770 u WFD  4.7098e-02  3.823e-02    0  1.000 41.110  3.17 9.424e+02  37.7543 
OBS: 59652.0917 Y WFD  3.8604e+00  9.009e-02 4096  1.000 43.260  2.47 2.072e+04  26.0521 
OBS: 59654.0851 Y WFD  3.0637e+00  1.571e-01 4096  1.000 42.520  2.90 1.556e+04  26.1518 
OBS: 59681.0342 z WFD  8.5770e-01  2.350e-02 4096  1.000 44.240  1.41 2.334e+04  27.6824 
OBS: 59682.0283 Y WFD  1.1702e+00  7.178e-02 4096  1.000 42.540  1.43 1.469e+04  27.2804 
OBS: 59683.0401 Y WFD  1.2583e+00  6.486e-02 4096  1.000 42.540  1.27 1.494e+04  27.3056 
OBS: 59685.1606 Y WFD  1.2375e+00  6.664e-02 4096  1.000 42.590  1.22 1.674e+04  27.3552 
OBS: 59686.1953 Y WFD  1.1804e+00  6.179e-02 4096  1.000 43.330  1.52 2.463e+04  27.3780 
OBS: 59688.3001 z WFD  5.9168e-01  8.087e-02 4096  1.000 43.490  2.70 2.103e+04  27.8699 
OBS: 59700.9657 z WFD  6.6366e-01  4.144e-02 4096  1.000 43.480  1.65 1.747e+04  28.0125 
OBS: 59709.0037 i WFD  2.1975e-01  1.852e-02 4096  1.000 44.600  2.04 1.771e+04  29.1042 
OBS: 59710.0149 i WFD  2.0833e-01  1.672e-02 4096  1.000 44.610  1.65 1.995e+04  29.1216 
OBS: 59713.1415 Y WFD  8.9522e-01  7.994e-02 4096  1.000 42.580  1.53 1.587e+04  27.7428 
OBS: 59717.2213 z WFD  5.0717e-01  5.783e-02 4096  1.000 43.490  1.97 2.061e+04  28.1904 
OBS: 59728.9594 z WFD  4.8715e-01  3.708e-02 4096  1.000 43.510  1.80 1.473e+04  28.2980 
OBS: 59768.9782 z WFD  3.3282e-01  1.784e-02 4096  1.000 45.020  1.51 3.394e+04  28.6602 
OBS: 59770.0818 z WFD  3.5857e-01  2.335e-02 4096  1.000 44.990  1.64 3.979e+04  28.6701 
OBS: 59788.9769 z WFD  3.0519e-01  4.422e-02 4096  1.000 43.490  2.16 1.437e+04  28.8386 
OBS: 59801.9859 Y WFD  4.5465e-01  7.538e-02 4096  1.000 43.270  1.94 2.228e+04  28.4750 
OBS: 59928.3529 Y WFD  1.1794e-01  8.087e-02    0  1.000 43.740  1.91 3.743e+04  29.4808 
OBS: 59929.3235 r WFD -3.1163e-02  1.693e-02    0  1.000 44.080  1.68 1.218e+04  32.6682 
OBS: 59935.3453 z WFD  9.2542e-02  3.011e-02    0  1.000 43.490  1.37 1.543e+04  30.0906 
OBS: 59941.3052 i WFD  1.8718e-02  1.528e-02    0  1.000 44.560  1.86 1.545e+04  31.5972 
OBS: 59945.2958 i WFD  1.9278e-02  1.559e-02    0  1.000 44.560  1.87 1.568e+04  31.6357 
OBS: 59951.3285 z WFD  1.0880e-01  2.829e-02    0  1.000 44.270  1.53 2.663e+04  30.2217 
OBS: 59952.3071 Y WFD  2.5505e-01  7.399e-02    0  1.000 42.560  1.47 1.501e+04  29.6664 
OBS: 59957.3553 Y WFD  1.0518e-01  4.356e-02    0  1.000 43.770  1.60 2.474e+04  29.7052 
OBS: 59958.3515 Y WFD  1.2599e-01  6.429e-02    0  1.000 42.570  1.44 1.343e+04  29.7129 
OBS: 59964.2504 u WFD  6.1519e-03  2.437e-02    0  1.000 41.130  1.96 9.898e+02  99.0000 
OBS: 59968.2449 u WFD -1.5170e-02  3.065e-02    0  1.000 41.080  2.44 9.550e+02  99.0000 
