SURVEY:   LSST
SNID:     2000648
IAUC:     NULL
SNTYPE:   140
RA:       41.905353  # deg
DEC:      -26.265789  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0161 +- 0.0008  # MW E(B-V) 
PEAKMJD:  59994.023     # estimate for LC fit codes
MJD_TRIGGER:       59946.059  
MJD_DETECT_FIRST:  59943.113  
MJD_DETECT_LAST:   60647.035  

REDSHIFT_HELIO:   2.370575 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.368621 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8827893678  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.3706  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          41.905719    # deg 
HOSTGAL_DEC:         -26.265853    # deg 
HOSTGAL_SNSEP:       0.532       # arcsec 
HOSTGAL_DDLR:        2.806       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.410 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.881
HOSTGAL_SQRADIUS:     11.097   # Ixx + Iyy
HOSTGAL_MAG:     26.85  26.30  26.19  26.34  26.05  25.70 # ugrizY
HOSTGAL_MAGERR:   0.56   0.11   0.10   0.15   0.16   0.26 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  706   # template index for SIMSED,NONIa
SIM_LIBID:           647    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.37057  
SIM_REDSHIFT_CMB:    2.36862  
SIM_REDSHIFT_HOST:   2.39269  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8827893678 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.159 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.410 -9.000 
SIM_DLMU:            46.4067   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0412   # mag 
SIM_RA:              41.905354     # deg  
SIM_DEC:             -26.265789      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0149   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59994.023    #  true PEAKMJD, days 
SIM_SALT2x0:         2.7374e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0475  # spectro-search efficiency 
SIM_TRESTMIN:        -55.42  # days 
SIM_TRESTMAX:        201.29  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    706.000000
SIMSED_param(bfield):    1.753720
SIMSED_param(mns):    1.750579
SIMSED_param(pspin):    3.170500
SIMSED_param(kappa):    0.122407
SIMSED_param(kappagamma):    2.757387
SIMSED_param(mej):    3.316251
SIMSED_param(temp):    6653.173828
SIMSED_param(vej):    10248.567383

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.34  24.29  23.64  23.32  23.17  23.09  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59807.3265 Y WFD -2.8317e-02  2.608e-02    0  1.000 45.070  1.68 4.671e+04  99.0000 
OBS: 59807.4208 z WFD -3.8471e-02  4.564e-02    0  1.000 43.530  1.89 1.759e+04  99.0000 
OBS: 59809.4219 z WFD -4.8752e-03  3.751e-02    0  1.000 43.520  1.70 1.593e+04  99.0000 
OBS: 59812.3332 g WFD -4.9962e-03  6.822e-03    0  1.000 44.840  2.28 7.283e+03  99.0000 
OBS: 59813.3749 i WFD  1.3711e-02  1.148e-02    0  1.000 44.590  1.59 1.396e+04  99.0000 
OBS: 59817.2679 r WFD -3.6662e-03  5.832e-03    0  1.000 45.550  1.79 1.525e+04  99.0000 
OBS: 59818.2727 u WFD  6.7361e-03  1.269e-02    0  1.000 42.640  2.09 1.942e+03  99.0000 
OBS: 59820.3959 i WFD -7.2519e-03  1.526e-02    0  1.000 43.840  1.52 9.730e+03  99.0000 
OBS: 59821.2759 r WFD  6.3354e-03  8.344e-03    0  1.000 44.820  1.88 1.061e+04  99.0000 
OBS: 59822.2774 i WFD -1.5891e-02  1.145e-02    0  1.000 45.330  2.14 2.045e+04  99.0000 
OBS: 59823.4169 z WFD -4.2194e-02  4.929e-02    0  1.000 43.530  1.98 1.813e+04  99.0000 
OBS: 59827.2518 z WFD  5.5330e-03  1.833e-02    0  1.000 45.000  1.70 3.041e+04  99.0000 
OBS: 59831.2669 Y WFD -1.1322e-01  4.705e-02    0  1.000 44.080  1.87 3.041e+04  99.0000 
OBS: 59835.1995 Y WFD  8.7497e-02  8.359e-02    0  1.000 42.520  1.45 1.656e+04  99.0000 
OBS: 59836.2976 z WFD  3.4009e-02  3.071e-02    0  1.000 44.280  1.74 2.565e+04  99.0000 
OBS: 59839.4067 z WFD -3.5510e-02  4.866e-02    0  1.000 43.530  1.41 2.514e+04  99.0000 
OBS: 59843.2118 i WFD  7.6731e-03  9.643e-03    0  1.000 45.320  1.76 2.075e+04  99.0000 
OBS: 59844.2374 r WFD -5.6905e-03  5.232e-03    0  1.000 45.590  1.71 1.486e+04  99.0000 
OBS: 59849.1850 r WFD -1.0584e-02  1.225e-02    0  1.000 44.800  2.67 1.077e+04  99.0000 
OBS: 59856.2081 i WFD -4.5520e-03  1.612e-02    0  1.000 44.600  1.81 1.738e+04  99.0000 
OBS: 59861.1672 Y WFD  7.9268e-02  8.044e-02    0  1.000 43.330  1.94 2.512e+04  99.0000 
OBS: 59862.1983 z WFD -2.8319e-02  3.087e-02    0  1.000 44.290  1.26 3.594e+04  99.0000 
OBS: 59863.2983 z WFD  9.2457e-02  2.913e-02    0  1.000 44.290  1.31 3.262e+04  99.0000 
OBS: 59866.1876 i WFD -1.0049e-02  1.947e-02    0  1.000 44.620  1.72 2.250e+04  99.0000 
OBS: 59868.1426 r WFD  3.4994e-03  7.009e-03    0  1.000 44.800  1.52 1.082e+04  99.0000 
OBS: 59874.1561 u WFD -3.9427e-02  2.214e-02    0  1.000 41.260  1.97 1.009e+03  99.0000 
OBS: 59886.1548 z WFD -1.3687e-02  1.916e-02    0  1.000 44.270  1.28 2.155e+04  99.0000 
OBS: 59895.2301 i WFD -2.1133e-02  2.128e-02    0  1.000 44.620  1.89 2.238e+04  99.0000 
OBS: 59904.0280 z WFD -1.6981e-02  3.719e-02    0  1.000 43.480  1.74 1.487e+04  99.0000 
OBS: 59904.1129 u WFD -4.2334e-03  1.815e-02    0  1.000 42.050  2.38 1.417e+03  99.0000 
OBS: 59906.0268 z WFD -2.4087e-03  2.486e-02    0  1.000 45.000  1.80 3.896e+04  99.0000 
OBS: 59908.0272 z WFD -4.7252e-02  5.765e-02    0  1.000 43.500  2.63 1.553e+04  99.0000 
OBS: 59911.0301 z WFD -1.5585e-02  3.049e-02    0  1.000 44.260  1.81 2.404e+04  99.0000 
OBS: 59923.1448 i WFD -5.4599e-03  1.938e-02    0  1.000 44.640  1.53 2.565e+04  99.0000 
OBS: 59926.1605 r WFD  4.3250e-03  6.480e-03    0  1.000 45.650  1.44 2.310e+04  99.0000 
OBS: 59932.0923 g WFD -2.1091e-03  3.588e-03    0  1.000 44.840  1.35 6.470e+03  99.0000 
OBS: 59943.1148 r WFD  5.2320e+00  1.165e-02 4096  1.000 44.900  1.78 1.681e+04  25.7042 
OBS: 59946.0571 Y WFD  8.6282e+00  6.981e-02 6144  1.000 42.600  1.54 1.401e+04  25.1518 
OBS: 59952.1029 Y WFD  1.5777e+01  6.914e-02 4096  1.000 42.580  1.45 1.446e+04  24.5048 
OBS: 59957.0480 z WFD  2.1715e+01  2.399e-02 4096  1.000 44.260  1.73 1.972e+04  24.1584 
