SURVEY:   LSST
SNID:     2000699
IAUC:     NULL
SNTYPE:   140
RA:       104.537791  # deg
DEC:      -13.741068  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.5746 +- 0.0287  # MW E(B-V) 
PEAKMJD:  59570.172     # estimate for LC fit codes
MJD_TRIGGER:       59588.066  
MJD_DETECT_FIRST:  59584.090  
MJD_DETECT_LAST:   60666.242  

REDSHIFT_HELIO:   1.470170 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.471573 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8755381277  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.4702  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          104.537832    # deg 
HOSTGAL_DEC:         -13.741111    # deg 
HOSTGAL_SNSEP:       0.098       # arcsec 
HOSTGAL_DDLR:        1.274       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     6.742 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.925
HOSTGAL_SQRADIUS:     7.430   # Ixx + Iyy
HOSTGAL_MAG:     28.60  28.41  27.96  27.72  27.54  27.33 # ugrizY
HOSTGAL_MAGERR:   0.55   0.13   0.13   0.18   0.35  26.48 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  811   # template index for SIMSED,NONIa
SIM_LIBID:           698    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.47017  
SIM_REDSHIFT_CMB:    1.47158  
SIM_REDSHIFT_HOST:   1.52741  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8755381277 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.375 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                6.742 -9.000 
SIM_DLMU:            45.1365   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0113   # mag 
SIM_RA:              104.537788     # deg  
SIM_DEC:             -13.741068      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.5477   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59570.172    #  true PEAKMJD, days 
SIM_SALT2x0:         8.8183e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1090  # spectro-search efficiency 
SIM_TRESTMIN:        5.63  # days 
SIM_TRESTMAX:        445.84  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    811.000000
SIMSED_param(bfield):    0.685223
SIMSED_param(mns):    2.085413
SIMSED_param(pspin):    2.763002
SIMSED_param(kappa):    0.178401
SIMSED_param(kappagamma):    0.187243
SIMSED_param(mej):    6.624564
SIMSED_param(temp):    7520.202148
SIMSED_param(vej):    8721.421875

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.81  25.04  23.68  23.01  22.69  22.58  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 143 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0903 u WFD  1.4652e+00  3.670e-02 4096  1.000 41.070  2.86 9.645e+02  27.0546 
OBS: 59588.0651 Y WFD  9.5974e+01  1.370e-01 6144  1.000 42.510  2.78 1.399e+04  22.5446 
OBS: 59589.2640 i WFD  6.1176e+01  1.416e-02 4096  1.000 44.580  1.79 1.482e+04  23.0332 
OBS: 59592.0785 z WFD  8.4190e+01  2.722e-02 4096  1.000 44.250  1.53 2.487e+04  22.6865 
OBS: 59594.0720 Y WFD  9.5817e+01  1.012e-01 4096  1.000 42.540  1.86 1.585e+04  22.5465 
OBS: 59597.0548 Y WFD  9.5472e+01  1.256e-01 4096  1.000 42.540  2.09 1.753e+04  22.5501 
OBS: 59607.0322 Y WFD  9.3470e+01  1.564e-01 4096  1.000 42.550  2.29 2.013e+04  22.5721 
OBS: 59623.0338 z WFD  7.3889e+01  3.618e-02 4096  1.000 44.280  1.72 3.041e+04  22.8288 
OBS: 59633.0327 Y WFD  8.3618e+01  7.527e-02 4096  1.000 42.570  1.77 1.271e+04  22.6947 
OBS: 59642.0170 z WFD  6.4248e+01  3.592e-02 4096  1.000 44.700  2.51 3.052e+04  22.9810 
OBS: 59655.0756 Y WFD  7.2263e+01  9.720e-02 4096  1.000 42.560  1.89 1.528e+04  22.8553 
OBS: 59681.9922 Y WFD  5.7600e+01  6.737e-02 4096  1.000 42.580  1.45 1.402e+04  23.0977 
OBS: 59685.0200 Y WFD  5.6080e+01  4.780e-02 4096  1.000 43.300  1.31 2.138e+04  23.1273 
OBS: 59686.0554 Y WFD  5.5592e+01  9.308e-02 4096  1.000 42.500  1.62 1.616e+04  23.1374 
OBS: 59690.9772 z WFD  3.9405e+01  3.876e-02 4096  1.000 43.500  1.88 1.453e+04  23.5117 
OBS: 59693.9818 Y WFD  5.1670e+01  1.048e-01 4096  1.000 42.550  2.32 1.331e+04  23.2166 
OBS: 59701.9696 z WFD  3.4801e+01  3.390e-02 4096  1.000 44.260  1.84 2.621e+04  23.6461 
OBS: 59703.9645 z WFD  3.4064e+01  3.429e-02 4096  1.000 44.250  1.52 3.181e+04  23.6708 
OBS: 59713.9683 Y WFD  4.2865e+01  1.379e-01 4096  1.000 42.520  2.54 1.559e+04  23.4233 
OBS: 59719.9573 Y WFD  4.0240e+01  1.547e-01 4096  1.000 42.500  2.40 1.817e+04  23.4869 
OBS: 59841.3743 i WFD  7.1588e+00  2.696e-02 4096  1.000 43.810  2.08 1.220e+04  25.3579 
OBS: 59843.3740 g WFD  2.0924e-01  5.730e-03 4096  1.000 44.760  1.74 7.444e+03  29.1468 
OBS: 59851.3574 u WFD -2.5843e-02  2.773e-02    0  1.000 41.120  2.21 9.898e+02  32.6374 
OBS: 59859.3442 i WFD  6.6156e+00  2.026e-02 4096  1.000 44.600  1.74 2.270e+04  25.4484 
OBS: 59861.3073 Y WFD  1.8623e+01  9.036e-02 4096  1.000 42.500  1.60 1.591e+04  24.3227 
OBS: 59867.3716 z WFD  1.2552e+01  3.428e-02 4096  1.000 44.270  2.03 2.429e+04  24.7536 
OBS: 59873.3688 z WFD  1.2220e+01  3.150e-02 4096  1.000 43.510  1.50 1.498e+04  24.7829 
OBS: 59874.2999 u WFD  1.9675e-02  2.399e-02    0  1.000 41.120  1.93 9.803e+02  32.7512 
OBS: 59878.2771 g WFD  1.8288e-01  3.323e-03 4096  1.000 45.490  1.55 9.490e+03  29.3206 
OBS: 59896.2930 i WFD  5.5857e+00  2.677e-02 4096  1.000 44.630  2.15 2.497e+04  25.6292 
OBS: 59897.3077 i WFD  5.5753e+00  1.742e-02 4096  1.000 44.620  1.57 2.203e+04  25.6342 
OBS: 59900.2831 r WFD  1.6063e+00  9.237e-03 4096  1.000 44.860  1.84 1.243e+04  26.9899 
OBS: 59902.2360 r WFD  1.5863e+00  9.177e-03 4096  1.000 45.560  2.85 1.520e+04  26.9992 
OBS: 59904.2299 u WFD  3.8608e-02  2.810e-02    0  1.000 41.170  2.36 9.835e+02  32.8963 
OBS: 59905.1964 u WFD -2.8055e-02  3.189e-02    0  1.000 41.010  2.42 9.392e+02  32.9010 
OBS: 59907.2589 r WFD  1.5394e+00  6.134e-03 4096  1.000 45.590  2.01 1.481e+04  27.0235 
OBS: 59909.1850 i WFD  5.2910e+00  1.942e-02 4096  1.000 44.550  2.37 1.526e+04  25.6911 
OBS: 59920.1986 Y WFD  1.4392e+01  5.861e-02 4096  1.000 43.310  1.54 2.262e+04  24.6081 
OBS: 59922.1960 z WFD  9.8129e+00  2.256e-02 4096  1.000 45.030  1.38 4.737e+04  25.0182 
OBS: 59924.1620 Y WFD  1.3981e+01  5.919e-02 4096  1.000 43.310  1.59 2.212e+04  24.6269 
OBS: 59926.2642 i WFD  4.8737e+00  1.674e-02 4096  1.000 44.640  1.49 2.272e+04  25.7724 
OBS: 59927.2326 r WFD  1.4482e+00  2.225e-02 4096  1.000 44.190  2.04 1.459e+04  27.1186 
OBS: 59934.1271 g WFD  1.4697e-01  4.890e-03 4096  1.000 44.730  1.60 6.720e+03  29.5881 
OBS: 59938.1050 r WFD  1.3517e+00  1.027e-02 4096  1.000 44.780  2.13 1.110e+04  27.1698 
