SURVEY:   LSST
SNID:     2000760
IAUC:     NULL
SNTYPE:   140
RA:       144.259720  # deg
DEC:      -7.288884  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0282 +- 0.0014  # MW E(B-V) 
PEAKMJD:  59562.570     # estimate for LC fit codes
MJD_TRIGGER:       59588.191  
MJD_DETECT_FIRST:  59585.359  
MJD_DETECT_LAST:   59623.285  

REDSHIFT_HELIO:   2.718794 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.723006 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6129271974  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.7188  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          144.259652    # deg 
HOSTGAL_DEC:         -7.288915    # deg 
HOSTGAL_SNSEP:       0.116       # arcsec 
HOSTGAL_DDLR:        1.449       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.270 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.317
HOSTGAL_SQRADIUS:     10.177   # Ixx + Iyy
HOSTGAL_MAG:     25.79  26.09  26.17  26.31  26.28  26.24 # ugrizY
HOSTGAL_MAGERR:   0.25   0.09   0.10   0.15   0.38   0.53 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  588   # template index for SIMSED,NONIa
SIM_LIBID:           759    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.71879  
SIM_REDSHIFT_CMB:    2.72301  
SIM_REDSHIFT_HOST:   2.69194  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6129271974 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.313 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.270 -9.000 
SIM_DLMU:            46.7700   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0923   # mag 
SIM_RA:              144.259720     # deg  
SIM_DEC:             -7.288884      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0280   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59562.570    #  true PEAKMJD, days 
SIM_SALT2x0:         1.9589e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        5.56  # days 
SIM_TRESTMAX:        298.59  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    588.000000
SIMSED_param(bfield):    32.569809
SIMSED_param(mns):    2.173442
SIMSED_param(pspin):    2.276093
SIMSED_param(kappa):    0.099487
SIMSED_param(kappagamma):    4.062596
SIMSED_param(mej):    7.259020
SIMSED_param(temp):    4828.455566
SIMSED_param(vej):    7309.997070

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   32.05  30.02  28.64  27.88  27.46  27.18  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 130 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2658 u WFD  4.4065e-03  2.048e-02    0  1.000 41.220  1.74 1.018e+03  34.0094 
OBS: 59584.2905 u WFD -5.0567e-02  2.439e-02    0  1.000 41.260  2.15 1.018e+03  34.1366 
OBS: 59585.3579 z WFD  7.7792e-01  3.943e-02 4096  1.000 43.500  1.73 1.615e+04  27.8309 
OBS: 59588.1899 Y WFD  9.5534e-01  9.712e-02 6144  1.000 42.510  2.01 1.376e+04  27.4724 
OBS: 59589.3634 Y WFD  9.1997e-01  1.226e-01 4096  1.000 42.570  2.15 1.716e+04  27.4932 
OBS: 59594.1926 Y WFD  7.8781e-01  7.029e-02 4096  1.000 43.290  1.94 2.116e+04  27.5826 
OBS: 59597.1668 Y WFD  9.8866e-01  1.339e-01    0  1.000 43.290  2.88 2.714e+04  27.6410 
OBS: 59602.3755 Y WFD  7.5464e-01  1.837e-01    0  1.000 42.530  2.36 2.257e+04  27.7528 
OBS: 59603.2979 i WFD  2.2786e-01  1.689e-02 4096  1.000 45.800  2.83 3.518e+04  29.0478 
OBS: 59623.2852 z WFD  2.3487e-01  4.068e-02 4096  1.000 44.250  2.35 2.448e+04  28.9464 
OBS: 59625.0737 Y WFD  4.7582e-01  1.041e-01    0  1.000 42.510  1.55 1.913e+04  28.3653 
OBS: 59628.2340 z WFD  1.3552e-01  5.405e-02    0  1.000 44.280  2.14 3.671e+04  29.1328 
OBS: 59658.0020 z WFD  1.2238e-01  5.636e-02    0  1.000 44.250  2.82 2.825e+04  30.5252 
OBS: 59660.1572 Y WFD  6.6139e-02  8.047e-02    0  1.000 42.550  1.73 1.374e+04  29.7461 
OBS: 59663.9963 z WFD  6.0538e-02  4.805e-02    0  1.000 44.240  2.40 2.805e+04  30.8620 
OBS: 59684.0369 Y WFD -4.6198e-03  4.162e-02    0  1.000 43.780  1.36 2.806e+04  31.0430 
OBS: 59686.0806 Y WFD  3.5980e-02  7.265e-02    0  1.000 42.580  1.40 1.576e+04  31.1654 
OBS: 59711.9725 Y WFD -4.3933e-02  6.020e-02    0  1.000 43.330  1.76 2.072e+04  32.6120 
OBS: 59713.0407 Y WFD  1.7927e-01  1.057e-01    0  1.000 42.560  2.04 1.545e+04  32.6307 
OBS: 59714.0556 Y WFD  7.6110e-02  9.054e-02    0  1.000 43.290  2.34 2.259e+04  32.6488 
OBS: 59896.3533 z WFD  1.5451e-02  5.589e-02    0  1.000 43.500  1.97 2.010e+04  37.0281 
OBS: 59902.3493 z WFD  4.5888e-02  5.436e-02    0  1.000 44.250  2.84 2.706e+04  37.0790 
OBS: 59903.3251 r WFD  4.4016e-03  1.475e-02    0  1.000 44.030  2.04 8.348e+03  99.0000 
OBS: 59905.3291 u WFD  4.7906e-02  3.765e-02    0  1.000 41.100  2.90 1.006e+03  99.0000 
OBS: 59908.3447 z WFD -2.8608e-02  3.778e-02    0  1.000 44.250  2.27 2.353e+04  37.1283 
OBS: 59910.3199 g WFD  8.2928e-04  4.661e-03    0  1.000 45.520  2.07 1.025e+04  99.0000 
OBS: 59911.3193 r WFD -4.4046e-03  6.316e-03    0  1.000 45.560  1.84 1.622e+04  99.0000 
OBS: 59913.3442 z WFD -3.4927e-03  2.507e-02    0  1.000 44.260  1.53 2.339e+04  37.1653 
OBS: 59918.2720 Y WFD -4.5228e-03  1.065e-01    0  1.000 42.520  2.04 1.500e+04  35.7891 
OBS: 59920.3275 Y WFD  5.8295e-03  7.396e-02    0  1.000 42.560  1.53 1.441e+04  35.8052 
OBS: 59924.2821 Y WFD  3.3248e-02  6.133e-02    0  1.000 43.290  1.59 2.252e+04  35.8322 
OBS: 59930.3012 r WFD -3.5463e-03  9.080e-03    0  1.000 44.880  1.53 1.499e+04  99.0000 
OBS: 59939.2476 i WFD  2.1434e-02  1.512e-02    0  1.000 44.570  1.89 1.519e+04  39.4462 
OBS: 59944.2826 i WFD -7.8059e-03  1.290e-02    0  1.000 44.580  1.69 1.462e+04  39.4777 
OBS: 59953.3407 Y WFD -6.6381e-02  8.144e-02    0  1.000 42.590  1.44 1.733e+04  36.0214 
OBS: 59958.1842 r WFD  4.9873e-04  1.207e-02    0  1.000 44.840  1.86 1.580e+04  99.0000 
OBS: 59964.1741 u WFD  2.2118e-02  1.572e-02    0  1.000 41.900  1.80 1.414e+03  99.0000 
OBS: 59973.1501 z WFD  5.9026e-02  2.665e-02    0  1.000 44.240  1.75 2.133e+04  37.5494 
OBS: 59976.1136 Y WFD -5.2782e-02  1.021e-01    0  1.000 42.500  1.93 1.492e+04  36.1521 
OBS: 59979.1737 Y WFD  1.1844e-01  6.756e-02    0  1.000 42.590  1.22 1.697e+04  36.1695 
OBS: 59980.1056 Y WFD  9.0758e-02  9.777e-02    0  1.000 42.530  1.41 2.011e+04  36.1749 
OBS: 59983.3280 z WFD -9.0613e-03  5.581e-02    0  1.000 44.250  2.11 3.740e+04  37.6057 
OBS: 59986.1723 i WFD  4.8187e-03  7.168e-03    0  1.000 46.530  1.68 4.926e+04  39.7196 
OBS: 59991.0969 r WFD -2.3400e-02  1.258e-02    0  1.000 44.050  1.83 8.086e+03  99.0000 
OBS: 59995.0781 r WFD -2.0836e-03  5.268e-03    0  1.000 45.550  1.52 1.623e+04  99.0000 
OBS: 60006.0446 z WFD -3.6621e-02  3.994e-02    0  1.000 44.250  2.01 2.809e+04  37.7232 
OBS: 60008.1942 Y WFD -4.7373e-02  1.075e-01    0  1.000 42.590  1.93 1.708e+04  36.3203 
OBS: 60011.0888 Y WFD  5.3655e-02  1.187e-01    0  1.000 42.590  1.97 1.847e+04  36.3351 
OBS: 60013.2283 z WFD -1.8915e-02  2.380e-02    0  1.000 45.010  1.67 4.058e+04  37.7591 
OBS: 60018.0934 r WFD -1.4429e-03  5.932e-03    0  1.000 45.600  1.86 1.563e+04  99.0000 
OBS: 60025.0106 z WFD -1.6633e-02  2.846e-02    0  1.000 43.480  1.34 1.477e+04  37.8165 
OBS: 60026.0215 g WFD  4.3316e-03  3.920e-03    0  1.000 44.800  1.31 7.020e+03  99.0000 
OBS: 60027.0680 u WFD -5.0697e-03  1.069e-02    0  1.000 42.100  1.38 1.508e+03  99.0000 
OBS: 60038.9891 Y WFD  3.1875e-02  1.359e-01    0  1.000 42.570  2.29 1.785e+04  36.4678 
OBS: 60040.1152 Y WFD  7.7662e-02  1.085e-01    0  1.000 42.560  1.93 1.676e+04  36.4732 
OBS: 60041.1736 z WFD  8.0401e-02  4.585e-02    0  1.000 44.240  1.98 3.244e+04  37.8919 
OBS: 60042.0130 i WFD -3.7793e-03  2.956e-02    0  1.000 44.630  2.39 2.482e+04  39.9947 
OBS: 60042.1245 z WFD  5.6117e-03  3.131e-02    0  1.000 44.260  1.67 2.675e+04  37.8961 
OBS: 60053.0435 i WFD -1.4819e-02  1.053e-02    0  1.000 44.580  1.39 1.452e+04  40.0443 
OBS: 60054.0271 r WFD  7.5108e-03  6.049e-03    0  1.000 44.840  1.35 1.091e+04  99.0000 
OBS: 60068.0120 Y WFD  6.6561e-02  4.014e-02    0  1.000 44.320  1.75 3.459e+04  36.5968 
OBS: 60069.0616 z WFD  6.5761e-02  3.932e-02    0  1.000 44.260  1.88 2.984e+04  38.0153 
OBS: 60073.0149 r WFD  1.2048e-04  1.058e-02    0  1.000 44.870  1.78 1.488e+04  99.0000 
OBS: 60078.0243 g WFD -7.7785e-03  5.870e-03    0  1.000 44.800  1.91 7.210e+03  99.0000 
OBS: 60095.0157 Y WFD  1.6236e-01  9.578e-02    0  1.000 42.520  1.81 1.520e+04  36.7094 
OBS: 60096.0250 Y WFD -1.6983e-01  1.037e-01    0  1.000 42.520  1.91 1.560e+04  36.7136 
OBS: 60122.9562 z WFD -7.7541e-02  8.506e-02    0  1.000 43.480  2.63 2.250e+04  38.2338 
OBS: 60251.3616 z WFD  3.5881e-02  9.290e-02    0  1.000 43.480  2.94 2.198e+04  38.6768 
OBS: 60268.3194 r WFD  3.9237e-04  1.319e-02    0  1.000 44.770  2.57 1.172e+04  99.0000 
OBS: 60274.3494 Y WFD -2.3672e-02  8.884e-02    0  1.000 43.320  1.99 2.680e+04  37.3329 
OBS: 60276.3106 Y WFD  1.0915e-02  4.805e-02    0  1.000 44.470  2.14 3.887e+04  37.3388 
OBS: 60290.2965 u WFD -1.3759e-02  1.584e-02    0  1.000 41.970  1.88 1.455e+03  99.0000 
OBS: 60301.3249 i WFD -7.1240e-03  1.398e-02    0  1.000 44.580  1.84 1.456e+04  40.9253 
OBS: 60303.2802 z WFD  1.3276e-02  2.934e-02    0  1.000 44.270  1.66 2.546e+04  38.8318 
OBS: 60304.2829 z WFD  4.2363e-02  3.460e-02    0  1.000 44.270  1.76 2.831e+04  38.8347 
OBS: 60306.3190 z WFD  2.2558e-02  3.741e-02    0  1.000 44.280  1.73 3.143e+04  38.8407 
OBS: 60312.2937 i WFD  2.7317e-02  1.353e-02    0  1.000 45.370  1.90 2.824e+04  40.9569 
OBS: 60315.1980 g WFD  7.5749e-03  8.516e-03    0  1.000 44.700  2.63 6.929e+03  99.0000 
OBS: 60320.2126 r WFD -9.2274e-04  6.848e-03    0  1.000 44.810  1.46 1.111e+04  99.0000 
OBS: 60330.2508 i WFD  2.9372e-02  1.778e-02    0  1.000 44.590  2.12 1.622e+04  41.0073 
OBS: 60331.1640 Y WFD  1.6496e-01  1.257e-01    0  1.000 42.510  2.43 1.473e+04  37.4968 
OBS: 60331.2900 i WFD  3.1034e-02  1.968e-02    0  1.000 44.600  2.28 1.685e+04  41.0101 
OBS: 60332.2045 Y WFD -6.2965e-02  9.462e-02    0  1.000 42.560  1.92 1.469e+04  37.4996 
