SURVEY:   LSST
SNID:     2000905
IAUC:     NULL
SNTYPE:   40
RA:       46.228527  # deg
DEC:      -4.489656  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0598 +- 0.0030  # MW E(B-V) 
PEAKMJD:  60633.258     # estimate for LC fit codes
MJD_TRIGGER:       60590.230  
MJD_DETECT_FIRST:  60588.270  
MJD_DETECT_LAST:   60669.055  

REDSHIFT_HELIO:   2.224520 +- 0.000010  # Helio 
REDSHIFT_FINAL:   2.222481 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5883392907  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.2245  +- 0.0100 
HOSTGAL_SPECZ:       2.2245  +- 0.0000 
HOSTGAL_RA:          46.228520    # deg 
HOSTGAL_DEC:         -4.489677    # deg 
HOSTGAL_SNSEP:       0.040       # arcsec 
HOSTGAL_DDLR:        0.960       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.903 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.196
HOSTGAL_SQRADIUS:     4.641   # Ixx + Iyy
HOSTGAL_MAG:     25.58  25.44  25.48  25.52  25.52  25.61 # ugrizY
HOSTGAL_MAGERR:   0.18   0.04   0.04   0.07   0.13   0.59 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  930   # template index for SIMSED,NONIa
SIM_LIBID:           904    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.22453  
SIM_REDSHIFT_CMB:    2.22249  
SIM_REDSHIFT_HOST:   2.14578  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5883392907 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.965 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.903 -9.000 
SIM_DLMU:            46.2384   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0477   # mag 
SIM_RA:              46.228527     # deg  
SIM_DEC:             -4.489656      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0623   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60633.258    #  true PEAKMJD, days 
SIM_SALT2x0:         3.1963e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.3008  # spectro-search efficiency 
SIM_TRESTMIN:        -254.72  # days 
SIM_TRESTMAX:        11.11  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    930.000000
SIMSED_param(bfield):    2.474646
SIMSED_param(mns):    2.144563
SIMSED_param(pspin):    2.297519
SIMSED_param(kappa):    0.122796
SIMSED_param(kappagamma):    10.354923
SIMSED_param(mej):    2.933008
SIMSED_param(temp):    4912.071777
SIMSED_param(vej):    10567.675781

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.88  23.16  22.73  22.54  22.45  22.44  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59812.4186 Y WFD  1.0170e-01  6.251e-02    0  1.000 43.330  1.89 2.004e+04  99.0000 
OBS: 59813.3647 i WFD  3.9208e-03  1.310e-02    0  1.000 44.580  1.66 1.512e+04  99.0000 
OBS: 59817.3230 r WFD  2.8636e-02  1.242e-02    0  1.000 44.070  1.85 8.039e+03  99.0000 
OBS: 59817.3402 g WFD -7.5724e-04  5.482e-03    0  1.000 44.800  1.81 7.106e+03  99.0000 
OBS: 59817.3507 r WFD  3.2194e-02  1.111e-02    0  1.000 44.070  1.69 7.877e+03  99.0000 
OBS: 59817.3595 g WFD -1.1407e-02  6.175e-03    0  1.000 44.790  2.04 7.036e+03  99.0000 
OBS: 59818.3342 u WFD  2.1650e-02  1.727e-02    0  1.000 41.970  2.05 1.455e+03  99.0000 
OBS: 59821.3423 r WFD  6.0581e-03  1.165e-02    0  1.000 44.830  2.52 1.115e+04  99.0000 
OBS: 59821.4134 z WFD  4.3273e-02  3.842e-02    0  1.000 43.510  1.81 1.518e+04  99.0000 
OBS: 59822.3791 i WFD -1.0247e-03  1.724e-02    0  1.000 44.580  2.24 1.475e+04  99.0000 
OBS: 59832.3577 Y WFD -2.5858e-02  4.210e-02    0  1.000 44.330  1.72 3.725e+04  99.0000 
OBS: 59841.2890 g WFD  3.5245e-03  9.848e-03    0  1.000 44.820  3.16 7.447e+03  99.0000 
OBS: 59842.3989 z WFD -7.7403e-03  4.580e-02    0  1.000 43.510  1.86 1.761e+04  99.0000 
OBS: 59849.2351 r WFD  4.5078e-03  1.223e-02    0  1.000 44.810  2.59 1.118e+04  99.0000 
OBS: 59850.3922 z WFD  2.9260e-02  5.723e-02    0  1.000 43.500  2.22 1.827e+04  99.0000 
OBS: 59851.2405 u WFD -1.8107e-02  1.831e-02    0  1.000 41.940  2.16 1.423e+03  99.0000 
OBS: 59853.3881 z WFD  2.5784e-02  3.321e-02    0  1.000 44.250  1.59 2.953e+04  99.0000 
OBS: 59854.1971 Y WFD  2.5421e-02  5.251e-02    0  1.000 43.710  1.89 2.389e+04  99.0000 
OBS: 59854.3836 z WFD  2.6144e-02  3.760e-02    0  1.000 43.490  1.72 1.535e+04  99.0000 
OBS: 59856.1807 i WFD -4.9902e-02  2.118e-02    0  1.000 44.560  2.09 1.906e+04  99.0000 
OBS: 59859.2781 Y WFD  3.7012e-02  8.979e-02    0  1.000 42.580  1.89 1.443e+04  99.0000 
OBS: 59859.3780 z WFD -3.2660e-03  3.048e-02    0  1.000 44.240  1.58 2.703e+04  99.0000 
OBS: 59860.1807 Y WFD -1.3917e-01  7.013e-02    0  1.000 43.270  1.69 2.379e+04  99.0000 
OBS: 59861.1983 Y WFD -2.6601e-02  1.132e-01    0  1.000 42.550  1.80 1.857e+04  99.0000 
OBS: 59867.3479 i WFD -1.8551e-03  3.194e-02    0  1.000 43.850  1.85 1.689e+04  99.0000 
OBS: 59868.2943 r WFD  9.2837e-03  1.594e-02    0  1.000 44.160  1.53 1.356e+04  99.0000 
OBS: 59869.2606 r WFD -2.6452e-03  9.652e-03    0  1.000 44.880  1.78 1.370e+04  99.0000 
OBS: 59872.2529 i WFD  3.8218e-03  1.013e-02    0  1.000 44.580  1.31 1.481e+04  99.0000 
OBS: 59875.1864 u WFD  1.6368e-02  3.240e-02    0  1.000 41.170  2.67 1.002e+03  99.0000 
OBS: 59878.1390 i WFD -7.3009e-05  7.081e-03    0  1.000 45.750  1.48 2.693e+04  99.0000 
OBS: 59879.1367 g WFD  2.6470e-03  4.038e-03    0  1.000 45.520  1.82 1.010e+04  99.0000 
OBS: 59885.1195 z WFD  2.0900e-02  2.446e-02    0  1.000 44.240  1.55 2.210e+04  99.0000 
OBS: 59897.0893 r WFD -7.1572e-03  6.851e-03    0  1.000 45.550  1.98 1.620e+04  99.0000 
OBS: 59906.1892 r WFD  6.9948e-03  8.904e-03    0  1.000 44.840  1.96 1.106e+04  99.0000 
OBS: 59910.0249 z WFD -6.3807e-02  4.633e-02    0  1.000 43.490  1.74 1.870e+04  99.0000 
OBS: 59911.0372 z WFD -1.4575e-03  2.961e-02    0  1.000 44.230  1.88 2.186e+04  99.0000 
OBS: 59912.0326 z WFD  9.1822e-02  4.756e-02    0  1.000 44.240  2.40 2.776e+04  99.0000 
OBS: 59920.0526 Y WFD -1.1471e-01  1.121e-01    0  1.000 42.570  1.80 1.874e+04  99.0000 
OBS: 59927.1949 r WFD -5.1720e-02  1.845e-02    0  1.000 44.080  1.86 1.199e+04  99.0000 
OBS: 59931.0520 Y WFD -9.5096e-02  4.456e-02    0  1.000 43.320  1.44 1.858e+04  99.0000 
