SURVEY:   LSST
SNID:     2001019
IAUC:     NULL
SNTYPE:   40
RA:       119.871441  # deg
DEC:      -17.588001  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0848 +- 0.0042  # MW E(B-V) 
PEAKMJD:  60055.598     # estimate for LC fit codes
MJD_TRIGGER:       60067.000  
MJD_DETECT_FIRST:  60065.973  
MJD_DETECT_LAST:   60668.223  

REDSHIFT_HELIO:   0.765772 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.767231 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       5876014900  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.7658  +- 0.0100 
HOSTGAL_SPECZ:       0.7658  +- 0.0000 
HOSTGAL_RA:          119.870593    # deg 
HOSTGAL_DEC:         -17.589227    # deg 
HOSTGAL_SNSEP:       2.542       # arcsec 
HOSTGAL_DDLR:        3.780       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.948 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.321
HOSTGAL_SQRADIUS:     17.265   # Ixx + Iyy
HOSTGAL_MAG:     25.32  24.68  23.68  22.74  22.42  22.17 # ugrizY
HOSTGAL_MAGERR:   0.14   0.02   0.01   0.01   0.01   0.01 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  539   # template index for SIMSED,NONIa
SIM_LIBID:           1018    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.76577  
SIM_REDSHIFT_CMB:    0.76723  
SIM_REDSHIFT_HOST:   0.73957  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   5876014900 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.212 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.948 -9.000 
SIM_DLMU:            43.3892   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0168   # mag 
SIM_RA:              119.871445     # deg  
SIM_DEC:             -17.588001      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0797   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60055.598    #  true PEAKMJD, days 
SIM_SALT2x0:         4.4089e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -267.00  # days 
SIM_TRESTMAX:        349.72  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    539.000000
SIMSED_param(bfield):    2.154278
SIMSED_param(mns):    1.703450
SIMSED_param(pspin):    2.264025
SIMSED_param(kappa):    0.090230
SIMSED_param(kappagamma):    2.594252
SIMSED_param(mej):    2.177493
SIMSED_param(temp):    7590.785645
SIMSED_param(vej):    15758.351562

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   20.34  20.18  20.26  20.49  20.68  20.84  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 146 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1318 u WFD  2.7980e-02  3.877e-02    0  1.000 41.060  3.05 9.487e+02  99.0000 
OBS: 59584.3593 z WFD -2.3568e-02  5.259e-02    0  1.000 43.480  2.00 1.829e+04  99.0000 
OBS: 59585.3637 z WFD  1.6847e-02  5.523e-02    0  1.000 43.490  1.68 2.308e+04  99.0000 
OBS: 59597.1538 Y WFD  5.1396e-03  7.631e-02    0  1.000 43.780  2.36 2.965e+04  99.0000 
OBS: 59611.0363 z WFD  5.2684e-02  5.203e-02    0  1.000 44.240  2.18 3.343e+04  99.0000 
OBS: 59623.0292 z WFD  3.0100e-02  4.832e-02    0  1.000 44.260  1.98 3.482e+04  99.0000 
OBS: 59625.0567 Y WFD  1.0054e-01  8.874e-02    0  1.000 42.590  1.64 1.658e+04  99.0000 
OBS: 59631.1776 i WFD  2.7781e-03  1.938e-02    0  1.000 44.620  1.90 2.027e+04  99.0000 
OBS: 59647.0130 Y WFD  1.5053e-02  6.602e-02    0  1.000 43.320  2.12 1.870e+04  99.0000 
OBS: 59662.0101 Y WFD  1.3716e-01  7.047e-02    0  1.000 42.590  1.71 1.263e+04  99.0000 
OBS: 59666.0019 Y WFD -1.4857e-01  8.407e-02    0  1.000 42.590  2.04 1.263e+04  99.0000 
OBS: 59682.0841 Y WFD  1.1933e-01  6.684e-02    0  1.000 42.540  1.31 1.493e+04  99.0000 
OBS: 59684.0644 Y WFD -8.8499e-02  7.386e-02    0  1.000 42.560  1.45 1.519e+04  99.0000 
OBS: 59686.0577 Y WFD  7.4957e-02  6.725e-02    0  1.000 42.560  1.33 1.507e+04  99.0000 
OBS: 59702.9670 z WFD -2.6404e-02  2.953e-02    0  1.000 44.270  1.48 2.873e+04  99.0000 
OBS: 59703.9726 z WFD  7.2202e-03  2.077e-02    0  1.000 44.260  1.46 2.030e+04  99.0000 
OBS: 59711.9955 Y WFD -1.4440e-01  9.171e-02    0  1.000 42.540  1.85 1.451e+04  99.0000 
OBS: 59718.0164 i WFD  2.0262e-02  3.192e-02    0  1.000 43.780  2.60 1.126e+04  99.0000 
OBS: 59851.3767 u WFD  4.7427e-02  3.655e-02    0  1.000 41.050  2.68 1.009e+03  99.0000 
OBS: 59860.3473 Y WFD  4.0555e-02  1.070e-01    0  1.000 42.500  1.95 1.547e+04  99.0000 
OBS: 59861.3485 Y WFD  7.1223e-02  8.790e-02    0  1.000 42.520  1.60 1.579e+04  99.0000 
OBS: 59868.3742 z WFD -5.1015e-02  4.394e-02    0  1.000 43.510  1.76 1.785e+04  99.0000 
OBS: 59870.3528 i WFD -1.1649e-02  1.234e-02    0  1.000 45.020  1.65 2.150e+04  99.0000 
OBS: 59872.3736 z WFD  2.6010e-02  3.683e-02    0  1.000 43.520  1.44 1.846e+04  99.0000 
OBS: 59874.3281 u WFD -2.2796e-02  2.932e-02    0  1.000 41.110  2.33 9.835e+02  99.0000 
OBS: 59878.3203 g WFD  5.2382e-03  4.688e-03    0  1.000 44.770  1.57 6.815e+03  99.0000 
OBS: 59879.3124 g WFD -6.2236e-05  3.983e-03    0  1.000 45.510  1.86 9.661e+03  99.0000 
OBS: 59884.3416 r WFD -3.3354e-02  8.154e-03    0  1.000 44.090  1.30 7.653e+03  99.0000 
OBS: 59887.3557 z WFD  3.7383e-02  3.432e-02    0  1.000 43.500  1.70 1.430e+04  99.0000 
OBS: 59896.3037 i WFD -3.3060e-02  2.795e-02    0  1.000 44.620  2.26 2.459e+04  99.0000 
OBS: 59899.3000 i WFD  1.9711e-03  2.110e-02    0  1.000 44.600  2.28 1.806e+04  99.0000 
OBS: 59900.3291 r WFD  1.0390e-02  1.132e-02    0  1.000 44.890  2.08 1.387e+04  99.0000 
OBS: 59904.2550 u WFD -5.3039e-02  3.300e-02    0  1.000 41.070  2.62 9.487e+02  99.0000 
OBS: 59905.2383 u WFD  1.5209e-02  1.949e-02    0  1.000 41.780  2.12 1.331e+03  99.0000 
OBS: 59906.2890 r WFD -1.6220e-02  9.581e-03    0  1.000 44.830  2.18 1.060e+04  99.0000 
OBS: 59907.2995 r WFD -1.0941e-02  4.880e-03    0  1.000 45.590  1.60 1.482e+04  99.0000 
OBS: 59911.2818 r WFD -8.5062e-03  7.372e-03    0  1.000 44.830  1.71 1.040e+04  99.0000 
OBS: 59919.2332 z WFD  3.5008e-02  3.619e-02    0  1.000 44.270  2.00 2.606e+04  99.0000 
OBS: 59920.2205 Y WFD -3.9135e-02  5.762e-02    0  1.000 43.300  1.55 2.191e+04  99.0000 
