SURVEY:   LSST
SNID:     2001303
IAUC:     NULL
SNTYPE:   40
RA:       144.498453  # deg
DEC:      3.240865  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0296 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59531.133     # estimate for LC fit codes
MJD_TRIGGER:       59658.156  
MJD_DETECT_FIRST:  59657.047  
MJD_DETECT_LAST:   60651.305  

REDSHIFT_HELIO:   0.413244 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.414817 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  42   # template index for SIMSED,NONIa
SIM_LIBID:           1302    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.41325  
SIM_REDSHIFT_CMB:    0.41482  
SIM_REDSHIFT_HOST:   0.42967  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8937694505 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.122 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.761 -9.000 
SIM_DLMU:            41.7754   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0062   # mag 
SIM_RA:              144.498459     # deg  
SIM_DEC:             3.240865      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0271   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59531.133    #  true PEAKMJD, days 
SIM_SALT2x0:         1.9491e-17 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        89.00  # days 
SIM_TRESTMAX:        798.99  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    42.000000
SIMSED_param(bfield):    8.504725
SIMSED_param(mns):    1.784221
SIMSED_param(pspin):    1.113704
SIMSED_param(kappa):    0.109789
SIMSED_param(kappagamma):    52.376495
SIMSED_param(mej):    3.897520
SIMSED_param(temp):    4694.453125
SIMSED_param(vej):    17400.121094

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   20.05  20.09  20.38  20.65  20.87  21.05  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59657.0485 z WFD  1.2378e+01  4.539e-02 4096  1.000 44.270  1.87 3.494e+04  24.7700 
OBS: 59658.1544 z WFD  1.2137e+01  5.197e-02 6144  1.000 44.260  2.53 2.930e+04  24.7886 
OBS: 59660.1148 Y WFD  1.4450e+01  5.205e-02 4096  1.000 43.740  1.90 2.419e+04  24.5981 
OBS: 59662.1852 i WFD  7.9623e+00  3.072e-02 4096  1.000 44.560  3.03 1.906e+04  25.2429 
OBS: 59684.0433 Y WFD  1.0413e+01  5.769e-02 4096  1.000 43.320  1.44 2.403e+04  24.9576 
OBS: 59686.0856 Y WFD  1.0082e+01  8.023e-02 4096  1.000 42.540  1.45 1.618e+04  24.9850 
OBS: 59704.9735 z WFD  6.6245e+00  3.245e-02 4096  1.000 43.490  1.56 1.459e+04  25.4507 
OBS: 59711.9768 Y WFD  7.4640e+00  9.345e-02 4096  1.000 42.560  1.83 1.522e+04  25.3118 
OBS: 59712.9984 Y WFD  7.3645e+00  1.058e-01 4096  1.000 42.560  2.04 1.545e+04  25.3239 
OBS: 59718.0314 i WFD  3.9902e+00  2.672e-02 4096  1.000 44.570  2.28 2.224e+04  25.9928 
OBS: 59904.3283 r WFD  5.1010e-01  2.334e-02 4096  1.000 44.010  3.05 8.671e+03  28.1900 
OBS: 59904.3499 z WFD  1.5116e+00  5.108e-02 4096  1.000 44.250  2.57 2.810e+04  27.0720 
OBS: 59907.3297 r WFD  5.1859e-01  1.454e-02 4096  1.000 44.040  1.96 8.643e+03  28.2071 
OBS: 59908.3487 z WFD  1.4737e+00  4.506e-02 4096  1.000 44.250  2.26 2.819e+04  27.0947 
OBS: 59909.3556 z WFD  1.4531e+00  6.868e-02 4096  1.000 43.510  2.05 2.396e+04  27.1004 
OBS: 59912.3368 z WFD  1.4421e+00  3.969e-02 4096  1.000 43.480  1.83 1.508e+04  27.1172 
OBS: 59917.3389 z WFD  1.3610e+00  2.642e-02 4096  1.000 44.240  1.67 2.215e+04  27.1451 
OBS: 59918.3111 Y WFD  1.7084e+00  8.622e-02 4096  1.000 42.510  1.71 1.435e+04  26.9276 
OBS: 59920.3167 Y WFD  1.7272e+00  5.455e-02 4096  1.000 43.730  1.78 2.684e+04  26.9385 
OBS: 59924.2837 Y WFD  1.8185e+00  7.529e-02 4096  1.000 43.260  1.77 2.416e+04  26.9602 
OBS: 59930.3150 r WFD  4.6594e-01  1.567e-02 4096  1.000 44.090  1.74 1.099e+04  28.3336 
OBS: 59934.3226 g WFD  1.2475e-01  4.762e-03 4096  1.000 44.810  1.52 7.416e+03  29.7392 
OBS: 59937.2620 r WFD  4.2573e-01  9.859e-03    0  1.000 44.790  1.96 1.169e+04  28.3704 
OBS: 59939.2453 i WFD  8.5772e-01  1.678e-02 4096  1.000 44.550  1.96 1.595e+04  27.6513 
OBS: 59941.2477 i WFD  8.3335e-01  1.484e-02 4096  1.000 44.560  1.76 1.585e+04  27.6617 
OBS: 59942.2480 r WFD  4.4339e-01  7.583e-03 4096  1.000 44.790  1.51 1.167e+04  28.3964 
OBS: 59943.2636 r WFD  4.3227e-01  1.066e-02 4096  1.000 44.810  2.18 1.158e+04  28.4017 
OBS: 59944.2773 i WFD  8.6898e-01  1.476e-02 4096  1.000 44.570  1.83 1.531e+04  27.6774 
OBS: 59945.2522 i WFD  8.0302e-01  1.507e-02 4096  1.000 44.560  1.80 1.575e+04  27.6825 
OBS: 59962.1843 g WFD  1.0693e-01  8.201e-03 4096  1.000 43.980  1.76 5.136e+03  29.8818 
OBS: 59963.3670 z WFD  1.1196e+00  4.557e-02 4096  1.000 43.470  1.76 1.784e+04  27.3854 
