SURVEY:   LSST
SNID:     2001823
IAUC:     NULL
SNTYPE:   140
RA:       303.918867  # deg
DEC:      0.176802  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1005 +- 0.0050  # MW E(B-V) 
PEAKMJD:  60574.434     # estimate for LC fit codes
MJD_TRIGGER:       60537.164  
MJD_DETECT_FIRST:  60529.078  
MJD_DETECT_LAST:   60599.059  

REDSHIFT_HELIO:   0.562150 +- 0.010000  # Helio 
REDSHIFT_FINAL:   0.560775 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9625529180  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5621  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          303.918959    # deg 
HOSTGAL_DEC:         0.176784    # deg 
HOSTGAL_SNSEP:       0.131       # arcsec 
HOSTGAL_DDLR:        0.858       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.059 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.141
HOSTGAL_SQRADIUS:     7.663   # Ixx + Iyy
HOSTGAL_MAG:     28.10  25.90  24.37  23.38  22.98  22.72 # ugrizY
HOSTGAL_MAGERR:  26.62   0.06   0.02   0.01   0.01   0.02 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  753   # template index for SIMSED,NONIa
SIM_LIBID:           1822    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56215  
SIM_REDSHIFT_CMB:    0.56077  
SIM_REDSHIFT_HOST:   0.57131  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9625529180 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.140 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.059 -9.000 
SIM_DLMU:            42.5631   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0135   # mag 
SIM_RA:              303.918854     # deg  
SIM_DEC:             0.176802      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1006   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60574.434    #  true PEAKMJD, days 
SIM_SALT2x0:         9.4356e-18 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0170  # spectro-search efficiency 
SIM_TRESTMIN:        -553.59  # days 
SIM_TRESTMAX:        15.78  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    753.000000
SIMSED_param(bfield):    0.431892
SIMSED_param(mns):    1.867682
SIMSED_param(pspin):    7.729486
SIMSED_param(kappa):    0.167034
SIMSED_param(kappagamma):    1.908406
SIMSED_param(mej):    1.028951
SIMSED_param(temp):    7241.889648
SIMSED_param(vej):    7277.039062

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.56  24.96  24.10  23.73  23.56  23.49  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 117 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59710.4098 i WFD  2.4466e-02  1.919e-02    0  1.000 43.820  1.73 1.056e+04  99.0000 
OBS: 59715.3470 Y WFD -5.9169e-02  9.272e-02    0  1.000 43.310  2.47 2.233e+04  99.0000 
OBS: 59722.3008 z WFD  1.2455e-02  2.417e-02    0  1.000 45.000  2.21 3.086e+04  99.0000 
OBS: 59728.3185 u WFD  4.9414e-03  1.942e-02    0  1.000 41.240  1.65 1.037e+03  99.0000 
OBS: 59767.1429 Y WFD -5.6889e-02  1.165e-01    0  1.000 42.510  2.32 1.430e+04  99.0000 
OBS: 59769.1883 z WFD -2.7108e-02  2.566e-02    0  1.000 44.250  1.62 2.239e+04  99.0000 
OBS: 59772.1753 Y WFD  5.6232e-02  7.196e-02    0  1.000 43.310  1.80 2.378e+04  99.0000 
OBS: 59776.2378 z WFD  1.0282e-02  2.933e-02    0  1.000 45.630  2.42 6.107e+04  99.0000 
OBS: 59777.1993 Y WFD  1.0007e-01  8.011e-02    0  1.000 43.750  2.74 2.608e+04  99.0000 
OBS: 59789.1264 r WFD  1.0593e-02  1.061e-02    0  1.000 44.810  2.20 1.142e+04  99.0000 
OBS: 59791.2239 g WFD -4.5782e-03  7.884e-03    0  1.000 44.800  2.57 7.197e+03  99.0000 
OBS: 59799.0835 Y WFD  5.5057e-02  7.281e-02    0  1.000 43.270  1.97 2.119e+04  99.0000 
OBS: 59803.0603 Y WFD -1.5925e-01  8.947e-02    0  1.000 43.290  1.78 2.935e+04  99.0000 
OBS: 59804.1187 z WFD -6.3793e-03  2.709e-02    0  1.000 45.020  1.55 5.022e+04  99.0000 
OBS: 59806.0995 i WFD -2.4262e-02  2.210e-02    0  1.000 44.610  1.77 2.459e+04  99.0000 
OBS: 59808.1567 r WFD -1.3058e-03  9.819e-03    0  1.000 44.870  1.59 1.545e+04  99.0000 
OBS: 59810.0809 r WFD  2.7040e-02  1.229e-02    0  1.000 44.070  1.83 8.042e+03  99.0000 
OBS: 59818.0656 u WFD -2.7458e-02  1.623e-02    0  1.000 41.970  1.93 1.451e+03  99.0000 
OBS: 59836.0253 r WFD -1.1104e-02  7.688e-03    0  1.000 44.820  1.66 1.107e+04  99.0000 
OBS: 59836.9965 Y WFD -1.2160e-01  6.482e-02    0  1.000 42.530  1.40 1.343e+04  99.0000 
OBS: 59838.9913 z WFD  2.4599e-02  2.809e-02    0  1.000 44.240  1.72 2.288e+04  99.0000 
OBS: 59840.0243 g WFD  1.7095e-03  4.772e-03    0  1.000 44.790  1.59 6.976e+03  99.0000 
OBS: 59840.9872 Y WFD -3.1093e-02  6.751e-02    0  1.000 43.290  1.73 2.279e+04  99.0000 
OBS: 59843.9901 z WFD -2.0354e-03  2.955e-02    0  1.000 44.250  1.66 2.517e+04  99.0000 
OBS: 59859.0237 Y WFD -2.6866e-02  3.354e-02    0  1.000 44.510  1.55 3.887e+04  99.0000 
OBS: 59869.0695 r WFD  1.1207e-02  1.472e-02    0  1.000 44.030  2.07 8.209e+03  99.0000 
OBS: 60043.4036 z WFD -8.7033e-02  4.928e-02    0  1.000 44.250  2.45 2.844e+04  99.0000 
OBS: 60044.4044 z WFD -4.2110e-02  4.164e-02    0  1.000 44.240  2.08 2.805e+04  99.0000 
OBS: 60046.4190 Y WFD  9.6477e-02  8.718e-02    0  1.000 43.310  1.61 3.221e+04  99.0000 
OBS: 60050.4061 g WFD -3.7208e-03  8.398e-03    0  1.000 44.060  1.68 5.932e+03  99.0000 
OBS: 60051.4094 r WFD  6.3512e-04  1.018e-02    0  1.000 44.060  1.40 8.630e+03  99.0000 
OBS: 60051.4179 z WFD -7.0213e-02  3.435e-02    0  1.000 43.490  1.37 1.760e+04  99.0000 
OBS: 60055.3641 g WFD  1.5883e-03  5.554e-03    0  1.000 44.740  1.68 7.340e+03  99.0000 
OBS: 60056.3981 i WFD  2.0378e-02  1.973e-02    0  1.000 43.810  1.69 1.101e+04  99.0000 
OBS: 60058.3845 r WFD -9.1316e-03  1.054e-02    0  1.000 44.810  2.13 1.172e+04  99.0000 
OBS: 60060.3824 r WFD  9.4436e-03  9.685e-03    0  1.000 44.800  1.95 1.165e+04  99.0000 
OBS: 60062.3809 r WFD  7.0255e-03  1.287e-02    0  1.000 44.800  2.61 1.157e+04  99.0000 
OBS: 60064.3700 i WFD -2.0036e-02  9.921e-03    0  1.000 45.760  2.10 2.684e+04  99.0000 
OBS: 60066.3732 i WFD  1.2705e-02  1.553e-02    0  1.000 44.570  1.93 1.528e+04  99.0000 
OBS: 60072.3323 z WFD  4.8793e-02  3.507e-02    0  1.000 44.250  1.71 2.899e+04  99.0000 
