SURVEY:   LSST
SNID:     2002426
IAUC:     NULL
SNTYPE:   140
RA:       327.749782  # deg
DEC:      -38.586265  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0226 +- 0.0011  # MW E(B-V) 
PEAKMJD:  59576.035     # estimate for LC fit codes
MJD_TRIGGER:       59767.215  
MJD_DETECT_FIRST:  59753.219  
MJD_DETECT_LAST:   60634.035  

REDSHIFT_HELIO:   1.652810 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.650676 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10445053796  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.6528  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          327.749784    # deg 
HOSTGAL_DEC:         -38.586286    # deg 
HOSTGAL_SNSEP:       0.038       # arcsec 
HOSTGAL_DDLR:        0.564       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.016 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.337
HOSTGAL_SQRADIUS:     7.823   # Ixx + Iyy
HOSTGAL_MAG:     24.41  24.42  24.50  24.59  24.65  24.71 # ugrizY
HOSTGAL_MAGERR:   0.09   0.02   0.02   0.03   0.06   0.15 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  380   # template index for SIMSED,NONIa
SIM_LIBID:           2425    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.65281  
SIM_REDSHIFT_CMB:    1.65067  
SIM_REDSHIFT_HOST:   1.71934  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10445053796 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.573 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.016 -9.000 
SIM_DLMU:            45.4471   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.2116   # mag 
SIM_RA:              327.749786     # deg  
SIM_DEC:             -38.586266      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0235   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59576.035    #  true PEAKMJD, days 
SIM_SALT2x0:         6.6248e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.2263  # spectro-search efficiency 
SIM_TRESTMIN:        66.84  # days 
SIM_TRESTMAX:        399.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    380.000000
SIMSED_param(bfield):    0.702888
SIMSED_param(mns):    1.985337
SIMSED_param(pspin):    3.653139
SIMSED_param(kappa):    0.108134
SIMSED_param(kappagamma):    0.626920
SIMSED_param(mej):    5.245392
SIMSED_param(temp):    5217.684570
SIMSED_param(vej):    8760.308594

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.48  24.05  23.16  22.69  22.53  22.50  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 132 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.2170 g WFD  3.3881e-01  8.124e-03 4096  1.000 44.730  2.62 6.818e+03  28.6510 
OBS: 59767.2167 Y WFD  2.4149e+01  9.854e-02 6144  1.000 42.550  2.20 1.322e+04  24.0445 
OBS: 59769.2881 z WFD  1.5689e+01  1.949e-02 4096  1.000 44.270  1.44 1.942e+04  24.5094 
OBS: 59770.2687 Y WFD  2.3423e+01  7.158e-02 4096  1.000 42.600  1.66 1.331e+04  24.0795 
OBS: 59773.3047 Y WFD  2.2574e+01  5.010e-02 4096  1.000 43.800  1.55 3.015e+04  24.1148 
OBS: 59777.3466 Y WFD  2.1670e+01  6.785e-02 4096  1.000 44.330  2.93 3.523e+04  24.1636 
OBS: 59778.4412 Y WFD  2.1280e+01  2.076e-01 4096  1.000 42.530  2.98 2.020e+04  24.1772 
OBS: 59779.2571 z WFD  1.3785e+01  2.406e-02 4096  1.000 45.030  2.34 2.979e+04  24.6496 
OBS: 59784.3937 r WFD  1.5612e+00  9.225e-03 4096  1.000 44.810  1.92 1.137e+04  27.0313 
OBS: 59791.1081 u WFD  1.3693e-02  2.154e-02    0  1.000 41.780  2.30 1.357e+03  34.3871 
OBS: 59793.1329 r WFD  1.2823e+00  8.238e-03 4096  1.000 45.570  2.49 1.577e+04  27.2278 
OBS: 59793.2689 i WFD  5.3789e+00  1.212e-02 4096  1.000 45.350  2.34 2.015e+04  25.6694 
OBS: 59797.1151 z WFD  1.0983e+01  3.624e-02 4096  1.000 44.250  2.39 2.142e+04  24.9026 
OBS: 59801.2043 z WFD  1.0374e+01  2.981e-02 4096  1.000 45.050  1.89 4.657e+04  24.9623 
OBS: 59805.1448 Y WFD  1.5817e+01  6.532e-02 4096  1.000 42.590  1.25 1.599e+04  24.4982 
OBS: 59806.3487 z WFD  9.6282e+00  5.666e-02 4096  1.000 43.490  2.03 1.958e+04  25.0354 
OBS: 59808.0750 g WFD  7.3636e-02  3.828e-03 4096  1.000 45.530  1.75 1.005e+04  30.3223 
OBS: 59809.1974 r WFD  9.2485e-01  5.485e-03 4096  1.000 45.650  1.48 1.901e+04  27.5942 
OBS: 59813.1727 i WFD  3.9077e+00  8.748e-03 4096  1.000 45.350  1.69 2.012e+04  26.0193 
OBS: 59818.0437 u WFD  1.5367e-04  1.820e-02    0  1.000 41.880  2.05 1.410e+03  35.7956 
OBS: 59821.2111 r WFD  7.1630e-01  5.333e-03 4096  1.000 45.610  1.72 1.533e+04  27.8709 
OBS: 59824.2313 i WFD  3.2806e+00  9.131e-03 4096  1.000 45.340  1.72 2.045e+04  26.2155 
OBS: 59825.0232 z WFD  7.5159e+00  2.977e-02 4096  1.000 44.240  1.96 2.126e+04  25.3088 
OBS: 59826.0272 z WFD  7.4356e+00  3.714e-02 4096  1.000 44.250  2.40 2.187e+04  25.3235 
OBS: 59827.0627 z WFD  7.2705e+00  2.966e-02 4096  1.000 44.260  1.88 2.250e+04  25.3388 
OBS: 59832.1182 Y WFD  1.1656e+01  9.384e-02 4096  1.000 42.610  1.57 1.865e+04  24.8363 
OBS: 59835.0194 r WFD  5.3065e-01  5.640e-03 4096  1.000 45.260  1.50 1.347e+04  28.1833 
OBS: 59843.0178 i WFD  2.3943e+00  1.142e-02 4096  1.000 44.580  1.50 1.457e+04  26.5543 
OBS: 59851.1257 u WFD -4.0624e-03  1.647e-02    0  1.000 42.090  2.16 1.470e+03  37.8196 
OBS: 59852.9851 Y WFD  9.2329e+00  1.257e-01 4096  1.000 42.600  1.77 2.196e+04  25.0913 
OBS: 59860.0609 Y WFD  8.9537e+00  5.087e-02 4096  1.000 43.800  1.71 2.777e+04  25.1197 
OBS: 59863.1208 z WFD  4.9923e+00  2.561e-02 4096  1.000 44.270  1.41 2.614e+04  25.7551 
OBS: 59864.1432 i WFD  1.9941e+00  3.021e-02 4096  1.000 43.880  1.73 1.755e+04  26.7626 
OBS: 59869.1119 r WFD  3.5017e-01  7.615e-03 4096  1.000 44.840  1.71 1.084e+04  28.6442 
OBS: 59880.1451 r WFD  3.2864e-01  7.487e-03 4096  1.000 44.780  1.49 1.157e+04  28.6868 
OBS: 59883.0695 i WFD  1.8472e+00  1.015e-02 4096  1.000 44.600  1.21 1.635e+04  26.8357 
OBS: 59905.0813 u WFD  3.5961e-02  3.617e-02    0  1.000 41.020  2.68 9.708e+02  38.1736 
OBS: 59919.0503 z WFD  4.1187e+00  4.077e-02 4096  1.000 44.240  2.06 2.772e+04  25.9646 
OBS: 60042.4086 z WFD  2.8504e+00  3.738e-02 4096  1.000 44.240  1.86 2.815e+04  26.3663 
