SURVEY:   LSST
SNID:     2002919
IAUC:     NULL
SNTYPE:   140
RA:       204.596642  # deg
DEC:      -1.936026  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0459 +- 0.0023  # MW E(B-V) 
PEAKMJD:  60080.941     # estimate for LC fit codes
MJD_TRIGGER:       60071.117  
MJD_DETECT_FIRST:  60063.141  
MJD_DETECT_LAST:   60164.996  

REDSHIFT_HELIO:   1.935885 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.938785 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6007464910  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9359  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          204.596674    # deg 
HOSTGAL_DEC:         -1.936033    # deg 
HOSTGAL_SNSEP:       0.049       # arcsec 
HOSTGAL_DDLR:        0.544       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.804 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.627
HOSTGAL_SQRADIUS:     7.085   # Ixx + Iyy
HOSTGAL_MAG:     24.98  24.98  25.05  25.15  25.22  25.27 # ugrizY
HOSTGAL_MAGERR:   0.11   0.03   0.03   0.05   0.07   0.27 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  378   # template index for SIMSED,NONIa
SIM_LIBID:           2918    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.93588  
SIM_REDSHIFT_CMB:    1.93879  
SIM_REDSHIFT_HOST:   1.83027  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6007464910 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.559 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.804 -9.000 
SIM_DLMU:            45.8724   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1276   # mag 
SIM_RA:              204.596649     # deg  
SIM_DEC:             -1.936026      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0496   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60080.941    #  true PEAKMJD, days 
SIM_SALT2x0:         4.4776e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0451  # spectro-search efficiency 
SIM_TRESTMIN:        -150.74  # days 
SIM_TRESTMAX:        146.84  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    378.000000
SIMSED_param(bfield):    7.250802
SIMSED_param(mns):    2.224343
SIMSED_param(pspin):    3.051402
SIMSED_param(kappa):    0.068743
SIMSED_param(kappagamma):    1.653871
SIMSED_param(mej):    4.211000
SIMSED_param(temp):    5045.957031
SIMSED_param(vej):    8294.059570

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.53  23.89  23.51  23.35  23.29  23.34  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59638.3999 z WFD  4.5142e-02  4.078e-02    0  1.000 44.260  1.86 3.128e+04  99.0000 
OBS: 59652.2258 Y WFD -9.7646e-02  6.890e-02    0  1.000 43.290  2.01 2.002e+04  99.0000 
OBS: 59653.2010 Y WFD -2.0410e-02  5.098e-02    0  1.000 44.280  2.21 3.353e+04  99.0000 
OBS: 59655.3781 Y WFD -4.8877e-02  1.051e-01    0  1.000 43.270  2.47 2.439e+04  99.0000 
OBS: 59660.2444 Y WFD  1.2051e-01  7.164e-02    0  1.000 43.320  1.95 2.205e+04  99.0000 
OBS: 59681.1482 z WFD -3.4641e-02  2.429e-02    0  1.000 44.250  1.42 2.419e+04  99.0000 
OBS: 59688.1337 z WFD -6.5532e-02  4.525e-02    0  1.000 44.270  2.09 3.118e+04  99.0000 
OBS: 59694.0929 g WFD  1.5106e-03  6.936e-03    0  1.000 44.770  2.12 7.466e+03  99.0000 
OBS: 59699.2213 i WFD -2.5037e-02  1.675e-02    0  1.000 44.570  2.07 1.536e+04  99.0000 
OBS: 59709.1267 i WFD  3.8579e-03  1.859e-02    0  1.000 44.610  1.85 1.979e+04  99.0000 
OBS: 59716.1080 Y WFD -4.9862e-02  5.607e-02    0  1.000 44.510  2.38 4.232e+04  99.0000 
OBS: 59717.2323 z WFD  3.6654e-03  6.511e-02    0  1.000 43.480  2.14 2.117e+04  99.0000 
OBS: 59718.1833 i WFD -3.0259e-02  2.606e-02    0  1.000 44.600  2.10 2.422e+04  99.0000 
OBS: 59729.9610 z WFD  2.3374e-02  5.077e-02    0  1.000 43.470  2.18 1.605e+04  99.0000 
OBS: 59752.9598 z WFD -2.3785e-02  3.325e-02    0  1.000 43.500  1.53 1.540e+04  99.0000 
OBS: 59770.0822 z WFD -8.3176e-02  5.497e-02    0  1.000 43.480  1.71 2.236e+04  99.0000 
OBS: 59771.0776 z WFD  1.5928e-02  4.539e-02    0  1.000 44.240  2.08 3.057e+04  99.0000 
OBS: 59782.9718 z WFD  1.6774e-02  4.469e-02    0  1.000 43.510  2.17 1.473e+04  99.0000 
OBS: 59796.9800 z WFD  2.9988e-03  5.922e-02    0  1.000 44.240  3.13 2.650e+04  99.0000 
OBS: 59956.3567 z WFD -7.3517e-02  4.608e-02    0  1.000 44.250  2.03 3.209e+04  99.0000 
OBS: 59965.3530 r WFD  5.7503e-03  1.298e-02    0  1.000 44.060  1.80 8.560e+03  99.0000 
OBS: 59966.3397 i WFD -3.3441e-03  1.713e-02    0  1.000 44.560  2.01 1.603e+04  99.0000 
OBS: 59968.3494 u WFD  2.0563e-02  3.210e-02    0  1.000 41.130  2.48 1.031e+03  99.0000 
OBS: 59972.3144 r WFD  2.3706e-03  6.882e-03    0  1.000 45.550  1.88 1.714e+04  99.0000 
OBS: 59976.3489 r WFD -1.0421e-02  1.356e-02    0  1.000 44.080  1.97 8.320e+03  99.0000 
OBS: 59978.3007 Y WFD  1.0624e-02  2.978e-02    0  1.000 44.470  1.44 3.580e+04  99.0000 
OBS: 59978.3394 i WFD -1.8137e-03  1.272e-02    0  1.000 44.590  1.34 1.835e+04  99.0000 
OBS: 59979.3369 Y WFD -6.0121e-03  3.101e-02    0  1.000 44.070  1.29 2.879e+04  99.0000 
OBS: 59980.2765 Y WFD  3.0925e-02  9.531e-02    0  1.000 42.500  1.62 1.660e+04  99.0000 
OBS: 59991.3636 r WFD -2.1272e-02  1.178e-02    0  1.000 44.100  1.72 8.431e+03  99.0000 
OBS: 59992.3569 g WFD -1.2831e-02  1.026e-02    0  1.000 44.100  2.33 5.423e+03  99.0000 
OBS: 59993.2611 r WFD -7.5689e-03  9.002e-03    0  1.000 44.790  1.78 1.176e+04  99.0000 
OBS: 59994.3224 r WFD -7.8246e-03  7.852e-03    0  1.000 44.850  1.68 1.148e+04  99.0000 
OBS: 60002.2596 r WFD -4.1287e-03  9.456e-03    0  1.000 44.810  1.94 1.154e+04  99.0000 
OBS: 60003.3518 i WFD  2.5281e-02  1.593e-02    0  1.000 44.580  2.03 1.503e+04  99.0000 
OBS: 60005.3725 g WFD  2.6755e-03  5.480e-03    0  1.000 44.830  1.78 7.425e+03  99.0000 
OBS: 60006.2478 z WFD  1.2653e-02  3.422e-02    0  1.000 44.250  2.12 2.282e+04  99.0000 
OBS: 60008.2400 Y WFD  6.7275e-02  9.256e-02    0  1.000 43.310  2.55 2.159e+04  99.0000 
OBS: 60009.2545 Y WFD -1.7168e-01  9.979e-02    0  1.000 42.560  1.84 1.617e+04  99.0000 
OBS: 60017.3889 i WFD -1.2586e-02  2.342e-02    0  1.000 44.570  2.16 2.059e+04  99.0000 
