SURVEY:   LSST
SNID:     2003011
IAUC:     NULL
SNTYPE:   140
RA:       318.471413  # deg
DEC:      -1.309446  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0593 +- 0.0030  # MW E(B-V) 
PEAKMJD:  60716.422     # estimate for LC fit codes
MJD_TRIGGER:       60627.023  
MJD_DETECT_FIRST:  60616.023  
MJD_DETECT_LAST:   60627.023  

REDSHIFT_HELIO:   2.418810 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.415182 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       7814208690  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.4188  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          318.471413    # deg 
HOSTGAL_DEC:         -1.309478    # deg 
HOSTGAL_SNSEP:       0.058       # arcsec 
HOSTGAL_DDLR:        0.440       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.334 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.227
HOSTGAL_SQRADIUS:     8.679   # Ixx + Iyy
HOSTGAL_MAG:     24.39  24.27  24.04  23.34  23.12  23.14 # ugrizY
HOSTGAL_MAGERR:   0.06   0.01   0.01   0.01   0.01   0.03 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  349   # template index for SIMSED,NONIa
SIM_LIBID:           3010    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.41881  
SIM_REDSHIFT_CMB:    2.41519  
SIM_REDSHIFT_HOST:   2.30218  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   7814208690 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.096 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.334 -9.000 
SIM_DLMU:            46.4591   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0453   # mag 
SIM_RA:              318.471405     # deg  
SIM_DEC:             -1.309446      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0581   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60716.422    #  true PEAKMJD, days 
SIM_SALT2x0:         2.6084e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -290.50  # days 
SIM_TRESTMAX:        -26.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    349.000000
SIMSED_param(bfield):    0.389622
SIMSED_param(mns):    1.486822
SIMSED_param(pspin):    3.866426
SIMSED_param(kappa):    0.079126
SIMSED_param(kappagamma):    0.012072
SIMSED_param(mej):    3.240625
SIMSED_param(temp):    7415.116211
SIMSED_param(vej):    6274.897949

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   29.71  27.55  26.14  25.37  24.93  24.66  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59724.2941 z WFD -4.1979e-02  4.026e-02    0  1.000 43.460  1.78 1.545e+04  99.0000 
OBS: 59728.3329 u WFD  2.3045e-02  2.273e-02    0  1.000 41.240  1.88 1.066e+03  99.0000 
OBS: 59752.2294 i WFD  1.0873e-02  2.026e-02    0  1.000 44.550  2.39 1.580e+04  99.0000 
OBS: 59757.4331 z WFD  2.0170e-03  6.198e-02    0  1.000 43.460  2.70 1.568e+04  99.0000 
OBS: 59769.1839 z WFD -4.5303e-02  2.865e-02    0  1.000 44.240  1.72 2.333e+04  99.0000 
OBS: 59770.1959 z WFD  5.0020e-03  2.848e-02    0  1.000 44.240  1.66 2.403e+04  99.0000 
OBS: 59772.1899 Y WFD -1.2224e-01  6.018e-02    0  1.000 44.050  2.17 3.261e+04  99.0000 
OBS: 59779.1926 z WFD  1.1510e-02  3.017e-02    0  1.000 44.250  1.86 2.293e+04  99.0000 
OBS: 59784.3441 r WFD  4.9876e-03  1.961e-02    0  1.000 44.030  2.73 8.295e+03  99.0000 
OBS: 59790.2245 g WFD  2.3703e-03  7.958e-03    0  1.000 44.840  2.62 7.393e+03  99.0000 
OBS: 59796.1022 Y WFD  3.4655e-02  1.482e-01    0  1.000 42.510  2.97 1.420e+04  99.0000 
OBS: 59799.1090 Y WFD -3.9614e-02  4.971e-02    0  1.000 43.710  1.65 2.591e+04  99.0000 
OBS: 59799.1620 z WFD -7.8996e-03  3.078e-02    0  1.000 44.250  1.81 2.404e+04  99.0000 
OBS: 59800.1475 Y WFD  8.2315e-02  8.129e-02    0  1.000 42.560  1.59 1.524e+04  99.0000 
OBS: 59807.1386 i WFD  7.6796e-03  1.611e-02    0  1.000 44.610  1.44 2.203e+04  99.0000 
OBS: 59808.1500 r WFD  5.9527e-04  6.477e-03    0  1.000 45.620  1.52 2.128e+04  99.0000 
OBS: 59810.0807 r WFD -9.1967e-03  9.424e-03    0  1.000 44.800  1.87 1.182e+04  99.0000 
OBS: 59812.1278 g WFD  2.2181e-02  7.093e-03    0  1.000 44.800  2.27 7.330e+03  99.0000 
OBS: 59818.0611 u WFD -2.4065e-02  3.094e-02    0  1.000 41.040  2.32 9.771e+02  99.0000 
OBS: 59820.0533 i WFD -3.9944e-03  1.640e-02    0  1.000 44.550  1.92 1.592e+04  99.0000 
OBS: 59826.0933 z WFD -2.3817e-02  3.789e-02    0  1.000 44.250  2.53 2.117e+04  99.0000 
OBS: 59827.0748 z WFD -3.6372e-02  3.269e-02    0  1.000 44.250  2.01 2.299e+04  99.0000 
OBS: 59836.9943 Y WFD -2.5484e-02  7.390e-02    0  1.000 42.510  1.49 1.412e+04  99.0000 
OBS: 59839.0154 i WFD  8.7421e-03  1.731e-02    0  1.000 44.560  2.09 1.558e+04  99.0000 
OBS: 59840.9918 Y WFD  1.0981e-02  6.472e-02    0  1.000 43.270  1.81 2.050e+04  99.0000 
OBS: 59842.9804 Y WFD  1.4158e-01  1.424e-01    0  1.000 42.510  1.66 2.443e+04  99.0000 
OBS: 59843.9875 z WFD  1.5665e-02  3.858e-02    0  1.000 44.240  1.77 3.053e+04  99.0000 
OBS: 59849.0719 r WFD -1.1653e-02  1.462e-02    0  1.000 44.810  3.12 1.109e+04  99.0000 
OBS: 59849.9921 z WFD -3.7994e-03  3.845e-02    0  1.000 44.250  1.98 2.745e+04  99.0000 
OBS: 59860.1169 Y WFD -8.3257e-02  9.764e-02    0  1.000 42.550  1.59 1.814e+04  99.0000 
OBS: 59861.0063 Y WFD  5.4637e-02  6.527e-02    0  1.000 43.320  1.64 2.389e+04  99.0000 
OBS: 59876.0810 u WFD  1.8420e-02  4.102e-02    0  1.000 41.090  3.15 9.993e+02  99.0000 
OBS: 59877.0400 u WFD  1.7234e-02  2.103e-02    0  1.000 41.240  1.76 1.053e+03  99.0000 
OBS: 59897.0282 z WFD -6.4310e-02  4.987e-02    0  1.000 43.480  2.30 1.508e+04  99.0000 
OBS: 60051.4157 z WFD  2.0134e-02  3.699e-02    0  1.000 43.480  1.47 1.751e+04  99.0000 
OBS: 60055.3996 g WFD -2.5276e-02  7.951e-03    0  1.000 44.010  1.60 5.632e+03  99.0000 
OBS: 60056.3958 i WFD -8.4741e-03  2.339e-02    0  1.000 43.790  1.83 1.183e+04  99.0000 
OBS: 60057.3961 g WFD  6.3403e-03  1.160e-02    0  1.000 44.010  2.30 5.714e+03  99.0000 
OBS: 60058.3994 r WFD -1.6832e-02  1.525e-02    0  1.000 44.040  2.00 8.883e+03  99.0000 
OBS: 60059.4203 z WFD -1.5899e-02  4.998e-02    0  1.000 44.250  2.17 3.257e+04  99.0000 
