SURVEY:   LSST
SNID:     2003087
IAUC:     NULL
SNTYPE:   40
RA:       215.989731  # deg
DEC:      -19.745663  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0867 +- 0.0043  # MW E(B-V) 
PEAKMJD:  60654.109     # estimate for LC fit codes
MJD_TRIGGER:       60547.000  
MJD_DETECT_FIRST:  60538.992  
MJD_DETECT_LAST:   60547.000  

REDSHIFT_HELIO:   1.961293 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.963724 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9825601369  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9613  +- 0.0100 
HOSTGAL_SPECZ:       1.9613  +- 0.0000 
HOSTGAL_RA:          215.989676    # deg 
HOSTGAL_DEC:         -19.745681    # deg 
HOSTGAL_SNSEP:       0.083       # arcsec 
HOSTGAL_DDLR:        0.227       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     10.569 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.515
HOSTGAL_SQRADIUS:     6.618   # Ixx + Iyy
HOSTGAL_MAG:     28.87  28.26  27.35  26.86  26.00  25.27 # ugrizY
HOSTGAL_MAGERR:   0.57   0.69   0.21   0.25   0.17   0.21 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  681   # template index for SIMSED,NONIa
SIM_LIBID:           3086    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.96129  
SIM_REDSHIFT_CMB:    1.96372  
SIM_REDSHIFT_HOST:   1.95416  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9825601369 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.824 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.569 -9.000 
SIM_DLMU:            45.9067   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0050   # mag 
SIM_RA:              215.989731     # deg  
SIM_DEC:             -19.745663      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0943   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60654.109    #  true PEAKMJD, days 
SIM_SALT2x0:         4.3382e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1815  # spectro-search efficiency 
SIM_TRESTMIN:        -341.99  # days 
SIM_TRESTMAX:        -36.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    681.000000
SIMSED_param(bfield):    0.583220
SIMSED_param(mns):    1.556237
SIMSED_param(pspin):    1.966304
SIMSED_param(kappa):    0.166079
SIMSED_param(kappagamma):    0.085892
SIMSED_param(mej):    8.461670
SIMSED_param(temp):    7160.898438
SIMSED_param(vej):    8020.508301

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.58  24.18  23.26  22.80  22.54  22.47  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 115 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59641.3920 z WFD  7.0821e-02  3.571e-02    0  1.000 43.500  1.79 1.414e+04  99.0000 
OBS: 59645.4067 z WFD -5.4626e-02  1.082e-01    0  1.000 43.530  2.83 2.784e+04  99.0000 
OBS: 59652.1962 Y WFD -4.5502e-03  5.699e-02    0  1.000 43.710  1.95 2.513e+04  99.0000 
OBS: 59653.2438 Y WFD  5.6143e-02  9.668e-02    0  1.000 42.580  2.11 1.391e+04  99.0000 
OBS: 59655.2029 Y WFD  4.9956e-02  4.750e-02    0  1.000 44.500  2.11 4.007e+04  99.0000 
OBS: 59662.3891 i WFD  1.1662e-02  3.482e-02    0  1.000 43.850  2.34 1.455e+04  99.0000 
OBS: 59665.3863 g WFD  1.4876e-02  1.103e-02    0  1.000 44.090  2.23 6.034e+03  99.0000 
OBS: 59679.1077 z WFD  6.8023e-02  3.072e-02    0  1.000 44.230  1.89 2.256e+04  99.0000 
OBS: 59681.1358 z WFD  3.3196e-02  2.354e-02    0  1.000 44.250  1.43 2.328e+04  99.0000 
OBS: 59689.3027 z WFD -2.3232e-03  2.640e-02    0  1.000 44.270  1.39 2.735e+04  99.0000 
OBS: 59709.0795 i WFD  5.7700e-03  1.647e-02    0  1.000 44.600  1.74 1.847e+04  99.0000 
OBS: 59710.1286 i WFD -1.8113e-02  1.771e-02    0  1.000 44.630  1.70 2.090e+04  99.0000 
OBS: 59711.0401 Y WFD  1.4053e-01  6.173e-02    0  1.000 44.050  2.39 3.037e+04  99.0000 
OBS: 59746.1678 z WFD  2.3818e-02  3.095e-02    0  1.000 44.260  1.60 2.760e+04  99.0000 
OBS: 59747.9685 Y WFD -4.4571e-02  8.306e-02    0  1.000 42.550  1.85 1.326e+04  99.0000 
OBS: 59748.9615 z WFD -1.8334e-03  3.998e-02    0  1.000 43.490  1.89 1.485e+04  99.0000 
OBS: 59753.9649 z WFD -4.3422e-03  2.956e-02    0  1.000 43.500  1.48 1.415e+04  99.0000 
OBS: 59756.9615 z WFD -3.1913e-02  3.840e-02    0  1.000 43.510  1.86 1.476e+04  99.0000 
OBS: 59771.1237 z WFD  1.5626e-02  3.784e-02    0  1.000 44.690  1.90 4.222e+04  99.0000 
OBS: 59772.1297 Y WFD  1.4447e-02  6.653e-02    0  1.000 43.710  1.90 3.010e+04  99.0000 
OBS: 59780.9726 z WFD -1.0508e-02  3.365e-02    0  1.000 43.510  1.75 1.375e+04  99.0000 
OBS: 59782.9690 z WFD -6.7618e-03  4.980e-02    0  1.000 43.520  2.51 1.432e+04  99.0000 
OBS: 59785.9815 z WFD  1.2642e-01  5.956e-02    0  1.000 43.510  3.11 1.370e+04  99.0000 
OBS: 59788.0741 r WFD  3.1237e-05  1.346e-02    0  1.000 44.800  2.60 1.215e+04  99.0000 
OBS: 59789.0507 r WFD  2.7069e-02  1.495e-02    0  1.000 44.820  2.97 1.203e+04  99.0000 
OBS: 59789.9804 z WFD  5.0359e-02  4.789e-02    0  1.000 43.510  2.49 1.375e+04  99.0000 
OBS: 59791.0315 u WFD  2.6753e-02  2.922e-02    0  1.000 41.220  2.38 1.063e+03  99.0000 
OBS: 59800.0602 Y WFD -1.8772e-01  1.235e-01    0  1.000 42.500  2.20 1.583e+04  99.0000 
OBS: 59807.0011 g WFD  8.4344e-03  7.425e-03    0  1.000 44.830  2.06 8.693e+03  99.0000 
OBS: 59951.3595 z WFD  2.1059e-02  3.949e-02    0  1.000 44.240  1.65 3.353e+04  99.0000 
OBS: 59964.3402 u WFD  4.7605e-02  2.683e-02    0  1.000 41.190  2.07 1.091e+03  99.0000 
OBS: 59975.3839 z WFD  7.0184e-02  5.018e-02    0  1.000 43.530  1.38 2.649e+04  99.0000 
OBS: 59978.3042 Y WFD  4.1312e-02  4.101e-02    0  1.000 43.730  1.42 2.529e+04  99.0000 
OBS: 59979.3241 Y WFD  2.3681e-02  3.201e-02    0  1.000 44.060  1.29 2.945e+04  99.0000 
OBS: 59980.3125 Y WFD -1.8442e-02  5.805e-02    0  1.000 43.310  1.60 2.158e+04  99.0000 
OBS: 59991.3878 z WFD  7.1387e-02  3.939e-02    0  1.000 43.520  1.79 1.588e+04  99.0000 
OBS: 59994.2557 r WFD  9.0530e-03  9.738e-03    0  1.000 44.800  1.92 1.190e+04  99.0000 
OBS: 59997.2499 u WFD -3.0605e-02  2.618e-02    0  1.000 41.080  1.98 1.006e+03  99.0000 
OBS: 59999.3177 g WFD  3.9406e-03  4.105e-03    0  1.000 45.620  1.92 1.068e+04  99.0000 
OBS: 60002.2511 r WFD -9.2478e-03  9.282e-03    0  1.000 44.820  1.90 1.168e+04  99.0000 
OBS: 60003.2931 i WFD  1.1782e-03  1.516e-02    0  1.000 44.580  1.96 1.482e+04  99.0000 
OBS: 60008.2778 Y WFD -1.2986e-01  9.914e-02    0  1.000 43.330  2.99 2.009e+04  99.0000 
OBS: 60010.3878 z WFD  2.2298e-04  3.715e-02    0  1.000 44.290  1.86 2.930e+04  99.0000 
OBS: 60011.3098 Y WFD -7.6011e-02  1.069e-01    0  1.000 42.610  2.01 1.660e+04  99.0000 
OBS: 60017.3681 i WFD -1.3835e-02  1.912e-02    0  1.000 44.630  1.82 2.107e+04  99.0000 
OBS: 60018.3733 r WFD -1.6782e-04  9.742e-03    0  1.000 45.340  1.89 1.989e+04  99.0000 
