SURVEY:   LSST
SNID:     2003460
IAUC:     NULL
SNTYPE:   140
RA:       117.528605  # deg
DEC:      -38.503005  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.5867 +- 0.0293  # MW E(B-V) 
PEAKMJD:  59568.973     # estimate for LC fit codes
MJD_TRIGGER:       59589.066  
MJD_DETECT_FIRST:  59583.289  
MJD_DETECT_LAST:   60665.137  

REDSHIFT_HELIO:   1.534318 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.536103 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9816544488  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.5343  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          117.528640    # deg 
HOSTGAL_DEC:         -38.503004    # deg 
HOSTGAL_SNSEP:       0.048       # arcsec 
HOSTGAL_DDLR:        0.795       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.350 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.836
HOSTGAL_SQRADIUS:     6.915   # Ixx + Iyy
HOSTGAL_MAG:     29.83  29.04  28.13  27.44  26.55  25.89 # ugrizY
HOSTGAL_MAGERR:  26.62   0.18   0.12   0.14   0.13   0.20 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  992   # template index for SIMSED,NONIa
SIM_LIBID:           3459    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.53432  
SIM_REDSHIFT_CMB:    1.53610  
SIM_REDSHIFT_HOST:   1.47225  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9816544488 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.980 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.350 -9.000 
SIM_DLMU:            45.2512   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0080   # mag 
SIM_RA:              117.528603     # deg  
SIM_DEC:             -38.503006      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.5771   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59568.973    #  true PEAKMJD, days 
SIM_SALT2x0:         7.9342e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1123  # spectro-search efficiency 
SIM_TRESTMIN:        5.65  # days 
SIM_TRESTMAX:        435.78  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    992.000000
SIMSED_param(bfield):    0.896556
SIMSED_param(mns):    1.931439
SIMSED_param(pspin):    2.101554
SIMSED_param(kappa):    0.062805
SIMSED_param(kappagamma):    0.606693
SIMSED_param(mej):    21.660244
SIMSED_param(temp):    5803.875000
SIMSED_param(vej):    7047.648926

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.18  24.73  23.56  22.99  22.74  22.67  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.2879 u WFD  2.8651e+00  1.960e-02 4096  1.000 41.330  1.84 1.009e+03  26.3625 
OBS: 59589.0652 Y WFD  9.1950e+01  9.186e-02 6144  1.000 42.490  1.80 1.419e+04  22.5920 
OBS: 59589.3136 i WFD  6.4688e+01  1.416e-02 4096  1.000 44.570  1.84 1.426e+04  22.9731 
OBS: 59594.2625 Y WFD  9.2478e+01  7.508e-02 4096  1.000 43.310  1.89 2.354e+04  22.5856 
OBS: 59598.3211 z WFD  8.4267e+01  8.598e-02 4096  1.000 43.500  2.84 2.140e+04  22.6859 
OBS: 59600.0455 z WFD  8.4124e+01  3.430e-02 4096  1.000 44.230  2.01 2.351e+04  22.6880 
OBS: 59602.0370 Y WFD  9.2656e+01  1.321e-01 4096  1.000 42.520  2.13 1.778e+04  22.5851 
OBS: 59614.0404 z WFD  8.1169e+01  3.191e-02 4096  1.000 44.250  2.07 2.162e+04  22.7259 
OBS: 59653.0399 Y WFD  7.5744e+01  9.462e-02 4096  1.000 42.600  2.14 1.362e+04  22.8037 
OBS: 59654.0061 Y WFD  7.5131e+01  8.743e-02 4096  1.000 42.600  1.84 1.463e+04  22.8110 
OBS: 59656.0120 z WFD  6.2096e+01  3.363e-02 4096  1.000 44.280  1.79 2.716e+04  23.0169 
OBS: 59659.1626 i WFD  3.9880e+01  3.615e-02 4096  1.000 44.600  2.93 2.403e+04  23.4966 
OBS: 59676.9937 Y WFD  6.2415e+01  9.381e-02 4096  1.000 42.590  2.27 1.262e+04  23.0149 
OBS: 59680.9786 Y WFD  6.0041e+01  5.989e-02 4096  1.000 42.610  1.20 1.546e+04  23.0553 
OBS: 59684.0952 Y WFD  5.8293e+01  7.409e-02 4096  1.000 42.540  1.40 1.541e+04  23.0879 
OBS: 59686.1120 Y WFD  5.6993e+01  9.327e-02 4096  1.000 42.520  1.65 1.619e+04  23.1094 
OBS: 59701.9755 z WFD  3.7219e+01  3.685e-02 4096  1.000 43.500  1.93 1.346e+04  23.5734 
OBS: 59709.9697 Y WFD  4.4253e+01  7.117e-02 4096  1.000 42.580  1.57 1.371e+04  23.3865 
OBS: 59712.9938 Y WFD  4.2723e+01  6.875e-02 4096  1.000 43.300  1.87 2.162e+04  23.4241 
OBS: 59718.0335 i WFD  1.6804e+01  4.114e-02 4096  1.000 43.810  2.55 1.519e+04  24.4366 
OBS: 59720.9522 Y WFD  3.9293e+01  1.449e-01 4096  1.000 42.580  1.94 2.266e+04  23.5244 
OBS: 59842.3786 r WFD  3.3044e-01  1.718e-02 4096  1.000 44.040  2.32 8.627e+03  28.6637 
OBS: 59851.3735 u WFD -5.9719e-03  3.083e-02    0  1.000 41.180  2.54 1.012e+03  36.6318 
OBS: 59853.3553 g WFD  1.6676e-02  7.552e-03    0  1.000 44.710  2.42 6.739e+03  31.9400 
OBS: 59861.3274 Y WFD  7.4516e+00  5.990e-02 4096  1.000 43.280  1.57 2.207e+04  25.3290 
OBS: 59862.3716 z WFD  4.2007e+00  2.311e-02 4096  1.000 45.020  1.64 4.048e+04  25.9494 
OBS: 59863.3579 z WFD  4.1548e+00  2.708e-02 4096  1.000 44.270  1.50 2.599e+04  25.9551 
OBS: 59873.2974 r WFD  2.7249e-01  7.775e-03 4096  1.000 44.780  1.62 1.105e+04  28.8845 
OBS: 59874.2948 u WFD  9.0185e-03  2.752e-02    0  1.000 41.030  2.12 9.424e+02  36.7662 
OBS: 59875.2994 r WFD  2.8711e-01  1.008e-02 4096  1.000 44.780  2.13 1.090e+04  28.8958 
OBS: 59875.3691 z WFD  3.9603e+00  3.037e-02 4096  1.000 44.270  1.53 2.857e+04  26.0240 
OBS: 59878.2714 g WFD  2.0102e-02  5.074e-03    0  1.000 44.700  1.66 6.540e+03  32.0851 
OBS: 59884.2851 r WFD  2.6833e-01  8.045e-03 4096  1.000 44.790  1.74 1.075e+04  28.9455 
OBS: 59895.3034 i WFD  1.3498e+00  1.836e-02 4096  1.000 44.620  1.59 2.294e+04  27.1770 
OBS: 59901.2676 r WFD  2.4899e-01  1.176e-02 4096  1.000 44.820  2.63 1.069e+04  29.0361 
OBS: 59904.2177 u WFD  8.8871e-02  3.534e-02    0  1.000 40.980  2.68 9.139e+02  36.9272 
OBS: 59907.1911 r WFD  2.2952e-01  9.550e-03 4096  1.000 44.760  2.00 1.080e+04  29.0664 
OBS: 59908.2774 i WFD  1.2607e+00  1.176e-02 4096  1.000 44.580  1.62 1.390e+04  27.2444 
OBS: 59918.1937 Y WFD  5.5867e+00  5.641e-02 4096  1.000 43.290  1.62 2.032e+04  25.6352 
