SURVEY:   LSST
SNID:     2003568
IAUC:     NULL
SNTYPE:   140
RA:       94.331081  # deg
DEC:      -48.412194  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0557 +- 0.0028  # MW E(B-V) 
PEAKMJD:  59625.969     # estimate for LC fit codes
MJD_TRIGGER:       59599.051  
MJD_DETECT_FIRST:  59596.062  
MJD_DETECT_LAST:   59712.957  

REDSHIFT_HELIO:   2.224258 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.225357 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9577662756  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.2243  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          94.331113    # deg 
HOSTGAL_DEC:         -48.412207    # deg 
HOSTGAL_SNSEP:       0.051       # arcsec 
HOSTGAL_DDLR:        0.416       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.440 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.662
HOSTGAL_SQRADIUS:     5.588   # Ixx + Iyy
HOSTGAL_MAG:     26.56  26.29  26.53  26.79  26.72  26.76 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  849   # template index for SIMSED,NONIa
SIM_LIBID:           3567    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.22426  
SIM_REDSHIFT_CMB:    2.22537  
SIM_REDSHIFT_HOST:   2.32682  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9577662756 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.657 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.440 -9.000 
SIM_DLMU:            46.2397   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0826   # mag 
SIM_RA:              94.331078     # deg  
SIM_DEC:             -48.412193      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0550   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59625.969    #  true PEAKMJD, days 
SIM_SALT2x0:         3.1924e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -13.00  # days 
SIM_TRESTMAX:        322.79  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    849.000000
SIMSED_param(bfield):    7.473154
SIMSED_param(mns):    1.932333
SIMSED_param(pspin):    3.788907
SIMSED_param(kappa):    0.098838
SIMSED_param(kappagamma):    0.647145
SIMSED_param(mej):    3.228531
SIMSED_param(temp):    5313.715332
SIMSED_param(vej):    8709.605469

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   26.19  25.19  24.56  24.27  24.11  24.06  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0445 z WFD -5.2128e-02  4.552e-02    0  1.000 43.490  1.99 1.606e+04  99.0000 
OBS: 59584.1199 u WFD  2.4245e-02  2.870e-02    0  1.000 41.200  2.56 9.518e+02  99.0000 
OBS: 59589.0790 Y WFD -3.1675e-02  7.110e-02    0  1.000 42.570  1.63 1.312e+04  99.0000 
OBS: 59593.0557 z WFD -4.9085e-03  2.867e-02    0  1.000 44.260  1.66 2.465e+04  99.0000 
OBS: 59596.0613 Y WFD  6.6044e+00  7.531e-02 4096  1.000 42.580  1.55 1.475e+04  25.4841 
OBS: 59599.0500 z WFD  9.1539e+00  2.866e-02 6144  1.000 44.260  2.03 2.012e+04  25.0976 
OBS: 59601.0373 Y WFD  1.0626e+01  7.928e-02 4096  1.000 43.330  1.75 2.744e+04  24.9484 
OBS: 59601.1466 r WFD  9.5064e+00  2.309e-02 4096  1.000 44.190  2.11 1.461e+04  25.0552 
OBS: 59601.1779 i WFD  1.0460e+01  1.794e-02 4096  1.000 44.620  1.75 2.033e+04  24.9516 
OBS: 59621.0387 Y WFD  2.2172e+01  4.754e-02 4096  1.000 43.350  1.55 1.889e+04  24.1347 
OBS: 59625.1419 Y WFD  2.3338e+01  6.845e-02 4096  1.000 42.580  1.41 1.471e+04  24.0731 
OBS: 59636.0292 z WFD  2.2966e+01  3.489e-02 4096  1.000 43.500  1.85 1.331e+04  24.0997 
OBS: 59637.0274 Y WFD  2.4889e+01  5.681e-02 4096  1.000 43.330  1.92 1.790e+04  24.0132 
OBS: 59639.0220 z WFD  2.2754e+01  2.336e-02 4096  1.000 45.020  2.34 2.862e+04  24.1077 
OBS: 59659.1135 i WFD  1.3054e+01  3.313e-02 4096  1.000 43.830  1.86 1.707e+04  24.7096 
OBS: 59676.9806 Y WFD  1.4168e+01  1.376e-01 4096  1.000 42.580  2.56 1.631e+04  24.6274 
OBS: 59680.9836 Y WFD  1.2495e+01  6.243e-02 4096  1.000 42.580  1.34 1.413e+04  24.7537 
OBS: 59685.0138 Y WFD  1.1058e+01  6.825e-02 4096  1.000 42.540  1.33 1.500e+04  24.8942 
OBS: 59687.0312 z WFD  7.7648e+00  2.982e-02 4096  1.000 44.250  1.55 2.718e+04  25.2773 
OBS: 59692.9656 Y WFD  8.2394e+00  1.862e-01 4096  1.000 42.570  2.56 2.189e+04  25.1890 
OBS: 59708.9603 Y WFD  4.3517e+00  1.186e-01 4096  1.000 42.550  1.97 1.778e+04  25.9212 
OBS: 59712.9578 Y WFD  3.6705e+00  1.253e-01 4096  1.000 42.550  1.88 1.968e+04  26.1209 
OBS: 59825.3970 r WFD  8.2462e-03  1.326e-02    0  1.000 44.060  2.11 7.457e+03  34.1975 
OBS: 59827.3544 g WFD  1.6433e-03  5.889e-03    0  1.000 44.680  1.91 6.476e+03  37.7073 
OBS: 59842.3393 r WFD  4.7393e-03  7.159e-03    0  1.000 45.550  2.15 1.559e+04  34.3626 
OBS: 59843.3153 g WFD -6.9697e-04  4.280e-03    0  1.000 45.460  2.02 9.129e+03  37.8614 
OBS: 59851.2786 u WFD -4.6928e-02  3.176e-02    0  1.000 41.000  2.42 9.265e+02  43.6836 
OBS: 59853.2999 r WFD  2.3651e-03  1.055e-02    0  1.000 44.780  2.28 1.066e+04  34.4626 
OBS: 59854.2752 r WFD  5.5327e-03  7.651e-03    0  1.000 44.760  1.59 1.088e+04  34.4710 
OBS: 59860.3082 Y WFD  2.3020e-01  8.744e-02    0  1.000 42.560  1.78 1.464e+04  30.1456 
OBS: 59861.2691 Y WFD  1.3199e-01  6.135e-02    0  1.000 43.280  1.61 2.205e+04  30.1537 
OBS: 59862.2980 z WFD -2.9308e-03  2.040e-02    0  1.000 45.010  1.49 3.898e+04  31.0396 
OBS: 59868.3182 r WFD -3.5474e-03  1.033e-02    0  1.000 44.900  1.53 1.737e+04  34.5906 
OBS: 59874.2271 u WFD  5.0284e-02  2.523e-02    0  1.000 41.030  1.95 9.392e+02  43.8780 
OBS: 59876.2313 g WFD -5.5288e-03  3.421e-03    0  1.000 45.470  1.66 8.962e+03  38.1447 
OBS: 59897.2752 r WFD  1.1374e-03  7.592e-03    0  1.000 45.670  1.47 2.700e+04  34.8170 
OBS: 59898.2621 i WFD -9.4982e-03  9.419e-03    0  1.000 45.790  1.90 2.895e+04  32.6622 
OBS: 59904.2019 u WFD  1.9559e-02  2.168e-02    0  1.000 41.180  1.88 9.613e+02  44.1067 
OBS: 59908.1893 i WFD -1.2663e-03  1.594e-02    0  1.000 44.570  2.11 1.434e+04  32.7328 
