SURVEY:   LSST
SNID:     2004123
IAUC:     NULL
SNTYPE:   40
RA:       99.437518  # deg
DEC:      -31.015294  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0818 +- 0.0041  # MW E(B-V) 
PEAKMJD:  60469.938     # estimate for LC fit codes
MJD_TRIGGER:       60431.973  
MJD_DETECT_FIRST:  60419.980  
MJD_DETECT_LAST:   60666.090  

REDSHIFT_HELIO:   1.098179 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.099150 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10566087837  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0982  +- 0.0100 
HOSTGAL_SPECZ:       1.0982  +- 0.0000 
HOSTGAL_RA:          99.437523    # deg 
HOSTGAL_DEC:         -31.015275    # deg 
HOSTGAL_SNSEP:       0.035       # arcsec 
HOSTGAL_DDLR:        1.022       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     6.663 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.547
HOSTGAL_SQRADIUS:     3.811   # Ixx + Iyy
HOSTGAL_MAG:     27.03  27.31  27.17  27.23  26.90  26.98 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  713   # template index for SIMSED,NONIa
SIM_LIBID:           4122    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.09817  
SIM_REDSHIFT_CMB:    1.09914  
SIM_REDSHIFT_HOST:   1.09966  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10566087837 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.685 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                6.663 -9.000 
SIM_DLMU:            44.3531   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0472   # mag 
SIM_RA:              99.437515     # deg  
SIM_DEC:             -31.015293      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0793   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60469.938    #  true PEAKMJD, days 
SIM_SALT2x0:         1.8145e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -424.13  # days 
SIM_TRESTMAX:        93.49  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    713.000000
SIMSED_param(bfield):    0.391953
SIMSED_param(mns):    1.774701
SIMSED_param(pspin):    1.627355
SIMSED_param(kappa):    0.096490
SIMSED_param(kappagamma):    0.332367
SIMSED_param(mej):    8.120215
SIMSED_param(temp):    4379.213379
SIMSED_param(vej):    11425.190430

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   21.54  20.92  20.54  20.53  20.62  20.72  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 139 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59580.0414 Y WFD  5.4348e-02  1.603e-01    0  1.000 42.500  2.65 1.707e+04  99.0000 
OBS: 59584.1268 u WFD -5.3188e-03  2.627e-02    0  1.000 41.300  2.44 1.002e+03  99.0000 
OBS: 59589.2020 i WFD  7.0796e-03  1.223e-02    0  1.000 44.600  1.67 1.430e+04  99.0000 
OBS: 59592.1920 z WFD -2.4654e-02  2.308e-02    0  1.000 44.270  1.50 2.216e+04  99.0000 
OBS: 59597.1356 Y WFD  5.3845e-03  1.081e-01    0  1.000 42.600  2.19 1.527e+04  99.0000 
OBS: 59601.0536 Y WFD -5.1752e-02  8.042e-02    0  1.000 42.570  1.87 1.294e+04  99.0000 
OBS: 59602.0514 Y WFD  6.3655e-03  9.396e-02    0  1.000 42.570  2.18 1.297e+04  99.0000 
OBS: 59634.0985 r WFD  2.9568e-03  7.215e-03    0  1.000 44.830  1.71 1.018e+04  99.0000 
OBS: 59636.0249 z WFD  3.4104e-02  2.657e-02    0  1.000 44.270  1.89 2.024e+04  99.0000 
OBS: 59653.0693 Y WFD -2.4405e-01  1.023e-01    0  1.000 42.580  2.24 1.387e+04  99.0000 
OBS: 59655.0516 Y WFD -7.3633e-02  8.321e-02    0  1.000 42.580  1.76 1.436e+04  99.0000 
OBS: 59657.0902 z WFD -4.0282e-02  3.410e-02    0  1.000 44.260  1.82 2.673e+04  99.0000 
OBS: 59677.9908 Y WFD -2.8638e-03  7.721e-02    0  1.000 42.570  1.79 1.298e+04  99.0000 
OBS: 59679.9858 Y WFD  8.6818e-02  6.389e-02    0  1.000 42.570  1.43 1.344e+04  99.0000 
OBS: 59685.0266 Y WFD -7.2707e-02  6.796e-02    0  1.000 42.560  1.35 1.501e+04  99.0000 
OBS: 59686.0465 Y WFD -2.1868e-01  8.745e-02    0  1.000 42.520  1.60 1.570e+04  99.0000 
OBS: 59686.9973 z WFD  3.5150e-02  2.623e-02    0  1.000 44.270  1.54 2.453e+04  99.0000 
OBS: 59701.9704 z WFD  5.7767e-02  2.992e-02    0  1.000 44.250  2.02 2.094e+04  99.0000 
OBS: 59702.9701 z WFD  3.7708e-03  3.299e-02    0  1.000 43.490  1.58 1.466e+04  99.0000 
OBS: 59709.9723 Y WFD  1.8302e-01  8.564e-02    0  1.000 42.540  1.74 1.440e+04  99.0000 
OBS: 59717.9612 Y WFD -2.2473e-01  1.150e-01    0  1.000 43.270  2.70 2.442e+04  99.0000 
OBS: 59827.3862 g WFD -1.2467e-04  7.730e-03    0  1.000 44.000  1.78 4.876e+03  99.0000 
OBS: 59842.3672 r WFD -6.1917e-03  9.949e-03    0  1.000 44.810  2.05 1.149e+04  99.0000 
OBS: 59843.3489 g WFD  4.7455e-03  5.291e-03    0  1.000 44.750  1.76 6.736e+03  99.0000 
OBS: 59854.3175 r WFD -7.3389e-03  8.041e-03    0  1.000 44.780  1.71 1.083e+04  99.0000 
OBS: 59857.3083 i WFD -5.6762e-03  1.517e-02    0  1.000 44.580  1.57 1.851e+04  99.0000 
OBS: 59860.2982 Y WFD -4.1270e-03  8.290e-02    0  1.000 42.540  1.62 1.498e+04  99.0000 
OBS: 59861.2812 Y WFD -4.0523e-02  8.366e-02    0  1.000 42.520  1.54 1.561e+04  99.0000 
OBS: 59864.2818 z WFD -3.5520e-02  3.471e-02    0  1.000 44.250  1.83 2.682e+04  99.0000 
OBS: 59869.2706 r WFD  2.7672e-02  1.140e-02    0  1.000 44.830  1.84 1.494e+04  99.0000 
OBS: 59874.2393 u WFD  3.9305e-02  3.279e-02    0  1.000 41.000  2.49 9.297e+02  99.0000 
OBS: 59875.2697 r WFD  1.5547e-02  9.039e-03    0  1.000 44.800  2.00 1.060e+04  99.0000 
OBS: 59895.3009 i WFD -6.3719e-03  1.780e-02    0  1.000 44.640  1.53 2.355e+04  99.0000 
OBS: 59898.2053 i WFD  7.0005e-03  1.275e-02    0  1.000 45.330  2.13 2.288e+04  99.0000 
OBS: 59901.2335 r WFD  3.3550e-05  1.075e-02    0  1.000 44.810  2.48 1.026e+04  99.0000 
OBS: 59904.1828 u WFD -4.1629e-02  1.814e-02    0  1.000 41.850  2.09 1.341e+03  99.0000 
OBS: 59907.1663 r WFD -6.9494e-03  1.016e-02    0  1.000 44.790  2.22 1.064e+04  99.0000 
OBS: 59908.1510 i WFD -6.7327e-04  1.715e-02    0  1.000 44.560  2.11 1.529e+04  99.0000 
OBS: 59918.1434 Y WFD -2.3251e-02  5.968e-02    0  1.000 43.290  1.67 2.087e+04  99.0000 
OBS: 59919.1580 z WFD  2.3747e-02  2.402e-02    0  1.000 45.010  1.78 3.841e+04  99.0000 
