SURVEY:   LSST
SNID:     2004543
IAUC:     NULL
SNTYPE:   40
RA:       27.879845  # deg
DEC:      -12.869251  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0177 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59892.000     # estimate for LC fit codes
MJD_TRIGGER:       59842.160  
MJD_DETECT_FIRST:  59841.176  
MJD_DETECT_LAST:   60316.051  

REDSHIFT_HELIO:   1.921589 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.919018 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9004056626  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9216  +- 0.0100 
HOSTGAL_SPECZ:       1.9216  +- 0.0000 
HOSTGAL_RA:          27.879770    # deg 
HOSTGAL_DEC:         -12.869218    # deg 
HOSTGAL_SNSEP:       0.121       # arcsec 
HOSTGAL_DDLR:        0.806       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.235 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.243
HOSTGAL_SQRADIUS:     11.506   # Ixx + Iyy
HOSTGAL_MAG:     28.55  27.65  26.72  25.69  24.99  24.31 # ugrizY
HOSTGAL_MAGERR:  26.62   0.41   0.19   0.09   0.08   0.10 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  13   # template index for SIMSED,NONIa
SIM_LIBID:           4542    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.92159  
SIM_REDSHIFT_CMB:    1.91902  
SIM_REDSHIFT_HOST:   1.97527  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9004056626 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.447 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.235 -9.000 
SIM_DLMU:            45.8492   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0058   # mag 
SIM_RA:              27.879845     # deg  
SIM_DEC:             -12.869251      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0192   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59892.000    #  true PEAKMJD, days 
SIM_SALT2x0:         4.5744e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7908  # spectro-search efficiency 
SIM_TRESTMIN:        -34.81  # days 
SIM_TRESTMAX:        266.90  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    13.000000
SIMSED_param(bfield):    0.816621
SIMSED_param(mns):    2.049882
SIMSED_param(pspin):    2.460930
SIMSED_param(kappa):    0.129674
SIMSED_param(kappagamma):    0.075415
SIMSED_param(mej):    3.352259
SIMSED_param(temp):    4443.461426
SIMSED_param(vej):    17354.123047

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.59  22.62  22.02  21.74  21.61  21.61  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 157 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59790.3778 g WFD -6.7934e-04  7.556e-03    0  1.000 44.820  2.63 6.865e+03  99.0000 
OBS: 59791.3077 r WFD  3.2018e-03  1.159e-02    0  1.000 44.800  2.43 1.119e+04  99.0000 
OBS: 59793.3930 i WFD  3.1771e-02  2.132e-02    0  1.000 43.840  2.05 1.008e+04  99.0000 
OBS: 59797.3926 g WFD -3.4544e-03  6.479e-03    0  1.000 44.840  2.27 6.948e+03  99.0000 
OBS: 59799.3302 z WFD  2.6471e-02  2.272e-02    0  1.000 45.010  2.17 2.981e+04  99.0000 
OBS: 59800.4159 Y WFD -1.7310e-01  8.070e-02    0  1.000 42.570  1.90 1.278e+04  99.0000 
OBS: 59801.2851 z WFD -3.7223e-02  4.610e-02    0  1.000 44.250  2.48 2.628e+04  99.0000 
OBS: 59801.4067 Y WFD -9.2111e-02  7.748e-02    0  1.000 42.570  1.73 1.347e+04  99.0000 
OBS: 59805.2561 Y WFD -1.2639e-02  1.100e-01    0  1.000 42.530  1.78 1.791e+04  99.0000 
OBS: 59809.4244 z WFD -1.6306e-02  3.232e-02    0  1.000 44.270  1.81 2.571e+04  99.0000 
OBS: 59811.4190 z WFD -2.3174e-02  3.476e-02    0  1.000 43.510  1.66 1.497e+04  99.0000 
OBS: 59818.3078 u WFD -5.3867e-04  1.458e-02    0  1.000 42.040  1.85 1.451e+03  99.0000 
OBS: 59819.2604 u WFD  1.3217e-02  1.856e-02    0  1.000 41.940  2.20 1.417e+03  99.0000 
OBS: 59822.3446 i WFD  1.9854e-02  1.849e-02    0  1.000 44.580  2.47 1.434e+04  99.0000 
OBS: 59822.4204 z WFD  4.1381e-02  6.599e-02    0  1.000 43.520  1.97 2.418e+04  99.0000 
OBS: 59823.2153 g WFD  1.5154e-02  1.196e-02    0  1.000 43.960  2.65 4.883e+03  99.0000 
OBS: 59823.4102 z WFD -3.6932e-02  3.939e-02    0  1.000 43.500  1.87 1.493e+04  99.0000 
OBS: 59824.2150 i WFD -1.5463e-02  1.669e-02    0  1.000 44.560  2.05 1.531e+04  99.0000 
OBS: 59826.4181 Y WFD  1.2251e-01  2.078e-01    0  1.000 42.560  2.49 2.488e+04  99.0000 
OBS: 59831.2458 Y WFD  2.3410e-02  8.225e-02    0  1.000 42.590  1.56 1.616e+04  99.0000 
OBS: 59839.1735 g WFD -1.0623e-02  9.713e-03    0  1.000 43.970  2.18 4.867e+03  99.0000 
OBS: 59841.1751 g WFD  7.9611e+00  7.482e-03 4096  1.000 44.730  2.36 6.910e+03  25.2459 
OBS: 59842.1609 r WFD  1.3163e+01  1.035e-02 6144  1.000 44.780  2.08 1.137e+04  24.7018 
OBS: 59843.3969 z WFD  1.8929e+01  4.239e-02 4096  1.000 43.480  1.71 1.721e+04  24.3056 
OBS: 59844.1955 r WFD  1.8308e+01  7.117e-03 4096  1.000 44.830  1.51 1.112e+04  24.3439 
OBS: 59849.1447 r WFD  3.4926e+01  8.578e-03 4096  1.000 45.560  2.48 1.611e+04  23.6422 
OBS: 59854.1309 Y WFD  6.1791e+01  6.518e-02 4096  1.000 43.260  1.88 1.962e+04  23.0215 
OBS: 59856.1763 i WFD  7.1965e+01  1.679e-02 4096  1.000 44.600  1.79 1.796e+04  22.8573 
OBS: 59864.2280 z WFD  1.1911e+02  2.510e-02 4096  1.000 45.040  1.66 4.384e+04  22.3098 
OBS: 59867.2290 r WFD  1.0630e+02  1.832e-02 4096  1.000 44.170  1.60 1.452e+04  22.4337 
OBS: 59869.2559 r WFD  1.1352e+02  1.016e-02 4096  1.000 44.870  1.79 1.330e+04  22.3624 
OBS: 59874.1514 u WFD  4.0844e+01  2.316e-02 4096  1.000 41.290  1.80 1.040e+03  23.4715 
OBS: 59875.1789 u WFD  4.1073e+01  2.363e-02 4096  1.000 41.360  1.94 1.066e+03  23.4663 
OBS: 59877.0794 u WFD  4.1275e+01  2.205e-02 4096  1.000 41.180  1.53 1.015e+03  23.4616 
OBS: 59879.1303 g WFD  8.8974e+01  5.969e-03 4096  1.000 44.830  1.72 7.042e+03  22.6267 
OBS: 59884.0742 Y WFD  2.0380e+02  6.317e-02 4096  1.000 42.550  1.34 1.358e+04  21.7275 
OBS: 59885.0546 Y WFD  2.0713e+02  5.197e-02 4096  1.000 43.270  1.47 1.988e+04  21.7093 
OBS: 59901.0565 r WFD  1.5039e+02  1.161e-02 4096  1.000 44.820  2.38 1.087e+04  22.0568 
OBS: 59905.1212 u WFD  2.6311e+01  2.733e-02 4096  1.000 41.240  2.27 9.993e+02  23.9498 
OBS: 59920.0304 Y WFD  2.2967e+02  1.260e-01 4096  1.000 42.590  2.01 1.909e+04  21.5972 
OBS: 59922.1071 z WFD  2.1404e+02  1.852e-02 4096  1.000 45.030  1.34 3.885e+04  21.6737 
OBS: 59924.1476 Y WFD  2.2305e+02  7.926e-02 4096  1.000 42.530  1.59 1.420e+04  21.6295 
OBS: 59931.0363 Y WFD  2.0939e+02  6.559e-02 4096  1.000 43.350  1.39 2.880e+04  21.6975 
OBS: 59946.0554 Y WFD  1.7420e+02  7.922e-02 4096  1.000 42.580  1.58 1.503e+04  21.8974 
OBS: 59950.0895 Y WFD  1.6430e+02  1.031e-01 4096  1.000 42.540  1.93 1.552e+04  21.9613 
OBS: 59963.0719 r WFD  3.6458e+01  1.142e-02 4096  1.000 44.790  2.22 1.176e+04  23.5953 
OBS: 59965.0713 r WFD  3.4172e+01  1.148e-02 4096  1.000 44.770  2.20 1.172e+04  23.6659 
OBS: 59966.0605 i WFD  6.9262e+01  2.484e-02 4096  1.000 44.550  2.87 1.599e+04  22.8992 
OBS: 59974.0409 z WFD  8.7739e+01  3.702e-02 4096  1.000 44.240  1.61 3.201e+04  22.6415 
OBS: 60120.4109 g WFD -4.3830e-03  8.221e-03    0  1.000 44.760  2.47 7.526e+03  35.4303 
OBS: 60121.4062 i WFD  2.0615e-01  1.502e-02 4096  1.000 44.560  1.78 1.587e+04  29.3266 
OBS: 60122.4337 Y WFD  1.7438e+00  6.418e-02 4096  1.000 43.300  1.96 1.930e+04  26.9732 
OBS: 60124.3887 i WFD  1.8614e-01  1.659e-02 4096  1.000 44.560  1.98 1.576e+04  29.3758 
OBS: 60126.3696 z WFD  6.3001e-01  4.196e-02 4096  1.000 44.230  2.26 2.577e+04  27.9617 
OBS: 60127.3733 Y WFD  1.7356e+00  9.945e-02 4096  1.000 42.520  1.86 1.536e+04  27.0489 
OBS: 60128.3708 Y WFD  1.5164e+00  1.101e-01 4096  1.000 42.520  2.02 1.566e+04  27.0649 
OBS: 60130.3879 z WFD  6.5699e-01  4.133e-02 4096  1.000 44.260  2.18 2.705e+04  28.0298 
OBS: 60138.3973 i WFD  1.1844e-01  2.091e-02 4096  1.000 44.580  2.64 1.517e+04  29.5879 
OBS: 60138.4385 z WFD  5.9772e-01  5.758e-02 4096  1.000 43.510  2.64 1.560e+04  28.1336 
OBS: 60140.3452 u WFD  3.7828e-03  3.779e-02    0  1.000 41.090  2.93 9.898e+02  42.1407 
OBS: 60141.4060 g WFD -2.9636e-03  6.239e-03    0  1.000 44.830  2.10 7.166e+03  35.8195 
OBS: 60143.3359 r WFD  2.0541e-02  1.031e-02    0  1.000 44.790  2.09 1.147e+04  32.0230 
OBS: 60144.4417 z WFD  4.5116e-01  4.278e-02 4096  1.000 43.530  1.60 1.948e+04  28.2043 
OBS: 60153.4346 Y WFD  1.1996e+00  4.177e-02 4096  1.000 43.790  1.43 2.703e+04  27.3698 
OBS: 60158.3500 Y WFD  1.1200e+00  7.565e-02 4096  1.000 42.580  1.47 1.562e+04  27.4242 
OBS: 60165.3714 r WFD  8.6448e-03  6.461e-03    0  1.000 45.640  1.64 2.004e+04  32.2662 
OBS: 60176.2460 u WFD  4.8332e-02  3.240e-02    0  1.000 41.020  2.44 9.550e+02  42.5354 
OBS: 60178.4168 Y WFD  8.4069e-01  6.427e-02 4096  1.000 42.570  1.44 1.343e+04  27.6404 
OBS: 60179.2477 i WFD  8.1547e-02  1.538e-02 4096  1.000 44.560  1.88 1.538e+04  30.0382 
OBS: 60181.2578 z WFD  3.4491e-01  2.850e-02 4096  1.000 44.990  2.74 2.907e+04  28.6036 
OBS: 60182.2606 z WFD  3.7058e-01  3.996e-02 4096  1.000 44.250  2.65 2.132e+04  28.6136 
OBS: 60183.2117 Y WFD  7.5203e-01  8.050e-02 4096  1.000 43.690  2.69 2.526e+04  27.6895 
OBS: 60187.2964 z WFD  3.4613e-01  4.506e-02 4096  1.000 44.280  1.91 3.429e+04  28.6655 
OBS: 60198.1879 u WFD  4.3538e-03  2.268e-02    0  1.000 41.850  2.53 1.385e+03  42.7615 
OBS: 60199.2026 i WFD  7.6614e-02  1.713e-02    0  1.000 44.570  2.17 1.499e+04  30.2416 
OBS: 60200.1749 u WFD -4.6880e-02  3.488e-02    0  1.000 41.010  2.62 9.487e+02  42.7820 
OBS: 60202.2516 r WFD  7.1507e-03  5.891e-03    0  1.000 45.590  1.88 1.522e+04  32.6505 
OBS: 60204.1969 i WFD  9.1041e-02  8.581e-03 4096  1.000 45.320  1.52 2.138e+04  30.2926 
OBS: 60206.1480 r WFD -5.6517e-04  1.066e-02    0  1.000 44.770  2.13 1.142e+04  32.6882 
OBS: 60208.1731 i WFD  5.5464e-02  1.596e-02    0  1.000 45.320  2.79 2.167e+04  30.3308 
OBS: 60211.1327 Y WFD  6.2640e-01  1.478e-01    0  1.000 42.490  2.87 1.440e+04  27.9717 
OBS: 60211.1947 r WFD -1.2206e-03  1.152e-02    0  1.000 45.650  2.33 2.539e+04  32.7379 
OBS: 60221.1125 g WFD  1.0892e-03  6.883e-03    0  1.000 44.720  2.13 7.042e+03  36.6536 
OBS: 60227.1263 g WFD  8.4012e-03  8.188e-03    0  1.000 44.770  2.67 6.998e+03  36.7124 
OBS: 60228.1237 r WFD -5.9440e-03  9.358e-03    0  1.000 44.810  1.98 1.119e+04  32.9019 
OBS: 60242.1718 Y WFD  5.4646e-01  6.397e-02 4096  1.000 42.580  1.35 1.439e+04  28.2671 
OBS: 60243.1762 z WFD  1.9558e-01  2.038e-02 4096  1.000 45.040  1.40 4.261e+04  29.2099 
OBS: 60247.1686 z WFD  2.3517e-01  3.621e-02 4096  1.000 44.280  1.59 3.310e+04  29.2470 
OBS: 60249.2042 i WFD  7.3223e-02  1.298e-02    0  1.000 46.130  2.18 4.755e+04  30.7211 
OBS: 60265.0513 u WFD  3.9624e-02  2.525e-02    0  1.000 41.220  2.10 1.040e+03  43.3925 
OBS: 60267.0224 Y WFD  1.9945e-01  9.926e-02    0  1.000 42.560  1.98 1.494e+04  28.4908 
OBS: 60268.1038 r WFD  2.1159e-02  9.413e-03    0  1.000 44.880  1.64 1.450e+04  33.2658 
OBS: 60270.0406 Y WFD  6.2134e-01  1.168e-01    0  1.000 42.580  2.48 1.430e+04  28.5175 
OBS: 60274.0341 Y WFD  4.9317e-01  1.160e-01    0  1.000 42.590  1.98 1.795e+04  28.5532 
OBS: 60280.0388 z WFD  1.3218e-01  2.819e-02    0  1.000 44.260  1.98 2.031e+04  29.5377 
OBS: 60302.0997 Y WFD  2.1465e-01  1.250e-01    0  1.000 42.560  2.42 1.540e+04  28.7895 
