SURVEY:   LSST
SNID:     2004725
IAUC:     NULL
SNTYPE:   140
RA:       91.088614  # deg
DEC:      -49.385792  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0290 +- 0.0015  # MW E(B-V) 
PEAKMJD:  59834.395     # estimate for LC fit codes
MJD_TRIGGER:       59680.984  
MJD_DETECT_FIRST:  59676.980  
MJD_DETECT_LAST:   60667.043  

REDSHIFT_HELIO:   1.944152 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.945019 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9016715321  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.9442  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          91.088361    # deg 
HOSTGAL_DEC:         -49.385614    # deg 
HOSTGAL_SNSEP:       0.476       # arcsec 
HOSTGAL_DDLR:        2.306       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.924 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.950
HOSTGAL_SQRADIUS:     9.080   # Ixx + Iyy
HOSTGAL_MAG:     27.15  26.58  26.39  26.57  26.55  26.41 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  47   # template index for SIMSED,NONIa
SIM_LIBID:           4724    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.94415  
SIM_REDSHIFT_CMB:    1.94502  
SIM_REDSHIFT_HOST:   2.02388  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9016715321 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.135 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.924 -9.000 
SIM_DLMU:            45.8824   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0098   # mag 
SIM_RA:              91.088615     # deg  
SIM_DEC:             -49.385792      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0299   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59834.395    #  true PEAKMJD, days 
SIM_SALT2x0:         4.4364e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6092  # spectro-search efficiency 
SIM_TRESTMIN:        -85.03  # days 
SIM_TRESTMAX:        282.81  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    47.000000
SIMSED_param(bfield):    0.300151
SIMSED_param(mns):    2.180564
SIMSED_param(pspin):    1.598659
SIMSED_param(kappa):    0.137913
SIMSED_param(kappagamma):    0.005638
SIMSED_param(mej):    11.734256
SIMSED_param(temp):    6354.848145
SIMSED_param(vej):    6688.625000

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.42  23.20  22.45  22.07  21.87  21.84  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 146 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.0480 z WFD -7.8077e-04  3.497e-02    0  1.000 44.250  1.89 2.616e+04  99.0000 
OBS: 59584.1562 u WFD  2.5218e-02  3.396e-02    0  1.000 41.250  3.12 9.677e+02  99.0000 
OBS: 59593.0544 z WFD -2.5136e-03  1.965e-02    0  1.000 45.020  1.61 3.507e+04  99.0000 
OBS: 59596.0613 Y WFD  8.7540e-03  7.527e-02    0  1.000 42.580  1.55 1.475e+04  99.0000 
OBS: 59601.0319 Y WFD  1.6081e-01  1.355e-01    0  1.000 42.600  1.71 2.450e+04  99.0000 
OBS: 59601.1141 r WFD  1.5699e-02  9.919e-03    0  1.000 45.320  1.97 1.907e+04  99.0000 
OBS: 59601.1791 i WFD  1.4755e-02  1.323e-02    0  1.000 45.370  1.81 2.899e+04  99.0000 
OBS: 59602.0329 Y WFD  8.4286e-02  1.386e-01    0  1.000 42.600  1.97 2.176e+04  99.0000 
OBS: 59621.0325 Y WFD  3.0276e-02  3.657e-02    0  1.000 44.340  1.52 3.696e+04  99.0000 
OBS: 59636.0285 z WFD  4.3733e-02  2.551e-02    0  1.000 44.250  1.91 1.888e+04  99.0000 
OBS: 59637.0315 Y WFD  6.6337e-02  8.134e-02    0  1.000 42.570  1.94 1.261e+04  99.0000 
OBS: 59639.0120 z WFD -2.7497e-02  6.273e-02    0  1.000 43.520  2.56 1.769e+04  99.0000 
OBS: 59648.0074 Y WFD  1.4561e-01  9.756e-02    0  1.000 42.580  2.05 1.445e+04  99.0000 
OBS: 59659.1056 i WFD -4.5198e-02  2.289e-02    0  1.000 44.580  1.81 2.423e+04  99.0000 
OBS: 59676.9802 Y WFD  3.3234e+00  1.427e-01 4096  1.000 42.590  2.59 1.688e+04  26.1713 
OBS: 59680.9836 Y WFD  5.3334e+00  6.237e-02 6144  1.000 42.580  1.34 1.413e+04  25.6786 
OBS: 59685.0134 Y WFD  7.8732e+00  7.107e-02 4096  1.000 42.540  1.36 1.528e+04  25.2513 
OBS: 59687.0262 z WFD  9.6144e+00  3.197e-02 4096  1.000 44.240  1.63 2.745e+04  25.0424 
OBS: 59708.9599 Y WFD  3.0716e+01  1.299e-01 4096  1.000 42.530  2.03 1.854e+04  23.7833 
OBS: 59712.9578 Y WFD  3.5636e+01  1.254e-01 4096  1.000 42.550  1.88 1.968e+04  23.6230 
OBS: 59798.4132 g WFD  5.5402e+01  1.303e-02 4096  1.000 43.910  2.76 4.658e+03  23.1415 
OBS: 59825.3855 r WFD  1.0603e+02  7.737e-03 4096  1.000 45.560  2.32 1.490e+04  22.4365 
OBS: 59827.3639 g WFD  5.3887e+01  4.889e-03 4096  1.000 45.180  1.84 7.956e+03  23.1712 
OBS: 59842.2948 r WFD  1.0284e+02  9.505e-03 4096  1.000 45.510  2.68 1.542e+04  22.4695 
OBS: 59850.2842 g WFD  4.7067e+01  8.184e-03 4096  1.000 44.710  2.63 6.404e+03  23.3184 
OBS: 59851.2761 u WFD  1.3995e+01  2.339e-02 4096  1.000 41.750  2.47 1.300e+03  24.6335 
OBS: 59853.2873 r WFD  9.8475e+01  8.523e-03 4096  1.000 45.530  2.47 1.519e+04  22.5167 
OBS: 59858.2616 z WFD  1.7625e+02  3.715e-02 4096  1.000 44.240  2.12 2.423e+04  21.8843 
OBS: 59859.2428 Y WFD  1.8496e+02  1.277e-01 4096  1.000 42.500  2.38 1.505e+04  21.8313 
OBS: 59861.2749 Y WFD  1.8461e+02  8.147e-02 4096  1.000 42.540  1.53 1.537e+04  21.8339 
OBS: 59862.3003 z WFD  1.7480e+02  2.943e-02 4096  1.000 44.260  1.50 2.744e+04  21.8936 
OBS: 59868.3182 r WFD  9.0190e+01  1.080e-02 4096  1.000 44.900  1.53 1.737e+04  22.6120 
OBS: 59876.2322 g WFD  3.6226e+01  5.305e-03 4096  1.000 44.750  1.71 6.363e+03  23.6023 
OBS: 59887.1652 Y WFD  1.7306e+02  8.220e-02 4096  1.000 42.500  1.55 1.477e+04  21.9039 
OBS: 59897.2735 r WFD  7.0167e+01  1.103e-02 4096  1.000 44.910  1.46 1.899e+04  22.8847 
OBS: 59898.2621 i WFD  1.1494e+02  9.710e-03 4096  1.000 45.790  1.90 2.895e+04  22.3488 
OBS: 59904.2024 u WFD  5.2087e+00  2.097e-02 4096  1.000 41.260  1.86 9.930e+02  25.7154 
OBS: 59905.1724 u WFD  5.0521e+00  2.603e-02 4096  1.000 41.160  2.18 9.645e+02  25.7413 
OBS: 59908.1250 i WFD  1.0616e+02  1.940e-02 4096  1.000 44.550  2.32 1.525e+04  22.4352 
