SURVEY:   LSST
SNID:     2004824
IAUC:     NULL
SNTYPE:   140
RA:       74.214479  # deg
DEC:      -28.107226  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0209 +- 0.0010  # MW E(B-V) 
PEAKMJD:  59630.309     # estimate for LC fit codes
MJD_TRIGGER:       59590.062  
MJD_DETECT_FIRST:  59586.047  
MJD_DETECT_LAST:   60654.039  

REDSHIFT_HELIO:   2.171806 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.171806 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  3   # template index for SIMSED,NONIa
SIM_LIBID:           4823    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.10930  
SIM_REDSHIFT_CMB:    2.10931  
SIM_REDSHIFT_HOST:   2.17181  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10451771020 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.469 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.414 -9.000 
SIM_DLMU:            46.0985   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0082   # mag 
SIM_RA:              74.214478     # deg  
SIM_DEC:             -28.107225      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0217   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59630.309    #  true PEAKMJD, days 
SIM_SALT2x0:         3.6358e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -14.85  # days 
SIM_TRESTMAX:        334.72  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    3.000000
SIMSED_param(bfield):    0.333233
SIMSED_param(mns):    1.654016
SIMSED_param(pspin):    6.134793
SIMSED_param(kappa):    0.107271
SIMSED_param(kappagamma):    2.502886
SIMSED_param(mej):    1.031045
SIMSED_param(temp):    6137.219238
SIMSED_param(vej):    10460.554688

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   34.86  31.18  29.02  27.78  27.03  26.62  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59584.1476 u WFD -3.9192e-02  2.564e-02    0  1.000 41.290  2.39 9.898e+02  33.0129 
OBS: 59586.0468 z WFD  9.4903e-01  3.585e-02 4096  1.000 44.270  2.32 2.225e+04  27.5737 
OBS: 59590.0606 Y WFD  1.4076e+00  4.637e-02 6144  1.000 43.340  1.53 1.853e+04  27.0968 
OBS: 59597.0599 Y WFD  2.0059e+00  6.764e-02 4096  1.000 43.350  2.04 2.046e+04  26.8128 
OBS: 59598.1706 z WFD  1.5093e+00  4.996e-02 4096  1.000 44.270  2.65 2.715e+04  27.0554 
OBS: 59612.0423 z WFD  1.7583e+00  2.783e-02 4096  1.000 43.510  1.49 1.335e+04  26.8859 
OBS: 59617.0331 Y WFD  2.4909e+00  1.420e-01 4096  1.000 42.600  3.17 1.385e+04  26.5462 
OBS: 59625.1221 Y WFD  2.3250e+00  5.704e-02 4096  1.000 43.300  1.56 2.154e+04  26.5777 
OBS: 59630.0169 Y WFD  2.3276e+00  8.516e-02 4096  1.000 42.620  1.36 1.973e+04  26.6184 
OBS: 59633.0710 g WFD  3.0644e-02  6.871e-03    0  1.000 44.790  2.44 6.546e+03  31.3145 
OBS: 59641.0187 z WFD  1.2963e+00  2.478e-02 4096  1.000 45.020  2.36 3.016e+04  27.2116 
OBS: 59659.0073 Y WFD  1.6688e+00  8.895e-02 4096  1.000 42.550  1.98 1.327e+04  27.0252 
OBS: 59666.9961 z WFD  8.1302e-01  3.469e-02 4096  1.000 44.250  2.18 2.250e+04  27.7361 
OBS: 59680.9895 Y WFD  9.7613e-01  7.834e-02 4096  1.000 42.520  1.55 1.452e+04  27.3945 
OBS: 59684.9881 Y WFD  1.1295e+00  8.135e-02 4096  1.000 42.520  1.47 1.590e+04  27.4627 
OBS: 59685.9898 Y WFD  9.7614e-01  1.006e-01 4096  1.000 42.500  1.78 1.594e+04  27.4805 
OBS: 59805.3775 Y WFD  9.0761e-01  5.496e-02 4096  1.000 43.290  1.52 2.111e+04  27.6630 
OBS: 59810.3642 i WFD  1.6830e-01  1.824e-02 4096  1.000 44.570  1.92 1.804e+04  29.4797 
OBS: 59821.3550 r WFD  3.3344e-02  1.112e-02    0  1.000 44.800  2.45 1.065e+04  31.3599 
OBS: 59835.2787 Y WFD  8.6178e-01  6.153e-02    0  1.000 43.270  1.59 2.218e+04  27.6916 
OBS: 59839.3734 r WFD  1.2508e-02  1.108e-02    0  1.000 44.910  1.69 1.703e+04  31.3770 
OBS: 59844.2743 r WFD  3.6330e-02  8.284e-03    0  1.000 44.790  1.79 1.076e+04  31.3817 
OBS: 59851.2491 u WFD -1.6402e-02  3.451e-02    0  1.000 41.070  2.74 9.487e+02  99.0000 
OBS: 59853.3345 r WFD  2.3074e-02  7.813e-03 4096  1.000 44.830  1.85 1.019e+04  31.3902 
OBS: 59857.2634 i WFD  1.6806e-01  1.618e-02 4096  1.000 44.600  1.65 1.913e+04  29.5243 
OBS: 59857.3780 z WFD  4.6011e-01  2.154e-02 4096  1.000 44.260  1.62 1.897e+04  28.3879 
OBS: 59858.3005 z WFD  4.7260e-01  2.417e-02 4096  1.000 44.270  1.61 2.162e+04  28.3888 
OBS: 59859.2128 Y WFD  7.7281e-01  8.576e-02 4096  1.000 43.260  2.29 2.127e+04  27.7142 
OBS: 59859.3023 i WFD  1.5139e-01  1.348e-02 4096  1.000 45.390  1.70 3.203e+04  29.5262 
OBS: 59866.2823 i WFD  1.5390e-01  1.140e-02 4096  1.000 45.820  1.69 4.051e+04  29.5327 
OBS: 59874.1851 u WFD -1.6969e-02  1.736e-02    0  1.000 41.830  1.95 1.350e+03  99.0000 
