SURVEY:   LSST
SNID:     2005580
IAUC:     NULL
SNTYPE:   140
RA:       349.530098  # deg
DEC:      -54.591561  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0096 +- 0.0005  # MW E(B-V) 
PEAKMJD:  59545.477     # estimate for LC fit codes
MJD_TRIGGER:       59758.438  
MJD_DETECT_FIRST:  59753.344  
MJD_DETECT_LAST:   60128.234  

REDSHIFT_HELIO:   2.605873 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.603755 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8001373028  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.6059  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          349.530014    # deg 
HOSTGAL_DEC:         -54.591559    # deg 
HOSTGAL_SNSEP:       0.121       # arcsec 
HOSTGAL_DDLR:        0.481       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.006 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.941
HOSTGAL_SQRADIUS:     28.423   # Ixx + Iyy
HOSTGAL_MAG:     27.47  26.92  26.09  25.09  24.86  24.76 # ugrizY
HOSTGAL_MAGERR:   0.93   0.18   0.09   0.05   0.07   0.18 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  508   # template index for SIMSED,NONIa
SIM_LIBID:           5579    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.60587  
SIM_REDSHIFT_CMB:    2.60375  
SIM_REDSHIFT_HOST:   2.61184  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8001373028 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.654 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.006 -9.000 
SIM_DLMU:            46.6561   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0560   # mag 
SIM_RA:              349.530090     # deg  
SIM_DEC:             -54.591560      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0102   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59545.477    #  true PEAKMJD, days 
SIM_SALT2x0:         2.1756e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.1223  # spectro-search efficiency 
SIM_TRESTMIN:        57.68  # days 
SIM_TRESTMAX:        312.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    508.000000
SIMSED_param(bfield):    0.818030
SIMSED_param(mns):    2.043136
SIMSED_param(pspin):    2.040550
SIMSED_param(kappa):    0.100677
SIMSED_param(kappagamma):    1.342051
SIMSED_param(mej):    7.901318
SIMSED_param(temp):    4978.637207
SIMSED_param(vej):    6570.141602

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.10  23.99  23.30  22.96  22.79  22.69  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 121 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59753.3446 g WFD  3.4545e-01  5.375e-03 4096  1.000 44.840  1.67 7.830e+03  28.6694 
OBS: 59758.4359 z WFD  1.1892e+01  3.855e-02 6144  1.000 44.260  2.39 2.300e+04  24.8113 
OBS: 59760.4386 z WFD  1.1626e+01  3.082e-02 4096  1.000 44.260  1.79 2.454e+04  24.8410 
OBS: 59770.2633 Y WFD  1.5901e+01  8.334e-02 4096  1.000 42.560  1.76 1.410e+04  24.4954 
OBS: 59771.2289 z WFD  1.0008e+01  3.859e-02 4096  1.000 44.250  2.11 2.584e+04  25.0004 
OBS: 59773.2140 Y WFD  1.5391e+01  6.424e-02 4096  1.000 43.710  1.85 2.984e+04  24.5305 
OBS: 59775.3498 z WFD  9.5262e+00  3.681e-02 4096  1.000 45.040  2.39 4.506e+04  25.0583 
OBS: 59776.3613 z WFD  9.2468e+00  6.075e-02 4096  1.000 44.270  3.09 2.831e+04  25.0730 
OBS: 59777.3960 Y WFD  1.4745e+01  7.879e-02 4096  1.000 43.320  2.29 2.064e+04  24.5823 
OBS: 59778.3757 i WFD  4.5063e+00  1.343e-02 4096  1.000 46.130  2.42 4.431e+04  25.8676 
OBS: 59796.2344 r WFD  9.3255e-01  1.048e-02 4096  1.000 44.820  2.36 1.061e+04  27.5804 
OBS: 59800.1361 Y WFD  1.1255e+01  3.744e-02 4096  1.000 44.460  1.70 3.776e+04  24.8737 
OBS: 59801.1743 z WFD  6.6644e+00  3.016e-02 4096  1.000 45.010  2.03 4.228e+04  25.4440 
OBS: 59802.2001 Y WFD  1.1043e+01  5.509e-02 4096  1.000 43.760  1.68 2.951e+04  24.8985 
OBS: 59803.1283 Y WFD  1.0897e+01  8.019e-02 4096  1.000 43.730  2.09 3.359e+04  24.9098 
OBS: 59809.1833 r WFD  7.0475e-01  8.188e-03 4096  1.000 44.830  1.64 1.204e+04  27.8717 
OBS: 59812.0914 g WFD  7.3855e-02  6.393e-03 4096  1.000 44.690  2.03 6.676e+03  30.4629 
OBS: 59819.1626 u WFD -3.0815e-02  2.340e-02    0  1.000 41.180  1.99 9.803e+02  34.9159 
OBS: 59820.1484 i WFD  2.2467e+00  1.112e-02 4096  1.000 44.580  1.46 1.457e+04  26.6142 
OBS: 59821.0868 r WFD  5.6614e-01  8.806e-03 4096  1.000 45.220  2.25 1.352e+04  28.1398 
OBS: 59821.1180 u WFD -4.2272e-02  3.286e-02    0  1.000 41.070  2.60 9.518e+02  35.0060 
OBS: 59821.1230 r WFD  5.5976e-01  1.577e-02 4096  1.000 44.040  2.41 7.624e+03  28.1407 
OBS: 59824.0592 i WFD  2.1091e+00  1.626e-02 4096  1.000 44.550  1.88 1.611e+04  26.6854 
OBS: 59831.0899 Y WFD  7.8495e+00  6.880e-02 4096  1.000 43.740  1.98 3.070e+04  25.2657 
OBS: 59841.0676 g WFD  2.7632e-02  6.434e-03 4096  1.000 44.750  2.20 6.552e+03  31.3497 
OBS: 59843.0449 i WFD  1.5477e+00  1.528e-02 4096  1.000 44.550  1.88 1.514e+04  27.0291 
OBS: 59851.1172 u WFD -6.7820e-03  2.226e-02    0  1.000 41.250  2.00 9.898e+02  36.5199 
OBS: 59853.0663 r WFD  2.7145e-01  8.950e-03 4096  1.000 44.830  1.89 1.142e+04  28.8665 
OBS: 59858.0426 z WFD  3.0575e+00  2.475e-02 4096  1.000 45.020  1.61 4.416e+04  26.2908 
OBS: 59874.0654 u WFD -1.1767e-03  1.310e-02    0  1.000 42.030  1.68 1.423e+03  37.8505 
OBS: 59880.1767 r WFD  1.6890e-01  7.320e-03 4096  1.000 44.800  1.59 1.080e+04  29.4792 
OBS: 59901.1272 r WFD  1.0714e-01  1.019e-02 4096  1.000 44.800  2.21 1.081e+04  29.9657 
OBS: 59906.1000 u WFD -8.5923e-03  2.454e-02    0  1.000 41.190  2.06 1.002e+03  40.4044 
OBS: 59929.0667 r WFD  5.4855e-02  9.522e-03 4096  1.000 44.790  1.94 1.141e+04  30.6082 
OBS: 59931.0971 g WFD -3.3784e-03  4.343e-03    0  1.000 45.160  1.66 8.551e+03  34.1690 
OBS: 59945.0665 i WFD  3.8754e-01  3.369e-02 4096  1.000 43.810  2.08 1.527e+04  28.8634 
OBS: 60069.4194 z WFD  2.2622e-01  6.243e-02    0  1.000 43.490  2.22 1.974e+04  29.5406 
OBS: 60078.3730 r WFD  1.5082e-03  6.413e-03    0  1.000 45.560  1.65 1.836e+04  34.1858 
OBS: 60078.4218 Y WFD  3.8594e-01  3.366e-02 4096  1.000 44.060  1.43 2.794e+04  28.5237 
OBS: 60082.3564 r WFD  1.5842e-02  1.112e-02    0  1.000 44.760  2.27 1.108e+04  34.2847 
OBS: 60085.3592 r WFD -1.0199e-02  1.051e-02    0  1.000 44.760  2.14 1.111e+04  34.3658 
