SURVEY:   LSST
SNID:     2005829
IAUC:     NULL
SNTYPE:   140
RA:       157.216982  # deg
DEC:      1.292810  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0393 +- 0.0020  # MW E(B-V) 
PEAKMJD:  60680.578     # estimate for LC fit codes
MJD_TRIGGER:       60646.348  
MJD_DETECT_FIRST:  60644.344  
MJD_DETECT_LAST:   60660.297  

REDSHIFT_HELIO:   1.610493 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.613628 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8877165481  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.6105  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          157.217130    # deg 
HOSTGAL_DEC:         1.293014    # deg 
HOSTGAL_SNSEP:       0.424       # arcsec 
HOSTGAL_DDLR:        1.933       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.092 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.609
HOSTGAL_SQRADIUS:     13.160   # Ixx + Iyy
HOSTGAL_MAG:     28.00  27.41  26.50  25.59  24.90  24.71 # ugrizY
HOSTGAL_MAGERR:   0.60   0.29   0.11   0.07   0.06   0.12 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  116   # template index for SIMSED,NONIa
SIM_LIBID:           5828    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.61049  
SIM_REDSHIFT_CMB:    1.61363  
SIM_REDSHIFT_HOST:   1.55037  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8877165481 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.339 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.092 -9.000 
SIM_DLMU:            45.3820   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0386   # mag 
SIM_RA:              157.216980     # deg  
SIM_DEC:             1.292810      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0392   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60680.578    #  true PEAKMJD, days 
SIM_SALT2x0:         7.0340e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.5683  # spectro-search efficiency 
SIM_TRESTMIN:        -417.63  # days 
SIM_TRESTMAX:        -7.76  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    116.000000
SIMSED_param(bfield):    0.606282
SIMSED_param(mns):    1.818689
SIMSED_param(pspin):    1.811540
SIMSED_param(kappa):    0.119625
SIMSED_param(kappagamma):    0.017840
SIMSED_param(mej):    26.688761
SIMSED_param(temp):    5584.607910
SIMSED_param(vej):    9199.912109

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   25.00  23.54  22.61  22.13  21.97  21.94  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 90 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59590.3650 Y WFD  5.6223e-03  8.353e-02    0  1.000 42.570  1.40 1.795e+04  99.0000 
OBS: 59603.3390 i WFD -1.7367e-02  3.014e-02    0  1.000 44.610  2.65 2.240e+04  99.0000 
OBS: 59610.3767 z WFD -5.6975e-02  5.496e-02    0  1.000 43.470  2.09 1.813e+04  99.0000 
OBS: 59611.3784 z WFD  3.1086e-02  4.747e-02    0  1.000 43.480  1.74 1.898e+04  99.0000 
OBS: 59612.3719 z WFD  9.1936e-03  4.904e-02    0  1.000 43.470  2.12 1.594e+04  99.0000 
OBS: 59658.1098 z WFD -3.7423e-02  3.726e-02    0  1.000 44.270  1.68 3.194e+04  99.0000 
OBS: 59660.1297 Y WFD -6.4586e-02  5.842e-02    0  1.000 43.300  1.74 1.979e+04  99.0000 
OBS: 59685.0799 Y WFD -1.9941e-03  4.288e-02    0  1.000 43.760  1.24 3.113e+04  99.0000 
OBS: 59697.9665 z WFD  2.6970e-02  5.831e-02    0  1.000 43.490  2.29 1.788e+04  99.0000 
OBS: 59713.0125 Y WFD -6.0841e-02  5.749e-02    0  1.000 43.750  1.86 2.757e+04  99.0000 
OBS: 59718.0622 i WFD  2.0470e-02  2.575e-02    0  1.000 44.590  2.16 2.306e+04  99.0000 
OBS: 59910.3480 z WFD  5.8882e-02  4.175e-02    0  1.000 44.240  1.94 3.015e+04  99.0000 
OBS: 59912.3452 z WFD -6.5703e-03  4.277e-02    0  1.000 44.240  1.88 3.187e+04  99.0000 
OBS: 59914.3451 z WFD  4.4690e-02  3.717e-02    0  1.000 44.230  1.85 2.788e+04  99.0000 
OBS: 59917.3391 z WFD  5.1127e-02  2.956e-02    0  1.000 44.220  1.79 2.271e+04  99.0000 
OBS: 59920.3458 Y WFD -4.6293e-02  5.730e-02    0  1.000 44.050  1.79 3.765e+04  99.0000 
OBS: 59921.3534 z WFD -1.0746e-03  7.014e-02    0  1.000 43.510  1.93 2.599e+04  99.0000 
OBS: 59922.3262 z WFD  4.5628e-02  3.556e-02    0  1.000 44.240  1.64 3.037e+04  99.0000 
OBS: 59932.3465 z WFD  1.5589e-02  2.501e-02    0  1.000 44.260  1.44 2.478e+04  99.0000 
OBS: 59934.3188 g WFD -6.6479e-03  4.901e-03    0  1.000 44.790  1.50 7.596e+03  99.0000 
OBS: 59935.3213 i WFD -6.3844e-03  1.316e-02    0  1.000 44.570  1.59 1.572e+04  99.0000 
OBS: 59937.3144 r WFD -2.5617e-04  7.873e-03    0  1.000 45.570  2.24 1.676e+04  99.0000 
OBS: 59939.2815 i WFD  1.8383e-02  2.261e-02    0  1.000 44.550  2.62 1.608e+04  99.0000 
OBS: 59942.2784 r WFD  1.1078e-03  7.659e-03    0  1.000 44.800  1.53 1.174e+04  99.0000 
OBS: 59944.2845 i WFD  1.5365e-03  1.547e-02    0  1.000 44.570  1.88 1.562e+04  99.0000 
OBS: 59966.2066 i WFD -3.7981e-02  2.145e-02    0  1.000 44.550  2.50 1.599e+04  99.0000 
OBS: 59968.2059 u WFD -3.5157e-03  1.524e-02    0  1.000 42.570  2.32 1.970e+03  99.0000 
OBS: 59972.1922 r WFD  1.7874e-02  1.174e-02    0  1.000 44.780  2.30 1.176e+04  99.0000 
OBS: 59973.2452 g WFD -8.2311e-03  4.639e-03    0  1.000 44.810  1.49 7.371e+03  99.0000 
OBS: 59976.2010 Y WFD -1.6064e-01  9.252e-02    0  1.000 42.530  1.87 1.435e+04  99.0000 
OBS: 59979.1778 Y WFD -9.4870e-03  6.046e-02    0  1.000 43.290  1.41 2.504e+04  99.0000 
OBS: 59980.2018 Y WFD -1.5752e-01  9.498e-02    0  1.000 42.550  1.46 1.922e+04  99.0000 
OBS: 59997.1385 u WFD  1.9508e-02  2.380e-02    0  1.000 41.170  1.89 1.040e+03  99.0000 
OBS: 60013.1193 z WFD -3.7664e-02  2.297e-02    0  1.000 45.460  1.86 5.321e+04  99.0000 
OBS: 60056.0109 i WFD -2.1098e-02  1.188e-02    0  1.000 44.570  1.47 1.534e+04  99.0000 
OBS: 60068.0095 Y WFD  5.0661e-02  6.043e-02    0  1.000 43.750  1.89 2.852e+04  99.0000 
OBS: 60070.0490 z WFD -1.4704e-02  3.414e-02    0  1.000 44.260  1.66 2.935e+04  99.0000 
OBS: 60073.0194 r WFD  2.2310e-02  1.096e-02    0  1.000 44.080  1.61 8.231e+03  99.0000 
OBS: 60080.0278 u WFD -1.0052e-02  2.126e-02    0  1.000 41.260  1.77 1.078e+03  99.0000 
OBS: 60087.0131 g WFD  5.7001e-04  6.933e-03    0  1.000 44.820  2.11 7.852e+03  99.0000 
