SURVEY:   LSST
SNID:     2006340
IAUC:     NULL
SNTYPE:   140
RA:       176.855580  # deg
DEC:      -16.773384  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0316 +- 0.0016  # MW E(B-V) 
PEAKMJD:  60029.145     # estimate for LC fit codes
MJD_TRIGGER:       59944.355  
MJD_DETECT_FIRST:  59944.289  
MJD_DETECT_LAST:   60513.973  

REDSHIFT_HELIO:   1.856566 +- 0.010000  # Helio 
REDSHIFT_FINAL:   1.860002 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9627505973  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.8566  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          176.855572    # deg 
HOSTGAL_DEC:         -16.773336    # deg 
HOSTGAL_SNSEP:       0.088       # arcsec 
HOSTGAL_DDLR:        1.583       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.485 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.763
HOSTGAL_SQRADIUS:     6.600   # Ixx + Iyy
HOSTGAL_MAG:     27.80  27.48  26.91  26.17  25.57  25.48 # ugrizY
HOSTGAL_MAGERR:   0.68   0.28   0.12   0.09   0.14   0.39 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  55   # template index for SIMSED,NONIa
SIM_LIBID:           6339    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.85657  
SIM_REDSHIFT_CMB:    1.86000  
SIM_REDSHIFT_HOST:   1.86257  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9627505973 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.769 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.485 -9.000 
SIM_DLMU:            45.7614   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.2327   # mag 
SIM_RA:              176.855576     # deg  
SIM_DEC:             -16.773384      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0308   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60029.145    #  true PEAKMJD, days 
SIM_SALT2x0:         4.9593e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -146.60  # days 
SIM_TRESTMAX:        224.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    55.000000
SIMSED_param(bfield):    3.815666
SIMSED_param(mns):    2.182358
SIMSED_param(pspin):    1.171924
SIMSED_param(kappa):    0.105790
SIMSED_param(kappagamma):    0.001872
SIMSED_param(mej):    63.192825
SIMSED_param(temp):    7456.844238
SIMSED_param(vej):    7929.919922

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   28.56  26.49  25.16  24.44  24.05  23.88  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59610.3765 z WFD  6.9893e-03  3.076e-02    0  1.000 44.270  1.68 2.637e+04  99.0000 
OBS: 59614.2127 i WFD -5.8626e-03  1.628e-02    0  1.000 45.320  2.87 2.149e+04  99.0000 
OBS: 59614.3873 z WFD  5.3854e-02  7.366e-02    0  1.000 43.530  1.93 2.780e+04  99.0000 
OBS: 59618.1720 Y WFD  9.6693e-02  7.836e-02    0  1.000 43.260  2.25 1.978e+04  99.0000 
OBS: 59621.1784 Y WFD  1.0932e-01  8.003e-02    0  1.000 42.530  1.65 1.407e+04  99.0000 
OBS: 59626.3947 z WFD -1.3245e-01  7.505e-02    0  1.000 43.510  1.72 3.121e+04  99.0000 
OBS: 59645.1243 u WFD -2.7326e-02  2.421e-02    0  1.000 41.890  2.74 1.417e+03  99.0000 
OBS: 59653.1533 Y WFD -1.9611e-02  7.608e-02    0  1.000 42.580  1.60 1.444e+04  99.0000 
OBS: 59655.1256 Y WFD  2.2238e-02  1.170e-01    0  1.000 42.590  1.94 1.848e+04  99.0000 
OBS: 59660.2377 Y WFD  2.4201e-02  2.783e-02    0  1.000 45.160  1.87 4.865e+04  99.0000 
OBS: 59678.0120 z WFD -9.0547e-02  4.163e-02    0  1.000 44.240  2.65 2.201e+04  99.0000 
OBS: 59681.0795 z WFD  1.0842e-02  2.066e-02    0  1.000 44.270  1.24 2.399e+04  99.0000 
OBS: 59686.1914 Y WFD  1.4861e-01  7.699e-02    0  1.000 42.590  1.25 1.888e+04  99.0000 
OBS: 59688.2369 z WFD  7.8627e-02  4.174e-02    0  1.000 44.250  2.09 2.824e+04  99.0000 
OBS: 59698.9728 z WFD  1.9080e-02  3.195e-02    0  1.000 44.250  1.83 2.468e+04  99.0000 
OBS: 59714.0318 Y WFD  9.9925e-02  9.120e-02    0  1.000 42.610  1.69 1.685e+04  99.0000 
OBS: 59718.1594 i WFD -1.4733e-02  2.663e-02    0  1.000 44.590  2.15 2.395e+04  99.0000 
OBS: 59721.9616 z WFD  1.8487e-02  3.747e-02    0  1.000 43.500  1.84 1.443e+04  99.0000 
OBS: 59729.9552 z WFD  6.1998e-02  4.218e-02    0  1.000 43.510  1.83 1.648e+04  99.0000 
OBS: 59770.0195 z WFD  2.0064e-02  3.390e-02    0  1.000 44.240  1.76 2.698e+04  99.0000 
OBS: 59779.9735 z WFD  1.9917e-02  5.232e-02    0  1.000 43.480  2.41 1.510e+04  99.0000 
OBS: 59923.3460 z WFD -1.2078e-01  7.382e-02    0  1.000 43.500  2.52 2.076e+04  99.0000 
OBS: 59924.3343 Y WFD  4.7487e-02  8.264e-02    0  1.000 42.520  1.54 1.542e+04  99.0000 
OBS: 59944.2908 i WFD  1.1162e+01  1.759e-02 4096  1.000 44.560  2.09 1.579e+04  24.8829 
OBS: 59944.3550 Y WFD  1.1209e+01  9.188e-02 6144  1.000 42.580  1.84 1.515e+04  24.8767 
OBS: 59945.3002 i WFD  1.1524e+01  1.438e-02 4096  1.000 44.570  1.75 1.554e+04  24.8448 
OBS: 59945.3573 z WFD  1.2222e+01  3.703e-02 4096  1.000 44.270  1.71 3.116e+04  24.7754 
OBS: 59953.2542 Y WFD  1.5488e+01  7.814e-02 4096  1.000 43.270  1.92 2.332e+04  24.5293 
OBS: 59954.3580 Y WFD  1.5833e+01  1.054e-01 4096  1.000 42.610  2.08 1.580e+04  24.4954 
OBS: 59962.2470 g WFD  6.5077e+00  4.851e-03 4096  1.000 44.750  1.50 7.118e+03  25.4659 
OBS: 59962.3677 Y WFD  1.8989e+01  6.794e-02 4096  1.000 42.610  1.36 1.556e+04  24.3088 
OBS: 59964.2298 u WFD  2.2735e+00  2.724e-02 4096  1.000 41.050  2.05 9.771e+02  26.6008 
OBS: 59965.3325 r WFD  1.2243e+01  8.779e-03 4096  1.000 44.860  1.96 1.100e+04  24.7807 
OBS: 59965.3670 z WFD  1.9705e+01  2.480e-02 4096  1.000 44.270  1.50 2.374e+04  24.2645 
OBS: 59968.2184 u WFD  2.0771e+00  3.118e-02 4096  1.000 41.030  2.33 9.677e+02  26.7135 
OBS: 59972.3568 r WFD  1.2309e+01  1.302e-02 4096  1.000 44.110  2.07 7.754e+03  24.7747 
OBS: 59976.2830 r WFD  1.2269e+01  7.182e-03 4096  1.000 44.850  1.59 1.094e+04  24.7788 
OBS: 59980.1805 Y WFD  2.3750e+01  5.897e-02 4096  1.000 43.710  1.71 2.962e+04  24.0614 
OBS: 59982.2110 z WFD  2.2933e+01  4.194e-02 4096  1.000 44.270  1.68 3.591e+04  24.1002 
