SURVEY:   LSST
SNID:     2006350
IAUC:     NULL
SNTYPE:   40
RA:       24.964342  # deg
DEC:      -12.118902  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0185 +- 0.0009  # MW E(B-V) 
PEAKMJD:  59861.816     # estimate for LC fit codes
MJD_TRIGGER:       59785.430  
MJD_DETECT_FIRST:  59784.414  
MJD_DETECT_LAST:   60659.035  

REDSHIFT_HELIO:   2.394628 +- 0.000010  # Helio 
REDSHIFT_FINAL:   2.391493 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8764894566  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.3946  +- 0.0100 
HOSTGAL_SPECZ:       2.3946  +- 0.0000 
HOSTGAL_RA:          24.964280    # deg 
HOSTGAL_DEC:         -12.118924    # deg 
HOSTGAL_SNSEP:       0.095       # arcsec 
HOSTGAL_DDLR:        0.357       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.230 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.786
HOSTGAL_SQRADIUS:     5.217   # Ixx + Iyy
HOSTGAL_MAG:     28.39  27.40  27.24  27.34  27.06  26.76 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  962   # template index for SIMSED,NONIa
SIM_LIBID:           6349    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.39464  
SIM_REDSHIFT_CMB:    2.39151  
SIM_REDSHIFT_HOST:   2.35698  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8764894566 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.529 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.230 -9.000 
SIM_DLMU:            46.4328   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0730   # mag 
SIM_RA:              24.964342     # deg  
SIM_DEC:             -12.118902      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0193   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59861.816    #  true PEAKMJD, days 
SIM_SALT2x0:         2.6723e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6794  # spectro-search efficiency 
SIM_TRESTMIN:        -22.82  # days 
SIM_TRESTMAX:        238.61  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    962.000000
SIMSED_param(bfield):    0.544840
SIMSED_param(mns):    1.968871
SIMSED_param(pspin):    1.308786
SIMSED_param(kappa):    0.077727
SIMSED_param(kappagamma):    1.133999
SIMSED_param(mej):    17.120684
SIMSED_param(temp):    7233.117676
SIMSED_param(vej):    9522.006836

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.92  22.89  22.26  21.95  21.80  21.72  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59784.4131 r WFD  5.9375e+01  1.085e-02 4096  1.000 44.110  1.60 7.931e+03  23.0660 
OBS: 59785.4294 z WFD  7.3326e+01  4.617e-02 6144  1.000 43.510  2.37 1.384e+04  22.8365 
OBS: 59787.4186 i WFD  7.3700e+01  3.198e-02 4096  1.000 43.840  3.01 1.019e+04  22.8313 
OBS: 59788.4130 i WFD  7.5679e+01  2.440e-02 4096  1.000 43.840  2.28 1.018e+04  22.8025 
OBS: 59788.4280 z WFD  7.9898e+01  3.917e-02 4096  1.000 43.510  2.01 1.379e+04  22.7431 
OBS: 59789.4026 r WFD  6.7599e+01  8.814e-03 4096  1.000 45.290  2.35 1.335e+04  22.9253 
OBS: 59790.3788 g WFD  4.9169e+01  8.064e-03 4096  1.000 44.820  2.64 6.966e+03  23.2704 
OBS: 59793.3948 i WFD  8.5592e+01  2.228e-02 4096  1.000 43.840  2.07 1.016e+04  22.6687 
OBS: 59793.4323 z WFD  9.0964e+01  4.080e-02 4096  1.000 44.270  2.13 2.744e+04  22.6033 
OBS: 59799.3291 z WFD  1.0360e+02  3.297e-02 4096  1.000 44.260  2.19 2.128e+04  22.4620 
OBS: 59800.4191 Y WFD  1.0797e+02  5.550e-02 4096  1.000 43.320  1.81 1.826e+04  22.4159 
OBS: 59801.3355 z WFD  1.0786e+02  2.958e-02 4096  1.000 44.270  1.70 2.475e+04  22.4186 
OBS: 59801.4186 Y WFD  1.1028e+02  7.390e-02 4096  1.000 42.570  1.62 1.359e+04  22.3941 
OBS: 59805.2557 Y WFD  1.1845e+02  1.074e-01 4096  1.000 42.530  1.73 1.792e+04  22.3147 
OBS: 59809.4255 z WFD  1.2408e+02  4.949e-02 4096  1.000 43.510  1.84 1.904e+04  22.2653 
OBS: 59810.4032 i WFD  1.1663e+02  2.019e-02 4096  1.000 43.850  1.53 1.236e+04  22.3331 
OBS: 59811.2496 i WFD  1.1804e+02  1.544e-02 4096  1.000 44.560  1.82 1.535e+04  22.3201 
OBS: 59811.4235 z WFD  1.2800e+02  4.340e-02 4096  1.000 43.500  1.79 1.695e+04  22.2321 
OBS: 59818.3282 u WFD  3.3517e+01  2.061e-02 4096  1.000 41.300  1.62 1.034e+03  23.6868 
OBS: 59819.2599 u WFD  3.3576e+01  2.786e-02 4096  1.000 41.190  2.17 9.993e+02  23.6849 
OBS: 59822.4208 z WFD  1.4764e+02  7.206e-02 4096  1.000 43.510  2.01 2.549e+04  22.0764 
OBS: 59823.4097 z WFD  1.4928e+02  4.097e-02 4096  1.000 43.500  1.90 1.501e+04  22.0648 
OBS: 59826.4146 Y WFD  1.6013e+02  1.049e-01 4096  1.000 43.300  2.33 2.643e+04  21.9880 
OBS: 59839.1726 g WFD  7.3833e+01  1.031e-02 4096  1.000 44.010  2.13 4.990e+03  22.8296 
OBS: 59841.1771 g WFD  7.3864e+01  7.596e-03 4096  1.000 44.780  2.27 7.077e+03  22.8288 
OBS: 59844.2903 r WFD  1.2362e+02  8.835e-03 4096  1.000 44.840  1.77 1.098e+04  22.2697 
OBS: 59849.1326 r WFD  1.2483e+02  1.278e-02 4096  1.000 44.790  2.44 1.160e+04  22.2592 
OBS: 59854.1311 Y WFD  1.9770e+02  3.594e-02 4096  1.000 44.470  1.83 3.358e+04  21.7596 
OBS: 59856.1783 i WFD  1.6415e+02  8.504e-03 4096  1.000 46.110  1.77 3.610e+04  21.9619 
OBS: 59864.3219 z WFD  1.9167e+02  4.504e-02 4096  1.000 44.260  1.86 3.423e+04  21.7934 
OBS: 59871.0978 r WFD  1.2260e+02  6.110e-03 4096  1.000 45.570  1.63 1.605e+04  22.2787 
OBS: 59873.0834 i WFD  1.6602e+02  1.452e-02 4096  1.000 44.560  1.66 1.545e+04  21.9495 
OBS: 59875.1784 u WFD  2.2818e+01  2.353e-02 4096  1.000 41.280  1.95 1.031e+03  24.1034 
OBS: 59884.0233 Y WFD  2.1219e+02  8.848e-02 4096  1.000 42.490  1.69 1.443e+04  21.6829 
OBS: 59885.0462 Y WFD  2.1232e+02  3.641e-02 4096  1.000 44.030  1.46 2.822e+04  21.6829 
OBS: 59886.0788 z WFD  1.9364e+02  2.582e-02 4096  1.000 44.260  1.50 2.384e+04  21.7825 
OBS: 59895.1975 i WFD  1.5756e+02  2.572e-02 4096  1.000 44.620  2.21 2.274e+04  22.0065 
OBS: 59904.0290 z WFD  1.8599e+02  2.775e-02 4096  1.000 44.250  1.72 2.225e+04  21.8265 
OBS: 59909.0801 u WFD  1.2651e+01  2.301e-02 4096  1.000 41.270  1.97 1.018e+03  24.7454 
