SURVEY:   LSST
SNID:     2007167
IAUC:     NULL
SNTYPE:   40
RA:       34.340577  # deg
DEC:      -48.091814  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0213 +- 0.0011  # MW E(B-V) 
PEAKMJD:  59533.148     # estimate for LC fit codes
MJD_TRIGGER:       59800.352  
MJD_DETECT_FIRST:  59796.367  
MJD_DETECT_LAST:   60657.160  

REDSHIFT_HELIO:   1.004465 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.003559 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       10377146493  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.0044  +- 0.0100 
HOSTGAL_SPECZ:       1.0045  +- 0.0000 
HOSTGAL_RA:          34.340540    # deg 
HOSTGAL_DEC:         -48.092070    # deg 
HOSTGAL_SNSEP:       0.464       # arcsec 
HOSTGAL_DDLR:        1.077       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.248 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.463
HOSTGAL_SQRADIUS:     15.049   # Ixx + Iyy
HOSTGAL_MAG:     27.39  26.77  25.51  24.55  23.80  23.50 # ugrizY
HOSTGAL_MAGERR:  10.29   0.15   0.04   0.03   0.03   0.04 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  674   # template index for SIMSED,NONIa
SIM_LIBID:           7166    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.00444  
SIM_REDSHIFT_CMB:    1.00354  
SIM_REDSHIFT_HOST:   0.97496  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   10377146493 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -1.374 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.248 -9.000 
SIM_DLMU:            44.1107   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0112   # mag 
SIM_RA:              34.340576     # deg  
SIM_DEC:             -48.091812      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0216   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59533.148    #  true PEAKMJD, days 
SIM_SALT2x0:         2.2684e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        131.32  # days 
SIM_TRESTMAX:        561.01  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    674.000000
SIMSED_param(bfield):    0.587814
SIMSED_param(mns):    1.764780
SIMSED_param(pspin):    1.256945
SIMSED_param(kappa):    0.133905
SIMSED_param(kappagamma):    12.408991
SIMSED_param(mej):    16.895447
SIMSED_param(temp):    7061.035156
SIMSED_param(vej):    9795.487305

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   21.10  20.55  20.27  20.32  20.43  20.54  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 137 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59796.3665 g WFD  9.4016e+00  6.337e-03 4096  1.000 44.790  2.32 6.258e+03  25.0666 
OBS: 59800.3527 Y WFD  1.0946e+02  3.729e-02 6144  1.000 44.070  1.66 2.665e+04  22.4011 
OBS: 59801.3096 z WFD  9.1301e+01  2.732e-02 4096  1.000 45.020  2.15 3.629e+04  22.5991 
OBS: 59802.3607 Y WFD  1.0810e+02  3.114e-02 4096  1.000 44.840  1.79 4.207e+04  22.4152 
OBS: 59803.2974 Y WFD  1.0752e+02  4.924e-02 4096  1.000 44.070  1.83 3.206e+04  22.4215 
OBS: 59805.2844 Y WFD  1.0618e+02  5.426e-02 4096  1.000 43.310  1.47 2.177e+04  22.4346 
OBS: 59806.2930 z WFD  8.8480e+01  2.187e-02 4096  1.000 45.020  1.68 3.706e+04  22.6326 
OBS: 59807.4083 i WFD  6.4145e+01  2.195e-02 4096  1.000 44.640  1.97 2.235e+04  22.9827 
OBS: 59809.3416 r WFD  3.3986e+01  7.449e-03 4096  1.000 45.660  1.56 2.432e+04  23.6720 
OBS: 59812.4066 g WFD  8.5140e+00  1.040e-02 4096  1.000 44.140  2.37 5.556e+03  25.1746 
OBS: 59818.2422 u WFD  9.0059e-01  2.681e-02 4096  1.000 41.090  2.17 9.455e+02  27.6436 
OBS: 59819.3250 u WFD  8.4656e-01  2.370e-02 4096  1.000 41.220  2.12 9.645e+02  27.6506 
OBS: 59820.2619 u WFD  8.9821e-01  2.208e-02 4096  1.000 41.180  1.89 9.708e+02  27.6563 
OBS: 59821.2218 r WFD  3.1676e+01  9.842e-03 4096  1.000 44.780  2.08 1.068e+04  23.7485 
OBS: 59823.1869 g WFD  7.9826e+00  7.608e-03 4096  1.000 44.680  2.47 6.410e+03  25.2433 
OBS: 59837.2608 i WFD  5.3919e+01  9.853e-03 4096  1.000 45.380  1.36 2.843e+04  23.1707 
OBS: 59840.1554 g WFD  7.2620e+00  4.843e-03 4096  1.000 45.450  2.24 9.136e+03  25.3467 
OBS: 59843.2024 i WFD  5.2172e+01  1.384e-02 4096  1.000 44.580  1.80 1.444e+04  23.2062 
OBS: 59850.1174 i WFD  5.0297e+01  2.138e-02 4096  1.000 44.550  2.57 1.537e+04  23.2461 
OBS: 59853.2162 r WFD  2.6546e+01  6.262e-03 4096  1.000 45.580  2.04 1.448e+04  23.9399 
OBS: 59862.1098 z WFD  6.4847e+01  2.501e-02 4096  1.000 45.020  1.53 4.673e+04  22.9707 
OBS: 59868.1331 r WFD  2.4594e+01  6.617e-03 4096  1.000 44.810  1.45 1.044e+04  24.0229 
OBS: 59874.1220 u WFD  6.4113e-01  1.406e-02 4096  1.000 41.990  1.76 1.401e+03  27.9689 
OBS: 59878.0878 g WFD  5.9832e+00  4.928e-03 4096  1.000 44.790  1.75 6.448e+03  25.5586 
OBS: 59886.0249 z WFD  5.7661e+01  2.747e-02 4096  1.000 44.230  1.54 2.456e+04  23.0986 
OBS: 59887.2205 i WFD  4.1792e+01  1.622e-02 4096  1.000 44.620  1.38 2.310e+04  23.4475 
OBS: 59900.0331 Y WFD  6.4175e+01  1.014e-01 4096  1.000 42.550  2.24 1.333e+04  22.9786 
OBS: 59901.0205 Y WFD  6.4039e+01  1.348e-01 4096  1.000 42.540  2.58 1.526e+04  22.9834 
OBS: 59914.1040 r WFD  1.9808e+01  1.175e-02 4096  1.000 44.900  1.78 1.685e+04  24.2578 
OBS: 59916.1454 i WFD  3.6622e+01  1.795e-02 4096  1.000 44.620  1.60 2.212e+04  23.5914 
OBS: 59929.0454 Y WFD  5.6528e+01  5.093e-02 4096  1.000 43.330  1.67 1.838e+04  23.1182 
OBS: 59929.1056 r WFD  1.8560e+01  6.801e-03 4096  1.000 44.830  1.56 1.026e+04  24.3287 
OBS: 59932.1397 g WFD  4.6728e+00  3.987e-03 4096  1.000 44.790  1.42 6.410e+03  25.8255 
OBS: 59934.0863 u WFD  4.9587e-01  1.508e-02 4096  1.000 41.310  1.40 1.009e+03  28.2655 
OBS: 59943.1123 r WFD  1.7512e+01  1.222e-02 4096  1.000 44.870  1.89 1.607e+04  24.3928 
OBS: 59944.0592 Y WFD  5.3163e+01  7.276e-02 4096  1.000 42.570  1.64 1.328e+04  23.1868 
OBS: 59950.1234 Y WFD  5.1921e+01  9.715e-02 4096  1.000 42.540  1.89 1.501e+04  23.2139 
OBS: 59967.1107 i WFD  2.9562e+01  2.122e-02 4096  1.000 44.540  2.51 1.554e+04  23.8219 
OBS: 59968.0753 u WFD  4.5690e-01  2.013e-02 4096  1.000 41.850  2.28 1.363e+03  28.4160 
