SURVEY:   LSST
SNID:     2007498
IAUC:     NULL
SNTYPE:   40
RA:       170.676237  # deg
DEC:      -39.830162  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1168 +- 0.0058  # MW E(B-V) 
PEAKMJD:  59960.484     # estimate for LC fit codes
MJD_TRIGGER:       59913.324  
MJD_DETECT_FIRST:  59905.348  
MJD_DETECT_LAST:   60673.262  

REDSHIFT_HELIO:   0.859742 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.861664 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8001432808  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.8598  +- 0.0100 
HOSTGAL_SPECZ:       0.8597  +- 0.0000 
HOSTGAL_RA:          170.676301    # deg 
HOSTGAL_DEC:         -39.830180    # deg 
HOSTGAL_SNSEP:       0.097       # arcsec 
HOSTGAL_DDLR:        1.040       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     7.237 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.666
HOSTGAL_SQRADIUS:     7.677   # Ixx + Iyy
HOSTGAL_MAG:     30.06  29.15  27.90  26.75  26.25  26.07 # ugrizY
HOSTGAL_MAGERR: -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  116   # template index for SIMSED,NONIa
SIM_LIBID:           7497    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.85975  
SIM_REDSHIFT_CMB:    0.86167  
SIM_REDSHIFT_HOST:   0.82704  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8001432808 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -3.142 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                7.237 -9.000 
SIM_DLMU:            43.6989   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0039   # mag 
SIM_RA:              170.676239     # deg  
SIM_DEC:             -39.830162      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1143   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59960.484    #  true PEAKMJD, days 
SIM_SALT2x0:         3.3148e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9943  # spectro-search efficiency 
SIM_TRESTMIN:        -196.92  # days 
SIM_TRESTMAX:        383.27  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    116.000000
SIMSED_param(bfield):    0.606282
SIMSED_param(mns):    1.818689
SIMSED_param(pspin):    1.811540
SIMSED_param(kappa):    0.119625
SIMSED_param(kappagamma):    0.017840
SIMSED_param(mej):    26.688761
SIMSED_param(temp):    5584.607910
SIMSED_param(vej):    9199.912109

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.31  21.37  20.84  20.76  20.76  20.80  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59594.2637 Y WFD  1.0001e-01  5.648e-02    0  1.000 43.310  1.74 1.931e+04  99.0000 
OBS: 59597.2107 Y WFD -2.9310e-02  1.352e-01    0  1.000 42.540  2.51 1.576e+04  99.0000 
OBS: 59599.3659 z WFD  5.8028e-03  3.395e-02    0  1.000 44.290  1.68 2.964e+04  99.0000 
OBS: 59602.3289 i WFD -2.3415e-02  2.446e-02    0  1.000 44.640  2.14 2.314e+04  99.0000 
OBS: 59607.2515 g WFD -1.9470e-03  6.211e-03    0  1.000 44.830  2.26 6.628e+03  99.0000 
OBS: 59608.3780 z WFD  9.5290e-02  5.652e-02    0  1.000 43.520  2.24 1.821e+04  99.0000 
OBS: 59615.2027 r WFD -2.9404e-02  1.261e-02    0  1.000 44.820  2.85 1.058e+04  99.0000 
OBS: 59628.3585 z WFD -2.6944e-02  3.163e-02    0  1.000 44.280  1.50 3.065e+04  99.0000 
OBS: 59652.0535 Y WFD  4.7801e-02  1.490e-01    0  1.000 42.510  2.90 1.463e+04  99.0000 
OBS: 59654.0622 Y WFD -1.0202e-02  1.349e-01    0  1.000 42.540  2.54 1.555e+04  99.0000 
OBS: 59656.0498 z WFD  4.8615e-02  3.712e-02    0  1.000 45.020  2.15 4.961e+04  99.0000 
OBS: 59682.0176 Y WFD  1.7024e-02  6.159e-02    0  1.000 42.560  1.28 1.434e+04  99.0000 
OBS: 59683.0578 Y WFD -4.7196e-02  5.621e-02    0  1.000 42.580  1.17 1.459e+04  99.0000 
OBS: 59685.1563 Y WFD -1.3042e-03  6.680e-02    0  1.000 42.610  1.22 1.709e+04  99.0000 
OBS: 59686.1874 Y WFD  1.1308e-01  6.380e-02    0  1.000 43.330  1.56 2.478e+04  99.0000 
OBS: 59695.9677 z WFD -9.0830e-03  4.591e-02    0  1.000 43.500  1.91 1.703e+04  99.0000 
OBS: 59700.9725 z WFD  4.3432e-02  2.988e-02    0  1.000 43.500  1.49 1.421e+04  99.0000 
OBS: 59709.0415 i WFD -1.8507e-02  1.453e-02    0  1.000 44.620  1.61 1.794e+04  99.0000 
OBS: 59710.0487 i WFD  4.4563e-02  1.826e-02    0  1.000 44.630  1.76 2.082e+04  99.0000 
OBS: 59713.1519 Y WFD -4.1757e-02  8.894e-02    0  1.000 42.560  1.61 1.647e+04  99.0000 
OBS: 59769.0305 z WFD  3.9303e-02  1.945e-02    0  1.000 45.420  1.83 4.415e+04  99.0000 
OBS: 59788.9670 z WFD  1.0819e-02  5.742e-02    0  1.000 43.480  2.25 1.775e+04  99.0000 
OBS: 59905.3493 z WFD  2.1710e+02  6.422e-02 4096  1.000 43.480  2.54 1.740e+04  21.6586 
OBS: 59913.3234 r WFD  2.9204e+02  1.149e-02 6144  1.000 44.770  1.93 1.159e+04  21.3364 
OBS: 59916.3437 z WFD  2.8710e+02  3.611e-02 4096  1.000 43.490  1.53 1.582e+04  21.3548 
OBS: 59924.3541 Y WFD  3.1270e+02  9.810e-02 4096  1.000 42.600  1.36 2.198e+04  21.2623 
OBS: 59929.2994 r WFD  3.7648e+02  1.500e-02 4096  1.000 44.860  1.91 1.752e+04  21.0607 
OBS: 59929.3464 Y WFD  3.4052e+02  5.014e-02 4096  1.000 43.330  1.40 2.100e+04  21.1697 
OBS: 59932.2985 g WFD  2.6648e+02  8.007e-03 4096  1.000 44.760  1.69 7.435e+03  21.4359 
OBS: 59935.2823 i WFD  4.0922e+02  1.515e-02 4096  1.000 44.560  1.57 1.554e+04  20.9701 
OBS: 59946.2892 i WFD  4.5605e+02  1.553e-02 4096  1.000 44.580  1.71 1.479e+04  20.8525 
OBS: 59948.2487 z WFD  4.5544e+02  3.790e-02 4096  1.000 44.240  2.02 2.543e+04  20.8541 
OBS: 59950.2660 Y WFD  4.4096e+02  5.233e-02 4096  1.000 44.060  2.03 3.000e+04  20.8889 
OBS: 59951.3161 z WFD  4.6730e+02  2.955e-02 4096  1.000 44.270  1.55 2.597e+04  20.8260 
OBS: 59952.2094 Y WFD  4.4866e+02  1.112e-01 4096  1.000 42.500  1.92 1.604e+04  20.8700 
OBS: 59956.2580 i WFD  4.8771e+02  2.138e-02 4096  1.000 45.050  2.00 2.993e+04  20.7797 
OBS: 59964.2296 u WFD  1.1530e+02  1.827e-02 4096  1.000 42.350  2.05 1.695e+03  22.3451 
OBS: 59965.1836 r WFD  4.6409e+02  1.404e-02 4096  1.000 44.770  2.45 1.101e+04  20.8335 
OBS: 59968.1772 u WFD  1.1084e+02  3.331e-02 4096  1.000 41.040  2.02 9.487e+02  22.3880 
