SURVEY:   LSST
SNID:     2007993
IAUC:     NULL
SNTYPE:   40
RA:       26.188394  # deg
DEC:      -21.638153  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0087 +- 0.0004  # MW E(B-V) 
PEAKMJD:  60264.555     # estimate for LC fit codes
MJD_TRIGGER:       60177.219  
MJD_DETECT_FIRST:  60176.254  
MJD_DETECT_LAST:   60673.059  

REDSHIFT_HELIO:   1.242789 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.240912 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       6065304657  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.2428  +- 0.0100 
HOSTGAL_SPECZ:       1.2428  +- 0.0000 
HOSTGAL_RA:          26.188424    # deg 
HOSTGAL_DEC:         -21.638146    # deg 
HOSTGAL_SNSEP:       0.048       # arcsec 
HOSTGAL_DDLR:        0.272       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.284 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.934
HOSTGAL_SQRADIUS:     6.729   # Ixx + Iyy
HOSTGAL_MAG:     29.55  28.04  26.17  25.14  24.28  23.74 # ugrizY
HOSTGAL_MAGERR:  26.62   0.46   0.09   0.05   0.04   0.06 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  548   # template index for SIMSED,NONIa
SIM_LIBID:           7992    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.24280  
SIM_REDSHIFT_CMB:    1.24092  
SIM_REDSHIFT_HOST:   1.20990  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6065304657 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -2.500 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.284 -9.000 
SIM_DLMU:            44.6820   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0348   # mag 
SIM_RA:              26.188393     # deg  
SIM_DEC:             -21.638153      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0086   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60264.555    #  true PEAKMJD, days 
SIM_SALT2x0:         1.3404e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.9306  # spectro-search efficiency 
SIM_TRESTMIN:        -212.48  # days 
SIM_TRESTMAX:        182.29  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    548.000000
SIMSED_param(bfield):    0.529157
SIMSED_param(mns):    1.596082
SIMSED_param(pspin):    1.759493
SIMSED_param(kappa):    0.151551
SIMSED_param(kappagamma):    2.643045
SIMSED_param(mej):    8.617522
SIMSED_param(temp):    7418.079590
SIMSED_param(vej):    7264.634277

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.52  21.80  21.38  21.30  21.37  21.46  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 134 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59788.4007 i WFD -2.3527e-03  1.545e-02    0  1.000 44.590  2.14 1.396e+04  99.0000 
OBS: 59788.4361 z WFD -3.4249e-02  4.317e-02    0  1.000 43.520  1.94 1.606e+04  99.0000 
OBS: 59789.4002 r WFD -1.2878e-02  9.866e-03    0  1.000 44.850  2.32 1.045e+04  99.0000 
OBS: 59790.3771 g WFD -1.2226e-02  7.120e-03    0  1.000 44.840  2.59 6.691e+03  99.0000 
OBS: 59790.4301 z WFD -4.7094e-02  4.260e-02    0  1.000 43.510  2.20 1.385e+04  99.0000 
OBS: 59793.4332 z WFD -1.7616e-02  4.355e-02    0  1.000 43.520  2.03 1.549e+04  99.0000 
OBS: 59796.2645 r WFD -5.6733e-03  1.480e-02    0  1.000 44.780  3.06 1.114e+04  99.0000 
OBS: 59799.2654 z WFD -3.6354e-02  3.217e-02    0  1.000 44.240  1.90 2.372e+04  99.0000 
OBS: 59800.4241 Y WFD  3.0032e-02  7.229e-02    0  1.000 42.590  1.70 1.303e+04  99.0000 
OBS: 59802.2902 Y WFD  5.4000e-02  5.284e-02    0  1.000 44.060  2.02 3.105e+04  99.0000 
OBS: 59803.2523 Y WFD -5.5429e-02  5.965e-02    0  1.000 43.720  1.74 2.975e+04  99.0000 
OBS: 59805.2323 Y WFD  1.2573e-02  6.423e-02    0  1.000 43.720  1.79 3.114e+04  99.0000 
OBS: 59810.4005 i WFD  1.1317e-02  1.750e-02    0  1.000 43.860  1.47 1.175e+04  99.0000 
OBS: 59811.2525 i WFD  9.9498e-03  1.389e-02    0  1.000 44.570  1.76 1.498e+04  99.0000 
OBS: 59817.2367 r WFD  1.2215e-03  7.338e-03    0  1.000 44.800  1.58 1.090e+04  99.0000 
OBS: 59818.2927 u WFD -5.6741e-02  2.093e-02    0  1.000 41.260  1.88 9.993e+02  99.0000 
OBS: 59819.2205 u WFD -8.8879e-03  4.018e-02    0  1.000 41.060  3.15 9.518e+02  99.0000 
OBS: 59822.1953 i WFD  2.0243e-02  1.853e-02    0  1.000 44.560  2.26 1.543e+04  99.0000 
OBS: 59823.1939 g WFD  7.7263e-03  7.439e-03    0  1.000 44.730  2.42 6.761e+03  99.0000 
OBS: 59823.4142 z WFD -6.0263e-03  4.594e-02    0  1.000 43.500  1.99 1.636e+04  99.0000 
OBS: 59832.1652 Y WFD -8.1786e-03  8.953e-02    0  1.000 43.270  1.89 2.716e+04  99.0000 
OBS: 59839.1862 g WFD -2.8776e-03  5.731e-03    0  1.000 44.770  1.93 6.777e+03  99.0000 
OBS: 59843.3951 z WFD  2.5919e-02  3.821e-02    0  1.000 43.490  1.67 1.606e+04  99.0000 
OBS: 59844.1736 r WFD  9.7737e-03  5.747e-03    0  1.000 45.570  1.76 1.557e+04  99.0000 
OBS: 59849.1328 r WFD  4.3464e-03  1.109e-02    0  1.000 44.810  2.34 1.122e+04  99.0000 
OBS: 59850.1178 i WFD -4.8132e-03  2.284e-02    0  1.000 44.560  2.76 1.556e+04  99.0000 
OBS: 59863.3029 z WFD -1.3314e-02  2.649e-02    0  1.000 45.030  1.51 5.087e+04  99.0000 
OBS: 59864.1916 z WFD  5.1510e-02  3.078e-02    0  1.000 44.290  1.61 2.805e+04  99.0000 
OBS: 59867.2418 r WFD -3.8272e-03  1.137e-02    0  1.000 44.940  1.51 2.011e+04  99.0000 
OBS: 59874.1351 u WFD -1.3456e-02  1.355e-02    0  1.000 42.080  1.76 1.470e+03  99.0000 
OBS: 59879.1123 g WFD -3.0992e-03  4.352e-03    0  1.000 44.840  1.54 6.878e+03  99.0000 
OBS: 59884.0197 Y WFD  1.0060e-01  8.279e-02    0  1.000 42.490  1.61 1.437e+04  99.0000 
OBS: 59895.1943 i WFD -2.2002e-02  2.158e-02    0  1.000 44.620  1.96 2.189e+04  99.0000 
OBS: 59905.1218 u WFD  1.2354e-03  2.386e-02    0  1.000 41.320  2.23 1.015e+03  99.0000 
OBS: 59909.0791 u WFD  1.0583e-02  2.025e-02    0  1.000 41.340  1.91 1.025e+03  99.0000 
OBS: 59914.0227 Y WFD  1.1475e-01  1.072e-01    0  1.000 42.600  1.54 2.154e+04  99.0000 
OBS: 59918.0289 Y WFD  6.6349e-03  5.626e-02    0  1.000 43.370  1.29 2.741e+04  99.0000 
OBS: 59923.1262 i WFD  5.0117e-03  1.423e-02    0  1.000 45.390  1.59 3.615e+04  99.0000 
OBS: 59942.0401 Y WFD  2.2331e-02  4.610e-02    0  1.000 44.110  1.49 3.845e+04  99.0000 
OBS: 59949.0876 z WFD  2.5773e-02  3.636e-02    0  1.000 44.260  1.92 2.702e+04  99.0000 
