SURVEY:   LSST
SNID:     2008480
IAUC:     NULL
SNTYPE:   140
RA:       226.456825  # deg
DEC:      -33.580679  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.1657 +- 0.0083  # MW E(B-V) 
PEAKMJD:  59520.824     # estimate for LC fit codes
MJD_TRIGGER:       59652.285  
MJD_DETECT_FIRST:  59647.395  
MJD_DETECT_LAST:   60366.352  

REDSHIFT_HELIO:   2.095066 +- 0.010000  # Helio 
REDSHIFT_FINAL:   2.096972 +- 0.010000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       9690960718  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      2.0951  +- 0.0100 
HOSTGAL_SPECZ:       -9.0000  +- -9.0000 
HOSTGAL_RA:          226.456962    # deg 
HOSTGAL_DEC:         -33.580800    # deg 
HOSTGAL_SNSEP:       0.290       # arcsec 
HOSTGAL_DDLR:        1.469       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     8.670 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.793
HOSTGAL_SQRADIUS:     7.472   # Ixx + Iyy
HOSTGAL_MAG:     27.50  27.30  26.76  26.28  25.41  25.09 # ugrizY
HOSTGAL_MAGERR:   0.73   0.15   0.10   0.11   0.08   0.16 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  403   # template index for SIMSED,NONIa
SIM_LIBID:           8479    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.09507  
SIM_REDSHIFT_CMB:    2.09697  
SIM_REDSHIFT_HOST:   2.00284  
SIM_REDSHIFT_FLAG:   3  # HOSTPHOT
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9690960718 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.904 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.670 -9.000 
SIM_DLMU:            46.0816   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0545   # mag 
SIM_RA:              226.456833     # deg  
SIM_DEC:             -33.580677      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.1719   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59520.824    #  true PEAKMJD, days 
SIM_SALT2x0:         3.6928e-19 
SIM_SEARCHEFF_MASK:  1  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.0000  # spectro-search efficiency 
SIM_TRESTMIN:        38.90  # days 
SIM_TRESTMAX:        330.60  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    403.000000
SIMSED_param(bfield):    0.191163
SIMSED_param(mns):    1.737608
SIMSED_param(pspin):    2.226626
SIMSED_param(kappa):    0.138194
SIMSED_param(kappagamma):    24.181150
SIMSED_param(mej):    6.626914
SIMSED_param(temp):    3781.773926
SIMSED_param(vej):    10576.668945

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   30.29  27.44  25.61  24.59  23.98  23.66  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 127 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59641.2964 u WFD  5.5753e-02  2.831e-02    0  1.000 41.260  2.45 1.037e+03  34.2585 
OBS: 59647.3949 z WFD  1.0980e+01  3.435e-02 4096  1.000 43.510  1.77 1.385e+04  24.8975 
OBS: 59652.2845 Y WFD  1.7287e+01  8.388e-02 6144  1.000 42.570  1.94 1.299e+04  24.4076 
OBS: 59653.2515 Y WFD  1.7288e+01  9.535e-02 4096  1.000 42.580  2.08 1.391e+04  24.4147 
OBS: 59654.1976 Y WFD  1.6940e+01  7.087e-02 4096  1.000 43.710  2.30 2.648e+04  24.4217 
OBS: 59665.3682 g WFD  7.9301e-02  6.609e-03 4096  1.000 44.920  2.05 8.446e+03  30.3735 
OBS: 59675.1593 r WFD  7.5207e-01  9.625e-03 4096  1.000 44.810  2.00 1.139e+04  27.7807 
OBS: 59675.4111 z WFD  8.6863e+00  3.050e-02 4096  1.000 44.250  1.62 2.659e+04  25.1529 
OBS: 59676.3887 i WFD  3.4020e+00  1.775e-02 4096  1.000 44.570  2.25 1.496e+04  26.1642 
OBS: 59679.2277 z WFD  8.4752e+00  3.353e-02 4096  1.000 44.680  1.97 3.574e+04  25.1886 
OBS: 59683.1187 Y WFD  1.3892e+01  3.637e-02 4096  1.000 44.260  1.50 3.456e+04  24.6400 
OBS: 59684.1715 Y WFD  1.3794e+01  7.228e-02 4096  1.000 42.580  1.39 1.577e+04  24.6479 
OBS: 59685.1988 Y WFD  1.3643e+01  7.636e-02 4096  1.000 42.590  1.35 1.732e+04  24.6556 
OBS: 59710.2092 i WFD  2.3404e+00  1.605e-02 4096  1.000 44.620  1.70 1.875e+04  26.5654 
OBS: 59713.1711 Y WFD  1.1299e+01  1.006e-01 4096  1.000 42.610  1.91 1.644e+04  24.8739 
OBS: 59748.2201 i WFD  1.5799e+00  2.127e-02 4096  1.000 44.590  1.86 2.211e+04  27.0237 
OBS: 59748.9576 z WFD  4.5571e+00  4.609e-02 4096  1.000 44.250  1.99 3.274e+04  25.8553 
OBS: 59749.9563 z WFD  4.5049e+00  4.081e-02 4096  1.000 44.250  1.83 3.152e+04  25.8650 
OBS: 59750.9631 z WFD  4.5287e+00  4.160e-02 4096  1.000 43.490  1.98 1.474e+04  25.8748 
OBS: 59758.9630 z WFD  4.1575e+00  2.587e-02 4096  1.000 44.260  1.62 2.277e+04  25.9542 
OBS: 59762.9660 z WFD  3.9954e+00  2.497e-02 4096  1.000 44.260  1.65 2.158e+04  25.9929 
OBS: 59772.1474 Y WFD  7.2271e+00  1.059e-01 4096  1.000 42.550  1.69 1.851e+04  25.3537 
OBS: 59780.9648 z WFD  3.3838e+00  4.136e-02 4096  1.000 43.520  1.94 1.538e+04  26.1728 
OBS: 59790.0039 g WFD  8.9887e-03  8.713e-03    0  1.000 44.870  2.99 7.292e+03  33.1894 
OBS: 59800.0513 Y WFD  5.8494e+00  7.041e-02 4096  1.000 43.310  1.96 2.136e+04  25.5877 
OBS: 59800.9850 z WFD  2.8267e+00  2.327e-02 4096  1.000 45.040  1.60 4.256e+04  26.3725 
OBS: 59802.0587 Y WFD  5.7342e+00  5.711e-02 4096  1.000 43.730  1.83 2.733e+04  25.6048 
OBS: 59809.0698 r WFD  1.0487e-01  8.454e-03 4096  1.000 44.790  1.61 1.221e+04  29.9197 
OBS: 59813.0493 r WFD  9.5913e-02  1.063e-02 4096  1.000 44.790  2.01 1.229e+04  29.9830 
OBS: 59818.0049 u WFD  2.9815e-02  2.101e-02    0  1.000 41.270  1.74 1.094e+03  99.0000 
OBS: 59830.0133 Y WFD  4.6171e+00  5.688e-02 4096  1.000 44.020  2.12 3.068e+04  25.8448 
OBS: 59966.3704 z WFD  5.8190e-01  4.269e-02 4096  1.000 44.260  1.80 3.384e+04  28.1056 
OBS: 59980.3029 Y WFD  1.1974e+00  8.791e-02 4096  1.000 42.520  1.60 1.579e+04  27.1930 
OBS: 59986.3835 z WFD  4.8082e-01  4.615e-02 4096  1.000 43.530  1.73 1.943e+04  28.3222 
OBS: 59991.3586 r WFD -2.0572e-03  8.228e-03    0  1.000 44.870  1.70 1.211e+04  33.0478 
OBS: 59997.2709 u WFD -5.5932e-02  2.385e-02    0  1.000 41.160  1.90 1.028e+03  99.0000 
OBS: 59999.2539 g WFD  1.6974e-02  6.730e-03    0  1.000 44.750  2.05 7.355e+03  47.9030 
OBS: 60000.2723 g WFD  2.8501e-03  5.472e-03    0  1.000 44.790  1.73 7.352e+03  99.0000 
OBS: 60004.2643 r WFD  2.3801e-02  1.224e-02    0  1.000 44.810  2.52 1.150e+04  33.2859 
