SURVEY:   LSST
SNID:     2008625
IAUC:     NULL
SNTYPE:   40
RA:       64.909663  # deg
DEC:      -10.933226  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0470 +- 0.0023  # MW E(B-V) 
PEAKMJD:  60012.695     # estimate for LC fit codes
MJD_TRIGGER:       59976.051  
MJD_DETECT_FIRST:  59957.105  
MJD_DETECT_LAST:   60669.039  

REDSHIFT_HELIO:   0.562352 +- 0.000010  # Helio 
REDSHIFT_FINAL:   0.561966 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8813692033  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      0.5624  +- 0.0100 
HOSTGAL_SPECZ:       0.5624  +- 0.0000 
HOSTGAL_RA:          64.909806    # deg 
HOSTGAL_DEC:         -10.933268    # deg 
HOSTGAL_SNSEP:       0.216       # arcsec 
HOSTGAL_DDLR:        1.747       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     6.623 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.870
HOSTGAL_SQRADIUS:     8.802   # Ixx + Iyy
HOSTGAL_MAG:     27.86  27.50  27.00  26.34  26.21  26.10 # ugrizY
HOSTGAL_MAGERR:  23.61   0.26   0.14   0.15   0.22   0.40 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  638   # template index for SIMSED,NONIa
SIM_LIBID:           8624    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56237  
SIM_REDSHIFT_CMB:    0.56198  
SIM_REDSHIFT_HOST:   0.53734  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8813692033 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.660 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                6.623 -9.000 
SIM_DLMU:            42.5673   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.0364   # mag 
SIM_RA:              64.909660     # deg  
SIM_DEC:             -10.933226      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0425   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60012.695    #  true PEAKMJD, days 
SIM_SALT2x0:         9.3986e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -275.04  # days 
SIM_TRESTMAX:        420.20  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    638.000000
SIMSED_param(bfield):    1.062850
SIMSED_param(mns):    2.158149
SIMSED_param(pspin):    1.971202
SIMSED_param(kappa):    0.197447
SIMSED_param(kappagamma):    0.182400
SIMSED_param(mej):    9.425894
SIMSED_param(temp):    6210.395996
SIMSED_param(vej):    9612.646484

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   19.93  19.56  19.56  19.69  19.83  19.96  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 155 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59583.0902 u WFD -1.5661e-02  2.356e-02    0  1.000 41.250  2.11 9.930e+02  99.0000 
OBS: 59588.1102 Y WFD  1.1167e-01  8.961e-02    0  1.000 42.570  2.08 1.296e+04  99.0000 
OBS: 59590.0434 Y WFD  1.9921e-01  6.931e-02    0  1.000 42.580  1.38 1.525e+04  99.0000 
OBS: 59591.1291 z WFD  1.9786e-02  3.097e-02    0  1.000 44.270  1.75 2.548e+04  99.0000 
OBS: 59594.0470 Y WFD -7.5882e-02  8.543e-02    0  1.000 42.580  1.65 1.572e+04  99.0000 
OBS: 59598.0455 z WFD  5.9329e-02  4.409e-02    0  1.000 44.270  2.49 2.550e+04  99.0000 
OBS: 59617.0381 Y WFD -5.8357e-02  1.091e-01    0  1.000 42.570  2.45 1.340e+04  99.0000 
OBS: 59628.0287 z WFD -4.1779e-02  3.211e-02    0  1.000 44.270  1.62 2.854e+04  99.0000 
OBS: 59653.0145 Y WFD -1.6052e-01  1.482e-01    0  1.000 42.520  2.83 1.504e+04  99.0000 
OBS: 59659.0033 Y WFD  1.3426e-01  1.159e-01    0  1.000 42.510  2.25 1.467e+04  99.0000 
OBS: 59660.9980 z WFD  2.4709e-02  4.574e-02    0  1.000 44.230  2.32 2.736e+04  99.0000 
OBS: 59666.9924 z WFD -6.2062e-02  6.176e-02    0  1.000 43.470  2.48 1.716e+04  99.0000 
OBS: 59797.4351 Y WFD -5.9838e-02  1.601e-01    0  1.000 42.570  2.48 1.943e+04  99.0000 
OBS: 59803.3779 Y WFD -4.1725e-02  1.067e-01    0  1.000 42.540  2.00 1.562e+04  99.0000 
OBS: 59805.3959 Y WFD  1.7500e-02  5.079e-02    0  1.000 43.300  1.44 2.079e+04  99.0000 
OBS: 59819.3288 u WFD -1.2649e-02  3.275e-02    0  1.000 41.010  2.46 9.487e+02  99.0000 
OBS: 59823.3492 g WFD  8.6028e-03  7.773e-03    0  1.000 44.760  2.59 6.786e+03  99.0000 
OBS: 59824.3320 i WFD  1.2302e-03  1.289e-02    0  1.000 44.570  1.61 1.520e+04  99.0000 
OBS: 59835.2946 Y WFD  2.5167e-02  8.979e-02    0  1.000 42.540  1.64 1.602e+04  99.0000 
OBS: 59836.2799 z WFD -6.6147e-02  4.081e-02    0  1.000 44.240  1.91 2.993e+04  99.0000 
OBS: 59840.3082 r WFD -9.0875e-03  5.029e-03    0  1.000 46.370  1.67 3.000e+04  99.0000 
OBS: 59843.2648 i WFD  7.3500e-03  1.674e-02    0  1.000 44.560  2.04 1.543e+04  99.0000 
OBS: 59849.2443 r WFD -8.6526e-03  1.497e-02    0  1.000 44.780  3.09 1.116e+04  99.0000 
OBS: 59850.2565 i WFD -1.0339e-02  1.989e-02    0  1.000 44.560  2.47 1.514e+04  99.0000 
OBS: 59860.2242 Y WFD  6.8283e-02  8.653e-02    0  1.000 42.540  1.61 1.573e+04  99.0000 
OBS: 59861.2064 Y WFD -6.0667e-02  1.113e-01    0  1.000 42.520  1.85 1.729e+04  99.0000 
OBS: 59864.3599 z WFD -5.2420e-02  3.877e-02    0  1.000 44.280  1.80 3.130e+04  99.0000 
OBS: 59867.3486 i WFD  3.0669e-02  2.120e-02    0  1.000 44.620  1.82 2.315e+04  99.0000 
OBS: 59871.3181 g WFD -1.9683e-03  3.943e-03    0  1.000 44.870  1.27 7.770e+03  99.0000 
OBS: 59874.1832 u WFD  4.6917e-02  2.082e-02    0  1.000 41.160  1.70 1.002e+03  99.0000 
OBS: 59877.2315 r WFD  1.1752e-02  9.062e-03    0  1.000 44.840  2.05 1.076e+04  99.0000 
OBS: 59878.2406 i WFD  1.8697e-02  1.089e-02    0  1.000 44.580  1.45 1.439e+04  99.0000 
OBS: 59879.1835 g WFD -6.2769e-03  3.102e-03    0  1.000 45.520  1.47 9.610e+03  99.0000 
OBS: 59880.2611 r WFD -9.4767e-03  5.378e-03    0  1.000 44.830  1.23 1.055e+04  99.0000 
OBS: 59896.2211 i WFD  3.3802e-02  2.402e-02    0  1.000 44.620  2.17 2.200e+04  99.0000 
OBS: 59897.1773 r WFD -8.2649e-03  9.574e-03    0  1.000 44.870  1.81 1.324e+04  99.0000 
OBS: 59904.1255 u WFD  6.6002e-03  2.211e-02    0  1.000 41.920  2.59 1.407e+03  99.0000 
OBS: 59908.1123 i WFD  3.5355e-03  2.152e-02    0  1.000 44.570  2.72 1.502e+04  99.0000 
OBS: 59917.0710 z WFD -3.0954e-02  3.701e-02    0  1.000 44.250  1.91 2.740e+04  99.0000 
OBS: 59921.1842 z WFD  7.9747e-03  4.280e-02    0  1.000 44.280  1.80 3.456e+04  99.0000 
