SURVEY:   LSST
SNID:     2009492
IAUC:     NULL
SNTYPE:   40
RA:       280.232155  # deg
DEC:      -25.878598  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.3611 +- 0.0181  # MW E(B-V) 
PEAKMJD:  59633.727     # estimate for LC fit codes
MJD_TRIGGER:       59698.426  
MJD_DETECT_FIRST:  59693.266  
MJD_DETECT_LAST:   60544.141  

REDSHIFT_HELIO:   1.390604 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.389767 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      1  
HOSTGAL_NMATCH2:     1  
HOSTGAL_OBJID:       8075067096  
HOSTGAL_FLAG:        0  
HOSTGAL_PHOTOZ:      1.3906  +- 0.0100 
HOSTGAL_SPECZ:       1.3906  +- 0.0000 
HOSTGAL_RA:          280.231985    # deg 
HOSTGAL_DEC:         -25.878929    # deg 
HOSTGAL_SNSEP:       0.643       # arcsec 
HOSTGAL_DDLR:        1.851       # SNSEP/DLR  
HOSTGAL_CONFUSION:  -99.000  
HOSTGAL_LOGMASS:     9.137 +- -9.000   # log10(Mgal/Msolar)
HOSTGAL_sSFR:        -9.900e+01 +- -9.900e+01  # specific SFR
HOSTGAL_ELLIPTICITY:     0.493
HOSTGAL_SQRADIUS:     9.060   # Ixx + Iyy
HOSTGAL_MAG:     27.52  26.83  26.82  26.48  26.17  25.98 # ugrizY
HOSTGAL_MAGERR:   0.77   0.06   0.06   0.09   0.17   0.27 # ugrizY


# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  457   # template index for SIMSED,NONIa
SIM_LIBID:           9491    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.39061  
SIM_REDSHIFT_CMB:    1.38977  
SIM_REDSHIFT_HOST:   1.34807  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   8075067096 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.392 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                9.137 -9.000 
SIM_DLMU:            44.9851   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0438   # mag 
SIM_RA:              280.232147     # deg  
SIM_DEC:             -25.878599      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.3454   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59633.727    #  true PEAKMJD, days 
SIM_SALT2x0:         1.0138e-18 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6341  # spectro-search efficiency 
SIM_TRESTMIN:        24.90  # days 
SIM_TRESTMAX:        403.10  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    457.000000
SIMSED_param(bfield):    0.210695
SIMSED_param(mns):    1.754561
SIMSED_param(pspin):    1.086056
SIMSED_param(kappa):    0.167722
SIMSED_param(kappagamma):    0.001437
SIMSED_param(mej):    11.090447
SIMSED_param(temp):    6983.304688
SIMSED_param(vej):    12067.248047

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   24.29  23.20  22.38  22.03  21.93  21.94  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59693.2647 i WFD  1.0239e+02  1.350e-02 4096  1.000 45.330  1.98 2.552e+04  22.4743 
OBS: 59698.4271 z WFD  1.2472e+02  6.608e-02 6144  1.000 44.290  3.12 3.098e+04  22.2598 
OBS: 59700.2395 u WFD  2.0851e+00  2.300e-02 4096  1.000 41.170  1.82 1.037e+03  26.7176 
OBS: 59710.2215 i WFD  7.4737e+01  1.945e-02 4096  1.000 44.590  1.91 1.941e+04  22.8161 
OBS: 59711.2190 Y WFD  1.1945e+02  5.550e-02 4096  1.000 44.040  2.28 2.823e+04  22.3059 
OBS: 59715.2476 Y WFD  1.1286e+02  4.664e-02 4096  1.000 44.100  1.64 3.481e+04  22.3684 
OBS: 59729.4246 z WFD  7.2986e+01  4.199e-02 4096  1.000 43.470  1.88 1.526e+04  22.8417 
OBS: 59749.2085 z WFD  4.6667e+01  2.983e-02 4096  1.000 44.680  2.18 2.864e+04  23.3268 
OBS: 59750.3227 r WFD  9.9243e+00  1.229e-02 4096  1.000 44.890  1.73 1.805e+04  25.0091 
OBS: 59751.1047 g WFD  1.4782e+00  5.951e-03 4096  1.000 44.780  1.80 7.596e+03  27.0832 
OBS: 59768.0584 Y WFD  4.0204e+01  7.348e-02 4096  1.000 43.280  2.14 1.983e+04  23.4881 
OBS: 59775.2798 z WFD  2.5233e+01  4.141e-02 4096  1.000 45.020  2.30 5.169e+04  23.9932 
OBS: 59776.0237 i WFD  1.3476e+01  4.641e-02 4096  1.000 43.830  2.56 1.739e+04  24.6761 
OBS: 59778.1340 r WFD  4.1163e+00  1.176e-02 4096  1.000 44.930  1.80 1.725e+04  25.9626 
OBS: 59783.0822 r WFD  3.8110e+00  1.238e-02 4096  1.000 44.860  2.68 1.143e+04  26.0466 
OBS: 59803.0261 Y WFD  2.3360e+01  3.718e-02 4096  1.000 44.540  1.61 4.259e+04  24.0776 
OBS: 59805.1100 i WFD  8.6156e+00  1.445e-02 4096  1.000 45.090  1.40 3.157e+04  25.1594 
OBS: 59806.0766 r WFD  2.6849e+00  1.228e-02 4096  1.000 44.940  1.70 1.927e+04  26.4251 
OBS: 59819.0570 u WFD -2.7933e-02  2.071e-02    0  1.000 41.380  1.92 1.081e+03  32.2727 
OBS: 59830.1416 Y WFD  1.5751e+01  1.012e-01 4096  1.000 43.290  2.38 2.483e+04  24.4947 
OBS: 59840.0519 g WFD  2.0651e-01  5.150e-03 4096  1.000 44.860  1.64 7.782e+03  29.2222 
OBS: 59845.0596 r WFD  1.5639e+00  1.052e-02 4096  1.000 44.840  2.14 1.196e+04  27.0112 
OBS: 59859.0556 Y WFD  1.0878e+01  9.770e-02 4096  1.000 42.540  1.86 1.537e+04  24.9032 
OBS: 59868.0375 r WFD  1.1817e+00  6.520e-03 4096  1.000 45.580  1.70 1.844e+04  27.3206 
OBS: 60003.3856 z WFD  1.8486e+00  4.854e-02 4096  1.000 43.470  2.01 1.664e+04  26.8619 
OBS: 60005.3945 z WFD  1.7811e+00  5.236e-02 4096  1.000 43.480  2.06 1.768e+04  26.8802 
OBS: 60021.3853 g WFD  2.1336e-02  8.578e-03    0  1.000 44.110  1.63 6.540e+03  31.2266 
OBS: 60021.3971 z WFD  1.5368e+00  3.308e-02 4096  1.000 43.510  1.59 1.488e+04  27.0220 
OBS: 60022.4096 z WFD  1.6131e+00  4.500e-02 4096  1.000 43.530  1.54 2.128e+04  27.0307 
OBS: 60023.4074 z WFD  1.5520e+00  2.086e-02 4096  1.000 44.270  1.18 2.545e+04  27.0394 
OBS: 60026.4092 z WFD  1.4609e+00  3.032e-02 4096  1.000 43.520  1.22 1.793e+04  27.0660 
OBS: 60027.3366 u WFD -5.7585e-03  1.545e-02    0  1.000 41.930  1.66 1.550e+03  34.6409 
OBS: 60037.3125 Y WFD  1.9604e+00  6.429e-02 4096  1.000 43.280  1.80 2.066e+04  26.7810 
OBS: 60037.3627 i WFD  7.4989e-01  1.262e-02 4096  1.000 45.350  2.04 2.409e+04  27.8298 
OBS: 60038.3203 Y WFD  1.9161e+00  9.572e-02 4096  1.000 42.540  1.88 1.490e+04  26.7892 
OBS: 60039.3059 Y WFD  1.9763e+00  8.643e-02 4096  1.000 43.280  2.26 2.213e+04  26.7972 
OBS: 60040.3422 Y WFD  1.8178e+00  1.004e-01 4096  1.000 42.560  1.98 1.512e+04  26.8057 
OBS: 60055.3341 g WFD  2.7611e-02  4.577e-03    0  1.000 44.880  1.50 7.706e+03  31.5131 
OBS: 60056.2652 i WFD  6.3370e-01  1.268e-02 4096  1.000 44.560  1.50 1.589e+04  27.9863 
