SURVEY:   LSST
SNID:     2010396
IAUC:     NULL
SNTYPE:   40
RA:       359.851333  # deg
DEC:      -22.360838  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0144 +- 0.0007  # MW E(B-V) 
PEAKMJD:  59736.414     # estimate for LC fit codes
MJD_TRIGGER:       59771.281  
MJD_DETECT_FIRST:  59770.324  
MJD_DETECT_LAST:   59937.047  

REDSHIFT_HELIO:   2.311525 +- 0.000010  # Helio 
REDSHIFT_FINAL:   2.308047 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  368   # template index for SIMSED,NONIa
SIM_LIBID:           10395    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  2.31153  
SIM_REDSHIFT_CMB:    2.30805  
SIM_REDSHIFT_HOST:   2.38943  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   9765401727 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     -0.139 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                10.325 -9.000 
SIM_DLMU:            46.3392   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.2342   # mag 
SIM_RA:              359.851318     # deg  
SIM_DEC:             -22.360838      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0141   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59736.414    #  true PEAKMJD, days 
SIM_SALT2x0:         2.9128e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.6380  # spectro-search efficiency 
SIM_TRESTMIN:        10.24  # days 
SIM_TRESTMAX:        283.14  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    368.000000
SIMSED_param(bfield):    1.953684
SIMSED_param(mns):    1.861793
SIMSED_param(pspin):    1.665999
SIMSED_param(kappa):    0.105259
SIMSED_param(kappagamma):    0.301069
SIMSED_param(mej):    4.300635
SIMSED_param(temp):    4123.015137
SIMSED_param(vej):    12437.638672

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.18  22.53  22.17  22.02  21.96  21.96  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59770.3224 Y WFD  1.6663e+02  7.286e-02 4096  1.000 42.570  1.63 1.325e+04  21.9455 
OBS: 59771.2831 z WFD  1.5263e+02  3.314e-02 6144  1.000 44.250  1.91 2.419e+04  22.0407 
OBS: 59772.3010 Y WFD  1.6350e+02  6.468e-02 4096  1.000 43.320  1.86 2.068e+04  21.9667 
OBS: 59773.4211 Y WFD  1.6158e+02  7.383e-02 4096  1.000 42.600  1.52 1.482e+04  21.9790 
OBS: 59782.4110 g WFD  3.1952e+01  1.231e-02 4096  1.000 44.180  2.45 6.511e+03  23.7378 
OBS: 59783.3954 r WFD  6.8181e+01  8.801e-03 4096  1.000 44.870  1.86 1.124e+04  22.9159 
OBS: 59788.4073 i WFD  9.1142e+01  1.691e-02 4096  1.000 44.590  2.22 1.438e+04  22.6008 
OBS: 59796.2013 z WFD  9.8085e+01  6.174e-02 4096  1.000 43.480  2.91 1.468e+04  22.5219 
OBS: 59799.2187 z WFD  9.1302e+01  3.177e-02 4096  1.000 44.250  1.95 2.283e+04  22.5991 
OBS: 59807.3543 Y WFD  8.9525e+01  9.546e-02 4096  1.000 42.580  1.97 1.465e+04  22.6198 
OBS: 59808.3501 i WFD  5.0780e+01  1.225e-02 4096  1.000 45.380  1.53 3.167e+04  23.2356 
OBS: 59810.2140 g WFD  7.8310e+00  4.776e-03 4096  1.000 45.290  1.86 9.335e+03  25.2652 
OBS: 59811.1824 i WFD  4.6122e+01  1.489e-02 4096  1.000 44.570  1.85 1.504e+04  23.3400 
OBS: 59817.1897 r WFD  1.8361e+01  6.807e-03 4096  1.000 44.830  1.44 1.113e+04  24.3404 
OBS: 59818.1744 u WFD  6.5073e-01  1.611e-02 4096  1.000 41.970  1.92 1.445e+03  27.9467 
OBS: 59820.1403 i WFD  3.3449e+01  1.320e-02 4096  1.000 44.560  1.57 1.558e+04  23.6890 
OBS: 59824.1199 i WFD  2.8666e+01  1.762e-02 4096  1.000 44.560  2.05 1.606e+04  23.8558 
OBS: 59825.1390 z WFD  4.3218e+01  3.214e-02 4096  1.000 44.240  2.17 2.066e+04  23.4103 
OBS: 59827.1095 z WFD  4.0579e+01  3.497e-02 4096  1.000 44.230  2.08 2.326e+04  23.4800 
OBS: 59835.1582 Y WFD  4.2257e+01  4.921e-02 4096  1.000 43.330  1.38 2.152e+04  23.4371 
OBS: 59837.1403 r WFD  6.8542e+00  1.127e-02 4096  1.000 44.900  1.77 1.633e+04  25.4115 
OBS: 59855.0425 z WFD  1.5468e+01  1.787e-02 4096  1.000 44.990  1.61 3.095e+04  24.5262 
OBS: 59856.0310 Y WFD  2.2410e+01  7.217e-02 4096  1.000 43.260  2.01 2.037e+04  24.1234 
OBS: 59862.0794 z WFD  1.2028e+01  3.838e-02 4096  1.000 44.280  1.49 3.741e+04  24.7940 
OBS: 59863.1875 z WFD  1.1635e+01  3.269e-02 4096  1.000 44.290  1.53 3.131e+04  24.8371 
OBS: 59863.9903 Y WFD  1.7571e+01  1.436e-01 4096  1.000 42.510  1.71 2.389e+04  24.3818 
OBS: 59867.9966 Y WFD  1.5674e+01  4.859e-02 4096  1.000 44.470  1.68 5.005e+04  24.5120 
OBS: 59872.0089 Y WFD  1.3798e+01  7.072e-02 4096  1.000 42.550  1.53 1.364e+04  24.6406 
OBS: 59875.1653 u WFD  3.4858e-02  1.644e-02    0  1.000 42.020  2.07 1.436e+03  33.6168 
OBS: 59878.0102 z WFD  7.0430e+00  3.082e-02 4096  1.000 43.490  1.50 1.440e+04  25.3847 
OBS: 59880.0574 r WFD  7.5758e-01  5.337e-03 4096  1.000 44.860  1.21 1.092e+04  27.7917 
OBS: 59885.0129 Y WFD  9.4140e+00  3.909e-02 4096  1.000 43.780  1.36 2.633e+04  25.0554 
OBS: 59905.1293 u WFD  1.8903e-02  3.518e-02    0  1.000 41.160  2.90 9.930e+02  36.3755 
OBS: 59919.0870 z WFD  1.8585e+00  3.593e-02 4096  1.000 44.270  1.85 2.797e+04  26.8437 
OBS: 59923.0940 i WFD  5.0560e-01  3.121e-02 4096  1.000 43.850  1.76 1.735e+04  28.1363 
OBS: 59926.0985 r WFD  9.6210e-02  8.045e-03 4096  1.000 44.790  1.61 1.162e+04  30.1525 
OBS: 59929.0913 r WFD  9.3823e-02  1.337e-02    0  1.000 44.030  1.84 8.390e+03  30.3124 
OBS: 59931.0952 g WFD  1.9425e-03  5.521e-03    0  1.000 44.740  1.67 7.340e+03  33.5511 
OBS: 59937.0450 z WFD  1.0263e+00  2.925e-02 4096  1.000 44.250  1.76 2.350e+04  27.4695 
OBS: 60082.4331 z WFD  4.9984e-02  6.246e-02    0  1.000 43.520  2.03 2.221e+04  31.2272 
OBS: 60085.4109 r WFD -2.3603e-03  8.686e-03    0  1.000 44.800  1.67 1.220e+04  35.8384 
OBS: 60095.4091 i WFD -8.1288e-03  2.005e-02    0  1.000 43.820  1.76 1.084e+04  33.0791 
OBS: 60096.3950 Y WFD  6.3423e-02  7.927e-02    0  1.000 43.290  2.22 2.085e+04  30.0918 
OBS: 60100.3786 Y WFD  3.5381e-02  7.216e-02    0  1.000 43.290  1.94 2.172e+04  30.1151 
OBS: 60118.3060 u WFD -5.1176e-02  3.845e-02    0  1.000 41.010  2.86 9.582e+02  48.0609 
OBS: 60119.3455 r WFD -4.7527e-03  9.541e-03    0  1.000 44.830  2.05 1.123e+04  36.0413 
OBS: 60119.4392 z WFD  7.8160e-03  3.861e-02    0  1.000 43.520  1.80 1.548e+04  31.4483 
OBS: 60122.3062 r WFD -2.5644e-02  1.078e-02    0  1.000 44.790  2.20 1.139e+04  36.0591 
OBS: 60123.3979 i WFD  3.3629e-02  1.294e-02    0  1.000 44.590  1.75 1.430e+04  33.2445 
OBS: 60124.4015 i WFD  8.5174e-03  1.357e-02    0  1.000 44.590  1.84 1.426e+04  33.2502 
OBS: 60127.3040 Y WFD  1.2973e-01  3.391e-02    0  1.000 44.660  1.74 4.019e+04  30.2737 
OBS: 60128.2726 Y WFD  3.8444e-02  8.063e-02    0  1.000 43.270  1.98 2.335e+04  30.2792 
OBS: 60138.2918 i WFD  5.8558e-03  1.448e-02    0  1.000 44.570  1.85 1.486e+04  33.3303 
OBS: 60140.2628 u WFD  1.7616e-02  2.213e-02    0  1.000 41.150  1.79 1.002e+03  48.1879 
OBS: 60144.3129 g WFD -8.0013e-05  3.796e-03    0  1.000 45.600  1.89 9.844e+03  40.6416 
OBS: 60145.2369 u WFD  3.1087e-02  2.669e-02    0  1.000 41.120  2.12 9.930e+02  48.2164 
OBS: 60151.2582 r WFD -2.7767e-03  8.373e-03    0  1.000 44.830  1.83 1.104e+04  36.2250 
OBS: 60162.2046 Y WFD  1.7039e-01  1.217e-01    0  1.000 42.540  2.34 1.522e+04  30.4733 
OBS: 60163.3826 i WFD  1.0374e-02  2.084e-02    0  1.000 44.620  2.07 2.001e+04  33.4727 
OBS: 60164.2633 r WFD -1.7413e-02  1.031e-02    0  1.000 44.900  1.75 1.516e+04  36.2982 
OBS: 60165.2541 g WFD -4.5569e-03  4.306e-03    0  1.000 44.850  1.42 7.450e+03  40.7599 
OBS: 60166.1929 r WFD -5.5854e-03  9.169e-03    0  1.000 44.800  1.92 1.120e+04  36.3088 
OBS: 60176.1591 u WFD  4.2328e-03  1.930e-02    0  1.000 41.790  2.07 1.363e+03  48.3904 
OBS: 60178.1637 g WFD -5.4972e-03  5.434e-03    0  1.000 44.780  1.77 7.071e+03  40.8317 
OBS: 60179.2187 i WFD -1.2615e-02  1.121e-02    0  1.000 44.590  1.50 1.445e+04  33.5604 
OBS: 60180.2119 i WFD -3.2544e-02  1.534e-02    0  1.000 44.590  2.00 1.483e+04  33.5658 
OBS: 60181.1439 z WFD  2.3203e-02  3.253e-02    0  1.000 44.240  2.07 2.201e+04  31.7981 
OBS: 60182.1487 z WFD  5.2567e-02  3.894e-02    0  1.000 44.240  2.42 2.254e+04  31.8036 
OBS: 60201.1023 i WFD  2.6183e-03  1.616e-02    0  1.000 44.570  2.00 1.534e+04  33.6807 
OBS: 60209.1595 r WFD  1.8539e-02  1.209e-02    0  1.000 44.890  2.41 1.279e+04  36.5445 
OBS: 60210.0733 z WFD -2.5052e-03  3.193e-02    0  1.000 44.250  2.08 2.171e+04  31.9558 
OBS: 60212.1319 Y WFD  3.3624e-02  7.513e-02    0  1.000 42.580  1.66 1.374e+04  30.7469 
OBS: 60217.0746 Y WFD  5.7085e-02  5.604e-02    0  1.000 44.320  2.01 4.204e+04  30.7736 
OBS: 60228.0004 z WFD  3.3786e-02  4.973e-02    0  1.000 43.480  2.18 1.587e+04  32.0524 
OBS: 60234.0041 z WFD  2.3066e-02  5.539e-02    0  1.000 43.480  2.54 1.517e+04  32.0837 
OBS: 60245.0231 Y WFD  6.8312e-02  4.996e-02    0  1.000 44.100  1.74 3.536e+04  30.9218 
OBS: 60247.0121 z WFD  3.3364e-02  3.218e-02    0  1.000 44.270  1.90 2.439e+04  32.1523 
OBS: 60248.0215 z WFD  2.0859e-02  2.669e-02    0  1.000 44.260  1.82 2.092e+04  32.1576 
OBS: 60282.1067 g WFD -2.7373e-03  7.545e-03    0  1.000 44.780  2.38 7.302e+03  41.3845 
OBS: 60290.1000 u WFD  3.7112e-02  2.825e-02    0  1.000 41.130  2.23 1.009e+03  48.9943 
OBS: 60302.0659 Y WFD  6.4287e-02  1.205e-01    0  1.000 42.540  2.34 1.507e+04  31.2152 
OBS: 60304.0397 z WFD  7.3663e-02  2.887e-02    0  1.000 45.020  1.61 5.153e+04  32.4454 
OBS: 60463.4065 r WFD  1.3802e-02  1.537e-02    0  1.000 44.090  2.13 8.804e+03  37.7957 
OBS: 60463.4373 Y WFD -1.4810e-02  1.043e-01    0  1.000 42.590  1.85 1.728e+04  31.9820 
OBS: 60464.4305 z WFD  2.9711e-02  3.310e-02    0  1.000 43.510  1.63 1.452e+04  33.2067 
OBS: 60465.3696 u WFD -1.2378e-02  2.754e-02    0  1.000 41.140  2.16 1.025e+03  50.0646 
OBS: 60467.3737 r WFD  5.7173e-03  8.011e-03    0  1.000 45.560  2.27 1.667e+04  37.8137 
OBS: 60468.4111 g WFD -9.6766e-04  6.253e-03    0  1.000 44.830  2.02 7.466e+03  42.2746 
OBS: 60483.3331 Y WFD -4.4261e-02  4.785e-02    0  1.000 43.730  1.52 2.757e+04  32.0704 
OBS: 60491.3283 r WFD  1.3194e-02  2.301e-02    0  1.000 44.100  2.95 9.604e+03  37.9192 
OBS: 60491.3991 i WFD -5.5211e-03  2.026e-02    0  1.000 44.600  2.57 1.538e+04  35.0988 
OBS: 60491.4424 z WFD  6.5035e-02  6.113e-02    0  1.000 43.530  2.46 1.810e+04  33.3261 
OBS: 60492.3006 i WFD -1.9041e-02  2.295e-02    0  1.000 44.560  2.76 1.564e+04  35.1028 
OBS: 60493.4412 Y WFD  3.9782e-02  7.749e-02    0  1.000 42.610  1.54 1.571e+04  32.1149 
OBS: 60496.2916 r WFD  4.0286e-03  7.996e-03    0  1.000 44.810  1.66 1.141e+04  37.9410 
OBS: 60499.2903 u WFD -2.3116e-02  2.940e-02    0  1.000 41.190  2.43 1.018e+03  50.2139 
OBS: 60500.3378 i WFD -6.7271e-03  1.185e-02    0  1.000 44.580  1.57 1.446e+04  35.1377 
OBS: 60502.2793 r WFD -3.1745e-04  1.039e-02    0  1.000 44.810  2.18 1.129e+04  37.9668 
OBS: 60503.3315 i WFD -1.3568e-02  1.348e-02    0  1.000 44.580  1.78 1.451e+04  35.1507 
OBS: 60507.3020 z WFD  2.7092e-02  4.379e-02    0  1.000 44.250  3.06 2.023e+04  33.3953 
OBS: 60508.2299 Y WFD  1.6739e-02  1.300e-01    0  1.000 42.490  2.47 1.471e+04  32.1792 
OBS: 60511.2520 z WFD -1.6403e-02  5.377e-02    0  1.000 44.260  2.63 2.918e+04  33.4121 
OBS: 60520.2480 r WFD -1.0282e-02  7.388e-03    0  1.000 45.580  2.27 1.566e+04  38.0446 
OBS: 60524.2071 u WFD  2.1594e-03  3.007e-02    0  1.000 41.110  2.39 9.835e+02  50.3213 
OBS: 60528.2859 i WFD  5.3544e-03  1.309e-02    0  1.000 44.590  1.77 1.430e+04  35.2578 
OBS: 60530.1846 g WFD -1.8461e-03  6.707e-03    0  1.000 44.740  2.12 7.023e+03  42.5430 
OBS: 60536.1664 Y WFD  8.8692e-02  1.022e-01    0  1.000 42.510  2.02 1.440e+04  32.2984 
OBS: 60540.2591 Y WFD  8.0626e-02  5.255e-02    0  1.000 43.360  1.48 2.211e+04  32.3155 
OBS: 60547.2017 i WFD  2.7324e-03  8.855e-03    0  1.000 45.790  1.78 2.905e+04  35.3381 
OBS: 60548.1572 g WFD -4.5322e-03  4.804e-03    0  1.000 45.510  2.18 9.942e+03  42.6191 
OBS: 60550.1788 r WFD -6.6469e-03  6.380e-03    0  1.000 45.590  1.97 1.573e+04  38.1711 
OBS: 60553.1366 r WFD -9.8149e-03  9.385e-03    0  1.000 44.810  1.95 1.140e+04  38.1833 
OBS: 60554.1211 u WFD -5.2181e-03  3.132e-02    0  1.000 41.110  2.45 9.993e+02  50.4474 
OBS: 60556.1220 i WFD -9.1320e-03  1.684e-02    0  1.000 44.560  2.05 1.545e+04  35.3750 
