SURVEY:   LSST
SNID:     2010536
IAUC:     NULL
SNTYPE:   40
RA:       323.478057  # deg
DEC:      -8.355667  # deg
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0339 +- 0.0017  # MW E(B-V) 
PEAKMJD:  59581.512     # estimate for LC fit codes
MJD_TRIGGER:       59769.184  
MJD_DETECT_FIRST:  59729.324  
MJD_DETECT_LAST:   60101.348  

REDSHIFT_HELIO:   1.724388 +- 0.000010  # Helio 
REDSHIFT_FINAL:   1.721451 +- 0.000010  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 300.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SIMSED.SLSN-I-MOSFIT  
SIM_MODEL_INDEX:     7  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      40  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  809   # template index for SIMSED,NONIa
SIM_LIBID:           10535    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       256  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  1.72439  
SIM_REDSHIFT_CMB:    1.72145  
SIM_REDSHIFT_HOST:   1.70500  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   6819897621 
SIM_HOSTLIB_NPAR:    2 
SIM_HOSTLIB(LOG_SFR):                     0.559 -9.000 
SIM_HOSTLIB(LOGMASS_TRUE):                8.970 -9.000 
SIM_DLMU:            45.5599   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         -0.1176   # mag 
SIM_RA:              323.478058     # deg  
SIM_DEC:             -8.355667      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0318   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.000     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         59581.512    #  true PEAKMJD, days 
SIM_SALT2x0:         5.9711e-19 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7055  # spectro-search efficiency 
SIM_TRESTMIN:        53.95  # days 
SIM_TRESTMAX:        385.28  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

SIMSED_NPAR:   9 
SIMSED_GRIDONLY(SLSN_INDEX):    809.000000
SIMSED_param(bfield):    0.808491
SIMSED_param(mns):    1.632601
SIMSED_param(pspin):    2.199389
SIMSED_param(kappa):    0.155445
SIMSED_param(kappagamma):    0.022490
SIMSED_param(mej):    3.795465
SIMSED_param(temp):    5008.094238
SIMSED_param(vej):    9105.809570

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.36  22.59  22.12  21.91  21.88  21.94  # 
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 133 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 59728.3378 u WFD  3.4835e-02  1.514e-02    0  1.000 42.010  1.78 1.524e+03  31.7334 
OBS: 59729.3223 i WFD  1.0750e+01  1.085e-02 4096  1.000 45.320  1.84 2.226e+04  24.9215 
OBS: 59769.1825 z WFD  5.9717e+00  2.848e-02 6144  1.000 44.240  1.71 2.332e+04  25.5619 
OBS: 59770.2000 z WFD  5.7952e+00  2.805e-02 4096  1.000 44.250  1.67 2.373e+04  25.5959 
OBS: 59772.2881 Y WFD  8.7047e+00  5.996e-02 4096  1.000 43.750  1.94 2.756e+04  25.1359 
OBS: 59773.3915 Y WFD  8.6804e+00  1.147e-01 4096  1.000 42.550  1.80 1.882e+04  25.1694 
OBS: 59779.1943 z WFD  4.3257e+00  2.971e-02 4096  1.000 44.250  1.82 2.307e+04  25.9064 
OBS: 59784.3735 r WFD  2.7026e-01  1.782e-02 4096  1.000 44.040  2.44 8.510e+03  28.8210 
OBS: 59788.2774 g WFD  2.2827e-02  1.119e-02    0  1.000 44.090  2.58 5.290e+03  32.1703 
OBS: 59790.2285 g WFD  1.6714e-02  7.464e-03    0  1.000 44.840  2.42 7.507e+03  32.3303 
OBS: 59796.1122 Y WFD  4.4924e+00  1.232e-01 4096  1.000 42.530  2.55 1.401e+04  25.8612 
OBS: 59798.1434 Y WFD  4.2510e+00  7.515e-02 4096  1.000 42.550  1.60 1.387e+04  25.9300 
OBS: 59807.2581 Y WFD  3.4481e+00  7.922e-02 4096  1.000 42.560  1.66 1.422e+04  26.1817 
OBS: 59808.1868 r WFD  1.0778e-01  1.073e-02    0  1.000 44.910  1.47 1.895e+04  30.0373 
OBS: 59809.1636 g WFD  1.3257e-02  5.972e-03    0  1.000 44.110  1.37 5.417e+03  33.6131 
OBS: 59810.0856 r WFD  9.8621e-02  9.469e-03 4096  1.000 44.800  1.86 1.194e+04  30.1280 
OBS: 59812.1732 g WFD  5.0128e-03  7.819e-03    0  1.000 44.850  2.53 7.593e+03  33.7817 
OBS: 59813.2747 i WFD  5.4465e-01  1.810e-02 4096  1.000 44.560  2.16 1.576e+04  28.1376 
OBS: 59818.1099 u WFD -2.2657e-02  2.120e-02    0  1.000 41.240  1.78 1.050e+03  99.0000 
OBS: 59820.0532 i WFD  4.8967e-01  1.618e-02 4096  1.000 44.560  1.90 1.602e+04  28.2202 
OBS: 59825.0723 z WFD  1.3459e+00  2.145e-02 4096  1.000 45.000  2.07 2.923e+04  27.1601 
OBS: 59827.0543 z WFD  1.3517e+00  3.100e-02 4096  1.000 44.250  1.88 2.331e+04  27.1832 
OBS: 59836.0830 r WFD  6.3301e-02  5.185e-03 4096  1.000 46.060  1.57 2.473e+04  30.4850 
OBS: 59836.9930 Y WFD  2.3958e+00  7.345e-02 4096  1.000 42.510  1.48 1.413e+04  26.6021 
OBS: 59839.0102 i WFD  3.9419e-01  1.629e-02 4096  1.000 44.560  1.95 1.571e+04  28.4436 
OBS: 59842.9791 Y WFD  2.2057e+00  1.597e-01 4096  1.000 42.540  1.65 2.832e+04  26.6722 
OBS: 59843.9902 z WFD  1.1703e+00  4.021e-02 4096  1.000 43.490  1.78 1.586e+04  27.3826 
OBS: 59848.9943 z WFD  1.1301e+00  3.755e-02 4096  1.000 44.240  2.49 2.112e+04  27.4373 
OBS: 59849.0252 r WFD  6.9050e-02  1.004e-02    0  1.000 45.590  3.03 1.609e+04  30.6327 
OBS: 59854.0098 Y WFD  1.9083e+00  7.068e-02 4096  1.000 42.550  1.58 1.321e+04  26.7967 
OBS: 59856.0856 Y WFD  1.8200e+00  7.524e-02 4096  1.000 42.580  1.63 1.402e+04  26.8199 
